movie	metacritic	mpaa_rating
1643	1	PG-13
1644	1	R
1645	1	PG-13
1646	1	R
1647	1	PG
1648	1	PG-13
1649	1	PG
1650	1	R
1651	1	R
1652	1	R
1653	1	PG-13
1654	1	PG
1655	1	R
1656	1	R
1657	1	R
1658	1	PG-13
1659	1	R
1660	1	PG-13
1661	1	R
1662	1	PG-13
1663	1	PG-13
1664	1	PG-13
1665	1	R
1666	1	Unrated
1667	1	PG
1668	1	PG-13
1669	1	PG
1670	1	R
1671	1	Unrated
1672	1	R
1673	1	R
1674	1	R
1675	1	R
1676	1	R
1677	1	PG-13
1678	1	R
1679	1	R
1680	1	G
1681	1	R
1682	1	PG-13
1683	1	PG-13
1684	1	PG-13
1685	1	R
1686	1	PG
1687	1	R
1688	1	R
1689	1	Not Rated
1690	1	PG-13
1691	1	R
1692	1	Unrated
1693	1	PG-13
1694	1	PG-13
1695	1	Unrated
1696	1	R
1697	1	R
1698	1	PG-13
1699	1	PG-13
1700	1	PG-13
1701	1	PG-13
1702	1	G
1703	1	PG
1704	1	Unrated
1705	1	R
1706	1	R
1707	1	Unrated
1708	1	G
1709	1	R
1710	1	R
1711	1	Not Rated
1712	1	Unrated
1713	1	Unrated
1714	1	PG-13
1715	1	PG-13
1716	0	<NULL>
1717	1	R
1718	1	R
1719	1	PG-13
1720	1	Unrated
1721	1	X
1722	1	PG-13
1723	1	PG-13
1724	1	R
1725	0	<NULL>
1726	1	R
1727	1	R
1728	1	R
1729	1	R
1730	1	R
1731	1	R
1732	1	R
1733	1	Unrated
1734	1	R
1735	1	PG-13
1736	1	PG-13
1737	1	PG-13
1738	1	R
1739	1	PG
1740	1	PG-13
1741	1	PG-13
1742	1	R
1743	1	R
1744	1	PG
1745	1	PG
1746	1	PG-13
1747	1	PG-13
1748	1	PG-13
1749	1	R
1750	1	R
1751	1	R
1752	1	R
1753	1	PG-13
1754	1	PG-13
1755	1	G
1756	1	R
1757	1	PG
1758	1	PG-13
1759	1	PG-13
1760	1	PG-13
1761	1	PG-13
1762	1	R
1763	1	PG-13
1764	1	R
1765	1	R
1766	1	R
1767	1	R
1768	1	R
1769	1	R
1770	1	TV-PG
1771	1	Unrated
1772	1	R
1773	1	PG-13
1774	1	R
1775	1	G
1776	1	R
1777	1	PG
1778	1	R
1779	1	PG-13
1780	1	Unrated
1781	1	R
1782	1	PG-13
1783	1	R
1784	1	R
1785	1	R
1786	1	PG-13
1787	1	R
1788	1	R
1789	1	R
1790	1	PG-13
1791	1	R
1792	1	R
1793	1	PG-13
1794	1	PG-13
1795	1	R
1796	1	PG-13
1797	1	R
1798	1	R
1799	1	R
1800	0	<NULL>
1801	1	R
1802	1	R
1803	1	R
1804	1	PG-13
1805	1	PG-13
1806	1	R
1807	1	PG-13
1808	1	PG-13
1809	1	PG-13
1810	1	R
1811	1	R
1812	1	PG
1813	1	PG-13
1814	1	R
1815	1	PG-13
1816	1	PG-13
1817	0	<NULL>
1818	1	R
1819	1	PG-13
1820	1	Unrated
1821	1	R
1822	1	R
1823	1	R
1824	1	PG
1825	1	PG-13
1826	1	R
1827	1	PG-13
1828	1	R
1829	1	R
1830	1	R
1831	1	R
1832	1	R
1833	1	R
1834	1	R
1835	1	PG-13
1836	1	R
1837	1	R
1838	1	G
1839	1	R
1840	1	R
1841	1	R
1842	1	R
1843	1	R
1844	1	PG-13
1845	1	R
1846	1	PG
1847	1	Approved
1848	1	PG-13
1849	1	R
1850	1	R
1851	1	R
1852	1	R
1853	1	R
1854	1	PG-13
1855	1	PG-13
1856	1	R
1857	1	PG-13
1858	1	R
1859	1	PG-13
1860	1	PG-13
1861	1	R
1862	1	PG
1863	1	PG-13
1864	1	R
1865	1	PG-13
1866	1	R
1867	1	PG
1868	1	PG
1869	1	PG-13
1870	1	R
1871	1	PG-13
1872	1	PG-13
1873	1	R
1874	0	<NULL>
1875	1	Unrated
1876	1	PG-13
1877	1	R
1878	1	PG
1879	1	PG-13
1880	1	PG-13
1881	1	PG-13
1882	1	R
1883	1	PG-13
1884	1	PG-13
1885	1	R
1886	1	R
1887	1	R
1888	1	PG
1889	1	PG-13
1890	1	R
1891	1	R
1892	1	PG
1893	1	R
1894	1	PG-13
1895	1	R
1896	0	<NULL>
1897	1	R
1898	1	PG-13
1899	1	PG
1900	1	PG-13
1901	1	PG-13
1902	1	R
1903	1	R
1904	0	<NULL>
1905	1	R
1906	1	PG-13
1907	1	PG
1908	1	PG-13
1909	1	PG-13
1910	1	Unrated
1911	1	R
1912	1	R
1913	1	R
1914	1	Not Rated
1915	1	R
1916	1	R
1917	1	Not Rated
1918	1	R
1919	1	R
1920	1	PG
1921	1	R
1922	1	PG
1923	1	PG
1924	1	PG
1925	1	R
1926	1	R
1927	1	R
1928	1	R
1929	1	R
1930	1	R
1931	0	<NULL>
1932	1	R
1933	1	PG
1934	1	R
1935	1	Not Rated
1936	1	Unrated
1937	1	NC-17
1938	1	R
1939	1	R
1940	1	PG-13
1941	1	R
1942	1	Unrated
1943	1	R
1944	1	R
1945	1	R
1946	1	PG
1947	1	R
1948	1	R
1949	1	R
1950	1	TV-14
1951	1	R
1952	1	PG
1953	1	TV-MA
1954	1	R
1955	1	Passed
1956	1	PG
1957	1	PG-13
1958	1	PG-13
1959	1	Unrated
1960	1	R
1961	1	R
1962	1	R
1963	1	R
1964	1	PG
1965	1	R
1966	1	R
1967	1	R
1968	1	R
1969	1	R
1970	1	R
1971	1	PG-13
1972	1	Unrated
1973	1	PG
1974	1	R
1975	1	R
1976	1	R
1977	1	R
1978	0	<NULL>
1979	1	R
1980	1	R
1981	1	R
1982	1	Unrated
1983	1	PG
1984	1	R
1985	0	<NULL>
1986	1	R
1987	1	PG-13
1988	1	Unrated
1989	1	R
1990	1	R
1991	1	R
1992	1	PG-13
1993	1	G
1994	1	Not Rated
1995	1	TV-MA
1996	1	Unrated
1997	0	<NULL>
1998	1	R
1999	1	Unrated
