camera	pcnation	model
0208	2	Intova CP9 9 Megapixel Compact Camera-7.10 mm	CP9 Compact Camera
0209	2	Pentax Optio H90 12.1 Megapixel Compact Camera - 5.10 mm-25.50 mm - White	Optio H90 Compact Camera
0210	2	Pentax Optio I-10 12.1 Megapixel Compact Camera - 5.10 mm-25.50 mm - Pearl White	Optio I-10 Compact Camera
0211	2	Pentax Optio I-10 12.1 Megapixel Compact Camera - 5.10 mm-25.50 mm - Black	Optio I-10 Compact Camera
0212	2	Pentax Optio W90 12.1 Megapixel Compact Camera - 5 mm-25 mm - Green	Optio W90 Compact Camera
0213	2	Fujifilm FinePix JV100 12.2 Megapixel Compact Camera - 6.60 mm-19.80 mm - Blue	FinePix JV100 Compact Camera
0214	2	Fujifilm FinePix Z70 12.2 Megapixel Compact Camera - 6.40 mm-32 mm - Black	FinePix Z70 Compact Camera
0215	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Red	FinePix Z700EXR Compact Camera
0216	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Silver	FinePix Z700EXR Compact Camera
0217	2	Fujifilm FinePix Z700EXR 12 Megapixel Compact Camera - 6.40 mm-32 mm - Black	FinePix Z700EXR Compact Camera
0218	2	Fujifilm FinePix XP10 12.2 Megapixel Compact Camera - 6.40 mm-32 mm - Silver	FinePix XP10 Compact Camera
0219	2	Fujifilm FinePix XP10 12.2 Megapixel Compact Camera - 6.40 mm-32 mm - Green	FinePix XP10 Compact Camera
0220	2	Vivitar ViviCam VX029 10.1 Megapixel Compact Camera - Graphite	ViviCam VX029 Compact Camera
0221	2	Vivitar ViviCam V7024 7.1 Megapixel Compact Camera - Strawberry	ViviCam V7024 Compact Camera
0222	2	Olympus FE-47 14 Megapixel Compact Camera - Blue	FE-47 Point & Shoot Digital Still Camera
0223	2	Olympus FE-4020 14 Megapixel Compact Camera - Blue	FE-4020 Compact Camera
0224	2	Olympus Stylus 7030 14 Megapixel Compact Camera - 5 mm-35 mm - Blue	Stylus-7030 Compact Camera
0225	2	Olympus Stylus Tough 6020 14 Megapixel Compact Camera - 5 mm-25 mm - Pink	Stylus Tough 6020 Compact Camera
0226	2	Olympus SP-800UZ 14 Megapixel Compact Camera - 5 mm-150 mm	SP-800UZ Compact Camera
0227	2	Sony Cyber-shot DSC-W310 12.1 Megapixel Compact Camera - 5 mm-20 mm - Black	Cyber-shot DSC-W310 Compact Camera
0228	2	Samsung HZ10W Point & Shoot Digital Camera - Black	HZ10W Compact Camera
0229	2	Canon PowerShot D10 Point & Shoot Digital Camera - Blue	PowerShot D10 Compact Camera
0230	2	Fujifilm FinePix JZ500 14.1 Megapixel Compact Camera - 5 mm-50 mm - Black	FinePix JZ500 Compact Camera
0231	2	Canon PowerShot SD1400 IS 14.1 Megapixel Compact Camera - 5 mm-20 mm - Silver	PowerShot SD1400 IS Compact Camera
0232	2	Canon PowerShot SD1300 IS 12.1 Megapixel Compact Camera - 5 mm-20 mm - Brown	PowerShot SD1300 IS Compact Camera
0233	2	Canon PowerShot A495 10 Megapixel Compact Camera - 6.60 mm-21.60 mm - Silver	PowerShot A495 Compact Camera
