camera	thenerds	model
0199	2	Pentax Optio H90 12.1 Megapixel Compact Camera - 5.10 mm-25.50 mm - Matte Black	Optio H90 Compact Camera
0200	2	Pentax Optio H90 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - White	Optio H90 Compact Camera
0201	2	Pentax Optio I-10 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Optio I-10 Compact Camera
0202	2	Pentax Optio H90 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver, Orange	Optio H90 Compact Camera
0203	2	Kodak EasyShare M530 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Color LCD - Red	EasyShare M530 Compact Camera
0204	2	Panasonic Lumix DMC-FH1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-FH1 Compact Camera
0205	2	Panasonic Lumix DMC-FH1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-FH1 Compact Camera
0206	2	Panasonic Lumix DMC-FH1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Pink	Lumix DMC-FH1 Compact Camera
0207	2	Panasonic Lumix DMC-FH1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-FH1 Compact Camera
0208	2	Panasonic Lumix DMC-FH20 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-FH20 Compact Camera
0209	2	Panasonic Lumix DMC-FH20 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-FH20 Compact Camera
0210	2	Panasonic Lumix DMC-FH20 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Lumix DMC-FH20 Compact Camera
0211	2	Panasonic Lumix DMC-FH20 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-FH20 Compact Camera
0212	2	Panasonic Lumix DMC-FH20 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Violet	Lumix DMC-FH20 Compact Camera
0213	2	Panasonic Lumix DMC-FH3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-FH3 Compact Camera
0214	2	Panasonic Lumix DMC-FH3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-FH3 Compact Camera
0215	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-FP1 Compact Camera
0216	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Orange	Lumix DMC-FP1 Compact Camera
0217	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Green	Lumix DMC-FP1 Compact Camera
0218	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Pink	Lumix DMC-FP1 Compact Camera
0219	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Lumix DMC-FP1 Compact Camera
0220	2	Panasonic Lumix DMC-FP1 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-FP1 Compact Camera
0221	2	Panasonic Lumix DMC-FP3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; LCD - Blue	Lumix DMC-FP3 Compact Camera
0222	2	Panasonic Lumix DMC-FP3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; LCD - Black	Lumix DMC-FP3 Compact Camera
0223	2	Panasonic Lumix DMC-FP3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; LCD - Red	Lumix DMC-FP3 Compact Camera
0224	2	Panasonic Lumix DMC-FP3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; LCD - Silver	Lumix DMC-FP3 Compact Camera
0225	2	Panasonic Lumix DMC-TS2 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-TS2 Compact Camera
0226	2	Panasonic Lumix DMC-TS2 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Orange	Lumix DMC-TS2 Compact Camera
0227	2	Panasonic Lumix DMC-TS2 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-TS2 Compact Camera
0228	2	Panasonic Lumix DMC-TS2 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Yellow	Lumix DMC-TS2 Compact Camera
0229	2	Panasonic Lumix DMC-ZR3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-ZR3 Compact Camera
0230	2	Panasonic Lumix DMC-ZR3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-ZR3 Compact Camera
0231	2	Panasonic Lumix DMC-ZR3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Lumix DMC-ZR3 Compact Camera
0232	2	Panasonic Lumix DMC-ZR3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-ZR3 Compact Camera
0233	2	Panasonic Lumix DMC-ZS5 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-ZS5 Compact Camera
0234	2	Panasonic Lumix DMC-ZS5 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-ZS5 Compact Camera
0235	2	Panasonic Lumix DMC-ZS7 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Blue	Lumix DMC-ZS7 Compact Camera
0236	2	Panasonic Lumix DMC-ZS7 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-ZS7 Compact Camera
0237	2	Panasonic Lumix DMC-ZS7 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Silver	Lumix DMC-ZS7 Compact Camera
0238	2	Panasonic Lumix DMC-F2 Point &amp; Shoot Digital Camera - 10.1 Megapixel - 2.50&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-F2 Compact Camera
0239	2	Panasonic Lumix DMC-F3 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-F3 Compact Camera
0240	2	Pentax Optio W90 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Green	Optio W90 Compact Camera
0241	2	Pentax Optio W90 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Optio W90 Compact Camera
0242	2	Fujifilm FinePix F80EXR Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	FinePix F80EXR Compact Camera
0243	2	Fujifilm FinePix Z700EXR Point &amp; Shoot Digital Camera - 12 Megapixel - 3.50&quot; Color LCD - Red	FinePix Z700EXR Compact Camera
0244	2	Fujifilm FinePix Z700EXR Point &amp; Shoot Digital Camera - 12 Megapixel - 3.50&quot; Color LCD - Silver	FinePix Z700EXR Compact Camera
0245	2	Fujifilm FinePix Z700EXR Point &amp; Shoot Digital Camera - 12 Megapixel - 3.50&quot; Color LCD - Black	FinePix Z700EXR Compact Camera
0246	2	Fujifilm FinePix JZ300 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Color LCD - Silver	FinePix JZ300 Compact Camera
0247	2	Fujifilm FinePix JV100 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Color LCD - Black	FinePix JV100 Compact Camera
0248	2	Fujifilm FinePix AV100 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Color LCD - Silver	FinePix AV100 Compact Camera
0249	2	Fujifilm FinePix AX200 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	FinePix AX200 Compact Camera
0250	2	Fujifilm FinePix Z70 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	FinePix Z70 Compact Camera
0251	2	Fujifilm FinePix Z70 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	FinePix Z70 Compact Camera
0252	2	Fujifilm FinePix Z70 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	FinePix Z70 Compact Camera
0253	2	Fujifilm FinePix Z70 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Raspberry Red	FinePix Z70 Compact Camera
0254	2	Fujifilm FinePix XP10 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	FinePix XP10 Compact Camera
0255	2	Fujifilm FinePix XP10 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.7&quot; Active Matrix TFT Color LCD - Black	FinePix XP10 Compact Camera
0256	2	Nikon Coolpix P100 Point &amp; Shoot Digital Camera - 10.3 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	Coolpix P100 Compact Camera
0257	2	Nikon Coolpix S6000 Point &amp; Shoot Digital Camera - 14.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Coolpix S6000 Compact Camera
0258	2	Nikon Coolpix S4000 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Silver	Coolpix S4000 Compact Camera
0259	2	Nikon Coolpix S4000 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	Coolpix S4000 Compact Camera
0260	2	Nikon Coolpix S4000 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Touchscreen: Yes - Red	Coolpix S4000 Compact Camera
0261	2	Nikon Coolpix S4000 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Plum	Coolpix S4000 Compact Camera
0262	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Plum	Coolpix S3000 Compact Camera
0263	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Coolpix S3000 Compact Camera
0264	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Green	Coolpix S3000 Compact Camera
0265	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Blue	Coolpix S3000 Compact Camera
0266	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Orange	Coolpix S3000 Compact Camera
0267	2	Nikon Coolpix S3000 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	Coolpix S3000 Compact Camera
0268	2	Nikon Coolpix L22 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Red	Coolpix L22 Compact Camera
0269	2	Nikon Coolpix L22 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Blue	Coolpix L22 Compact Camera
0270	2	Nikon Coolpix L22 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	Coolpix L22 Compact Camera
0271	2	Nikon Coolpix L22 Point &amp; Shoot Digital Camera - 12 Megapixel - 3&quot; Active Matrix TFT Color LCD - Champagne Silver	Coolpix L22 Compact Camera
0272	2	Fujifilm FinePix AX200 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	FinePix AX200 Compact Camera
0273	2	Fujifilm FinePix JV100 Point &amp; Shoot Digital Camera - 12.2 Megapixel - 2.70&quot; Color LCD - Blue	FinePix JV100 Compact Camera
0274	2	Fujifilm FinePix JZ300 Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Color LCD - Black	FinePix JZ300 Compact Camera
0275	2	Canon PowerShot SD1400 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	PowerShot SD1400 IS Compact Camera
0276	2	Canon PowerShot SD1300 IS Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Pink	PowerShot SD1300 IS Compact Camera
0277	2	Canon PowerShot SD1400 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	PowerShot SD1400 IS Compact Camera
0278	2	Canon PowerShot SD1400 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Pink	PowerShot SD1400 IS Compact Camera
0279	2	Canon PowerShot SD1400 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Orange	PowerShot SD1400 IS Compact Camera
0280	2	Canon PowerShot SX210 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Purple	PowerShot SX210 IS Compact Camera
0281	2	Canon PowerShot SD1300 IS Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	PowerShot SD1300 IS Compact Camera
0282	2	Canon PowerShot SD1300 IS Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Green	PowerShot SD1300 IS Compact Camera
0283	2	Canon PowerShot SD1300 IS Point &amp; Shoot Digital Camera - 12.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Brown	PowerShot SD1300 IS Compact Camera
0284	2	Canon PowerShot SX210 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	PowerShot SX210 IS Compact Camera
0285	2	Canon PowerShot SD3500 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3.50&quot; Color LCD - Pink	PowerShot SD3500 IS Compact Camera
0286	2	Canon PowerShot SD3500 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3.50&quot; Color LCD - Silver	PowerShot SD3500 IS Compact Camera
0287	2	Canon PowerShot SD3500 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3.50&quot; Color LCD - Black	PowerShot SD3500 IS Compact Camera
0288	2	Canon PowerShot SX210 IS Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Gold	PowerShot SX210 IS Compact Camera
0289	2	Panasonic Lumix DMC-FH3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	Lumix DMC-FH3 Compact Camera
0290	2	Panasonic Lumix DMC-FH3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Pink	Lumix DMC-FH3 Compact Camera
0291	2	Panasonic Lumix DMC-FH3 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	Lumix DMC-FH3 Compact Camera
0292	2	Kodak SLICE Point &amp; Shoot Digital Camera - 14 Megapixel - 3.5&quot; Color LCD - Touchscreen: Yes - Black	SLICE Compact Camera
0293	2	Kodak SLICE Point &amp; Shoot Digital Camera - 14 Megapixel - 3.5&quot; Color LCD - Touchscreen: Yes - Nickel	SLICE Compact Camera
0294	2	Kodak SLICE Point &amp; Shoot Digital Camera - 14 Megapixel - 3.5&quot; Color LCD - Touchscreen: Yes - Radish	SLICE Compact Camera
0295	2	Sony Cyber-shot DSC-H55 14.1 Megapixel Compact Camera - 4.25 mm-42.50 mm - Silver	Cyber-shot DSC-H55 Compact Camera
0296	2	Polaroid i1237 Point &amp; Shoot Digital Camera - 12 Megapixel - 2.7&quot; Active Matrix TFT Color LCD - Silver	i1237 Compact Camera
0297	2	GE A1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Red	A1455 Compact Camera
0298	2	GE A1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Silver	A1455 Compact Camera
0299	2	GE A1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 2.70&quot; Active Matrix TFT Color LCD - Black	A1455 Compact Camera
0300	2	GE E1480W Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Red	E1480W Compact Camera
0301	2	GE E1480W Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Silver	E1480W Compact Camera
0302	2	GE E1480W Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	E1480W Compact Camera
0303	2	GE J1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Black	J1455 Compact Camera
0304	2	GE J1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Silver	J1455 Compact Camera
0305	2	GE J1455 Point &amp; Shoot Digital Camera - 14.1 Megapixel - 3&quot; Active Matrix TFT Color LCD - Red	J1455 Compact Camera
0306	2	GE C1033 Point &amp; Shoot Digital Camera - 10.1 Megapixel - 2.40&quot; Active Matrix TFT Color LCD - Black	C1033 Compact Camera
0307	2	GE C1033 Point &amp; Shoot Digital Camera - 10.1 Megapixel - 2.40&quot; Active Matrix TFT Color LCD - Red	C1033 Compact Camera
0308	2	GE C1033 Point &amp; Shoot Digital Camera - 10.1 Megapixel - 2.40&quot; Active Matrix TFT Color LCD - Silver	C1033 Compact Camera
