camera	newegg	model
0208	1	SONY Cyber-shot DSC-W330 Red 14.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera Kit with Red Case and 2GB Memory Stick
0209	1	CASIO EXILIM EX-S12 Pink 12.1 MP 2.7&#34; 230K LCD 3X Optical Zoom Digital Camera
0210	1	CASIO EXILIM EX-S12 Green 12.1 MP 2.7&#34; 230K LCD 3X Optical Zoom Digital Camera
0211	1	SAMSUNG DualView TL220 Black&#47;Blue 12.2 MP 3.0&#34; 230K Full Touch &#43; 1.5&#34; 61K LCD 4.6X Optical Zoom 27mm Wide Angle Digital Camera
0212	1	Nikon COOLPIX S8000 Black 14.2 MP 3.0&#34; 921K Anti-reflection Coating LCD 10X Optical Zoom Digital Camera
0213	1	Canon PowerShot A3100 IS Red 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom Digital Camera
0214	1	Panasonic LUMIX DMC-FH20 Black 14 MP 2.7&#34; 230K LCD 8X Optical Zoom 28mm Wide Angle Digital Camera
0215	1	Canon PowerShot SD940 IS Black 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom 28mm Wide Angle Digital Camera
0216	1	Panasonic LUMIX DMC-FP1 Orange 12.1 MP 2.7&#34; 230K LCD 4X Optical Zoom Digital Camera
0217	1	FUJIFILM 7025227 Green Waterproof Shockproof QuickSnap 35mm Disposable Camera
0218	1	Nikon COOLPIX S4000 Red 12.0 MP 3.0&#34; 460K Anti-reflection Coating Touch LCD 4X Optical Zoom 27mm Wide Angle Digital Camera
0219	1	CASIO EXILIM EX-Z550 Red 14 MP 2.7&#34; 230K LCD 4X Optical Zoom 26mm Wide Angle Digital Camera
