restaurant	opentable	cuisine
0905	1	: Mediterranean, Italian
0906	1	: American, Comfort Food
0907	1	: American
0908	1	: French
0909	1	: Mediterranean
0910	1	: Organic, American, Californian
0911	1	: Chinese, Asian
0912	1	: Californian, Italian
0913	1	: American, Brewery
0914	1	: Steakhouse, Steak
0915	1	: Japanese
0916	1	: Korean, Asian
0917	1	: Chinese, Comfort Food, Organic
0918	1	: Mexican / Southwestern
0919	1	: Californian
0920	1	: Californian, Comfort Food
0921	1	: Californian, Mediterranean, American
0922	1	: Indian
0923	1	: French, Continental
0924	1	: Steak, Seafood, American
0925	1	: Californian, American
0926	1	: Californian, American
0927	1	: Steakhouse, Contemporary American
0928	1	: Latin / Spanish, Tapas / Small Plates
0929	1	: American, Steak, Seafood
0930	1	: Kosher, Californian, Vegetarian
0931	1	: Thai, Vegetarian
0932	1	: Mediterranean, Greek, Contemporary European
0933	1	: Italian
0934	1	: Italian, Seafood, European
0935	1	: French, Provencal
0936	1	: Italian
0937	1	: Italian
0938	1	: Italian, Mediterranean
0939	1	: Mediterranean, Portuguese
0940	1	: American
0941	1	: Mediterranean
0942	1	: American, Steak
0943	1	: French
0944	1	: French
0945	1	: Fusion / Eclectic, Global, International
0946	1	: American
0947	1	: French
0948	1	: Italian
0949	1	: Contemporary American, French
0950	1	: Mediterranean
0951	1	: Italian, Seafood
0952	1	: Mexican
0953	1	: Steakhouse
0954	1	: Moroccan
0955	1	: Greek, Tapas / Small Plates, Steak
0956	1	: Italian
0957	1	: Vegetarian
0958	1	: Indian
0959	1	: Caribbean, Cajun, Californian
0960	1	: Californian, Contemporary American
0961	1	: Japanese, Sushi
0962	1	: American, Wild Game
0963	1	: Asian, Fusion / Eclectic
0964	1	: American
0965	1	: Californian, Contemporary American
0966	1	: Indian, Vegetarian
0967	1	: Comfort Food, American
0968	1	: Seafood, Sushi, Hawaiian
0969	1	: Italian
0970	1	: European, Mediterranean, American
0971	1	: American, Comfort Food
0972	1	: French
0973	1	: American
0974	1	: Italian
0975	1	: Asian
0976	1	: French, Californian
0977	1	: American, Comfort Food
0978	1	: Contemporary American
0979	1	: Contemporary American, Seafood
0980	1	: American, Californian
0981	1	: American
0982	1	: American, Californian
0983	1	: Indian
0984	1	: Contemporary American, American
0985	1	: French, Californian
0986	1	: Fusion / Eclectic, Mediterranean, American
0987	1	: Global, International
0988	1	: Japanese, Sushi
0989	1	: American, Californian
0990	1	: Steak
0991	1	: Mediterranean
0992	1	: Italian
0993	1	: Greek, Mediterranean
0994	1	: Chinese
0995	1	: Seafood, Steak, American
0996	1	: Continental, Steakhouse, Seafood
0997	1	: Contemporary American, Comfort Food
0998	1	: Steak, American
0999	1	: Asian, Pan-Asian
1000	1	: Californian, Asian
1001	1	: Sushi, Japanese
1002	1	: Japanese, Sushi
1003	1	: Vietnamese, Asian
1004	1	: Indian
1005	1	: Contemporary American, Californian
1006	1	: Thai, Southeast Asian
1007	1	: Contemporary American, Californian
1008	1	: Italian
1009	1	: Mediterranean, Turkish, Greek
1010	1	: Italian, Mediterranean
1011	1	: Asian, Pan-Asian
1012	1	: Californian, American, Contemporary American
1013	1	: Contemporary American, Comfort Food
1014	1	: Italian, European
1015	1	: Turkish, Mediterranean, Middle Eastern
1016	1	: Contemporary French, American
1017	1	: Asian, Vietnamese
1018	1	: American
1019	1	: Gastro Pub
1020	1	: Italian, Mediterranean
1021	1	: Italian
1022	1	: Californian
1023	1	: American, Mediterranean
1024	1	: Seafood, American
1025	1	: Seafood, American
1026	1	: Japanese
1027	1	: Sushi, Japanese
1028	1	: Sushi, Japanese, Asian
1029	1	: American, Contemporary American
1030	1	: Mediterranean
1031	1	: Mediterranean, Contemporary European
1032	1	: American, Southwest, Global, International
1033	1	: Fusion / Eclectic, Continental, French
1034	1	: Eurasian, Tapas / Small Plates
1035	1	: Spanish, Moroccan
1036	1	: Contemporary American
1037	1	: Contemporary American, American, French
1038	1	: Mexican / Southwestern, Creole, Cajun
1039	1	: Contemporary American, Mediterranean
1040	1	: American, French
1041	1	: Contemporary American
1042	1	: Italian
1043	1	: American, Contemporary American
1044	1	: Creole / Cajun / Southern, American
1045	1	: Steakhouse
1046	1	: Japanese, Sushi, Seafood
1047	1	: Southern, American, Comfort Food
1048	1	: Contemporary American, Gastro Pub
1049	1	: Steak, Seafood, American
1050	1	: French, Japanese, Sushi
1051	1	: Contemporary American, Mediterranean
1052	1	: Italian
1053	1	: Spanish, Mediterranean, European
1054	1	: American, Organic
1055	1	: American
1056	1	: American
1057	1	: Steak, American
1058	1	: Italian
1059	1	: Contemporary American
1060	1	: Organic, Continental
1061	1	: Italian
1062	1	: Seafood, Steak, American
1063	1	: Seafood, Steak
1064	1	: Steak, Seafood, American
1065	1	: French, American
1066	1	: Contemporary American, Continental
1067	1	: Steak, Seafood, American
1068	1	: American, Steakhouse
1069	1	: Argentinean, Steakhouse, International
1070	1	: Contemporary American, Californian
1071	1	: Contemporary American, Fusion / Eclectic
1072	1	: Italian
1073	1	: Contemporary American, Comfort Food
1074	1	: Steak, Italian
1075	1	: Steak, Steakhouse
1076	1	: Steakhouse, Creole / Cajun / Southern
1077	1	: Southern, Creole
1078	1	: American, Steak
1079	1	: Italian
1080	1	: American
1081	1	: Italian
1082	1	: Italian, Fusion / Eclectic
1083	1	: American, Southwest
1084	1	: American, Steakhouse, Seafood
1085	1	: Steak, American
1086	1	: Italian
1087	1	: Latin American, Mexican / Southwestern
1088	1	: Mexican
1089	1	: Steakhouse, Seafood, American
1090	1	: Contemporary American
1091	1	: Indian
1092	1	: Contemporary American
1093	1	: American, Steak, Seafood
1094	1	: American, Contemporary American, Steakhouse
1095	1	: Global, International, Asian
1096	1	: American, Fusion / Eclectic, Sushi
1097	1	: American
1098	1	: American
1099	1	: American, Persian, International
1100	1	: American
1101	1	: American, Mediterranean
1102	1	: American, Steak
1103	1	: Global, International, Vegetarian
1104	1	: American, Comfort Food
1105	1	: American
1106	1	: Steak, Seafood
1107	1	: Steakhouse, Cajun, Barbecue
1108	1	: American
1109	1	: Continental, Mediterranean
1110	1	: American, Barbecue
1111	1	: Seafood, Steak
1112	1	: Fondue
1113	1	: American, Steak
1114	1	: Contemporary American
1115	1	: Seafood, Steak
1116	1	: Indian, Contemporary American, Vegetarian
1117	1	: Steakhouse, Seafood
1118	1	: Steak, Seafood, American
1119	1	: American
1120	1	: International, Comfort Food
1121	1	: Italian
1122	1	: Barbecue, American
1123	1	: Global, International, Tapas / Small Plates, Organic
1124	1	: Sushi, Japanese, Bar / Lounge / Bottle Service
1125	1	: American
1126	1	: Spanish, Tapas / Small Plates
1127	1	: Tapas / Small Plates, Mediterranean
1128	1	: Japanese, Asian
1129	1	: Contemporary American
1130	1	: Cuban, Caribbean
1131	1	: Contemporary American, French
1132	1	: Contemporary French, American
1133	1	: Contemporary American
1134	1	: American, Steak, Seafood
1135	1	: Italian, American
1136	1	: Contemporary American, American
1137	1	: Brazilian Steakhouse, Steakhouse, Brazilian
1138	1	: Comfort Food, American
1139	1	: Seafood, Steak, American
1140	1	: Mexican / Southwestern, American
1141	1	: Global, International, Contemporary American
1142	1	: Californian, Italian
1143	1	: Asian, Fusion / Eclectic
1144	1	: Italian, Steak
1145	1	: Continental, Contemporary American
1146	1	: Indian
1147	1	: French, Italian
1148	1	: Italian, Mediterranean
1149	1	: Seafood, Steak
1150	1	: Tapas / Small Plates, Contemporary American, Spanish
1151	1	: Tapas / Small Plates, Fusion / Eclectic
1152	1	: American, French
1153	1	: Steakhouse, American
1154	1	: Gastro Pub, Contemporary American
1155	1	: Mediterranean, Italian
1156	1	: American
1157	1	: American
1158	1	: Latin American, Mexican / Southwestern
1159	1	: Brazilian
1160	1	: Contemporary American, Contemporary French
1161	1	: Afternoon Tea
1162	1	: Contemporary American, Steakhouse, Seafood
1163	1	: German, American
1164	1	: Contemporary American, American
1165	1	: Contemporary American
1166	1	: Spanish, Latin / Spanish
1167	1	: American, Vegetarian
1168	1	: American
1169	1	: Contemporary American
1170	1	: Global, International, Contemporary American
1171	1	: Contemporary American, Comfort Food
1172	1	: American, Steakhouse
1173	1	: Steak, Steakhouse
1174	1	: Californian, Contemporary American, Organic
1175	1	: American, Steak, Seafood
1176	1	: American
1177	1	: Wild Game, Contemporary American, Steak
1178	1	: Steakhouse, Seafood
1179	1	: Tapas / Small Plates, Global, International
1180	1	: Contemporary American
1181	1	: American
1182	1	: Steakhouse, Steak, Seafood
1183	1	: Italian
1184	1	: Comfort Food, American
1185	1	: Italian, European
1186	1	: American, Contemporary American, Continental
1187	1	: Contemporary American, Seafood
1188	1	: Italian
1189	1	: Contemporary American
1190	1	: American, Comfort Food
1191	1	: Contemporary American, Seafood
1192	1	: American, Organic
1193	1	: American, Contemporary American
1194	1	: Contemporary American, Sushi
1195	1	: French, Continental
1196	1	: Italian, Mediterranean, Sicilian
1197	1	: Mexican / Southwestern, Latin American
1198	1	: Italian, American
1199	1	: Contemporary American, Global, International
1200	1	: Provencal, French
1201	1	: Seafood, Steak, American
1202	1	: Seafood, Steak, American
1203	1	: American, Steak, Seafood
1204	1	: Steak, American
1205	1	: Mediterranean
1206	1	: Contemporary American, Fusion / Eclectic
1207	1	: German, International
1208	1	: American, Steakhouse
1209	1	: American, Brewery
1210	1	: Mexican, Latin / Spanish
1211	1	: American, Global, International, Vegetarian
1212	1	: Italian
1213	1	: Steakhouse, American
1214	1	: Contemporary American, Fusion / Eclectic
1215	1	: Steakhouse, Seafood, American
1216	1	: American
1217	1	: Mexican / Southwestern, American
1218	1	: American
1219	1	: Italian
1220	1	: Contemporary American
1221	1	: Italian
1222	1	: American
1223	1	: Italian
1224	1	: Steak, Seafood
1225	1	: Italian
1226	1	: Global, International, American
1227	1	: Steakhouse, Seafood
1228	1	: Italian
1229	1	: Contemporary American, Organic
1230	1	: Continental, American
1231	1	: Italian, Mediterranean
1232	1	: Italian
1233	1	: American, Contemporary American
1234	1	: Southwest
1235	1	: Steakhouse
1236	1	: Brazilian Steakhouse, Steak, International
1237	1	: Contemporary American
1238	1	: Italian, Mediterranean
1239	1	: Steakhouse
1240	1	: Contemporary American, Contemporary French
1241	1	: Contemporary American
1242	1	: Contemporary American
1243	1	: Cajun, American
1244	1	: Steakhouse
1245	1	: American, Mediterranean
1246	1	: Continental, Southwest
1247	1	: Steak, American
1248	1	: Steak, American
1249	1	: Southwest
1250	1	: Comfort Food, American
1251	1	: American, Southwest
1252	1	: Greek, Mediterranean
1253	1	: Contemporary American
1254	1	: Spanish
1255	1	: American, Southwest
1256	1	: Mexican, Mexican / Southwestern
1257	1	: Italian, Seafood
1258	1	: American
1259	1	: Steakhouse, Seafood
1260	1	: Seafood, Steak, American
1261	1	: American, Steak
1262	1	: American, Southwest
1263	1	: Steakhouse, Seafood
1264	1	: Italian
1265	1	: Japanese, Sushi, Steak
1266	1	: American, Mexican / Southwestern
1267	1	: Mexican / Southwestern
1268	1	: Steakhouse, American
1269	1	: Steak, Seafood
1270	1	: Mediterranean
1271	1	: Contemporary American
1272	1	: American, Steak
1273	1	: Seafood
1274	1	: French, Seafood
1275	1	: American, Seafood
1276	1	: American
1277	1	: Steak, American
1278	1	: Greek, Indian
1279	1	: Seafood, Steak
1280	1	: Contemporary American, American, Tapas / Small Plates
1281	1	: Mediterranean, American, Middle Eastern
1282	1	: Latin American, Caribbean, South American
1283	1	: Global, International, Seafood
1284	1	: Sushi, Asian
1285	1	: Brazilian, Global, International, Seafood
1286	1	: Contemporary American
1287	1	: Contemporary American, American
1288	1	: Contemporary American, Comfort Food
1289	1	: Steak, Contemporary American, Seafood
1290	1	: Contemporary American, Californian
1291	1	: Contemporary American, Organic
1292	1	: Californian, Mediterranean
1293	1	: Italian
1294	1	: Steak, Seafood, American
1295	1	: Californian, Contemporary American
1296	1	: Contemporary American, Contemporary French
1297	1	: Southeast Asian, Asian
1298	1	: French, Mediterranean
1299	1	: French, Californian, Fusion / Eclectic
1300	1	: Steakhouse, American
1301	1	: Contemporary American, Comfort Food
1302	1	: Contemporary American, American, Californian
1303	1	: Barbecue, Fusion / Eclectic
1304	1	: Mexican, Latin American, Mexican / Southwestern
1305	1	: Californian, Contemporary American
1306	1	: Italian
1307	1	: American, Steakhouse
1308	1	: Italian
1309	1	: American, Californian
1310	1	: American, European, French
1311	1	: Californian, French
1312	1	: French
1313	1	: French, Mediterranean
1314	1	: French, European
1315	1	: Tapas / Small Plates, International, Latin / Spanish
1316	1	: Latin American, Sushi, Asian
1317	1	: Seafood, Steak
1318	1	: Mexican / Southwestern
1319	1	: Contemporary American, American
1320	1	: Mexican, Fusion / Eclectic
1321	1	: Steakhouse, Seafood
1322	1	: Steak, Seafood
1323	1	: Mediterranean, Californian
1324	1	: Mexican, Mexican / Southwestern
1325	1	: Thai
1326	1	: Steak, Seafood
1327	1	: Seafood, Steak
1328	1	: Seafood, Steak
1329	1	: Seafood, Steak
1330	1	: Californian, American
1331	1	: French
1332	1	: Fusion / Eclectic
1333	1	: Californian
1334	1	: Fusion / Eclectic, Contemporary American
1335	1	: Steak, American
1336	1	: American, Steak
1337	1	: Persian
1338	1	: Middle Eastern, Persian
1339	1	: American, Comfort Food
1340	1	: Californian, French
1341	1	: Italian
1342	1	: Latin American, Italian
1343	1	: Spanish, Tapas / Small Plates
1344	1	: Seafood
1345	1	: Thai, Asian
1346	1	: Italian
1347	1	: American, Contemporary American
1348	1	: Continental, Californian
1349	1	: American, Steak
1350	1	: French, Italian, American
1351	1	: Italian
1352	1	: Mexican
1353	1	: Mexican
1354	1	: Greek, Mediterranean
1355	1	: Seafood, American
1356	1	: Japanese, Californian
1357	1	: French, Contemporary French
1358	1	: Greek, Continental, American
1359	1	: French, Californian
1360	1	: Barbecue, Comfort Food
1361	1	: Japanese, Barbecue, Tapas / Small Plates
1362	1	: French
1363	1	: Californian, Contemporary American
1364	1	: Sushi, Fusion / Eclectic
1365	1	: Japanese, Asian
1366	1	: American, Comfort Food
1367	1	: Californian, Seafood
1368	1	: Seafood, Steak
1369	1	: Contemporary American
1370	1	: Italian, Seafood
1371	1	: Italian
1372	1	: Italian, Seafood
1373	1	: Italian, Seafood
1374	1	: Indian
1375	1	: Japanese, Sushi, Asian
1376	1	: Californian, Steak, Seafood
1377	1	: Japanese, Sushi
1378	1	: Japanese, Sushi
1379	1	: Seafood, Steak, American
1380	1	: Japanese
1381	1	: Tapas / Small Plates, Mediterranean
1382	1	: Mexican
1383	1	: Steakhouse, Seafood
1384	1	: Mexican, Seafood
1385	1	: Contemporary American, Californian
1386	1	: Italian
1387	1	: American
1388	1	: Contemporary American
1389	1	: American, Bar / Lounge / Bottle Service
1390	1	: French, Japanese
1391	1	: French
1392	1	: Italian
1393	1	: Californian, American
1394	1	: Steakhouse, Seafood
1395	1	: Seafood, Steak, American
1396	1	: Seafood, Steak, American
1397	1	: Fondue, Dessert
1398	1	: Fondue
1399	1	: Mediterranean, Greek
1400	1	: Californian, Seafood, American
1401	1	: American, Californian, Fusion / Eclectic
1402	1	: American, Steak, Comfort Food
1403	1	: Californian
1404	1	: Californian, Barbecue
1405	1	: American, Californian
1406	1	: Italian, Mediterranean
1407	1	: Italian
1408	1	: Steakhouse, Seafood, American
1409	1	: American
1410	1	: Italian
1411	1	: Seafood, American
1412	1	: American
1413	1	: American, Californian
1414	1	: French, American
1415	1	: Chinese, Asian
1416	1	: American, Steak
1417	1	: International, Continental
1418	1	: Contemporary American
1419	1	: Pan-Asian, American
1420	1	: Californian
1421	1	: Contemporary American
1422	1	: French, Southwest
1423	1	: Seafood, Steak
1424	1	: Seafood, Steak
1425	1	: Californian, Contemporary American
1426	1	: Steak, Seafood, American
1427	1	: American, Wild Game, Contemporary American
1428	1	: French
1429	1	: American, Steak, Seafood
1430	1	: American, Steakhouse, Seafood
1431	1	: Global, International
1432	1	: Contemporary American, Organic
1433	1	: Contemporary American
1434	1	: American, Contemporary American
1435	1	: Steakhouse, Irish, American
1436	1	: American, Steakhouse, Seafood
1437	1	: American, Continental
1438	1	: European, Italian
1439	1	: Greek
1440	1	: Californian, Tapas / Small Plates
1441	1	: American
1442	1	: American
1443	1	: Steakhouse, Contemporary American
1444	1	: American, Californian, European
1445	1	: Steak, Seafood
1446	1	: Italian, Californian
1447	1	: American, Californian
1448	1	: Steakhouse
1449	1	: Californian, Contemporary American
1450	1	: Japanese, Sushi, Asian
1451	1	: American, Contemporary American
1452	1	: Contemporary American
1453	1	: American
1454	1	: Italian, Mediterranean, Seafood
1455	1	: Mediterranean, Continental
1456	1	: Italian
1457	1	: Steakhouse, American
1458	1	: American, Californian
1459	1	: Contemporary American, International
1460	1	: Californian, Contemporary American
1461	1	: Asian, Sushi
1462	1	: Korean, Asian
1463	1	: Chinese, Asian
1464	1	: Asian, Japanese, Sushi
1465	1	: Californian, Gastro Pub
1466	1	: Chinese
1467	1	: Italian, American, Californian
1468	1	: Steakhouse, Italian, Seafood
1469	1	: American, European, Comfort Food
1470	1	: American, Steak, Seafood
1471	1	: American, Comfort Food
1472	1	: Steak, American
1473	1	: Seafood, American
1474	1	: Contemporary American, Contemporary French
1475	1	: Seafood, Steak
1476	1	: Contemporary American, Fusion / Eclectic
1477	1	: Pan-Asian
1478	1	: Californian, Global, International
1479	1	: Contemporary American
1480	1	: Pan-Asian, Latin American, Tapas / Small Plates
1481	1	: Contemporary American, Global, International
1482	1	: Contemporary American, Southern
1483	1	: Italian
1484	1	: Sushi, French
1485	1	: Italian
1486	1	: Northwest, Steak, Seafood
1487	1	: Mediterranean, Italian
1488	1	: Steakhouse
1489	1	: Contemporary American
1490	1	: Italian, European
1491	1	: Seafood
1492	1	: Italian
1493	1	: French, European
1494	1	: Contemporary American, Seafood
1495	1	: Contemporary American
1496	1	: American
1497	1	: Contemporary American
1498	1	: French, American
1499	1	: American, Comfort Food
1500	1	: Mediterranean, Italian
1501	1	: Steakhouse, Comfort Food, Latin / Spanish
1502	1	: Contemporary American
1503	1	: Contemporary American, Seafood
1504	1	: Tapas / Small Plates
1505	1	: Seafood, American
1506	1	: Italian
1507	1	: American, Seafood, Steak
1508	1	: French
1509	1	: American, European
1510	1	: Contemporary American, Modern European, Italian
1511	1	: French, American
1512	1	: American
1513	1	: Seafood, Contemporary American
1514	1	: Contemporary American, Steak
1515	1	: American, Contemporary American, Seafood
1516	1	: Contemporary American, Comfort Food
1517	1	: Italian
1518	1	: Seafood, Steak
1519	1	: American
1520	1	: Contemporary American, Comfort Food
1521	1	: Mexican / Southwestern, Contemporary American
1522	1	: Contemporary American
1523	1	: Italian, Steak, Seafood
1524	1	: Seafood, American
1525	1	: American
1526	1	: Italian, Seafood
1527	1	: Italian, Mediterranean
1528	1	: French, Provencal, American
1529	1	: American
1530	1	: Tapas / Small Plates, American
1531	1	: Steak, American
1532	1	: Comfort Food, Barbecue
1533	1	: Japanese
1534	1	: Italian
1535	1	: American, Seafood
1536	1	: Contemporary American, Seafood, Steak
1537	1	: Contemporary American, Seafood
1538	1	: Italian
1539	1	: American, Steakhouse
1540	1	: American
1541	1	: Italian
1542	1	: American
1543	1	: Brewery, Comfort Food
1544	1	: Contemporary American, Italian, Seafood
1545	1	: Indian
1546	1	: Contemporary American, Fusion / Eclectic
1547	1	: Italian, European
1548	1	: French
1549	1	: Contemporary American
1550	1	: Seafood
1551	1	: Seafood
1552	1	: Seafood
1553	1	: French
1554	1	: Contemporary American, Contemporary French
1555	1	: Tapas / Small Plates, American
1556	1	: American, Seafood
1557	1	: Italian, Seafood, Steak
1558	1	: American
1559	1	: Contemporary French, Continental
1560	1	: Comfort Food, Contemporary American
1561	1	: Southwest
1562	1	: Contemporary American, Latin / Spanish
1563	1	: Seafood, Steak, American
1564	1	: Mediterranean
1565	1	: Contemporary European
1566	1	: Steakhouse, Contemporary American, Seafood
1567	1	: Seafood, Contemporary American
1568	1	: Steak, Seafood, American
1569	1	: Asian
1570	1	: Italian
1571	1	: Contemporary American, Continental
1572	1	: Seafood, Steakhouse
1573	1	: Sushi, Japanese
1574	1	: Italian
1575	1	: Italian, American
1576	1	: American
1577	1	: Contemporary American, French
1578	1	: Italian, Mediterranean
1579	1	: Italian
1580	1	: French
1581	1	: Contemporary American, Seafood
1582	1	: Comfort Food, American
1583	1	: Indian, Asian
1584	1	: European, Mediterranean
1585	1	: Contemporary American
1586	1	: Contemporary American, Seafood
1587	1	: Mediterranean
1588	1	: Italian
1589	1	: Italian, Mediterranean
1590	1	: Contemporary American
1591	1	: Italian, Mediterranean
1592	1	: European, Modern European, Belgian
1593	1	: American, Seafood
1594	1	: Contemporary American
1595	1	: French, Provencal
1596	1	: French, Provencal
1597	1	: American, Steakhouse
1598	1	: Seafood
1599	1	: Contemporary American
1600	1	: Italian, Mediterranean
1601	1	: American, Contemporary American
1602	1	: Italian
1603	1	: Italian
1604	1	: Continental, Contemporary American
1605	1	: Seafood, Comfort Food
1606	1	: Contemporary American, Fusion / Eclectic
1607	1	: American, Comfort Food
1608	1	: Steakhouse, American, Sushi
1609	1	: Contemporary American
1610	1	: Italian
1611	1	: Seafood, Italian
1612	1	: American, Global, International, Fusion / Eclectic
1613	1	: Contemporary American, American
1614	1	: Contemporary American, Comfort Food
1615	1	: Sushi, Asian, Japanese
1616	1	: Italian, American
1617	1	: Italian
1618	1	: Contemporary American
1619	1	: American, European
1620	1	: Steakhouse, Sushi
1621	1	: Contemporary American, Sushi
1622	1	: Italian, Steak
1623	1	: Steakhouse, Seafood
1624	1	: Contemporary American, Californian
1625	1	: French
1626	1	: Seafood, Steak
1627	1	: Californian, Mediterranean
1628	1	: Steak, Seafood
1629	1	: Seafood, Steak, Californian
1630	1	: Contemporary American, Californian
1631	1	: American
1632	1	: Asian, Sushi
1633	1	: Steakhouse, Californian
1634	1	: American, Mediterranean
1635	1	: Contemporary American, Continental
1636	1	: American
1637	1	: Contemporary American, Seafood, Steak
1638	1	: Latin American
1639	1	: Italian
1640	1	: Indian
1641	1	: Contemporary American
1642	1	: Contemporary American
1643	1	: French
1644	1	: Steak, Mediterranean
1645	1	: Cuban, Tapas / Small Plates, Latin American
1646	1	: Latin American
1647	1	: Indian
1648	1	: Italian
1649	1	: Italian
1650	1	: American
1651	1	: Asian, Japanese
1652	1	: Asian, Japanese
1653	1	: Fusion / Eclectic, Tapas / Small Plates, Contemporary American
1654	1	: American
1655	1	: American, Tapas / Small Plates
1656	1	: Indian
1657	1	: Steak
1658	1	: Mediterranean, Italian, Continental
1659	1	: Italian
1660	1	: Italian, American
1661	1	: Italian
1662	1	: Scandinavian, Seafood, Wild Game
1663	1	: Italian
1664	1	: Contemporary American
1665	1	: Italian
1666	1	: American, Contemporary American
1667	1	: Italian
1668	1	: American
1669	1	: French
1670	1	: Seafood, German, Steak
1671	1	: Russian, French
1672	1	: Indian
1673	1	: American
1674	1	: American
1675	1	: Italian
1676	1	: Italian, Dessert
1677	1	: Global, International, International
1678	1	: Indian, Vegetarian
1679	1	: Italian
1680	1	: American, Mediterranean
1681	1	: Italian
1682	1	: Italian, American
1683	1	: Contemporary French, French, Tapas / Small Plates
1684	1	: Italian
1685	1	: American, Steakhouse
1686	1	: Mexican / Southwestern
1687	1	: Indian
1688	1	: American, Comfort Food
1689	1	: Mediterranean
1690	1	: French
1691	1	: Contemporary American, Comfort Food
1692	1	: Contemporary American
1693	1	: Italian, Contemporary American
1694	1	: Seafood, Sushi
1695	1	: Latin American, Comfort Food
1696	1	: Italian, Steakhouse
1697	1	: Italian
1698	1	: Contemporary American, Global, International
1699	1	: African, Global, International
1700	1	: American, Steak, Seafood
1701	1	: European
1702	1	: Italian
1703	1	: American, English
1704	1	: American, Contemporary American, Organic
1705	1	: American
1706	1	: Italian
1707	1	: Italian
1708	1	: French, Steak
1709	1	: Italian, European, Mediterranean
1710	1	: American, French, Tapas / Small Plates
1711	1	: Steak, Seafood
1712	1	: Italian
1713	1	: Italian, Comfort Food
1714	1	: Contemporary American, Sushi, Seafood
1715	1	: Italian, Tapas / Small Plates
1716	1	: Indian
1717	1	: Korean, Asian
1718	1	: American, Seafood
1719	1	: Steakhouse, Sushi
1720	1	: American, Contemporary American
1721	1	: Italian
1722	1	: Contemporary American, Italian
1723	1	: Italian
1724	1	: Seafood, Steak, American
1725	1	: Global, International, Tapas / Small Plates
1726	1	: Contemporary American
1727	1	: Contemporary American
1728	1	: Seafood
1729	1	: Italian
1730	1	: Contemporary American, Seafood, Steak
1731	1	: Contemporary French
1732	1	: American
1733	1	: Mexican
1734	1	: Italian, Mediterranean
1735	1	: Continental, Global, International
1736	1	: Seafood, Comfort Food
1737	1	: Italian, American
1738	1	: Steak, Contemporary American
1739	1	: Italian
1740	1	: Steak, Seafood
1741	1	: Barbecue
1742	1	: Italian
1743	1	: Korean
1744	1	: Italian
1745	1	: Contemporary Mexican, Mexican
1746	1	: American, French
1747	1	: Contemporary American
1748	1	: American, Barbecue, Comfort Food
1749	1	: Steak, Seafood
1750	1	: Contemporary American, Sushi
1751	1	: Contemporary American
1752	1	: Italian
1753	1	: Italian, Seafood
1754	1	: American, Fusion / Eclectic
1755	1	: Indonesian / Malaysian
1756	1	: Mediterranean
1757	1	: Mediterranean
1758	1	: Italian
1759	1	: Seafood
1760	1	: Seafood
1761	1	: Italian
1762	1	: Contemporary American
1763	1	: American, Contemporary American
1764	1	: Japanese, Asian
1765	1	: Latin American, Continental
1766	1	: Mexican / Southwestern, Mexican
1767	1	: Steakhouse, Seafood
1768	1	: Contemporary American, Steak, Seafood
1769	1	: Italian
1770	1	: Italian
1771	1	: American
1772	1	: Contemporary American, Contemporary French
1773	1	: American
1774	1	: American, Contemporary American
1775	1	: Seafood, Steak
1776	1	: Japanese, Barbecue, Tapas / Small Plates
1777	1	: Japanese
1778	1	: Steakhouse, Seafood
1779	1	: American
1780	1	: Japanese
1781	1	: Cuban, Latin / Spanish
1782	1	: American, Brewery, Steak
1783	1	: Contemporary American, American
1784	1	: Contemporary American
1785	1	: Contemporary American, American
1786	1	: Steak, Seafood
1787	1	: American
1788	1	: Italian
1789	1	: Italian, European
1790	1	: Italian
1791	1	: Italian
1792	1	: Japanese
1793	1	: Indian
1794	1	: Contemporary American
1795	1	: Sushi, Japanese
1796	1	: Contemporary French, French
1797	1	: French
1798	1	: Steakhouse, American
1799	1	: Japanese, Sushi
1800	1	: Italian
1801	1	: Mediterranean, Italian
1802	1	: American
1803	1	: Contemporary French
1804	1	: Italian
1805	1	: International, European
1806	1	: Contemporary French
1807	1	: Vietnamese, Asian
1808	1	: French
1809	1	: American
1810	1	: Organic, Californian
1811	1	: French, Comfort Food
1812	1	: Gastro Pub, English, British
1813	1	: Italian, Fusion / Eclectic
1814	1	: Italian
1815	1	: Latin American, Tapas / Small Plates, Fusion / Eclectic
1816	1	: Contemporary American
1817	1	: Contemporary American
1818	1	: Italian
1819	1	: Chinese, Portuguese
1820	1	: French, Mediterranean
1821	1	: Italian
1822	1	: American, Continental
1823	1	: Barbecue, Seafood, Cajun
1824	1	: Italian, Mediterranean
1825	1	: Russian
1826	1	: Seafood, American
1827	1	: Italian, Steak, Seafood
1828	1	: American
1829	1	: Italian
1830	1	: Italian
1831	1	: Asian, Japanese
1832	1	: Contemporary American, Steak, Seafood
1833	1	: Seafood, American
1834	1	: American
1835	1	: Seafood
1836	1	: Seafood, Steak, American
1837	1	: American, Irish, Continental
1838	1	: Japanese, Sushi, Asian
1839	1	: Seafood
1840	1	: Seafood
1841	1	: Spanish, Tapas / Small Plates
1842	1	: Italian
1843	1	: Steakhouse
1844	1	: Continental
1845	1	: Sushi, Japanese
1846	1	: Italian, Organic
1847	1	: Steak, Seafood, American
1848	1	: Steak, Seafood, American
1849	1	: Italian, American
1850	1	: Italian, Continental
1851	1	: American, Irish
1852	1	: Italian
1853	1	: Seafood, Global, International
