restaurant	zagat	address
2000	2000	5848	4123
0000	3	4183 Roswell Rd. NE	(Interlochen Dr.)	Atlanta, GA 30342
0362	3	4600 N. Lincoln Ave.	(Wilson Ave.)	Chicago, IL 60625
0363	3	2211 N. Clybourn Ave.	(Webster Ave.)	Chicago, IL 60614
0364	3	3131 Finley Rd.	(Branding Ln.)	Downers Grove, IL 60515
0365	2	3335 N Halsted St	Chicago, IL 60657
0366	3	22 E. Chicago Ave.	(Washington St.)	Naperville, IL 60540
0367	5	Lincolnshire Commons	|	960 Milwaukee Ave.	(Aptakisic Rd.)	Lincolnshire, IL 60069
0368	3	2100 W. Division St.	(Hoyne Ave.)	Chicago, IL 60622
0369	2	2717 W Peterson Ave	Chicago, IL 60659
0370	5	Seneca Hotel	|	200 E. Chestnut St.	(bet. Dewitt Pl. & Seneca St.)	Chicago, IL 60611
0371	5	Barneys New York	|	15 E. Oak St.	(Rush St.)	Chicago, IL 60611
0372	3	3755 N. Southport Ave.	(Grace St.)	Chicago, IL 60613
0373	2	377 N Rand Rd	Lake Zurich, IL 60047
0374	3	310 Green Bay Rd.	(Highwood Ave.)	Highwood, IL 60040
0375	3	2075 N. Lincoln Ave.	(Dickens Ave.)	Chicago, IL 60614
0376	3	1028 N. Rush St.	(Bellevue Pl.)	Chicago, IL 60611
0377	3	1040 W. Belmont Ave.	(Kenmore Ave.)	Chicago, IL 60657
0378	2	500 Davis St Ste 100	Evanston, IL 60201
0379	3	809-13 W. Randolph St.	(Halsted St.)	Chicago, IL 60607
0380	3	1820 W. Montrose Ave.	(Honore St.)	Chicago, IL 60613
0381	3	1800 N. Clybourn Ave.	(Sheffield Ave.)	Chicago, IL 60614
0382	3	217 W. Huron St.	(bet. Franklin & Wells Sts.)	Chicago, IL 60654
0383	5	Westin Michigan Ave.	|	909 N. Michigan Ave.	(Delaware Pl.)	Chicago, IL 60611
0384	3	33 W. Monroe St.	(bet. Dearborn & State Sts.)	Chicago, IL 60603
0385	3	1508 W. Jarvis Ave.	(Greenview Ave.)	Chicago, IL 60626
0386	3	5400 N. Clark St.	(Balmoral Ave.)	Chicago, IL 60640
0387	3	2164 S. Archer Ave.	(Cermak Rd.)	Chicago, IL 60616
0388	3	2411 N. Clark St.	(Fullerton Pkwy.)	Chicago, IL 60614
0389	5	The Write Inn	|	211 N. Oak Park Ave.	(Ontario St.)	Oak Park, IL 60302
0390	3	7545 N. Clark St.	(Howard St.)	Chicago, IL 60626
0391	3	5148 N. Clark St.	(Foster Ave.)	Chicago, IL 60640
0392	3	3324 N. California Ave.	(Roscoe St.)	Chicago, IL 60618
0393	2	1673 Algonquin Rd	Rolling Meadows, IL 60008
0394	2	32 E Lake St	Addison, IL 60101
0395	3	1235 W. Randolph St.	(Elizabeth St.)	Chicago, IL 60607
0396	3	59 W. Grand Ave.	(bet. Clark & Dearborn Sts.)	Chicago, IL 60654
0397	3	5951 N. Broadway St.	(bet. Elmdale & Thorndale Aves.)	Chicago, IL 60660
0398	2	700 N Milwaukee Ave Ste 105	Vernon Hills, IL 60061
0399	3	2501 W. Lawrence Ave.	(Campbell Ave.)	Chicago, IL 60625
0400	3	2545 Prairie Ave.	(Central St.)	Evanston, IL 60201
0401	2	1331 W Dundee Rd	Arlington Heights, IL 60004
0402	3	1655 W. Cortland St.	(Paulina St.)	Chicago, IL 60622
0403	3	600 W. Chicago Ave.	(Larrabee St.)	Chicago, IL 60654
0404	2	11041 Menard Ave	Chicago Ridge, IL 60415
0405	3	1045 W. Madison St.	(bet. Aberdeen & Morgan Sts.)	Chicago, IL 60607
0406	3	2614 Green Bay Rd.	(Central St.)	Evanston, IL 60201
0407	2	7411 Madison St	Forest Park, IL 60130
0408	3	4363 N. Lincoln Ave.	(Montrose Ave.)	Chicago, IL 60618
0409	2	1772 S Randall Rd Ste 190	Geneva, IL 60134
0410	3	4337 N. Lincoln Ave.	(Montrose Ave.)	Chicago, IL 60618
0411	5	Doubletree Libertyville-Mundelein	|	510 E. Il. Rte. 83	(Rte. 45)	Mundelein, IL 60060
0412	3	1901 N. Halsted St.	(Armitage Ave.)	Chicago, IL 60614
0413	2	2129A S China Pl	Chicago, IL 60616
0414	2	1816 N Halsted St	Chicago, IL 60614
0415	3	400 N. Wells St.	(Kinzie St.)	Chicago, IL 60654
0416	3	2005 W. Roscoe St.	(Damen Ave.)	Chicago, IL 60618
0417	3	414 N. Orleans St.	(Hubbard St.)	Chicago, IL 60654
0418	3	560 W. Van Buren St.	(bet. Clinton & Jefferson Sts.)	Chicago, IL 60607
0419	2	281 Town Sq	Wheaton, IL 60189
0420	3	431 Temple Ave.	(Waukegan Ave.)	Highland Park, IL 60035
0421	2	200 N Dunton Ave	Arlington Heights, IL 60004
0422	2	45 N Wells St	Chicago, IL 60606
0423	3	5403 N. Clark St.	(Balmoral Ave.)	Chicago, IL 60640
0424	3	2845 N. Clark St.	(bet. Diversey Pkwy. & Surf St.)	Chicago, IL 60657
0425	3	5350 N. Broadway St.	(Balmoral Ave.)	Chicago, IL 60640
0426	2	3638 N Pulaski Rd	Chicago, IL 60641
0427	3	3011 S. Harlem Ave.	(31st St.)	Berwyn, IL 60402
0428	3	1507 N. Sedgwick St.	(bet. Blackhawk St. & North Ave.)	Chicago, IL 60610
0429	2	1352 Shermer Rd	Northbrook, IL 60062
0430	5	Chinatown Mall	|	2138 S. Archer Ave.	(Cermak Rd.)	Chicago, IL 60616
0431	3	4920 W. Irving Park Rd.	(bet. Lamon & Laporte Aves.)	Chicago, IL 60641
0432	2	134 N La Salle St	Chicago, IL 60602
0433	3	1958 N. Damen Ave.	(Armitage Ave.)	Chicago, IL 60647
0434	3	1015 W. Dundee Rd.	(Kennicott Ave.)	Arlington Heights, IL 60004
0435	3	311 E. 75th St.	(bet. Calumet & Prairie Aves.)	Chicago, IL 60619
0436	3	3455 N. Southport Ave.	(Cornelia Ave.)	Chicago, IL 60657
0437	2	1045 N Rush St	Chicago, IL 60611
0438	2	419 S Milwaukee Ave	Libertyville, IL 60048
0439	3	1856 W. North Ave.	(Wolcott Ave.)	Chicago, IL 60622
0440	2	267 Peterson Rd	Libertyville, IL 60048
0441	3	3705 N. Southport Ave.	(Waveland Ave.)	Chicago, IL 60613
0442	3	4539 N. Lincoln Ave.	(bet. Sunnyside & Wilson Aves.)	Chicago, IL 60625
0443	5	Palmer House Hilton	|	17 E. Monroe St.	(bet. State St. & Wabash Ave.)	Chicago, IL 60603
0444	3	2657 N. Kedzie Ave.	(Schubert Ave.)	Chicago, IL 60647
0445	3	1 S. Roselle Rd.	(Schaumburg Rd.)	Schaumburg, IL 60193
0446	3	5812 N. Broadway St.	(Ardmore Ave.)	Chicago, IL 60660
0447	2	514 Main St	Evanston, IL 60202
0448	3	804 Davis St.	(Sherman Ave.)	Evanston, IL 60201
0449	3	18 E. Bellevue Pl.	(Rush St.)	Chicago, IL 60611
0450	2	1234 S Michigan Ave Ste 1	Chicago, IL 60605
0451	2	748 S Butterfield Rd	Mundelein, IL 60060
0452	3	1742 W. Division St.	(bet. Paulina & Wood Sts.)	Chicago, IL 60622
0453	3	144 S. Oak Park Ave.	(bet. Pleasant St. & South Blvd.)	Oak Park, IL 60302
0454	3	4032 W Peterson Ave	(Pulaski)	Chicago, IL 60646
0455	3	623 W. Randolph St.	(bet. Desplaines & Jefferson Sts.)	Chicago, IL 60661
0456	3	301 S Halsted St	(Jackson)	Chicago, IL 60661
0457	3	2638 N. Lincoln Ave.	(Wrightwood Ave.)	Chicago, IL 60614
0458	3	1025 Aurora Ave.	(bet. River Rd. & West St.)	Naperville, IL 60540
0459	3	64 Green Bay Rd.	(Fisher Ln.)	Winnetka, IL 60093
0460	2	412 N Milwaukee Ave	Libertyville, IL 60048
0461	2	927 W Golf Rd	Schaumburg, IL 60194
0462	5	Water Tower Pl.	|	835 N. Michigan Ave., Mezzanine level	(bet. Chestnut & Pearson Sts.)	Chicago, IL 60611
0463	3	315 W. North Ave.	(North Park Ave.)	Chicago, IL 60610
0464	2	3935 W Devon Ave	Chicago, IL 60659
0465	2	839 S Lake St	Mundelein, IL 60060
0466	2	1824 W Division St	Chicago, IL 60622
0467	2	6727 N Olmsted Ave	Chicago, IL 60631
0468	3	1218 W. Morse Ave.	(bet. Lakewood Ave. & Sheridan Rd.)	Chicago, IL 60626
0469	3	3905 N. Lincoln Ave.	(bet. Byron St. & Larchmont Ave.)	Chicago, IL 60613
0470	3	630 Church St.	(bet. Chicago & Orrington Aves.)	Evanston, IL 60201
0471	3	1361 Shermer Rd.	(bet. Meadow Rd. & Walters Ave.)	Northbrook, IL 60062
0472	3	2030-32 W. Montrose Ave.	(Seeley Ave.)	Chicago, IL 60618
0473	3	325 W. Huron St.	(Orleans St.)	Chicago, IL 60654
0474	2	2360 N Lincoln Ave	Chicago, IL 60614
0475	3	2423 N. Clark St.	(bet. Arlington Pl. & Fullerton Ave.)	Chicago, IL 60614
0476	3	734 W. Fullerton Ave.	(Halsted St.)	Chicago, IL 60614
0477	2	3374 N Clark St	Chicago, IL 60657
0478	2	1575 Ellinwood Ave	Des Plaines, IL 60016
0479	3	1834 Glenview Rd.	(bet. Church & Pine Sts.)	Glenview, IL 60025
0480	3	951 W. Fulton Mkt.	(bet. Morgan & Sangamon Sts.)	Chicago, IL 60607
0481	5	Swissôtel	|	323 E. Wacker Dr.	(bet. Lake Shore Dr. & Michigan Ave.)	Chicago, IL 60601
0482	3	72 E. Walton St.	(bet. Michigan Ave. & Rush St.)	Chicago, IL 60611
0483	2	602 W Northwest Hwy	Arlington Heights, IL 60004
0484	2	1724 S River Rd	Des Plaines, IL 60018
0485	3	1000 31st St.	(Highland Ave.)	Downers Grove, IL 60515
0486	2	435 W Diversey Pkwy	Chicago, IL 60614
0487	2	3901 S Michigan Ave	Chicago, IL 60653
0488	5	Raffaello Hotel	|	201 E. Delaware Pl.	(Mies Vander Rohe Way)	Chicago, IL 60611
0489	3	1560 N. Milwaukee Ave.	(Damen Ave.)	Chicago, IL 60622
0490	2	281 W Townline Rd	Vernon Hills, IL 60061
0491	3	1252 E. Hwy. 45	(Rte. 21)	Vernon Hills, IL 60061
0492	3	1020 W. Argyle St.	(bet. Kenmore Ave. & Sheridan Rd.)	Chicago, IL 60640
0493	2	1642 56th	Chicago, IL 60637
0494	3	464 N. Halsted St.	(Grand Ave.)	Chicago, IL 60642
0495	3	1927 W. North Ave.	(Damen Ave.)	Chicago, IL 60622
0496	3	1033 Davis St.	(Oak St.)	Evanston, IL 60201
0497	3	1150 Willow Rd.	(bet. Patriot Blvd. & Waukegan Rd.)	Northbrook, IL 60062
0498	2	260 Hawthorn Village Com	Vernon Hills, IL 60061
0499	3	29 E. Ohio St.	(Wabash Ave.)	Chicago, IL 60611
0500	3	116 Crown St.	(bet. Church & Orange Sts.)	New Haven, CT 06510
0501	2	2 Hopewell	Glastonbury, CT 06033
0502	2	129 Wooster St	New Haven, CT 06511
0503	2	4 Hartford Rd	Simsbury, CT 06070
0504	3	381 Greenwich Ave.	(Grigg St.)	Greenwich, CT 06830
0505	5	Parker Harding Plaza	|	43 Main St.	(Post Rd. W.)	Westport, CT 06880
0506	3	1450 Whalley Ave.	(Glenview Terr.)	New Haven, CT 06515
0507	5	Altnaveigh Inn	|	957 Storrs Rd.	(Spring Hill Rd.)	Storrs, CT 06268
0508	2	30 Center St	Southington, CT 06489
0509	2	59 W Broad St	Pawcatuck, CT 06379
0510	2	1088 N Colony Rd	Wallingford, CT 06492
0511	2	47 Stony Hill Rd	Bethel, CT 06801
0512	3	2 Wilton Ave.	(Cross St.)	Norwalk, CT 06851
0513	3	51 West St.	(bet. Meadow & North Sts.)	Litchfield, CT 06759
0514	2	110 Wall St	Norwalk, CT 06850
0515	3	25 High St.	(Messina Dr.)	New Haven, CT 06512
0516	5	The Mill	|	328 Pemberwick Rd.	(Highview Rd.)	Greenwich, CT 06831
0517	2	5 Tokeneke Rd	Darien, CT 06820
0518	5	Blue Back Sq.	|	46 S. Main St.	(Memorial Rd.)	West Hartford, CT 06107
0519	3	266 College St.	(Chapel St.)	New Haven, CT 06510
0520	2	88 Ryders Ln	Stratford, CT 06614
0521	3	181 Main St.	(Plymouth Ave.)	Norwalk, CT 06851
0522	5	Sconset Sq.	|	15 Myrtle Ave.	(Post Rd.)	Westport, CT 06880
0523	3	130 Court St.	(Orange St.)	New Haven, CT 06511
0524	3	616 Post Rd. E.	(bet. Crescent & Rayfield Rds.)	Westport, CT 06880
0525	3	450 S. Main St.	(New Britain Ave.)	West Hartford, CT 06110
0526	3	90 Halls Rd.	(Rte. 95)	Old Lyme, CT 06371
0527	3	954 E. Main St.	(Lincoln Ave.)	Stamford, CT 06902
0528	2	82 Iroquois Rd	Stamford, CT 06902
0529	3	13 Marshall St.	(N. Main St.)	South Norwalk, CT 06854
0530	3	78 LaSalle Rd.	(Farmington Ave.)	West Hartford, CT 06107
0531	2	49 Bridgeport Ave	Milford, CT 06460
0532	3	84 Bank St.	(Golden St.)	New London, CT 06320
0533	3	254 Crown St.	(bet. High & York Sts.)	New Haven, CT 06511
0534	5	Buckland Hills Plaza	|	1442 Pleasant Valley Rd.	(I-84)	Manchester, CT 06040
0535	5	Inn at Lafayette	|	725 Boston Post Rd.	(Wall St.)	Madison, CT 06443
0536	5	The Shops at River Pk.	|	51 E. Main St./Rte. 44	(Rte. 10)	Avon, CT 06001
0537	2	381 Franklin Ave	Hartford, CT 06114
0538	3	2 Forest St.	(East Ave.)	New Canaan, CT 06840
0539	5	Foxwoods Resort Casino	|	39 Norwich Westerly Rd./Rte. 2	(bet. Mains Crossing & Preston Plains Rd.)	Ledyard, CT 06339
0540	5	Bee & Thistle Inn	|	100 Lyme St./Rte. 1	(I-95, exit 70)	Old Lyme, CT 06371
0541	3	19 High Ridge Rd.	(Bedford St.)	Stamford, CT 06905
0542	3	971 Post Rd.	(Center St.)	Darien, CT 06820
0543	3	860 State St.	(bet. Clark & Humphrey Sts.)	New Haven, CT 06511
0544	3	377 E. Main St.	(I-95)	Branford, CT 06405
0545	2	441 Post Rd	Fairfield, CT 06824
0546	2	942 Main St	Hartford, CT 06103
0547	2	980 Farmington Ave	West Hartford, CT 06107
0548	2	343 Main St	Westport, CT 06880
0549	2	46 N Main St	Norwalk, CT 06854
0550	2	252 Main	East Lyme, CT 06333
0551	5	Tower Plaza Shopping Ctr.	|	120 New Canaan Ave.	(Bartlett Ave.)	Norwalk, CT 06850
0552	2	1261 Boston Post Rd	Westbrook, CT 06498
0553	3	1712 Boston Post Rd.	(Rte. 166)	Old Saybrook, CT 06475
0554	3	5 E. Main St.	(bet. Old Farms Rd. & Rte. 44)	Avon, CT 06001
0555	2	345 Bank St	New London, CT 06320
0556	2	73 W Wharf Rd	Madison, CT 06443
0557	2	292 Candlewood Lake Rd	Brookfield, CT 06804
0558	2	241 Campbell Ave	West Haven, CT 06516
0559	3	25 Bank St.	(Atlantic St.)	Stamford, CT 06901
0560	3	695 Main St.	(Grand St.)	Middletown, CT 06457
0561	3	11 W. Elm St.	(Greenwich Ave.)	Greenwich, CT 06830
0562	3	490 Summer St.	(bet. Broad & Spring Sts.)	Stamford, CT 06901
0563	5	Simsbury Inn	|	397 Hopmeadow St./Rte. 10	(Rte. 185)	Simsbury, CT 06070
0564	3	93 Asylum St.	(bet. Main & Trumbull Sts.)	Hartford, CT 06103
0565	3	191 Summer St.	(Broad St.)	Stamford, CT 06901
0566	3	426 Main St.	(Big Shop Ln.)	Ridgefield, CT 06877
0567	5	Billings Forge	|	539 Broad St.	(bet. Capitol Ave. & Russ St.)	Hartford, CT 06106
0568	3	22 Chesterfield Rd.	(Rte. 1)	East Lyme, CT 06333
0569	3	1114 Main St.	(Veto St.)	Branford, CT 06405
0570	2	35 Atlantic St	Stamford, CT 06901
0571	3	10 Forest Rd.	(bet. East & Locust Aves.)	New Canaan, CT 06840
0572	3	99 Washington St.	(bet. Main & Water Sts.)	South Norwalk, CT 06854
0573	3	2748 Boston Post Rd.	(I-95, exit 9)	Darien, CT 06820
0574	3	61 Kane St.	(Oakwood Ave.)	West Hartford, CT 06119
0575	2	100 Bruce Park Ave	Greenwich, CT 06830
0576	2	255 Boston Post Rd	Milford, CT 06460
0577	5	Foxwoods Resort Casino	|	39 Norwich Westerly Rd./Rte. 2	(bet. Mains Crossing & Preston Plains Rd.)	Ledyard, CT 06338
0578	3	2421 Berlin Tpke.	(Toll Gate Rd.)	Berlin, CT 06037
0579	2	483 Monroe Tpke Ste 2B	Monroe, CT 06468
0580	2	230 Hope St	Stamford, CT 06906
0581	3	565 New Park Ave.	(Talcott Rd.)	West Hartford, CT 06110
0582	2	898 Whalley Ave	New Haven, CT 06515
0583	5	Main Street Mkt.	|	386 Main St.	(bet. Baylis Ct. & Washington St.)	Middletown, CT 06457
0584	2	17 1/2 Elm St	New Canaan, CT 06840
0585	3	61 Lewis St.	(bet. Greenwich Ave. & Mason St.)	Greenwich, CT 06830
0586	5	South Norwalk Plaza	|	54 N. Main St.	(bet. Ann & Marshall Sts.)	South Norwalk, CT 06854
0587	3	750 Post Rd.	(Eliot Pl.)	Fairfield, CT 06824
0588	2	RR 7	New Milford, CT 06776
0589	5	Evergreen Walk	|	101 Evergreen Way	(Tamarack Ave.)	South Windsor, CT 06074
0590	2	695 Main St Unit D	Monroe, CT 06468
0591	3	1451 Whalley Ave.	(Glenview Terr.)	New Haven, CT 06515
0592	2	388 Westport Ave	Norwalk, CT 06851
0593	5	Beardsley Park Plaza	|	545 Broadbridge Rd.	(Huntington Tpke.)	Bridgeport, CT 06610
0594	2	4 Lewis Ct	Greenwich, CT 06830
0595	5	Stamford Town Ctr.	|	230 Tresser Blvd.	(Greyrock Pl.)	Stamford, CT 06901
0596	2	27 Main St	New Milford, CT 06776
0597	3	2931 Fairfield Ave.	(Jetland St.)	Bridgeport, CT 06655
0598	2	702 Chase Pkwy	Waterbury, CT 06708
0599	3	168 Main Ave.	(Center Ave.)	Norwalk, CT 06851
0600	2	26 Commons Dr	Litchfield, CT 06759
0601	3	226 Talcottville Rd.	(north of Dobson Rd.)	Vernon, CT 06066
0602	3	59 Ethan Allen Hwy.	(Rte. 102)	Ridgefield, CT 06877
0603	5	Longwood Country Inn	|	1204 Main St. S.	(bet. Mansion House Rd. & Woodside Circle)	Woodbury, CT 06798
0604	5	Station House Sq.	|	2505 Main St.	(Broadbridge Ave.)	Stratford, CT 06615
0605	3	1297 Long Ridge Rd	(near exit 34 off Merrit Parkway)	Stamford, CT 06903
0606	2	371 Candlewood Lake Rd	Brookfield, CT 06804
0607	3	249 Main St.	(bet. Clark St. & Washington Blvd.)	Stamford, CT 06901
0608	2	110 Boston Post Rd	Westbrook, CT 06498
0609	3	98 Washington St.	(bet. Main & Water Sts.)	South Norwalk, CT 06854
0610	2	33 Jesup Rd	Westport, CT 06880
0611	2	39 Jerome Ave	Bloomfield, CT 06002
0612	3	110 Glastonbury Blvd.	(bet. Main St. & Naubuc Ave.)	Glastonbury, CT 06033
0613	3	344 Center St.	(Main St.)	Wallingford, CT 06492
0614	3	15 Orange St.	(bet. Crown & George Sts.)	New Haven, CT 06510
0615	3	874 State St.	(Humphrey St.)	New Haven, CT 06511
0616	3	4511 McKinney Ave.	(Armstrong Ave.)	Dallas, TX 75205
0617	2	17370 Preston Rd Ste 490	Dallas, TX 75252
0618	3	4217 Oak Lawn Ave.	(bet. Herschel & Wycliff Aves.)	Dallas, TX 75219
0619	2	4816 Gaston Ave	Dallas, TX 75246
0620	3	2626 Howell St.	(Routh St.)	Dallas, TX 75204
0621	3	3810 Congress Ave.	(Oak Lawn Ave.)	Dallas, TX 75219
0622	3	18101 Preston Rd.	(Frankford Rd.)	Dallas, TX 75252
0623	3	4300 Lemmon Ave.	(Wycliff Ave.)	Dallas, TX 75219
0624	3	614 W. Davis St.	(Cedar Hill Ave.)	Dallas, TX 75208
0625	2	6820 Lyndon B Johnson Fwy	Dallas, TX 75240
0626	3	24 Highland Park Vill.	(Preston Rd.)	Dallas, TX 75205
0627	3	8411 Preston Rd.	(Northwest Hwy.)	Dallas, TX 75225
0628	3	17548 Dallas Pkwy.	(Trinity Mills Rd.)	Dallas, TX 75287
0629	3	5934 Royal Ln.	(Preston Rd.)	Dallas, TX 75230
0630	5	Hotel Palomar	|	5680 N. Central Expwy.	(Mockingbird Ln.)	Dallas, TX 75206
0631	3	11909 Preston Rd.	(Forest Ln.)	Dallas, TX 75230
0632	3	5757 W. Lovers Ln.	(Dallas N. Tollway)	Dallas, TX 75209
0633	3	2912 Oak Lawn Ave.	(Congress Ave.)	Dallas, TX 75219
0634	5	West Vlg.	|	3699 McKinney Ave.	(bet. Blackburn St. & Lemmon Ave.)	Dallas, TX 75204
0635	2	2723 Elm St	Dallas, TX 75226
0636	3	5251 Spring Valley Rd.	(Dallas N. Tollway)	Dallas, TX 75254
0637	3	17062 Preston Rd.	(Campbell Rd.)	Dallas, TX 75248
0638	5	Hotel ZaZa	|	2332 Leonard St.	(McKinney Ave.)	Dallas, TX 75201
0639	5	Quadrangle	|	2800 Routh St.	(Howell St.)	Dallas, TX 75201
0640	2	4347 W Northwest Hwy Ste 100	Dallas, TX 75220
0641	3	2929 N. Henderson Ave.	(Miller Ave.)	Dallas, TX 75206
0642	3	2927 N. Henderson Ave.	(Miller Ave.)	Dallas, TX 75206
0643	5	Casa Linda Plaza	|	1200 N. Buckner Blvd.	(Garland Rd.)	Dallas, TX 75218
0644	3	3229 Knox St.	(Travis St.)	Dallas, TX 75205
0645	5	Villages of Preston Hollow	|	4343 W. Northwest Hwy.	(Midway Rd.)	Dallas, TX 75220
0646	3	2800 Routh St.	(Howell St.)	Dallas, TX 75201
0647	2	6913 Hillcrest Ave	Dallas, TX 75205
0648	2	4800 Bryan St	Dallas, TX 75204
0649	3	5430 Gurley Ave.	(Graham Ave.)	Dallas, TX 75223
0650	3	2400 Victory Park Ln.	(Museum Way)	Dallas, TX 75219
0651	5	NorthPark Ctr.	|	8687 N. Central Expwy.	(Park Ln.)	Dallas, TX 75225
0652	5	Warwick Melrose Hotel	|	3015 Oak Lawn Ave.	(Cedar Springs Rd.)	Dallas, TX 75219
0653	3	306 N. Market St.	(bet. Elm St. & Ross Ave.)	Dallas, TX 75202
0654	3	1807 Gould St.	(Beaumont St.)	Dallas, TX 75215
0655	3	2101 Greenville Ave.	(Richmond Ave.)	Dallas, TX 75206
0656	3	17552 Dallas Pkwy.	(Trinity Mills Rd.)	Dallas, TX 75287
0657	3	11909 Preston Rd.	(Forest Ln.)	Dallas, TX 75230
0658	3	2914 Main St.	(bet. Hall St. & Malcolm X Blvd.)	Dallas, TX 75226
0659	3	5027 W. Lovers Ln.	(Inwood Rd.)	Dallas, TX 75209
0660	3	703 McKinney Ave.	(I-35)	Dallas, TX 75202
0661	3	2816 Fairmount St.	(Cedar Springs St.)	Dallas, TX 75201
0662	5	Rosewood Crescent Hotel	|	400 Crescent Ct.	(bet. Cedar Springs Rd. & Maple Ave.)	Dallas, TX 75201
0663	3	4434 Harry Hines Blvd.	(bet. Lucas Dr. & Wycliff Ave.)	Dallas, TX 75219
0664	3	9049 Vantage Point Dr.	(Greenville Ave.)	Dallas, TX 75243
0665	5	NorthPark Ctr.	|	225 Northpark Ctr.	(Northwest Hwy.)	Dallas, TX 75225
0666	2	10960 Composite Dr	Dallas, TX 75220
0667	3	2911 Elm St.	(bet. Malcolm X Blvd. & Walton St.)	Dallas, TX 75226
0668	5	Preston Royal Vlg.	|	6025 Royal Ln.	(Preston Rd.)	Dallas, TX 75230
0669	5	Fairmont Dallas	|	1717 N. Akard St.	(Ross Ave.)	Dallas, TX 75201
0670	5	Inwood Vill.	|	5360 W. Lovers Ln.	(Inwood Rd.)	Dallas, TX 75209
0671	3	5858 W. Northwest Hwy.	(Douglas Ave.)	Dallas, TX 75225
0672	3	2126 Leonard St.	(Woodall Rodgers Frwy.)	Dallas, TX 75201
0673	5	One Arts Plaza	|	1722 Routh St.	(bet. Flora St. & Ross Ave.)	Dallas, TX 75201
0674	5	Centrum Bldg.	|	3102 Oak Lawn Ave.	(Cedar Springs Rd.)	Dallas, TX 75219
0675	2	3604 Oak Lawn Ave	Dallas, TX 75219
0676	2	6106 Westheimer Rd	Houston, TX 77057
0677	3	2311 Bissonnet St.	(Greenbriar Dr.)	Houston, TX 77005
0678	3	1103 S. Shepherd Dr.	(Clay St.)	Houston, TX 77019
0679	5	Lancaster Hotel	|	701 Texas Ave.	(Louisiana St.)	Houston, TX 77002
0680	3	11112 Westheimer Rd.	(Wilcrest Dr.)	Houston, TX 77042
0681	3	13616 Memorial Dr.	(bet. Wilcrest Dr. & Kirkwood Rd.)	Houston, TX 77079
0682	2	2241 Richmond Ave	Houston, TX 77098
0683	5	Rice Village Arcade	|	2414 University Blvd.	(Morningside Dr.)	Houston, TX 77005
0684	2	8505 Cypress St	Houston, TX 77012
0685	3	4315 Montrose Blvd.	(Richmond Ave.)	Houston, TX 77006
0686	3	3300 Smith St.	(Stuart St.)	Houston, TX 77006
0687	3	5161 San Felipe St.	(bet. Post Oak Ln. & Sage Rd.)	Houston, TX 77056
0688	5	Gray Falls	|	12126 Westheimer Rd.	(Gray Falls Dr.)	Houston, TX 77077
0689	3	11129 Westheimer Rd.	(Wilcrest Dr.)	Houston, TX 77042
0690	3	5365 Westheimer Rd.	(Yorktown St.)	Houston, TX 77056
0691	3	300 Main St.	(Congress St.)	Houston, TX 77002
0692	2	1602 Leeland St	Houston, TX 77003
0693	2	6029 Westheimer Rd	Houston, TX 77057
0694	3	19827 Northwest Frwy.	(Hwy. 6)	Houston, TX 77065
0695	3	5161 San Felipe	(Sage St.)	Houston, TX 77056
0696	3	5555 Washington Ave.	(TC Jester Blvd.)	Houston, TX 77007
0697	3	5761 Woodway Dr.	(Augusta Dr.)	Houston, TX 77057
0698	4	Galleria Dallas	|	5085 Westheimer Rd.	Houston, TX 77056
0699	3	3412 W. Lamar St.	(Dunlavy St.)	Houston, TX 77019
0700	3	3600 Kirby Dr.	(Richmond Ave.)	Houston, TX 77098
0701	3	1718 Houston Ave.	(Crockett St.)	Houston, TX 77007
0702	2	1702 Post Oak Blvd	Houston, TX 77056
0703	2	820 Fm 1960 Rd W Ste 12	Houston, TX 77090
0704	2	2320 W Alabama St	Houston, TX 77098
0705	3	309 Gray St.	(bet. Bagby & Baldwin Sts.)	Houston, TX 77002
0706	3	5085 Westheimer Rd.	(McCue Rd.)	Houston, TX 77056
0707	3	2243 Richmond Ave.	(Greenbriar Dr.)	Houston, TX 77098
0708	3	516 Westheimer Rd.	(Whitney St.)	Houston, TX 77006
0709	2	11103 Westheimer Rd	Houston, TX 77042
0710	3	616 Westheimer Rd.	(Montrose Blvd.)	Houston, TX 77006
0711	3	2327 Post Oak Blvd.	(Westheimer Rd.)	Houston, TX 77056
0712	5	Galleria	|	5061 Westheimer Rd.	(Post Oak Blvd.)	Houston, TX 77056
0713	2	11360 Bellaire Blvd	Houston, TX 77072
0714	3	3139 Richmond Ave.	(Eastside St.)	Houston, TX 77098
0715	3	2703 Montrose Blvd.	(Westheimer Ave.)	Houston, TX 77006
0716	2	5503 Pinemont Dr	Houston, TX 77092
0717	3	4726 Richmond Ave.	(I-610)	Houston, TX 77027
0718	3	5320 Hollister St.	(Northwest Frwy.)	Houston, TX 77040
0719	3	955 Dairy Ashford St.	(bet. I-10 & Memorial Dr.)	Houston, TX 77079
0720	3	6000 Richmond Ave.	(Fountain View Dr.)	Houston, TX 77057
0721	3	3403 Milam St.	(Francis St.)	Houston, TX 77002
0722	3	5825 Richmond Ave.	(bet. Chimney Rock Rd. & Fountain View Dr.)	Houston, TX 77057
0723	3	1160 Smith St.	(Dallas St.)	Houston, TX 77002
