book	borders	publication_date
1074	1	April 06, 2010
1075	1	June 15, 2000
1076	1	April 27, 2010
1077	1	April 01, 2005
1078	1	April 06, 2009
1079	1	May 01, 2001
1080	1	January 20, 2010
1081	1	September 01, 2004
1082	1	October 08, 2007
1083	1	March 21, 2010
1084	1	May 29, 2008
1085	1	May 01, 1998
1086	1	October 27, 2009
1087	1	June 01, 2010
1088	1	January 01, 2010
1089	1	July 09, 2008
1090	1	May 21, 2002
1091	1	August 18, 2009
1092	1	May 01, 2004
1093	1	April 20, 2005
1094	1	November 03, 2009
1095	1	May 04, 2010
1096	1	April 21, 2009
1097	1	May 30, 2009
1098	1	January 12, 2010
1099	1	March 01, 1989
1100	1	October 01, 2001
1101	1	August 10, 2010
1102	1	October 01, 2001
1103	1	May 01, 2007
1104	1	December 30, 2009
1105	1	October 01, 2009
1106	1	August 11, 2009
1107	1	August 11, 2009
1108	1	August 01, 2003
1109	1	July 01, 2008
1110	1	April 01, 1992
1111	1	July 06, 2010
1112	1	January 04, 2005
1113	1	April 01, 2008
1114	1	June 15, 1999
1115	1	December 01, 2000
1116	1	June 29, 2010
1117	1	June 29, 2010
1118	1	April 27, 2010
1119	1	March 22, 2005
1120	1	October 16, 2009
1121	1	March 01, 2004
1122	1	November 12, 2009
1123	1	December 22, 2009
1124	1	March 01, 2008
1125	1	May 01, 2004
1126	1	October 01, 2002
1127	1	July 01, 2001
1128	1	September 01, 2006
1129	1	October 01, 2002
1130	1	September 10, 2007
1131	1	September 01, 1981
1132	1	October 13, 2009
1133	1	August 18, 2006
1134	1	September 01, 2008
1135	1	May 01, 2000
1136	1	January 01, 2003
1137	1	February 03, 2010
1138	1	October 06, 2009
1139	1	April 27, 2010
1140	1	September 22, 2009
1141	1	May 04, 2010
1142	1	January 19, 2010
1143	1	May 25, 2010
1144	1	February 02, 2010
1145	1	March 01, 2001
1146	1	March 01, 2004
1147	1	May 05, 2009
1148	1	April 24, 2008
1149	1	June 18, 2010
1150	1	March 01, 1996
1151	1	April 01, 1996
1152	1	July 02, 2010
1153	1	August 01, 2003
1154	1	December 01, 1999
1155	1	September 22, 2009
1156	1	June 15, 2010
1157	1	February 01, 1989
1158	1	April 01, 2005
1159	1	June 01, 2010
1160	1	October 01, 1979
1161	1	July 03, 2002
1162	1	January 01, 1998
1163	1	January 01, 2009
1164	1	January 01, 2008
1165	1	May 11, 2010
1166	1	March 10, 2009
1167	1	June 15, 2001
1168	1	March 30, 2010
1169	1	June 23, 2009
1170	1	November 30, 2009
1171	1	September 29, 2009
1172	1	December 15, 2008
1173	1	July 02, 2009
1174	1	March 30, 2010
1175	1	October 28, 2002
1176	1	March 29, 2005
1177	1	February 10, 2010
1178	1	February 26, 2009
1179	1	April 01, 1997
1180	1	April 26, 2009
1181	1	July 01, 2010
1182	1	May 01, 2008
1183	1	May 01, 1999
1184	1	May 04, 2010
1185	1	November 11, 2009
1186	1	June 30, 2004
1187	1	April 02, 2009
1188	1	June 01, 1984
1189	1	January 01, 2001
1190	1	January 01, 2006
1191	1	April 26, 2009
1192	1	February 01, 2000
1193	1	April 01, 1984
1194	1	April 24, 1997
1195	1	October 01, 2008
1196	1	February 28, 2007
1197	1	October 01, 1999
1198	1	September 01, 2003
1199	1	May 01, 1976
1200	1	April 19, 2005
1201	1	July 09, 2009
1202	1	April 27, 2010
1203	1	October 20, 2009
1204	1	June 01, 1963
1205	1	September 01, 2002
1206	1	December 29, 2009
1207	1	July 01, 2009
1208	1	June 02, 2009
1209	1	August 25, 2009
1210	1	June 15, 2010
1211	1	December 01, 1997
1212	1	June 21, 2009
1213	1	September 01, 2005
1214	1	February 05, 2004
1215	1	June 22, 2010
1216	1	June 25, 2010
1217	1	May 01, 2010
1218	1	October 01, 2002
1219	1	May 11, 2010
1220	1	May 04, 2009
1221	1	October 23, 2009
1222	1	August 11, 2009
1223	1	January 01, 1997
1224	1	September 15, 2004
1225	1	September 28, 2004
1226	1	November 12, 2009
1227	1	September 01, 2009
1228	1	March 28, 2005
1229	1	October 17, 2006
1230	1	June 15, 2010
1231	1	September 18, 2007
1232	1	February 23, 2010
1233	1	August 04, 2009
1234	1	March 21, 2010
1235	1	July 29, 2008
1236	1	October 01, 2007
1237	1	June 01, 1996
1238	1	June 01, 2010
1239	1	June 30, 2004
1240	1	September 04, 2007
1241	1	August 01, 2008
1242	1	May 01, 2000
1243	1	November 17, 1988
1244	1	May 21, 2010
1245	1	January 02, 2008
1246	1	June 30, 2004
1247	1	November 01, 1991
1248	1	November 01, 1996
1249	1	April 27, 2010
1250	1	November 01, 1993
1251	1	July 01, 1996
1252	1	September 08, 2009
1253	1	April 07, 2009
1254	1	June 21, 2009
1255	1	July 06, 2010
1256	1	November 26, 2009
1257	1	July 01, 2010
1258	1	June 10, 2009
1259	1	February 10, 2009
1260	1	June 22, 2010
1261	1	July 01, 2010
1262	1	April 27, 2010
1263	1	September 29, 2009
1264	1	September 29, 2009
1265	1	April 01, 2000
1266	1	May 18, 2010
1267	1	March 01, 2001
1268	1	May 04, 2010
1269	1	June 02, 2008
1270	1	March 01, 2009
1271	1	March 16, 2009
1272	1	January 07, 2010
1273	1	July 01, 2010
1274	1	June 01, 1978
1275	1	June 01, 2010
1276	1	July 01, 2010
1277	1	January 01, 1994
1278	1	August 18, 2009
1279	1	June 01, 1996
1280	1	December 01, 2003
1281	1	October 21, 2006
1282	1	February 15, 2009
1283	1	May 21, 2010
1284	1	July 07, 2008
1285	1	October 21, 1994
1286	1	January 01, 1989
1287	1	June 01, 2003
1288	1	June 22, 2010
1289	1	March 22, 2005
1290	1	September 25, 2007
1291	1	December 01, 2003
1292	1	September 09, 2009
1293	1	April 01, 1995
1294	1	May 08, 2006
1295	1	December 26, 2007
1296	1	February 01, 1999
1297	1	February 18, 2008
1298	1	March 27, 2007
1299	1	April 01, 2007
1300	1	May 01, 2010
1301	1	June 01, 1942
1302	1	July 01, 2003
1303	1	October 01, 2009
1304	1	April 26, 2005
1305	1	December 08, 2008
1306	1	February 01, 2005
1307	1	June 01, 1994
1308	1	April 28, 2009
1309	1	May 13, 2010
1310	1	December 02, 2008
1311	1	March 01, 2004
1312	1	July 01, 1997
1313	1	September 01, 2008
1314	1	February 13, 2007
1315	1	February 13, 2007
1316	1	January 19, 2010
1317	1	October 27, 2009
1318	1	April 27, 2010
1319	1	May 04, 2010
1320	1	June 02, 2009
1321	1	April 13, 2010
1322	1	June 01, 2003
1323	1	July 01, 2003
1324	1	June 15, 2010
1325	1	June 01, 2010
1326	1	May 01, 1999
1327	1	May 04, 2010
1328	1	May 03, 2010
1329	1	May 19, 2009
1330	1	June 02, 2009
1331	1	September 01, 2002
1332	1	June 01, 1989
1333	1	January 19, 2010
1334	1	November 24, 2009
1335	1	November 24, 2009
1336	1	November 25, 2008
1337	1	November 19, 2009
1338	1	June 08, 2010
1339	1	September 01, 1983
1340	1	June 08, 2010
1341	1	July 01, 2003
1342	1	April 13, 2004
1343	1	June 21, 2005
1344	1	November 30, 2009
1345	1	June 22, 2004
1346	1	April 01, 2004
1347	1	August 25, 2009
1348	1	January 26, 2010
1349	1	August 01, 1995
1350	1	August 01, 2003
1351	1	June 01, 2004
1352	1	June 21, 2005
1353	1	May 01, 1998
1354	1	January 07, 2010
1355	1	January 07, 2010
1356	1	September 01, 2008
1357	1	December 22, 2009
1358	1	February 09, 2010
1359	1	March 29, 2006
1360	1	June 01, 1968
1361	1	March 30, 2010
1362	1	June 21, 2005
1363	1	March 09, 2010
1364	1	May 25, 2010
1365	1	July 14, 2009
1366	1	June 15, 2010
1367	1	April 01, 2010
1368	1	February 18, 2010
1369	1	April 06, 2010
1370	1	September 01, 1985
1371	1	May 01, 2000
1372	1	September 29, 2009
1373	1	June 01, 2010
1374	1	November 20, 2009
1375	1	September 15, 1997
1376	1	March 01, 2008
1377	1	May 01, 2003
1378	1	June 01, 2002
1379	1	April 27, 2004
1380	1	November 09, 2001
1381	1	October 01, 1994
1382	1	January 02, 2007
1383	1	March 01, 2007
1384	1	February 26, 2009
1385	1	June 01, 2009
1386	1	December 30, 2008
1387	1	August 14, 2009
1388	1	June 30, 2010
1389	1	October 01, 1999
1390	1	August 01, 2004
1391	1	November 13, 2007
1392	1	February 26, 2009
1393	1	September 01, 1990
1394	1	October 02, 2007
1395	1	November 24, 2009
1396	1	April 27, 2010
1397	1	September 21, 2009
1398	1	October 26, 2009
1399	1	July 29, 2008
1400	1	October 01, 2000
1401	1	October 28, 1985
1402	1	September 30, 1988
1403	1	November 01, 2008
1404	1	May 01, 1998
1405	1	January 01, 1996
1406	1	July 01, 2003
1407	1	October 07, 2008
1408	1	June 21, 2009
1409	1	May 19, 2009
1410	1	June 01, 2006
1411	1	July 01, 1977
1412	1	January 12, 2010
1413	1	March 16, 2010
1414	1	June 29, 2010
1415	1	August 01, 2009
1416	1	February 01, 2003
1417	1	June 10, 2009
1418	1	March 30, 2010
1419	1	November 24, 2009
1420	1	November 01, 2002
1421	1	June 01, 2009
1422	1	March 16, 2009
1423	1	October 27, 2009
1424	1	December 01, 1990
1425	1	November 30, 2009
1426	1	November 27, 2007
1427	1	November 20, 2007
1428	1	August 25, 2009
1429	1	October 27, 2009
1430	1	April 01, 1983
1431	1	June 01, 2009
1432	1	May 01, 2006
1433	1	November 25, 2008
1434	1	July 06, 2010
1435	1	October 25, 1999
1436	1	July 06, 2010
1437	1	August 01, 2008
1438	1	September 01, 2009
1439	1	May 01, 2010
1440	1	June 01, 2010
1441	1	January 05, 2010
1442	1	March 01, 2009
1443	1	June 15, 2010
1444	1	May 01, 2010
1445	1	May 25, 2010
1446	1	March 01, 2005
1447	1	May 01, 2002
1448	1	October 01, 2001
1449	1	October 01, 2007
1450	1	March 27, 2007
1451	1	April 27, 2010
1452	1	May 11, 2010
1453	1	May 01, 2010
1454	1	October 01, 2003
1455	1	May 25, 2010
1456	1	July 28, 2009
1457	1	June 09, 2008
1458	1	September 07, 2006
1459	1	June 29, 2010
1460	1	February 01, 2010
1461	1	June 15, 2010
1462	1	March 23, 2010
1463	1	October 13, 2009
1464	1	May 04, 2010
1465	1	April 07, 2009
1466	1	June 28, 2005
1467	1	May 31, 2005
1468	1	February 26, 2009
1469	1	June 01, 1996
1470	1	June 14, 2010
1471	1	April 29, 2008
1472	1	July 28, 2009
1473	1	June 27, 2006
1474	1	March 08, 2005
1475	1	April 27, 2010
1476	1	May 25, 2010
1477	1	August 01, 1999
1478	1	January 26, 2010
1479	1	July 31, 2007
1480	1	February 01, 2009
1481	1	July 01, 2002
1482	1	August 01, 2002
1483	1	November 24, 2009
1484	1	January 01, 1991
1485	1	May 28, 2008
1486	1	November 01, 2000
1487	1	October 01, 2009
1488	1	August 30, 2005
1489	1	August 30, 2009
1490	1	January 16, 2007
1491	1	October 28, 2002
1492	1	June 01, 1992
1493	1	February 01, 2007
1494	1	September 01, 2006
1495	1	June 16, 2009
1496	1	November 01, 2005
1497	1	October 27, 2009
1498	1	April 20, 2010
1499	1	November 01, 1998
1500	1	June 01, 2010
1501	1	May 14, 2009
1502	1	May 01, 2007
1503	1	May 04, 2010
1504	1	May 26, 2009
1505	1	April 26, 2009
1506	1	June 01, 2007
1507	1	October 15, 2009
1508	1	September 01, 1997
1509	1	July 05, 2010
1510	1	February 28, 2006
1511	1	November 14, 2007
1512	1	March 02, 2010
1513	1	December 06, 2005
1514	1	January 01, 2004
1515	1	January 01, 2004
1516	1	December 03, 2009
1517	1	September 08, 2009
1518	1	March 23, 2010
1519	1	March 28, 2006
1520	1	September 14, 2010
1521	1	January 14, 2010
1522	1	September 01, 2005
1523	1	February 01, 2004
1524	1	November 09, 2009
1525	1	May 22, 2007
1526	1	April 01, 2010
1527	1	April 15, 2010
1528	1	June 01, 2010
1529	1	July 28, 2009
1530	1	July 28, 2009
1531	1	July 30, 2009
1532	1	October 10, 2005
1533	1	April 01, 2005
1534	1	February 24, 2009
1535	1	January 12, 2010
1536	1	February 19, 2008
1537	1	March 01, 1996
1538	1	March 01, 2010
1539	1	February 01, 2010
1540	1	February 23, 2010
1541	1	April 20, 2009
1542	1	February 26, 2009
1543	1	October 01, 1978
1544	1	June 01, 1993
1545	1	June 01, 2009
1546	1	June 01, 2009
1547	1	March 01, 1997
1548	1	November 03, 2009
1549	1	July 01, 2009
1550	1	May 01, 2003
1551	1	February 09, 2010
1552	1	July 06, 2010
1553	1	June 02, 2009
1554	1	April 27, 2010
1555	1	July 01, 2008
1556	1	October 16, 2008
1557	1	October 05, 2009
1558	1	April 01, 2000
1559	1	July 01, 1988
1560	1	August 05, 2008
1561	1	October 26, 2010
1562	1	May 25, 2010
1563	1	March 01, 1993
1564	1	April 01, 1998
1565	1	June 29, 2010
1566	1	November 10, 2009
1567	1	September 01, 2004
1568	1	April 06, 2010
1569	1	October 01, 2002
1570	1	October 25, 2005
1571	1	October 20, 2009
1572	1	May 01, 2009
1573	1	November 01, 2009
1574	1	January 29, 2008
1575	1	April 25, 2009
1576	1	May 01, 2001
1577	1	January 26, 2010
1578	1	May 11, 2010
1579	1	June 25, 1999
1580	1	September 01, 2007
1581	1	May 01, 2003
1582	1	October 02, 2007
1583	1	April 28, 2009
1584	1	July 01, 2003
1585	1	August 01, 2008
1586	1	February 01, 2001
1587	1	June 29, 2010
1588	1	August 01, 2008
1589	1	October 01, 1999
1590	1	November 09, 2009
1591	1	April 01, 2009
1592	1	May 01, 2003
1593	1	February 09, 2010
1594	1	October 01, 1990
1595	1	July 01, 2007
1596	1	March 01, 1986
1597	1	February 27, 2007
1598	1	December 01, 2000
1599	1	April 30, 2005
1600	1	August 28, 2007
1601	1	May 01, 2007
1602	1	August 01, 1995
1603	1	October 01, 1991
1604	1	June 10, 2008
1605	1	December 24, 2009
1606	1	October 21, 2010
1607	1	July 01, 2010
1608	1	March 07, 2006
1609	1	August 11, 2009
1610	1	June 29, 2010
1611	1	March 14, 2006
1612	1	March 14, 2006
1613	1	March 09, 2010
1614	1	March 03, 2010
1615	1	August 01, 1994
1616	1	April 13, 2010
1617	1	September 01, 2003
1618	1	June 29, 2010
1619	1	May 01, 1993
1620	1	June 01, 2010
1621	1	April 29, 2008
1622	1	April 18, 2006
1623	1	July 07, 2009
1624	1	March 02, 2010
1625	1	March 01, 2009
1626	1	February 23, 2010
1627	1	June 29, 2010
1628	1	July 01, 2007
1629	1	June 03, 2010
1630	1	April 07, 2009
1631	1	April 07, 2009
1632	1	March 02, 2010
1633	1	June 15, 2010
1634	1	September 05, 2006
1635	1	June 24, 2010
1636	1	October 27, 2009
1637	1	April 08, 2008
1638	1	March 23, 2010
1639	1	August 06, 2009
1640	1	August 06, 2009
1641	1	August 19, 2009
1642	1	July 01, 2010
1643	1	May 11, 2010
1644	1	March 31, 2009
1645	1	November 30, 2009
1646	1	April 07, 2009
1647	1	April 01, 2010
1648	1	April 02, 2002
1649	1	November 28, 2006
1650	1	July 07, 2009
1651	1	April 15, 2008
1652	1	September 01, 2009
1653	1	January 01, 1997
1654	1	February 26, 2009
1655	1	July 01, 1994
1656	1	June 10, 2010
1657	1	June 01, 2010
1658	1	June 10, 2009
1659	1	July 01, 2001
1660	1	May 01, 2001
1661	1	October 01, 2006
1662	1	July 30, 2004
1663	1	April 01, 2001
1664	1	August 15, 1994
1665	1	September 10, 2007
1666	1	August 01, 1997
1667	1	July 01, 2003
1668	1	June 18, 2009
1669	1	April 01, 2010
1670	1	June 01, 1991
1671	1	March 10, 2010
1672	1	October 01, 1992
1673	1	January 30, 2005
1674	1	September 01, 1995
1675	1	July 01, 2003
1676	1	July 14, 2008
1677	1	August 18, 2009
1678	1	October 14, 2008
1679	1	February 26, 2009
1680	1	June 01, 2008
1681	1	February 24, 2009
1682	1	March 01, 1982
1683	1	February 15, 2007
1684	1	July 27, 2004
1685	1	March 01, 2002
1686	1	April 01, 2007
1687	1	March 01, 1994
1688	1	December 30, 2004
1689	1	June 01, 1997
1690	1	January 15, 2009
1691	1	May 01, 1997
1692	1	July 31, 2005
1693	1	January 01, 2004
1694	1	September 23, 2008
1695	1	June 02, 2009
1696	1	May 25, 2010
1697	1	June 25, 2002
1698	1	October 01, 2002
1699	1	December 29, 2009
1700	1	June 22, 2010
1701	1	August 06, 2002
1702	1	January 01, 2003
1703	1	May 01, 2007
1704	1	April 13, 2010
1705	1	November 01, 1995
1706	1	March 01, 2006
1707	1	March 01, 2002
1708	1	March 27, 2008
1709	1	December 01, 2002
1710	1	December 01, 1994
1711	1	June 01, 1996
1712	1	March 30, 2009
1713	1	August 01, 2006
1714	1	July 07, 2006
1715	1	July 13, 2007
1716	1	July 01, 2003
1717	1	September 01, 2002
1718	1	February 05, 2004
1719	1	January 01, 2002
1720	1	January 01, 2002
1721	1	September 28, 2010
1722	1	June 14, 2010
1723	1	October 01, 2009
1724	1	May 01, 2010
1725	1	May 01, 2008
1726	1	August 01, 2007
1727	1	April 01, 2006
1728	1	April 01, 2006
1729	1	July 07, 2008
1730	1	May 21, 2010
1731	1	February 05, 2004
1732	1	September 01, 2009
1733	1	July 26, 2008
1734	1	June 01, 2010
1735	1	March 23, 1998
1736	1	February 26, 2009
1737	1	February 24, 2009
1738	1	February 03, 2010
1739	1	June 01, 2009
1740	1	September 22, 2009
1741	1	September 25, 2007
1742	1	February 01, 1985
1743	1	September 09, 2008
1744	1	June 29, 2010
1745	1	August 20, 2009
1746	1	July 01, 2010
1747	1	March 01, 2000
1748	1	June 08, 2010
1749	1	March 01, 2002
1750	1	October 19, 2005
1751	1	February 26, 2009
1752	1	June 02, 2009
1753	1	April 28, 2006
1754	1	September 01, 2005
1755	1	January 05, 2010
1756	1	October 27, 2009
1757	1	May 25, 2010
1758	1	September 27, 2005
1759	1	May 01, 1997
1760	1	January 07, 2009
1761	1	September 14, 2009
1762	1	May 01, 2010
1763	1	January 05, 2010
1764	1	June 15, 2010
1765	1	August 01, 1990
1766	1	May 04, 2010
1767	1	September 15, 2009
1768	1	October 20, 2008
1769	1	June 02, 2009
1770	1	May 01, 2005
1771	1	June 23, 2009
1772	1	September 11, 2007
1773	1	April 27, 2010
1774	1	April 01, 2010
1775	1	June 22, 2010
1776	1	February 01, 2002
1777	1	April 20, 2010
1778	1	January 01, 2005
1779	1	July 01, 2005
1780	1	May 14, 2009
1781	1	May 26, 2009
1782	1	September 01, 2008
1783	1	March 01, 1971
1784	1	March 01, 2003
1785	1	July 10, 2007
1786	1	May 12, 2009
1787	1	November 30, 2009
1788	1	May 01, 2009
1789	1	March 16, 2010
1790	1	August 22, 2006
1791	1	February 01, 2008
1792	1	May 22, 2009
1793	1	March 28, 2006
1794	1	March 28, 2006
1795	1	October 01, 2002
1796	1	May 11, 2010
1797	1	July 06, 2010
1798	1	February 07, 2006
1799	1	December 01, 2008
1800	1	December 01, 2008
1801	1	August 25, 2009
1802	1	January 01, 1996
1803	1	April 28, 2010
1804	1	June 02, 2009
1805	1	July 30, 2009
1806	1	November 03, 2009
1807	1	August 17, 2010
1808	1	November 03, 2009
1809	1	October 27, 2009
1810	1	August 01, 1992
1811	1	January 22, 2009
1812	1	November 10, 2007
1813	1	July 01, 2008
1814	1	June 01, 1999
1815	1	March 16, 2010
1816	1	March 16, 2010
1817	1	March 16, 2010
1818	1	February 01, 2008
1819	1	August 01, 2009
1820	1	September 30, 2009
1821	1	May 01, 2010
1822	1	May 25, 2010
1823	1	October 01, 1993
1824	1	October 31, 2006
1825	1	June 01, 2010
1826	1	February 01, 2010
1827	1	June 08, 2010
1828	1	April 23, 2009
1829	1	October 16, 2007
1830	1	July 10, 2007
1831	1	September 01, 2009
1832	1	February 26, 2009
1833	1	May 01, 1999
1834	1	June 21, 2009
1835	1	May 20, 2008
1836	1	June 22, 2010
1837	1	July 22, 2008
1838	1	November 30, 2009
1839	1	March 16, 2009
1840	1	April 26, 2005
1841	1	May 18, 2010
1842	1	June 18, 2010
1843	1	November 09, 2009
1844	1	April 13, 2010
1845	1	January 01, 2010
1846	1	March 01, 2010
1847	1	August 14, 2008
1848	1	June 01, 2010
1849	1	September 30, 2009
1850	1	October 12, 2009
1851	1	April 27, 2010
1852	1	August 01, 1985
1853	1	April 28, 2010
1854	1	October 01, 1996
1855	1	March 09, 2010
1856	1	May 25, 2010
1857	1	December 23, 2009
1858	1	June 29, 2010
1859	1	August 01, 2009
1860	1	July 01, 2010
1861	1	July 08, 2009
1862	1	October 17, 2006
1863	1	October 17, 2006
1864	1	May 05, 2009
1865	1	May 01, 2008
1866	1	May 01, 1995
1867	1	May 06, 2010
1868	1	August 06, 2009
1869	1	August 01, 1988
1870	1	January 30, 2005
1871	1	January 05, 2010
1872	1	February 01, 2001
1873	1	August 10, 2010
1874	1	June 15, 2010
1875	1	March 01, 2003
1876	1	October 15, 2009
1877	1	May 30, 2006
1878	1	December 23, 2009
1879	1	May 04, 2010
1880	1	May 11, 2010
1881	1	October 03, 2006
1882	1	April 27, 2010
1883	1	October 01, 1999
1884	1	February 01, 2008
1885	1	September 01, 2004
1886	1	October 01, 2008
1887	1	May 11, 2010
1888	1	April 20, 2010
1889	1	April 01, 2004
1890	1	September 01, 2003
1891	1	September 21, 2009
1892	1	May 01, 2004
1893	1	April 13, 2010
1894	1	September 15, 1993
1895	1	September 08, 2008
1896	1	September 08, 2008
1897	1	February 01, 2003
1898	1	September 01, 1992
1899	1	March 30, 2009
1900	1	October 15, 2009
1901	1	July 06, 2010
1902	1	May 11, 2010
1903	1	June 08, 2010
1904	1	January 01, 2010
1905	1	February 23, 2010
1906	1	January 07, 2003
1907	1	January 01, 1996
1908	1	June 22, 2010
1909	1	March 30, 2010
1910	1	August 20, 2007
1911	1	March 04, 2003
1912	1	September 01, 1999
1913	1	October 01, 2003
1914	1	March 09, 2010
1915	1	February 01, 2005
1916	1	August 28, 2006
1917	1	May 04, 2010
1918	1	January 01, 2009
1919	1	March 03, 2005
1920	1	September 11, 2008
1921	1	January 19, 2010
1922	1	August 25, 2009
1923	1	August 25, 2009
1924	1	May 25, 2010
1925	1	October 01, 1994
1926	1	May 04, 2010
1927	1	May 01, 2001
1928	1	February 26, 2009
1929	1	September 01, 2009
1930	1	October 01, 2009
1931	1	June 18, 2010
1932	1	February 02, 2010
1933	1	March 19, 2010
1934	1	March 23, 2010
1935	1	March 06, 2007
1936	1	October 18, 2006
1937	1	September 09, 1939
1938	1	November 26, 2009
1939	1	April 06, 2010
1940	1	June 15, 2010
1941	1	December 03, 2009
1942	1	December 08, 2009
1943	1	May 11, 2005
1944	1	May 01, 2000
1945	1	April 15, 2009
1946	1	June 08, 2010
1947	1	September 29, 2009
1948	1	April 01, 2008
1949	1	December 29, 2009
1950	1	August 18, 2009
1951	1	May 01, 2009
1952	1	June 05, 2006
1953	1	April 28, 2010
1954	1	March 14, 2006
1955	1	August 19, 2009
1956	1	October 26, 2009
1957	1	February 16, 2010
1958	1	May 13, 2008
1959	1	March 28, 2006
1960	1	June 16, 2004
1961	1	April 01, 2007
1962	1	October 26, 2010
1963	1	March 10, 2009
1964	1	January 12, 2010
1965	1	April 06, 2010
1966	1	June 14, 2010
1967	1	October 28, 2008
1968	1	May 01, 2007
1969	1	October 02, 2008
1970	1	June 01, 2010
1971	1	March 09, 2010
1972	1	January 19, 2010
1973	1	January 19, 2010
1974	1	June 01, 2010
1975	1	December 27, 2005
1976	1	October 09, 2007
1977	1	June 09, 2009
1978	1	April 04, 2006
1979	1	January 19, 2010
1980	1	October 10, 2006
1981	1	June 11, 2009
1982	1	April 01, 2008
1983	1	March 16, 2009
1984	1	May 11, 2010
1985	1	February 01, 2001
1986	1	January 04, 2010
1987	1	January 01, 2003
1988	1	January 18, 2010
1989	1	January 06, 2009
1990	1	April 27, 2010
1991	1	May 04, 2010
1992	1	June 01, 1958
1993	1	October 01, 1999
1994	1	October 13, 2009
1995	1	August 01, 1999
1996	1	March 01, 2006
1997	1	June 01, 2010
1998	1	February 16, 2009
1999	1	March 10, 2009
