book	barnesandnoble	publication_date
0819	1	Pub. Date: July 2009
0820	1	Pub. Date: February 2009
0821	1	Pub. Date: October 2005
0822	1	Pub. Date: January 2009
0823	1	Pub. Date: November 2008
0824	1	Pub. Date: July 2004
0825	1	Pub. Date: October 2009
0826	1	Pub. Date: May 2010
0827	1	Pub. Date: June 1994
0828	1	Pub. Date: February 2010
0829	1	Pub. Date: June 2001
0830	1	Pub. Date: January 2008
0831	1	Pub. Date: August 2004
0832	1	Pub. Date: June 2009
0833	1	Pub. Date: October 2008
0834	1	Pub. Date: January 2010
0835	1	Pub. Date: May 2010
0836	1	Pub. Date: December 2008
0837	1	Pub. Date: January 2010
0838	1	Pub. Date: September 2009
0839	1	Pub. Date: May 2007
0840	1	Pub. Date: May 2010
0841	1	Pub. Date: May 2010
0842	1	Pub. Date: June 2010
0843	1	Pub. Date: July 2005
0844	1	Pub. Date: September 2007
0845	1	Pub. Date: February 2010
0846	1	Pub. Date: October 1999
0847	1	Pub. Date: March 1989
0848	1	Pub. Date: April 2008
0849	1	Pub. Date: June 2010
0850	1	Pub. Date: May 2010
0851	1	Pub. Date: January 2009
0852	1	Pub. Date: July 27, 2010
0853	1	Pub. Date: February 2010
0854	1	Pub. Date: January 2010
0855	1	Pub. Date: August 2006
0856	1	Pub. Date: March 2010
0857	1	Pub. Date: May 2010
0858	1	Pub. Date: February 2010
0859	1	Pub. Date: May 2008
0860	1	Pub. Date: September 2009
0861	1	Pub. Date: May 2010
0862	1	Pub. Date: July 2008
0863	1	Pub. Date: October 2007
0864	1	Pub. Date: December 2008
0865	1	Pub. Date: April 2010
0866	1	Pub. Date: November 2007
0867	1	Pub. Date: June 2009
0868	1	Pub. Date: March 2009
0869	1	Pub. Date: February 2010
0870	1	Pub. Date: April 2009
0871	1	Pub. Date: January 2010
0872	1	Pub. Date: March 2004
0873	1	Pub. Date: June 2008
0874	1	Pub. Date: September 2005
0875	1	Pub. Date: June 2008
0876	1	Pub. Date: April 2010
0877	1	Pub. Date: May 2009
0878	1	Pub. Date: May 2010
0879	1	Pub. Date: April 2006
0880	1	Pub. Date: October 2006
0881	1	Pub. Date: April 2005
0882	1	Pub. Date: September 2003
0883	1	Pub. Date: July 2009
0884	1	Pub. Date: April 1973
0885	1	Pub. Date: August 2006
0886	1	Pub. Date: January 1983
0887	1	Pub. Date: November 2009
0888	1	Pub. Date: May 2010
0889	1	Pub. Date: January 2001
0890	1	Pub. Date: February 2003
0891	1	Pub. Date: August 2009
0892	1	Pub. Date: December 2006
0893	1	Pub. Date: October 2009
0894	1	Pub. Date: September 2003
0895	1	Pub. Date: April 2002
0896	1	Pub. Date: March 2010
0897	1	Pub. Date: January 2006
0898	1	Pub. Date: October 2009
0899	1	Pub. Date: October 2009
0900	1	Pub. Date: September 2004
0901	1	Pub. Date: April 2010
0902	1	Pub. Date: September 14, 2010
0903	1	Pub. Date: March 2010
0904	1	Pub. Date: September 2009
0905	1	Pub. Date: April 2010
0906	1	Pub. Date: March 1968
0907	1	Pub. Date: January 2009
0908	1	Pub. Date: September 2008
0909	1	Pub. Date: December 2007
0910	1	Pub. Date: May 1996
0911	1	Pub. Date: June 2008
0912	1	Pub. Date: October 2008
0913	1	Pub. Date: April 2009
0914	1	Pub. Date: October 2004
0915	1	Pub. Date: June 2008
0916	1	Pub. Date: January 2008
0917	1	Pub. Date: March 2002
0918	1	Pub. Date: August 2001
0919	1	Pub. Date: August 24, 2010
0920	1	Pub. Date: August 1996
0921	1	Pub. Date: January 2010
0922	1	Pub. Date: October 2002
0923	1	Pub. Date: May 2009
0924	1	Pub. Date: March 2010
0925	1	Pub. Date: March 2010
0926	1	Pub. Date: May 2010
0927	1	Pub. Date: November 2001
0928	1	Pub. Date: August 2009
0929	1	Pub. Date: February 2007
0930	1	Pub. Date: February 2010
0931	1	Pub. Date: September 1981
0932	1	Pub. Date: September 2008
0933	1	Pub. Date: July 2009
0934	1	Pub. Date: January 2010
0935	1	Pub. Date: July 1995
0936	1	Pub. Date: May 2010
0937	1	Pub. Date: February 2008
0938	1	Pub. Date: September 2001
0939	1	Pub. Date: April 2010
0940	1	Pub. Date: June 1998
0941	1	Pub. Date: January 1998
0942	1	Pub. Date: February 2010
0943	1	Pub. Date: February 2009
0944	1	Pub. Date: May 2008
0945	1	Pub. Date: December 2005
0946	1	Pub. Date: October 2009
0947	1	Pub. Date: May 2000
0948	1	Pub. Date: January 2005
0949	1	Pub. Date: February 2010
0950	1	Pub. Date: June 2005
0951	1	Pub. Date: October 2009
0952	1	Pub. Date: May 1998
0953	1	Pub. Date: May 1986
0954	1	Pub. Date: May 2008
0955	1	Pub. Date: October 2007
0956	1	Pub. Date: November 2005
0957	1	Pub. Date: July 2009
0958	1	Pub. Date: October 2000
0959	1	Pub. Date: June 2004
0960	1	Pub. Date: February 1992
0961	1	Pub. Date: August 2008
0962	1	Pub. Date: August 2004
0963	1	Pub. Date: February 2010
0964	1	Pub. Date: March 2010
0965	1	Pub. Date: March 2009
0966	1	Pub. Date: June 2009
0967	1	Pub. Date: April 2010
0968	1	Pub. Date: August 2008
0969	1	Pub. Date: October 2008
0970	1	Pub. Date: January 2001
0971	1	Pub. Date: February 2010
0972	1	Pub. Date: February 2007
0973	1	Pub. Date: June 2010
0974	1	Pub. Date: November 2009
0975	1	Pub. Date: September 2006
0976	1	Pub. Date: April 2008
0977	1	Pub. Date: March 2010
0978	1	Pub. Date: February 2010
0979	1	Pub. Date: January 2007
0980	1	Pub. Date: August 16, 2010
0981	1	Pub. Date: March 2007
0982	1	Pub. Date: May 2007
0983	1	Pub. Date: June 2010
0984	1	Pub. Date: May 2010
0985	1	Pub. Date: September 2007
0986	1	Pub. Date: May 2010
0987	1	Pub. Date: March 2009
0988	1	Pub. Date: April 2006
0989	1	Pub. Date: April 2010
0990	1	Pub. Date: June 2003
0991	1	Pub. Date: May 1997
0992	1	Pub. Date: February 2005
0993	1	Pub. Date: June 2006
0994	1	Pub. Date: February 1997
0995	1	Pub. Date: May 2006
0996	1	Pub. Date: November 2007
0997	1	Pub. Date: October 1978
0998	1	Pub. Date: January 2010
0999	1	Pub. Date: January 2003
1000	1	Pub. Date: July 2009
1001	1	Pub. Date: February 2009
1002	1	Pub. Date: February 2006
1003	1	Pub. Date: September 2008
1004	1	Pub. Date: May 2006
1005	1	Pub. Date: May 2005
1006	1	Pub. Date: January 2010
1007	1	Pub. Date: January 2010
1008	1	Pub. Date: January 1994
1009	1	Pub. Date: January 2004
1010	1	Pub. Date: February 2000
1011	1	Pub. Date: May 2007
1012	1	Pub. Date: September 2009
1013	1	Pub. Date: April 2004
1014	1	Pub. Date: May 2010
1015	1	Pub. Date: February 2009
1016	1	Pub. Date: November 2000
1017	1	Pub. Date: May 2010
1018	1	Pub. Date: June 2006
1019	1	Pub. Date: February 2002
1020	1	Pub. Date: March 2010
1021	1	Pub. Date: August 2007
1022	1	Pub. Date: November 2007
1023	1	Pub. Date: June 2010
1024	1	Pub. Date: April 2008
1025	1	Pub. Date: May 2004
1026	1	Pub. Date: February 2010
1027	1	Pub. Date: August 31, 2010
1028	1	Pub. Date: September 2009
1029	1	Pub. Date: November 2005
1030	1	Pub. Date: April 2009
1031	1	Pub. Date: September 2009
1032	1	Pub. Date: June 2000
1033	1	Pub. Date: August 2007
1034	1	Pub. Date: January 2010
1035	1	Pub. Date: April 2000
1036	1	Pub. Date: March 2009
1037	1	Pub. Date: February 2010
1038	1	Pub. Date: September 2009
1039	1	Pub. Date: November 2009
1040	1	Pub. Date: February 2010
1041	1	Pub. Date: April 2002
1042	1	Pub. Date: January 2010
1043	1	Pub. Date: November 2009
1044	1	Pub. Date: September 2004
1045	1	Pub. Date: July 1993
1046	1	Pub. Date: May 2010
1047	1	Pub. Date: February 2010
1048	1	Pub. Date: November 2009
1049	1	Pub. Date: September 2009
1050	1	Pub. Date: September 2002
1051	1	Pub. Date: May 2002
1052	1	Pub. Date: January 2009
1053	1	Pub. Date: October 2004
1054	1	Pub. Date: November 2009
1055	1	Pub. Date: November 2006
1056	1	Pub. Date: August 2005
1057	1	Pub. Date: April 1998
1058	1	Pub. Date: April 2010
1059	1	Pub. Date: January 2007
1060	1	Pub. Date: May 2010
1061	1	Pub. Date: March 2009
1062	1	Pub. Date: December 2009
1063	1	Pub. Date: January 1999
1064	1	Pub. Date: May 2004
1065	1	Pub. Date: May 2009
1066	1	Pub. Date: May 2010
1067	1	Pub. Date: October 2006
1068	1	Pub. Date: May 2004
1069	1	Pub. Date: July 2004
1070	1	Pub. Date: January 2007
1071	1	Pub. Date: February 2008
1072	1	Pub. Date: August 2009
1073	1	Pub. Date: June 2010
1074	1	Pub. Date: February 2010
1075	1	Pub. Date: April 2010
1076	1	Pub. Date: October 2006
1077	1	Pub. Date: July 2008
1078	1	Pub. Date: March 2010
1079	1	Pub. Date: April 2007
1080	1	Pub. Date: April 2008
1081	1	Pub. Date: October 1984
1082	1	Pub. Date: August 2003
1083	1	Pub. Date: July 2007
1084	1	Pub. Date: January 1958
1085	1	Pub. Date: July 2010
1086	1	Pub. Date: May 2008
1087	1	Pub. Date: April 2010
1088	1	Pub. Date: December 31, 2010
1089	1	Pub. Date: September 2009
1090	1	Pub. Date: April 2005
1091	1	Pub. Date: March 1991
1092	1	Pub. Date: February 2009
1093	1	Pub. Date: October 2008
1094	1	Pub. Date: November 2009
1095	1	Pub. Date: January 2010
1096	1	Pub. Date: February 2010
1097	1	Pub. Date: May 2008
1098	1	Pub. Date: May 2010
1099	1	Pub. Date: June 2010
1100	1	Pub. Date: April 2008
1101	1	Pub. Date: March 2010
1102	1	Pub. Date: June 1984
1103	1	Pub. Date: August 2007
1104	1	Pub. Date: August 2002
1105	1	Pub. Date: May 1974
1106	1	Pub. Date: August 2009
1107	1	Pub. Date: June 2010
1108	1	Pub. Date: May 2006
1109	1	Pub. Date: November 2009
1110	1	Pub. Date: January 2010
1111	1	Pub. Date: May 1977
1112	1	Pub. Date: August 2008
1113	1	Pub. Date: January 2010
1114	1	Pub. Date: May 2001
1115	1	Pub. Date: October 2009
1116	1	Pub. Date: March 1998
1117	1	Pub. Date: November 2007
1118	1	Pub. Date: January 2004
1119	1	Pub. Date: May 2009
1120	1	Pub. Date: January 2010
1121	1	Pub. Date: April 1999
1122	1	Pub. Date: January 2009
1123	1	Pub. Date: March 1983
1124	1	Pub. Date: July 2001
1125	1	Pub. Date: February 2010
1126	1	Pub. Date: November 1997
1127	1	Pub. Date: June 2007
1128	1	Pub. Date: October 2007
1129	1	Pub. Date: January 2010
1130	1	Pub. Date: January 2008
1131	1	Pub. Date: October 2006
1132	1	Pub. Date: April 2009
1133	1	Pub. Date: January 2010
1134	1	Pub. Date: September 2009
1135	1	Pub. Date: March 2008
1136	1	Pub. Date: September 2008
1137	1	Pub. Date: April 2010
1138	1	Pub. Date: November 2009
1139	1	Pub. Date: May 2007
1140	1	Pub. Date: January 2006
1141	1	Pub. Date: October 2009
1142	1	Pub. Date: April 2007
1143	1	Pub. Date: January 2009
1144	1	Pub. Date: April 2010
1145	1	Pub. Date: May 2004
1146	1	Pub. Date: February 2010
1147	1	Pub. Date: October 2008
1148	1	Pub. Date: June 2010
1149	1	Pub. Date: April 2010
1150	1	Pub. Date: August 2004
1151	1	Pub. Date: October 1998
1152	1	Pub. Date: March 2003
1153	1	Pub. Date: August 2007
1154	1	Pub. Date: August 2008
1155	1	Pub. Date: September 2008
1156	1	Pub. Date: February 2006
1157	1	Pub. Date: February 2010
1158	1	Pub. Date: March 2010
1159	1	Pub. Date: July 1995
1160	1	Pub. Date: February 2009
1161	1	Pub. Date: October 2009
1162	1	Pub. Date: March 2010
1163	1	Pub. Date: January 2009
1164	1	Pub. Date: October 2009
1165	1	Pub. Date: December 2006
1166	1	Pub. Date: May 2010
1167	1	Pub. Date: February 2010
1168	1	Pub. Date: February 2010
1169	1	Pub. Date: June 1986
1170	1	Pub. Date: February 1999
1171	1	Pub. Date: August 2009
1172	1	Pub. Date: November 2009
1173	1	Pub. Date: April 2009
1174	1	Pub. Date: December 2005
1175	1	Pub. Date: November 2007
1176	1	Pub. Date: January 1998
1177	1	Pub. Date: October 2001
1178	1	Pub. Date: April 2003
1179	1	Pub. Date: June 2002
1180	1	Pub. Date: February 2003
1181	1	Pub. Date: May 2007
1182	1	Pub. Date: October 2004
1183	1	Pub. Date: April 1993
1184	1	Pub. Date: September 2008
1185	1	Pub. Date: February 2010
1186	1	Pub. Date: March 2008
1187	1	Pub. Date: July 2009
1188	1	Pub. Date: February 2002
1189	1	Pub. Date: February 2008
1190	1	Pub. Date: November 2005
1191	1	Pub. Date: April 2001
1192	1	Pub. Date: April 2008
1193	1	Pub. Date: August 2009
1194	1	Pub. Date: May 2005
1195	1	Pub. Date: April 2009
1196	1	Pub. Date: August 2009
1197	1	Pub. Date: October 2009
1198	1	Pub. Date: June 2009
1199	1	Pub. Date: May 2010
1200	1	Pub. Date: March 1986
1201	1	Pub. Date: July 2007
1202	1	Pub. Date: February 2010
1203	1	Pub. Date: February 2010
1204	1	Pub. Date: October 2008
1205	1	Pub. Date: October 2009
1206	1	Pub. Date: September 2009
1207	1	Pub. Date: July 2009
1208	1	Pub. Date: April 2010
1209	1	Pub. Date: April 2010
1210	1	Pub. Date: July 2003
1211	1	Pub. Date: November 2009
1212	1	Pub. Date: December 2009
1213	1	Pub. Date: June 2004
1214	1	Pub. Date: November 2006
1215	1	Pub. Date: September 2008
1216	1	Pub. Date: April 2008
1217	1	Pub. Date: June 2009
1218	1	Pub. Date: January 1995
1219	1	Pub. Date: May 2010
1220	1	Pub. Date: January 2006
1221	1	Pub. Date: September 2000
1222	1	Pub. Date: February 2010
1223	1	Pub. Date: September 2008
1224	1	Pub. Date: December 2008
1225	1	Pub. Date: August 1989
1226	1	Pub. Date: November 2009
1227	1	Pub. Date: May 2009
1228	1	Pub. Date: January 2004
1229	1	Pub. Date: March 2007
1230	1	Pub. Date: March 2010
1231	1	Pub. Date: August 1999
1232	1	Pub. Date: January 2010
1233	1	Pub. Date: July 2007
1234	1	Pub. Date: January 2010
1235	1	Pub. Date: March 2002
1236	1	Pub. Date: January 2006
1237	1	Pub. Date: June 2007
1238	1	Pub. Date: January 2010
1239	1	Pub. Date: September 2003
1240	1	Pub. Date: September 2009
1241	1	Pub. Date: October 2007
1242	1	Pub. Date: August 2009
1243	1	Pub. Date: February 2010
1244	1	Pub. Date: December 2009
1245	1	Pub. Date: September 2007
1246	1	Pub. Date: January 2004
1247	1	Pub. Date: July 2009
1248	1	Pub. Date: November 2007
1249	1	Pub. Date: January 2010
1250	1	Pub. Date: August 2006
1251	1	Pub. Date: December 2008
1252	1	Pub. Date: May 2007
1253	1	Pub. Date: May 2010
1254	1	Pub. Date: March 2010
1255	1	Pub. Date: March 2009
1256	1	Pub. Date: September 2009
1257	1	Pub. Date: September 2008
1258	1	Pub. Date: August 2009
1259	1	Pub. Date: March 2010
1260	1	Pub. Date: January 1998
1261	1	Pub. Date: June 2010
1262	1	Pub. Date: September 2008
1263	1	Pub. Date: November 2009
1264	1	Pub. Date: June 2010
1265	1	Pub. Date: April 2010
1266	1	Pub. Date: May 2010
1267	1	Pub. Date: November 2009
1268	1	Pub. Date: April 2010
1269	1	Pub. Date: January 2010
1270	1	Pub. Date: September 2005
1271	1	Pub. Date: June 1988
1272	1	Pub. Date: July 2010
1273	1	Pub. Date: June 2008
1274	1	Pub. Date: May 2008
1275	1	Pub. Date: August 2009
1276	1	Pub. Date: August 2000
1277	1	Pub. Date: February 2009
1278	1	Pub. Date: July 2003
1279	1	Pub. Date: March 2000
1280	1	Pub. Date: April 2007
1281	1	Pub. Date: April 2006
1282	1	Pub. Date: May 2010
1283	1	Pub. Date: March 2010
1284	1	Pub. Date: January 2010
1285	1	Pub. Date: February 2002
1286	1	Pub. Date: November 2008
1287	1	Pub. Date: January 1999
1288	1	Pub. Date: September 2002
1289	1	Pub. Date: May 2010
1290	1	Pub. Date: November 2001
1291	1	Pub. Date: February 2010
1292	1	Pub. Date: June 2006
1293	1	Pub. Date: July 2008
1294	1	Pub. Date: March 2010
1295	1	Pub. Date: June 1998
1296	1	Pub. Date: October 1996
1297	1	Pub. Date: May 1999
1298	1	Pub. Date: August 2008
1299	1	Pub. Date: March 2001
1300	1	Pub. Date: March 2009
1301	1	Pub. Date: April 2009
1302	1	Pub. Date: September 1996
1303	1	Pub. Date: February 2001
1304	1	Pub. Date: January 2010
1305	1	Pub. Date: September 2000
1306	1	Pub. Date: October 2009
1307	1	Pub. Date: August 2008
1308	1	Pub. Date: May 2010
1309	1	Pub. Date: April 2009
1310	1	Pub. Date: March 2010
1311	1	Pub. Date: December 2008
1312	1	Pub. Date: April 2010
1313	1	Pub. Date: April 2009
1314	1	Pub. Date: September 1993
1315	1	Pub. Date: February 2010
1316	1	Pub. Date: July 13, 2010
1317	1	Pub. Date: April 2000
1318	1	Pub. Date: September 2009
1319	1	Pub. Date: April 2004
1320	1	Pub. Date: March 2007
1321	1	Pub. Date: August 2009
1322	1	Pub. Date: May 2010
1323	1	Pub. Date: May 2000
1324	1	Pub. Date: June 2010
1325	1	Pub. Date: November 2009
1326	1	Pub. Date: March 2010
1327	1	Pub. Date: June 1991
1328	1	Pub. Date: May 2006
1329	1	Pub. Date: October 2006
1330	1	Pub. Date: September 2009
1331	1	Pub. Date: July 1999
1332	1	Pub. Date: June 2010
1333	1	Pub. Date: December 2008
1334	1	Pub. Date: October 2004
1335	1	Pub. Date: November 2003
1336	1	Pub. Date: February 2009
1337	1	Pub. Date: March 2003
1338	1	Pub. Date: April 2010
1339	1	Pub. Date: October 2007
1340	1	Pub. Date: May 2009
1341	1	Pub. Date: October 2003
1342	1	Pub. Date: October 2007
1343	1	Pub. Date: November 2005
1344	1	Pub. Date: May 1998
1345	1	Pub. Date: April 2009
1346	1	Pub. Date: May 2009
1347	1	Pub. Date: February 2010
1348	1	Pub. Date: February 2010
1349	1	Pub. Date: June 2009
1350	1	Pub. Date: October 1998
1351	1	Pub. Date: August 1997
1352	1	Pub. Date: June 2005
1353	1	Pub. Date: July 1999
1354	1	Pub. Date: March 1992
1355	1	Pub. Date: April 2006
1356	1	Pub. Date: May 2009
1357	1	Pub. Date: April 2009
1358	1	Pub. Date: September 1999
1359	1	Pub. Date: October 2008
1360	1	Pub. Date: December 2003
1361	1	Pub. Date: June 2004
1362	1	Pub. Date: February 2010
1363	1	Pub. Date: June 2002
1364	1	Pub. Date: March 2004
1365	1	Pub. Date: May 1987
1366	1	Pub. Date: October 2005
1367	1	Pub. Date: August 2006
1368	1	Pub. Date: May 2001
1369	1	Pub. Date: October 2008
1370	1	Pub. Date: November 2009
1371	1	Pub. Date: February 2008
1372	1	Pub. Date: February 2010
1373	1	Pub. Date: June 2004
1374	1	Pub. Date: May 2009
1375	1	Pub. Date: March 2003
1376	1	Pub. Date: May 2008
1377	1	Pub. Date: October 26, 2010
1378	1	Pub. Date: May 2004
1379	1	Pub. Date: March 2010
1380	1	Pub. Date: October 2006
1381	1	Pub. Date: May 2009
1382	1	Pub. Date: February 2010
1383	1	Pub. Date: March 2010
1384	1	Pub. Date: August 2008
1385	1	Pub. Date: September 2009
1386	1	Pub. Date: February 1963
1387	1	Pub. Date: January 2010
1388	1	Pub. Date: October 2009
1389	1	Pub. Date: May 2008
1390	1	Pub. Date: November 2006
1391	1	Pub. Date: May 2008
1392	1	Pub. Date: May 2009
1393	1	Pub. Date: December 2009
1394	1	Pub. Date: September 1958
1395	1	Pub. Date: March 2010
1396	1	Pub. Date: March 2010
1397	1	Pub. Date: May 2010
1398	1	Pub. Date: April 2006
1399	1	Pub. Date: March 2010
1400	1	Pub. Date: February 2010
1401	1	Pub. Date: June 2009
1402	1	Pub. Date: September 2008
1403	1	Pub. Date: May 2010
1404	1	Pub. Date: September 2008
1405	1	Pub. Date: May 2010
1406	1	Pub. Date: September 2000
1407	1	Pub. Date: August 2009
1408	1	Pub. Date: June 2009
1409	1	Pub. Date: July 2007
1410	1	Pub. Date: June 2009
1411	1	Pub. Date: January 2006
1412	1	Pub. Date: December 2008
1413	1	Pub. Date: January 2006
1414	1	Pub. Date: June 2010
1415	1	Pub. Date: May 2001
1416	1	Pub. Date: January 2008
1417	1	Pub. Date: March 2002
1418	1	Pub. Date: September 2002
1419	1	Pub. Date: November 2009
1420	1	Pub. Date: May 2008
1421	1	Pub. Date: July 2003
1422	1	Pub. Date: March 2009
1423	1	Pub. Date: November 2008
1424	1	Pub. Date: January 2006
1425	1	Pub. Date: August 2006
1426	1	Pub. Date: June 2010
1427	1	Pub. Date: April 2010
1428	1	Pub. Date: December 2007
1429	1	Pub. Date: January 2006
1430	1	Pub. Date: March 2005
1431	1	Pub. Date: April 2003
1432	1	Pub. Date: July 2009
1433	1	Pub. Date: August 2007
1434	1	Pub. Date: October 2007
1435	1	Pub. Date: October 2009
1436	1	Pub. Date: June 2010
1437	1	Pub. Date: November 2009
1438	1	Pub. Date: May 1999
1439	1	Pub. Date: April 2010
1440	1	Pub. Date: August 10, 2010
1441	1	Pub. Date: April 2010
1442	1	Pub. Date: April 2009
1443	1	Pub. Date: December 2009
1444	1	Pub. Date: May 2010
1445	1	Pub. Date: October 2008
1446	1	Pub. Date: March 2010
1447	1	Pub. Date: March 2005
1448	1	Pub. Date: March 2010
1449	1	Pub. Date: May 2000
1450	1	Pub. Date: February 2010
1451	1	Pub. Date: August 2006
1452	1	Pub. Date: October 2007
1453	1	Pub. Date: August 2003
1454	1	Pub. Date: July 2004
1455	1	Pub. Date: February 2010
1456	1	Pub. Date: March 2008
1457	1	Pub. Date: December 2009
1458	1	Pub. Date: April 2010
1459	1	Pub. Date: September 2009
1460	1	Pub. Date: November 2006
1461	1	Pub. Date: August 2008
1462	1	Pub. Date: August 2007
1463	1	Pub. Date: December 2009
1464	1	Pub. Date: November 2006
1465	1	Pub. Date: April 2009
1466	1	Pub. Date: June 1996
1467	1	Pub. Date: November 2008
1468	1	Pub. Date: June 2006
1469	1	Pub. Date: December 2008
1470	1	Pub. Date: November 2002
1471	1	Pub. Date: September 2006
1472	1	Pub. Date: December 2008
1473	1	Pub. Date: August 2008
1474	1	Pub. Date: May 1990
1475	1	Pub. Date: September 1997
1476	1	Pub. Date: January 1999
1477	1	Pub. Date: February 1998
1478	1	Pub. Date: March 2010
1479	1	Pub. Date: June 2010
1480	1	Pub. Date: February 2007
1481	1	Pub. Date: June 2009
1482	1	Pub. Date: February 2000
1483	1	Pub. Date: March 1991
1484	1	Pub. Date: September 2009
1485	1	Pub. Date: September 27, 2010
1486	1	Pub. Date: December 2007
1487	1	Pub. Date: October 2009
1488	1	Pub. Date: June 2008
1489	1	Pub. Date: August 24, 2010
1490	1	Pub. Date: April 2008
1491	1	Pub. Date: September 1988
1492	1	Pub. Date: December 2009
1493	1	Pub. Date: January 2007
1494	1	Pub. Date: March 2010
1495	1	Pub. Date: January 2001
1496	1	Pub. Date: May 2005
1497	1	Pub. Date: January 2003
1498	1	Pub. Date: August 2003
1499	1	Pub. Date: March 2010
1500	1	Pub. Date: May 2010
1501	1	Pub. Date: November 2006
1502	1	Pub. Date: February 2010
1503	1	Pub. Date: November 2007
1504	1	Pub. Date: May 1988
1505	1	Pub. Date: March 2010
1506	1	Pub. Date: September 2008
1507	1	Pub. Date: October 2009
1508	1	Pub. Date: October 2009
1509	1	Pub. Date: May 2008
1510	1	Pub. Date: January 2010
1511	1	Pub. Date: August 2002
1512	1	Pub. Date: December 2008
1513	1	Pub. Date: September 2008
1514	1	Pub. Date: September 2009
1515	1	Pub. Date: May 2010
1516	1	Pub. Date: September 2009
1517	1	Pub. Date: October 2009
1518	1	Pub. Date: March 2010
1519	1	Pub. Date: February 2009
1520	1	Pub. Date: May 2008
1521	1	Pub. Date: May 1994
1522	1	Pub. Date: October 1984
1523	1	Pub. Date: September 2009
1524	1	Pub. Date: December 2009
1525	1	Pub. Date: April 2008
1526	1	Pub. Date: February 2010
1527	1	Pub. Date: October 2009
1528	1	Pub. Date: September 2006
1529	1	Pub. Date: June 2009
1530	1	Pub. Date: March 1991
1531	1	Pub. Date: February 2010
1532	1	Pub. Date: March 2003
1533	1	Pub. Date: October 2009
1534	1	Pub. Date: July 2010
1535	1	Pub. Date: May 2001
1536	1	Pub. Date: January 2010
1537	1	Pub. Date: March 2008
1538	1	Pub. Date: October 2002
1539	1	Pub. Date: March 2010
1540	1	Pub. Date: January 2007
1541	1	Pub. Date: August 1990
1542	1	Pub. Date: March 2007
1543	1	Pub. Date: September 2005
1544	1	Pub. Date: August 2006
1545	1	Pub. Date: September 2009
1546	1	Pub. Date: September 2006
1547	1	Pub. Date: June 2010
1548	1	Pub. Date: April 2007
1549	1	Pub. Date: April 2008
1550	1	Pub. Date: October 2008
1551	1	Pub. Date: March 2008
1552	1	Pub. Date: October 2007
1553	1	Pub. Date: October 2002
1554	1	Pub. Date: March 2010
1555	1	Pub. Date: March 1997
1556	1	Pub. Date: May 2010
1557	1	Pub. Date: April 2007
1558	1	Pub. Date: July 2007
1559	1	Pub. Date: May 1989
1560	1	Pub. Date: October 2009
1561	1	Pub. Date: March 2010
1562	1	Pub. Date: September 2009
1563	1	Pub. Date: December 2000
1564	1	Pub. Date: May 2004
1565	1	Pub. Date: November 2009
1566	1	Pub. Date: April 2010
1567	1	Pub. Date: June 2010
1568	1	Pub. Date: October 2009
1569	1	Pub. Date: November 1999
1570	1	Pub. Date: July 2006
1571	1	Pub. Date: October 2008
1572	1	Pub. Date: January 2007
1573	1	Pub. Date: June 2009
1574	1	Pub. Date: October 2009
1575	1	Pub. Date: May 2004
1576	1	Pub. Date: August 2004
1577	1	Pub. Date: October 2006
1578	1	Pub. Date: October 2008
1579	1	Pub. Date: April 2002
1580	1	Pub. Date: September 2009
1581	1	Pub. Date: March 2006
1582	1	Pub. Date: August 1996
1583	1	Pub. Date: August 2001
1584	1	Pub. Date: June 2008
1585	1	Pub. Date: August 2007
1586	1	Pub. Date: March 2006
1587	1	Pub. Date: November 2008
1588	1	Pub. Date: January 2010
1589	1	Pub. Date: June 2004
1590	1	Pub. Date: July 2008
1591	1	Pub. Date: January 2010
1592	1	Pub. Date: May 2004
1593	1	Pub. Date: October 2009
1594	1	Pub. Date: September 2009
1595	1	Pub. Date: October 2001
1596	1	Pub. Date: February 2010
1597	1	Pub. Date: May 2004
1598	1	Pub. Date: June 2004
1599	1	Pub. Date: February 2001
1600	1	Pub. Date: May 2005
1601	1	Pub. Date: April 2010
1602	1	Pub. Date: October 2007
1603	1	Pub. Date: March 2005
1604	1	Pub. Date: October 2008
1605	1	Pub. Date: April 2008
1606	1	Pub. Date: September 2009
1607	1	Pub. Date: May 2010
1608	1	Pub. Date: March 2010
1609	1	Pub. Date: February 2010
1610	1	Pub. Date: September 1937
1611	1	Pub. Date: February 2009
1612	1	Pub. Date: May 2009
1613	1	Pub. Date: July 13, 2010
1614	1	Pub. Date: February 2003
1615	1	Pub. Date: March 2010
1616	1	Pub. Date: September 2009
1617	1	Pub. Date: January 2010
1618	1	Pub. Date: October 1950
1619	1	Pub. Date: October 2008
1620	1	Pub. Date: January 2000
1621	1	Pub. Date: November 2009
1622	1	Pub. Date: October 2000
1623	1	Pub. Date: October 2009
1624	1	Pub. Date: April 2009
1625	1	Pub. Date: February 2009
1626	1	Pub. Date: March 2010
1627	1	Pub. Date: May 2010
1628	1	Pub. Date: January 2010
1629	1	Pub. Date: June 2010
1630	1	Pub. Date: September 2004
1631	1	Pub. Date: April 2009
1632	1	Pub. Date: June 2009
1633	1	Pub. Date: September 2009
1634	1	Pub. Date: July 2010
1635	1	Pub. Date: March 2007
1636	1	Pub. Date: May 2010
1637	1	Pub. Date: September 1991
1638	1	Pub. Date: August 2007
