book	waterstones	publication_date
1163	1	28/10/2010
1164	1	02/03/2010
1165	1	07/03/2011
1166	1	01/09/2005
1167	1	04/06/2007
1168	1	05/06/2006
1169	1	01/02/2009
1170	1	15/03/2010
1171	1	01/08/2004
1172	1	01/02/2010
1173	1	26/10/2010
1174	1	24/09/2010
1175	1	08/04/2010
1176	1	02/09/2010
1177	1	29/03/2001
1178	1	28/08/2008
1179	1	24/07/2003
1180	1	04/06/2009
1181	1	14/02/2001
1182	1	01/10/2007
1183	1	07/04/1997
1184	1	11/09/2003
1185	1	06/04/2009
1186	1	01/03/2010
1187	1	02/03/2009
1188	1	01/03/2010
1189	1	02/03/2009
1190	1	06/05/2010
1191	1	05/09/2007
1192	1	03/03/1994
1193	1	25/02/2008
1194	1	28/01/2011
1195	1	23/02/2006
1196	1	05/10/2009
1197	1	26/03/2009
1198	1	13/05/2010
1199	1	18/01/2010
1200	1	03/04/2008
1201	1	16/09/2010
1202	1	25/09/2008
1203	1	07/01/2010
1204	1	21/10/2010
1205	1	06/05/2004
1206	1	11/10/2010
1207	1	31/07/2008
1208	1	02/04/2010
1209	1	24/03/2011
1210	1	07/03/2011
1211	1	31/12/2010
1212	1	01/10/1993
1213	1	02/04/2007
1214	1	27/09/2010
1215	1	01/09/2009
1216	1	05/08/2010
1217	1	11/04/2008
1218	1	06/09/2010
1219	1	12/10/2007
1220	1	07/10/2010
1221	1	02/09/2010
1222	1	20/04/2009
1223	1	28/05/2010
1224	1	04/10/2010
1225	1	25/12/2009
1226	1	03/12/2008
1227	1	22/03/2007
1228	1	27/05/2009
1229	1	06/09/2010
1230	1	14/10/2010
1231	1	08/10/2009
1232	1	20/11/2008
1233	1	21/02/2008
1234	1	18/10/2007
1235	1	25/10/2010
1236	1	07/12/2010
1237	1	11/02/2010
1238	1	01/10/2010
1239	1	05/02/2009
1240	1	12/10/2009
1241	1	04/04/2005
1242	1	02/03/2009
1243	1	15/09/2008
1244	1	16/08/2010
1245	1	15/10/2009
1246	1	01/08/2009
1247	1	03/03/2008
1248	1	15/10/2009
1249	1	14/10/2010
1250	1	13/02/2007
1251	1	02/04/2009
1252	1	26/02/2009
1253	1	08/10/2009
1254	1	06/04/2010
1255	1	15/01/2009
1256	1	01/08/2006
1257	1	20/02/2010
1258	1	18/03/2010
1259	1	25/05/2010
1260	1	06/10/2003
1261	1	09/09/2010
1262	1	23/09/2010
1263	1	01/05/2004
1264	1	30/04/1993
1265	1	01/10/2005
1266	1	28/10/2008
1267	1	04/11/2010
1268	1	04/10/2010
1269	1	05/08/2010
1270	1	06/08/2009
1271	1	21/10/2010
1272	1	14/10/2010
1273	1	14/10/2010
1274	1	16/09/2010
1275	1	01/11/1971
1276	1	01/10/2009
1277	1	02/09/2010
1278	1	01/08/2009
1279	1	14/10/2010
1280	1	07/10/2010
1281	1	15/10/2010
1282	1	04/06/2009
1283	1	07/06/2010
1284	1	02/04/2009
1285	1	30/09/2010
1286	1	07/05/2009
1287	1	07/06/2010
1288	1	02/09/2010
1289	1	18/09/2008
1290	1	14/10/2010
1291	1	04/10/2010
1292	1	10/09/2009
1293	1	10/09/2009
1294	1	01/10/2009
1295	1	06/05/2008
1296	1	02/12/2004
1297	1	06/08/2007
1298	1	01/11/2010
1299	1	28/09/2009
1300	1	10/06/2010
1301	1	20/09/2004
1302	1	14/10/2010
1303	1	15/10/2010
1304	1	14/10/2010
1305	1	27/09/2007
1306	1	30/09/2010
1307	1	01/10/2009
1308	1	07/10/2010
1309	1	02/06/2003
1310	1	30/05/2003
1311	1	05/11/2009
1312	1	01/11/2001
1313	1	01/05/2009
1314	1	19/09/2007
1315	1	30/09/2010
1316	1	03/09/2009
1317	1	19/05/2008
1318	1	01/11/2001
1319	1	01/10/2009
1320	1	01/07/2009
1321	1	18/10/2001
1322	1	03/11/2005
1323	1	21/01/2010
1324	1	01/09/2010
1325	1	06/09/2007
1326	1	05/10/2009
1327	1	11/08/2000
1328	1	28/08/2008
1329	1	12/06/2002
1330	1	05/09/2002
1331	1	05/10/2009
1332	1	15/01/2010
1333	1	01/10/2009
1334	1	17/09/2010
1335	1	02/08/2010
1336	1	07/05/2009
1337	1	01/10/1986
1338	1	25/05/2006
1339	1	20/09/2010
1340	1	25/09/2008
1341	1	29/04/2010
1342	1	17/08/2010
1343	1	04/04/2011
1344	1	28/01/2011
1345	1	03/01/2011
1346	1	01/03/2004
1347	1	06/02/1997
1348	1	05/03/2009
1349	1	01/10/2002
1350	1	07/02/2008
1351	1	01/09/2003
1352	1	10/06/1999
1353	1	01/06/2004
1354	1	16/09/2010
1355	1	06/07/2009
1356	1	01/04/2010
1357	1	25/10/2007
1358	1	20/01/2011
1359	1	01/07/2011
1360	1	01/09/2010
1361	1	04/11/2010
1362	1	31/08/2007
1363	1	06/07/2009
1364	1	25/09/2009
1365	1	23/02/2006
1366	1	18/05/2010
1367	1	01/05/2007
1368	1	01/05/2008
1369	1	28/03/2008
1370	1	30/06/2006
1371	1	01/11/2010
1372	1	12/05/2011
1373	1	28/07/2008
1374	1	07/07/2005
1375	1	18/02/2002
1376	1	01/04/2010
1377	1	02/09/2010
1378	1	29/11/1994
1379	1	02/11/2009
1380	1	01/03/2004
1381	1	06/09/2010
1382	1	09/02/2011
1383	1	03/03/2011
1384	1	01/02/2011
1385	1	01/02/2011
1386	1	05/04/2001
1387	1	30/09/2010
1388	1	30/09/2010
1389	1	30/10/2008
1390	1	01/05/2003
1391	1	10/09/2007
1392	1	05/10/2009
1393	1	08/11/2007
1394	1	24/08/2009
1395	1	01/02/2001
1396	1	01/02/2010
1397	1	01/04/2010
1398	1	22/02/1996
1399	1	13/05/2004
1400	1	23/07/2009
1401	1	14/05/2009
1402	1	30/09/2010
1403	1	03/09/2010
1404	1	05/04/2011
1405	1	06/12/1999
1406	1	01/08/2002
1407	1	14/09/2006
1408	1	01/06/1995
1409	1	01/03/2004
1410	1	05/08/2002
1411	1	01/02/2010
1412	1	24/05/2010
1413	1	03/05/2010
1414	1	29/10/2009
1415	1	28/01/2005
1416	1	07/09/2010
1417	1	09/06/2008
1418	1	06/03/1997
1419	1	05/11/1998
1420	1	03/05/2010
1421	1	28/05/1993
1422	1	01/09/2010
1423	1	06/07/2009
1424	1	04/12/2008
1425	1	01/10/2010
1426	1	30/09/2010
1427	1	05/11/2010
1428	1	08/10/2010
1429	1	13/01/2011
1430	1	07/10/2010
1431	1	21/10/2010
1432	1	16/09/2010
1433	1	03/11/2005
1434	1	09/09/2010
1435	1	01/04/2007
1436	1	01/06/2005
1437	1	01/03/2011
1438	1	01/10/2010
1439	1	02/09/2010
1440	1	28/10/2010
1441	1	01/02/2010
1442	1	14/10/2010
1443	1	16/10/2009
1444	1	05/03/2009
1445	1	23/09/2009
1446	1	01/04/2010
1447	1	01/10/2009
1448	1	31/10/2010
1449	1	16/09/2010
1450	1	31/12/2010
1451	1	06/01/2011
1452	1	27/05/2010
1453	1	02/09/2010
1454	1	01/10/2008
1455	1	02/09/2005
1456	1	15/09/1997
1457	1	01/04/2010
1458	1	01/09/2010
1459	1	04/10/2010
1460	1	06/07/2009
1461	1	16/11/2010
1462	1	10/06/2010
1463	1	01/08/2008
1464	1	09/07/2009
1465	1	11/08/2010
1466	1	25/10/2010
1467	1	27/05/2010
1468	1	10/08/2000
1469	1	11/09/2010
1470	1	31/03/2011
1471	1	01/04/2011
1472	1	01/04/2011
1473	1	03/05/2010
1474	1	01/07/2010
1475	1	19/09/2002
1476	1	18/01/2010
1477	1	30/06/2010
1478	1	07/08/2003
1479	1	06/04/2009
1480	1	18/11/2008
1481	1	01/06/2001
1482	1	26/10/2010
1483	1	27/09/1999
1484	1	30/11/2006
1485	1	01/09/2010
1486	1	29/04/2004
1487	1	20/11/2006
1488	1	04/10/2010
1489	1	06/08/2009
1490	1	22/07/2010
1491	1	03/12/2009
1492	1	15/09/2005
1493	1	07/10/2010
1494	1	07/02/2008
1495	1	06/03/2011
1496	1	31/03/2008
1497	1	01/09/2010
1498	1	03/02/2011
1499	1	07/03/2011
1500	1	15/05/2010
1501	1	02/08/2010
1502	1	03/04/2006
1503	1	07/04/2008
1504	1	22/11/2010
1505	1	25/06/2009
1506	1	01/02/2008
1507	1	03/11/2008
1508	1	20/01/2011
1509	1	31/12/2010
1510	1	01/05/2007
1511	1	15/11/2006
1512	1	13/05/2010
1513	1	01/09/2010
1514	1	07/05/2009
1515	1	01/09/2007
1516	1	26/03/2010
1517	1	05/04/2004
1518	1	01/04/2010
1519	1	25/01/2010
1520	1	16/09/2010
1521	1	01/03/2009
1522	1	02/07/2008
1523	1	02/07/2009
1524	1	01/05/2007
1525	1	26/11/2010
1526	1	04/06/2010
1527	1	01/09/2010
1528	1	18/03/2010
1529	1	03/06/2010
1530	1	13/04/2000
1531	1	01/06/2001
1532	1	10/07/2008
1533	1	15/09/2010
1534	1	07/04/2011
1535	1	24/06/2010
1536	1	01/04/2011
1537	1	01/10/2010
1538	1	03/03/2011
1539	1	06/01/2011
1540	1	01/02/2011
1541	1	04/04/2011
1542	1	25/07/2010
1543	1	20/09/2007
1544	1	05/08/2010
1545	1	06/10/2008
1546	1	10/09/2009
1547	1	01/09/2008
1548	1	02/08/1999
1549	1	16/09/2009
1550	1	26/07/2010
1551	1	01/02/2007
1552	1	28/05/2009
1553	1	02/08/2004
1554	1	18/11/2010
1555	1	19/09/2008
1556	1	31/10/2010
1557	1	01/07/2009
1558	1	25/04/2010
1559	1	15/10/2009
1560	1	29/10/2010
1561	1	15/07/2002
1562	1	03/06/2010
1563	1	26/08/2009
1564	1	07/09/2009
1565	1	24/01/2005
1566	1	01/10/2009
1567	1	05/02/2009
1568	1	18/07/2002
1569	1	02/09/2010
1570	1	01/10/2010
1571	1	06/11/2009
1572	1	04/11/2010
1573	1	20/01/2011
1574	1	12/12/1994
1575	1	03/09/2010
1576	1	28/10/2010
1577	1	07/05/2009
1578	1	07/05/2009
1579	1	01/05/2006
1580	1	07/10/2010
1581	1	01/07/2004
1582	1	02/02/2009
1583	1	06/09/2010
1584	1	01/05/2010
1585	0	<NULL>
1586	1	25/08/1997
1587	1	28/05/1992
1588	1	19/03/2009
1589	1	25/03/2010
1590	1	04/08/2003
1591	1	07/10/2010
1592	1	29/06/2006
1593	1	10/05/2001
1594	1	01/10/2009
1595	1	07/04/2005
1596	1	07/04/2005
1597	1	10/07/2008
1598	1	14/12/1992
1599	1	03/10/2008
1600	1	09/10/2000
1601	1	01/12/2010
1602	1	21/11/2002
1603	1	08/05/2008
1604	1	08/07/1985
1605	1	06/05/2010
1606	1	06/05/2010
1607	1	25/10/2010
1608	1	07/04/2005
1609	1	31/05/2001
1610	1	01/10/2009
1611	1	01/06/2005
1612	1	08/08/1977
1613	1	09/05/1997
1614	1	11/03/2011
1615	1	02/04/2009
1616	1	01/07/2005
1617	1	04/02/2010
1618	1	01/09/2010
1619	1	20/10/2010
1620	1	05/09/2003
1621	1	27/11/1997
1622	1	09/04/2001
1623	1	17/04/2008
1624	1	03/07/2009
1625	1	19/08/1996
1626	1	27/01/1994
1627	1	30/01/2003
1628	1	29/11/2010
1629	1	29/07/2010
1630	1	13/11/2008
1631	1	01/09/2010
1632	1	03/04/2006
1633	1	27/08/1987
1634	1	01/12/2000
1635	1	21/04/2005
1636	1	01/04/2004
1637	1	05/04/2010
1638	1	04/03/1991
1639	1	07/10/2004
1640	1	09/10/2008
1641	1	30/01/2003
1642	1	27/05/1993
1643	1	31/05/2010
1644	1	09/11/2010
1645	1	16/01/2006
1646	1	26/07/1973
1647	1	06/09/2010
1648	1	17/08/1992
1649	1	01/01/2002
1650	1	06/11/1978
1651	1	01/08/2008
1652	1	20/02/1992
1653	1	01/01/1974
1654	1	05/04/2007
1655	1	01/01/2011
1656	1	21/05/2007
1657	1	27/01/2011
1658	1	31/01/2011
1659	1	07/01/1999
1660	1	03/03/2011
1661	1	02/09/2010
1662	1	15/03/2001
1663	1	03/06/2010
1664	1	03/12/2006
1665	1	25/11/2010
1666	1	19/10/2010
1667	1	01/06/2002
1668	1	03/02/2011
1669	1	04/01/2011
1670	1	03/02/2011
1671	1	13/01/2011
1672	1	10/06/2010
1673	1	30/12/2010
1674	1	07/09/2004
1675	1	07/12/2010
1676	1	18/04/2001
1677	1	25/05/2010
1678	1	07/12/2006
1679	1	30/09/2010
1680	1	31/01/2011
1681	1	13/01/2011
1682	1	01/01/2009
1683	1	26/11/1992
1684	1	18/10/2010
1685	1	16/05/2005
1686	1	07/08/2003
1687	1	30/04/2009
1688	1	06/02/2006
1689	1	01/06/2010
1690	1	10/06/2010
1691	1	24/11/2010
1692	1	03/05/2005
1693	1	26/08/2010
1694	1	01/04/2000
1695	1	06/09/2007
1696	1	04/02/2010
1697	1	17/09/2009
1698	1	01/04/2010
1699	1	25/07/1974
1700	1	29/10/2010
1701	1	01/07/1997
1702	1	03/06/2010
1703	1	02/05/2008
1704	1	27/05/2010
1705	1	06/04/2000
1706	1	05/04/2007
1707	1	01/04/2010
1708	1	28/10/2010
1709	1	27/11/2008
1710	1	01/10/2010
1711	1	01/04/2010
1712	1	01/04/2010
1713	1	01/03/2007
1714	1	17/04/2008
1715	1	16/02/2007
1716	1	17/04/2008
1717	1	25/06/2010
1718	1	01/06/2010
1719	1	07/09/2006
1720	1	10/06/2010
1721	1	01/05/2010
1722	1	13/05/2004
1723	1	05/03/2009
1724	1	25/11/2010
1725	1	02/04/2009
1726	1	24/06/2010
1727	1	15/04/2010
1728	1	19/07/1966
1729	1	06/05/2004
1730	1	04/01/2011
1731	1	31/01/2011
1732	1	18/03/2011
1733	1	20/01/2011
1734	1	30/03/2011
1735	1	29/11/2004
1736	1	28/08/2009
1737	1	07/09/2009
1738	1	07/01/2011
1739	1	07/10/2010
1740	1	25/11/2010
1741	1	01/05/2008
1742	1	06/01/2011
1743	1	15/03/2010
1744	1	06/01/2011
1745	1	07/01/2010
1746	1	24/07/2010
1747	1	27/09/2010
1748	1	27/10/2010
1749	1	02/08/2007
1750	1	13/05/2010
1751	1	23/08/2010
1752	1	17/07/2009
1753	1	10/09/2009
1754	1	16/09/2010
1755	1	04/03/2010
1756	1	01/07/2000
1757	1	02/04/2009
1758	1	31/07/2009
1759	1	01/10/2009
1760	1	30/10/2009
1761	1	05/12/2008
1762	1	29/01/2010
1763	1	01/04/2010
1764	1	03/09/2008
1765	1	25/05/2010
1766	1	16/12/2010
1767	1	15/01/2009
1768	1	03/02/2011
1769	1	24/04/2003
1770	1	20/04/2007
1771	1	01/08/2010
1772	1	01/07/2010
1773	1	03/07/2009
1774	1	01/09/2010
1775	1	03/11/2009
1776	1	15/10/2010
1777	1	28/01/2005
1778	1	22/12/2009
1779	1	01/10/2010
1780	1	20/09/2010
1781	1	01/02/2008
1782	1	23/07/2008
1783	1	30/09/2010
1784	1	01/10/2010
1785	1	01/10/2008
1786	1	01/10/2009
1787	1	15/01/2009
1788	1	13/10/2010
1789	1	27/05/2010
1790	1	31/10/2002
1791	1	02/10/2006
1792	1	22/02/2010
1793	1	30/12/2008
1794	1	06/05/2010
1795	1	03/02/2011
1796	1	15/04/2008
1797	1	06/09/2007
1798	1	07/10/2010
1799	1	04/11/2010
1800	1	03/05/2007
1801	1	27/01/2011
1802	1	20/01/2011
1803	1	06/05/2004
1804	1	08/10/2009
1805	1	10/09/2007
1806	1	07/10/2010
1807	1	15/10/2011
1808	1	06/01/2011
1809	1	22/04/1992
1810	1	16/09/2010
1811	1	01/06/2006
1812	1	30/09/2010
1813	1	30/03/2000
1814	1	25/03/2011
1815	1	03/02/2011
1816	1	10/03/2011
1817	1	01/08/2011
1818	1	06/05/2008
1819	1	27/07/2008
1820	1	19/06/2008
1821	1	05/05/2008
1822	1	29/01/2009
1823	1	05/01/2009
1824	1	01/09/2004
1825	1	29/04/2010
1826	1	13/01/2011
1827	1	28/08/2008
1828	1	01/11/2004
1829	1	17/04/2008
1830	1	10/09/2009
1831	1	07/03/2002
1832	1	03/09/2009
1833	1	31/12/2010
1834	1	01/06/2010
1835	1	03/06/2010
1836	1	30/04/2009
1837	1	09/02/2011
1838	1	04/02/2011
1839	1	28/10/2010
1840	1	24/02/2011
1841	1	28/10/2010
1842	1	20/01/2011
1843	1	24/02/2011
1844	1	03/03/2011
1845	1	07/02/1991
1846	1	31/10/2009
1847	1	24/03/2011
1848	1	02/02/2011
1849	1	02/12/2010
1850	1	02/02/2009
1851	1	20/09/1991
1852	1	07/01/2011
1853	1	06/03/2000
1854	1	31/03/2011
1855	1	03/03/1994
1856	1	25/09/2008
1857	1	01/12/2010
1858	1	01/04/2004
1859	1	01/08/2002
1860	1	02/10/2006
1861	1	19/08/2010
1862	1	14/10/2010
1863	1	01/03/2011
1864	1	06/01/2011
1865	1	03/01/2011
1866	1	07/01/2011
1867	1	07/01/2011
1868	1	06/06/2002
1869	1	02/04/2001
1870	1	01/01/2010
1871	1	02/04/2010
1872	1	01/07/2010
1873	1	07/08/2009
1874	1	05/08/2010
1875	1	04/02/2010
1876	1	20/12/2010
1877	1	02/01/2009
1878	1	17/09/2010
1879	1	04/03/2010
1880	1	04/02/2010
1881	1	21/01/2010
1882	1	05/11/2010
1883	1	17/07/2009
1884	1	03/08/2009
1885	1	20/10/2008
1886	1	07/08/2009
1887	1	02/10/2008
1888	1	02/08/2007
1889	1	04/12/2009
1890	1	06/04/2009
1891	1	05/07/2007
1892	1	06/09/2007
1893	1	18/02/2010
1894	1	29/05/2009
1895	1	01/10/2009
1896	1	06/03/2008
1897	1	05/05/2008
1898	1	01/04/2010
1899	1	07/10/2010
1900	1	20/06/2008
1901	1	07/07/2006
1902	1	11/06/2009
1903	1	27/01/2006
1904	1	02/09/2010
1905	1	20/06/2008
1906	1	04/01/2007
1907	1	02/08/2007
1908	1	17/09/2010
1909	1	10/07/1998
1910	1	05/09/2008
1911	1	24/04/2003
1912	1	05/08/2010
1913	1	01/03/2001
1914	1	01/06/1986
1915	1	03/02/2003
1916	1	27/03/2008
1917	1	01/11/2009
1918	1	30/09/2008
1919	1	05/11/2010
1920	1	01/11/2010
1921	1	17/09/2010
1922	1	08/06/2006
1923	1	07/09/2009
1924	1	25/03/2010
1925	1	05/04/2007
1926	1	03/06/2010
1927	1	04/09/2009
1928	1	10/10/2010
1929	1	01/10/2010
1930	1	29/10/2009
1931	1	04/03/2010
1932	1	29/01/1996
1933	1	04/05/2007
1934	1	04/01/2008
1935	1	25/02/2011
1936	1	01/01/2011
1937	1	27/01/2011
1938	1	28/10/2010
1939	1	06/01/2011
1940	1	13/01/2011
1941	1	03/02/2011
1942	1	20/03/1991
1943	1	03/02/2011
1944	1	17/11/2011
1945	1	28/10/2010
1946	1	01/11/2010
1947	1	03/02/2011
1948	1	31/03/2011
1949	1	02/10/2008
1950	1	01/06/2010
1951	1	10/02/2011
1952	1	03/02/2011
1953	1	18/11/2010
1954	1	10/09/2009
1955	1	14/10/2010
1956	1	05/01/1998
1957	1	14/10/2010
1958	1	26/01/2011
1959	1	03/06/2010
1960	1	08/10/1999
1961	1	01/10/2003
1962	1	02/09/2010
1963	1	04/03/2010
1964	1	01/11/2010
1965	1	11/11/2010
1966	1	06/05/2010
1967	1	09/07/2009
1968	1	02/09/2010
1969	1	06/04/2010
1970	1	27/10/2009
1971	1	03/03/2011
1972	1	18/11/2010
1973	1	01/04/2010
1974	1	04/11/2010
1975	1	16/10/2009
1976	1	14/04/1988
1977	1	28/10/2010
1978	1	20/01/2011
1979	1	25/06/1992
1980	1	09/12/2010
1981	1	22/07/2010
1982	1	09/01/1992
1983	1	04/11/2010
1984	1	03/01/1998
1985	1	02/10/2009
1986	1	13/05/2010
1987	1	24/02/2011
1988	1	23/08/2010
1989	1	07/06/2010
1990	1	10/03/2011
1991	1	24/02/2011
1992	1	06/01/2011
1993	1	09/09/2010
1994	1	21/05/1992
1995	1	01/10/2010
1996	1	19/09/2005
1997	1	16/09/2010
1998	1	01/07/1989
1999	1	26/02/2004
