book	abebooks	publication_date
1743	1	1992
1744	1	1976
1745	1	1992
1746	1	1986
1747	1	1984
1748	1	2002
1749	1	2007
1750	1	1989
1751	1	1997
1752	1	1997
1753	1	2003
1754	1	1997
1755	1	1993
1756	1	2005
1757	1	2001
1758	1	1997
1759	1	1984
1760	1	2004
1761	1	1994
1762	1	2005
1763	1	2001
1764	1	1997
1765	1	1995
1766	1	1994
1767	1	2003
1768	1	1998
1769	1	1998
1770	1	1990
1771	1	2008
1772	1	1984
1773	1	1995
1774	1	1991
1775	1	1986
1776	1	1991
1777	1	2001
1778	1	1971
1779	1	1991
1780	1	2003
1781	1	2002
1782	1	2002
1783	1	1986
1784	1	1986
1785	1	1985
1786	1	1982
1787	1	1984
1788	1	1993
1789	1	2002
1790	1	2005
1791	1	2007
1792	1	2006
1793	1	1990
1794	1	1991
1795	1	1994
1796	1	1994
1797	1	1997
1798	1	1999
1799	1	1975
1800	1	1983
1801	1	2001
1802	1	1986
1803	1	1997
1804	1	1990
1805	1	2006
1806	1	1989
1807	1	2008
1808	1	2003
1809	1	1986
1810	1	2000
1811	1	2001
1812	1	1988
1813	1	2003
1814	1	2000
1815	1	1992
1816	1	2004
1817	1	1981
1818	1	2005
1819	1	1990
1820	1	2002
1821	1	1985
1822	1	1993
1823	1	1979
1824	1	2005
1825	1	2003
1826	1	2002
1827	1	1981
1828	1	1984
1829	1	2005
1830	1	1994
1831	1	1998
1832	1	1994
1833	1	1978
1834	1	1988
1835	1	1994
1836	1	1994
1837	1	1995
1838	1	1999
1839	1	1973
1840	1	1981
1841	1	2004
1842	1	2007
1843	1	1990
1844	1	1992
1845	1	1977
1846	1	1996
1847	1	1996
1848	1	1989
1849	1	1994
1850	1	2001
1851	1	1994
1852	1	1996
1853	1	1997
1854	1	1991
1855	1	1998
1856	1	2000
1857	1	1994
1858	1	1974
1859	1	1980
1860	1	2004
1861	1	2003
1862	1	2000
1863	1	2003
1864	1	2006
1865	1	2008
1866	1	1999
1867	1	2000
1868	1	2007
1869	1	1974
1870	1	2004
1871	1	2003
1872	1	2003
1873	1	1999
1874	1	2000
1875	1	2000
1876	1	2003
1877	1	2008
1878	1	1999
1879	1	2008
1880	1	2002
1881	1	2000
1882	1	2002
1883	1	2004
1884	1	2005
1885	1	2008
1886	1	2007
1887	1	2007
1888	1	1996
1889	1	2002
1890	1	2004
1891	1	2006
1892	1	2005
1893	1	2008
1894	1	2006
1895	1	2003
1896	1	1996
1897	1	1997
1898	1	2003
1899	1	1999
1900	1	2005
1901	1	1998
1902	1	2003
1903	1	1997
1904	1	1998
1905	1	2006
1906	1	2006
1907	1	1999
1908	1	1997
1909	1	2008
1910	1	1998
1911	1	2005
1912	1	2004
1913	0	<NULL>
1914	1	2002
1915	1	2000
1916	1	2004
1917	1	2004
1918	1	2007
1919	1	2005
1920	1	2001
1921	1	2004
1922	1	2001
1923	1	1996
1924	0	<NULL>
1925	1	2001
1926	1	1991
1927	1	2003
1928	1	2001
1929	1	2005
1930	1	2003
1931	1	2006
1932	1	2002
1933	1	2004
1934	1	1999
1935	1	2003
1936	1	2001
1937	1	1990
1938	1	2002
1939	1	2007
1940	1	2005
1941	1	2000
1942	1	2006
1943	1	1996
1944	1	2002
1945	1	2002
1946	1	2004
1947	1	2004
1948	1	2010
1949	1	2009
1950	1	2010
1951	1	2007
1952	1	2007
1953	1	2006
1954	1	2006
1955	1	2008
1956	1	2006
1957	1	1981
1958	1	2010
1959	1	2008
1960	1	2008
1961	1	2005
1962	1	2010
1963	1	2009
1964	1	2009
1965	1	2006
1966	1	2009
1967	1	2008
1968	1	2009
1969	1	2003
1970	1	2010
1971	1	2008
1972	1	2010
1973	1	2010
1974	1	2010
1975	1	2005
1976	1	2006
1977	1	2004
1978	1	2005
1979	1	2002
1980	1	2005
1981	1	2008
1982	1	2008
1983	1	2009
1984	1	2008
1985	1	1992
1986	1	2007
1987	1	1997
1988	1	1996
1989	1	2008
1990	1	2005
1991	1	2010
1992	1	2001
1993	1	2010
1994	1	2010
1995	1	2010
1996	1	1997
1997	1	2010
1998	1	2010
1999	1	2007
