book	bookdepository	publisher
0909	1	Hodder &amp; Stoughton General Division
0910	1	Rockport Publishers Inc.
0911	1	St. Martin&#039;s Press
0912	1	Pocket Books
0913	1	Simon &amp; Schuster
0914	1	Vintage Books USA
0915	1	Pan Macmillan
0916	1	Little, Brown Book Group
0917	1	Picador USA
0918	1	Elsevier Health Sciences
0919	1	John Wiley &amp; Sons Inc
0920	1	Viz Media, Subs. of Shogakukan Inc
0921	1	Viz Media, Subs. of Shogakukan Inc
0922	1	Viz Media, Subs. of Shogakukan Inc
0923	1	Viz Media, Subs. of Shogakukan Inc
0924	1	Viz Media, Subs. of Shogakukan Inc
0925	1	Zebra Books
0926	1	Zebra Books
0927	1	Kensington Publishing
0928	1	Greenwillow Books
0929	1	Margaret K. McElderry Books
0930	1	Bloomsbury Publishing PLC
0931	1	Pocket Books
0932	1	Simon &amp; Schuster
0933	1	Tyndale House Publishers
0934	1	Tyndale House Publishers
0935	1	Tyndale House Publishers
0936	1	Zondervan
0937	1	Mira Books
0938	1	Overlook Press
0939	1	Random House (NY)
0940	1	Saint Martin&#039;s Press Inc.
0941	1	HarperCollins Publishers
0942	1	Scholastic
0943	1	Scholastic
0944	1	Scholastic
0945	1	Scholastic
0946	1	Arthur A. Levine Books
0947	1	Scholastic
0948	1	Penguin Books Ltd
0949	1	National Geographic Society
0950	1	Egmont Childrens Books
0951	1	Hay House Inc
0952	1	DC Comics
0953	1	Image Comics
0954	1	Idea &amp; Design Works
0955	1	DC Comics
0956	1	Vertigo
0957	1	Dark Horse Comics,U.S.
0958	1	HarperCollins
0959	1	Harper
0960	1	HarperCollins Publishers Inc
0961	1	McGraw-Hill Education - Europe
0962	1	Lonely Planet Publications Ltd
0963	1	Northfield Publishing,U.S.
0964	1	David &amp; Charles
0965	1	Penguin Books Ltd
0966	1	Back Bay Books
0967	1	B.Dutton Publishing (A Division of Squires Kitchen Magazine Publishing Ltd.)
0968	1	Simon &amp; Schuster Ltd
0969	1	Lonely Planet Publications Ltd
0970	1	House of White Birches
0971	1	Dark Horse Comics,U.S.
0972	1	Dark Horse Comics,U.S.
0973	1	Ten Speed Press
0974	1	Pearson Education Limited
0975	1	Delacorte Press
0976	1	DC Comics
0977	1	Chronicle Books
0978	1	Hachette Book Group USA
0979	1	Bloomsbury Publishing PLC
0980	1	Faber and Faber
0981	1	Little, Brown Book Group
0982	1	Harper Perennial
0983	1	Random House Audio
0984	1	Bantam
0985	1	HighBridge Audio
0986	1	Pan Macmillan (Digital)
0987	1	Dutton Books
0988	1	Feiwel &amp; Friends
0989	1	Feiwel &amp; Friends
0990	1	Harvard Business School Publishing
0991	1	Entrepreneur Press
0992	1	AVA Publishing SA
0993	1	Ballantine Books
0994	1	Random House Audio
0995	1	Berkley Prime Crime
0996	1	Icon Books Ltd
0997	1	Penguin Books Ltd
0998	1	Simon &amp; Schuster
0999	1	Knopf Doubleday Publishing Group
1000	1	John Wiley &amp; Sons Inc
1001	1	Hachette Audio
1002	1	Saint Martin&#039;s Press Inc.
1003	1	Random House Audio
1004	1	Penguin Press
1005	1	Penguin Books
1006	1	Avery Publishing Group Inc.,U.S.
1007	1	CCV
1008	1	HarperCollins Publishers Inc
1009	1	Rosettabooks, LLC
1010	1	HarperCollins Publishers
1011	1	Wordsworth Editions Ltd
1012	1	Wordsworth Editions Ltd
1013	1	Random House USA Inc
1014	1	Bloomsbury Publishing PLC
1015	1	Bantam Doubleday Dell Publishing Group Inc
1016	1	Pan Macmillan (Digital)
1017	1	Mariner Books
1018	1	Random House USA Inc
1019	1	Riverhead Books
1020	1	Highbridge Company
1021	1	Penguin Books Ltd
1022	1	Harvard Business School Publishing
1023	1	Penguin Audiobooks
1024	1	Multnomah Press
1025	1	Crossway Books
1026	1	SAGE Publications Ltd
1027	1	Cengage Learning, Inc
1028	1	Disney Press
1029	1	HarperCollins Publishers Inc
1030	1	HarperCollins Publishers Inc
1031	1	HarperCollins Publishers Inc
1032	1	Canongate Books Ltd
1033	1	David C Cook Publishing Company
1034	1	Watson-Guptill Publications
1035	1	Bloomsbury Publishing PLC
1036	1	Cambridge University Press
1037	1	Prentice Hall (a Pearson Education company)
1038	1	Cambridge University Press
1039	1	WW Norton &amp; Co
1040	1	Naxos AudioBooks
1041	1	Penguin Books Ltd
1042	1	Simon &amp; Schuster Merchandise &amp;
1043	1	HarperCollins Publishers Inc
1044	1	Philomel Books
1045	1	Pan Macmillan
1046	1	International Law &amp; Taxation
1047	1	Wildside Press
1048	1	Simon &amp; Schuster
1049	1	Knopf Publishing Group
1050	1	Random House Audio
1051	1	Simon &amp; Schuster
1052	1	Ebury Press
1053	1	Simon &amp; Schuster Audio
1054	1	Alma Books Ltd
1055	1	Villard Books
1056	1	The Perseus Books Group
1057	1	F&amp;W Publications Inc
1058	1	Shambhala Publications Inc
1059	1	Shambhala Publications Inc
1060	1	Shambhala Publications Inc
1061	1	Image Comics
1062	1	Penguin Books Ltd
1063	1	P &amp; R Publishing Co (Presbyterian &amp; Reformed)
1064	1	John Wiley &amp; Sons Inc
1065	1	Penguin Press
1066	1	Assouline
1067	1	Brilliance Audio
1068	1	Crossway Books
1069	1	Thorndike Press
1070	1	WW Norton &amp; Co
1071	1	Anchor Books
1072	1	CCV
1073	1	HarperTorch
1074	1	Little, Brown Book Group
1075	1	Edinburgh University Press
1076	1	Hyperion Books
1077	1	John Wiley and Sons Ltd
1078	1	North Atlantic Books,U.S.
1079	1	Chronicle Books
1080	1	Chronicle Books
1081	1	Tor Books
1082	1	NuVision Publications
1083	1	Hackett Publishing Co, Inc
1084	1	Dover Publications Inc.
1085	1	Kodansha International Ltd
1086	1	Penguin Books Ltd
1087	1	McGraw-Hill Education - Europe
1088	1	Iowa State University Press
1089	1	Harper Perennial
1090	1	Knopf Publishing Group
1091	0	<NULL>
1092	1	Penguin Books Ltd
1093	1	Faber and Faber
1094	1	CCV
1095	1	Grove Press
1096	1	ELB Publishing
1097	1	F&amp;W Publications Inc
1098	1	Pearson Education Limited
1099	1	Roc
1100	1	Roc
1101	1	Digireads.com
1102	1	Buccaneer Books
1103	1	Wordsworth Editions Ltd
1104	1	Penguin Books Ltd
1105	1	Nabu Press
1106	1	WW Norton &amp; Co
1107	1	HarperCollins Publishers Inc
1108	1	HarperCollins Publishers Inc
1109	1	Pearson Education (US)
1110	1	Pearson Education (US)
1111	1	Little, Brown &amp; Company
1112	1	Little Brown and Company
1113	1	Back Bay Books
1114	1	Portfolio
1115	1	Knopf Publishing Group
1116	1	Pantheon Books
1117	1	Doubleday Publishing
1118	1	Orion Publishing Co
1119	1	John Wiley and Sons Ltd
1120	1	Taylor &amp; Francis Ltd
1121	1	Penguin Books Ltd
1122	1	Dover Publications Inc.
1123	1	Penguin Books Ltd
1124	1	Penguin Books Ltd
1125	1	Wordsworth Editions Ltd
1126	1	Naxos AudioBooks
1127	1	WW Norton &amp; Co
1128	1	Back Bay Books
1129	1	Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG
1130	1	WW Norton &amp; Co
1131	1	Penguin Books Ltd
1132	1	HarperCollins Publishers Inc
1133	1	Penguin Books Ltd
1134	1	Penguin Books Ltd
1135	1	Hyperion
1136	1	Elsevier Science &amp; Technology
1137	1	Dover Publications Inc.
1138	1	Dover Publications Inc.
1139	1	Dover Publications Inc.
1140	1	Blackstone Audiobooks
1141	1	Bantam
1142	1	Blackstone Audiobooks
1143	1	Dell Publishing
1144	1	Tantor Media, Inc
1145	1	Spectra
1146	1	HarperCollins Publishers
1147	1	Overlook Press
1148	1	Manchester University Press
1149	1	Chouette Editions
1150	1	Kodansha International Ltd
1151	1	Shambhala Publications Inc
1152	1	Kodansha International Ltd
1153	1	Tuttle Publishing
1154	1	Tuttle Publishing
1155	1	McSweeney&#039;s Publishing
1156	1	WW Norton &amp; Co
1157	1	Penguin Putnam Inc
1158	1	Penguin Books Ltd
1159	1	Storey Books
1160	1	Alpha Books
1161	1	Thorndike Press
1162	1	Harlequin Mills &amp; Boon
1163	1	Constable and Robinson
1164	1	Ebury Press
1165	1	Ebury Press
1166	1	Saint Martin&#039;s Press Inc.
1167	1	Audio Renaissance, Div of Holtzbrink Publishers
1168	1	Taunton Press Inc
1169	1	Anova Books
1170	1	Interweave Press Inc
1171	1	Laurence King Publishing
1172	1	Avalon Travel Publishing
1173	1	Lotus Press
1174	1	Hay House Inc
1175	1	Hay House UK Ltd
1176	1	Oneworld Publications
1177	1	Harperluxe
1178	1	The University of Chicago Press
1179	1	Bloomsbury Publishing PLC
1180	1	The Mercier Press Ltd
1181	1	Jossey-Bass
1182	1	Self-Realization Fellowship,U.S.
1183	1	Thomas Nelson Publishers
1184	1	Brilliance Corporation
1185	1	Tor Books
1186	1	Stewart, Tabori &amp; Chang Inc
1187	1	Egmont USA
1188	1	Egmont USA
1189	1	Ace Books
1190	1	Ace Books
1191	1	Gallup Press
1192	1	McGraw-Hill Education - Europe
1193	1	Gallup Press
1194	1	Penguin Putnam Inc
1195	1	Bearport Publishing
1196	1	MIT Press Ltd
1197	1	Agate Publishing
1198	1	Heinemann USA
1199	1	Hachette Children&#039;s Books
1200	1	Hachette Children&#039;s Books
1201	1	Adams Media Corporation
1202	1	Little, Brown &amp; Company
1203	1	St. Martin&#039;s Griffin
1204	1	Listening Library
1205	1	Kensington Publishing
1206	1	HarperCollins Publishers Inc
1207	1	Headline Publishing Group
1208	1	W F Howes Ltd
1209	1	DK Publishing (Dorling Kindersley)
1210	1	Elsevier Australia
1211	1	Tantor Media, Inc
1212	1	Simon &amp; Schuster
1213	1	Simon &amp; Schuster Ltd
1214	1	The University of Chicago Press
1215	1	Primal Body-Primal Mind Publishing
1216	1	McGraw-Hill Education - Europe
1217	1	Elsevier Health Sciences
1218	1	John Wiley and Sons Ltd
1219	1	Penguin Putnam Inc
1220	1	Hyperion
1221	1	Watson-Guptill Publications
1222	1	Brilliance Audio
1223	1	Brilliance Audio
1224	1	CCV
1225	1	Quercus Publishing Plc
1226	1	Little, Brown Book Group
1227	1	Oxford University Press
1228	1	Chronicle Books
1229	1	John Wiley and Sons Ltd
1230	1	Chronicle Books
1231	1	HarperCollins Publishers
1232	1	Simon &amp; Schuster
1233	1	Simon &amp; Schuster Merchandise &amp;
1234	1	Workman Publishing
1235	1	Outreach Inc
1236	1	Marvel Comics
1237	1	Image Comics
1238	1	Mira Books
1239	1	MIRA
1240	1	MIRA
1241	1	Faber and Faber
1242	1	G2 Entertainment Ltd
1243	1	Eos
1244	1	Simon &amp; Schuster
1245	1	Lothian Publishing Company
1246	1	Cengage Learning, Inc
1247	1	Penguin Books
1248	1	Pan Macmillan
1249	1	Jones and Bartlett Publishers, Inc
1250	1	Random House Books for Young Readers
1251	1	W F Howes Ltd
1252	1	Tantor Media, Inc
1253	1	Orion Publishing Co
1254	1	Pan Macmillan
1255	1	Tantor Media, Inc
1256	1	Spectra Books
1257	1	Bantam Books
1258	1	Bantam
1259	1	Tor Books
1260	1	Tor Books
1261	1	Little Brown and Company
1262	1	HarperCollins Publishers Inc
1263	0	<NULL>
1264	1	Penguin Putnam Inc
1265	1	Penguin Putnam Inc
1266	1	Simon &amp; Schuster
1267	1	Penguin Putnam Inc
1268	1	Pocket Books
1269	1	Pageturner
1270	1	Digireads.com
1271	1	The Perseus Books Group
1272	1	Little, Brown &amp; Company
1273	1	Oxford University Press Inc
1274	1	Berrett-Koehler
1275	1	Spice
1276	1	Penguin Putnam Inc
1277	1	Saint Martin&#039;s Press Inc.
1278	1	Bantam Doubleday Dell Publishing Group Inc
1279	1	Bantam Doubleday Dell Publishing Group Inc
1280	1	Brilliance Audio
1281	1	Harlequin Teen
1282	1	Ballantine Books
1283	1	Orion Publishing Co
1284	1	Pocket Books
1285	1	Arcturus Publishing Ltd
1286	1	Sterling Publishing Co Inc
1287	1	Little, Brown Book Group
1288	1	Hyperion E-Books
1289	1	Bloomsbury Publishing PLC
1290	1	Penguin Books Ltd
1291	1	Random House Inc
1292	1	AuthorHouse
1293	1	Hodder &amp; Stoughton General Division
1294	1	Penguin Books Ltd
1295	1	Penguin Books Ltd
1296	1	Pan Macmillan
1297	1	Souvenir Press Ltd
1298	1	Partera Press,U.S.
1299	1	Anagrama
1300	1	New York Review of Books
1301	1	New Directions Publishing Corporation
1302	1	Atlantic Books
1303	1	Saint Martin&#039;s Press Inc.
1304	1	Night Shade Books
1305	1	St Martins Pr
1306	1	Bloomsbury Publishing PLC
1307	1	Bloomsbury Publishing PLC
1308	1	Three Rivers Press (CA)
1309	1	Harmony
1310	1	Crown Publishing Group
1311	1	Knopf Publishing Group
1312	1	Hardie Grant Books
1313	1	Scholastic US
1314	1	Puffin Books
1315	1	Penguin Group USA
1316	1	Scribner Book Company
1317	1	Indiana University Press
1318	1	Blackstone Audiobooks
1319	1	Simon &amp; Schuster
1320	1	Bantam Doubleday Dell Publishing Group Inc
1321	1	HarperCollins Publishers Inc
1322	1	CCV
1323	1	Pearson Education Limited
1324	1	Pearson Education Limited
1325	1	Riverhead Hardcover
1326	1	Cornerstone
1327	1	Grove Press / Atlantic Monthly Press
1328	1	CCV
1329	1	Translit Publishing
1330	1	Random House USA Inc
1331	1	Penguin Books Ltd
1332	1	Avalon Travel Publishing
1333	1	Penguin Books Ltd
1334	1	HarperCollins Publishers
1335	1	HarperCollins Publishers
1336	1	Minotaur Books
1337	1	Dell Publishing Company
1338	1	Center Point Large Print
1339	1	Little, Brown &amp; Company
1340	1	St. Martin&#039;s Griffin
1341	1	New World Library
1342	1	Dutton Books
1343	1	New World Library
1344	1	New World Library
1345	1	Pan Macmillan
1346	1	Faber and Faber
1347	1	Vintage Books USA
1348	1	Blackstone Audiobooks
1349	1	Little, Brown Book Group
1350	1	The Perseus Books Group
1351	1	Orion Publishing Co
1352	1	Free Press
1353	1	Turtleback Books
1354	1	Harper Teen
1355	1	Walker Books Ltd
1356	1	Laurence King Publishing
1357	1	Turtleback Books
1358	1	Harper Teen
1359	1	Bantam Books
1360	1	Blackstone Audiobooks
1361	1	Random House Audio
1362	1	Gill &amp; Macmillan Ltd
1363	1	Constable and Robinson
1364	1	Ebury Press
1365	1	Knopf Publishing Group
1366	1	Cornerstone
1367	1	David Fulton Publishers Ltd
1368	1	David Fulton Publishers Ltd
1369	1	Rowman &amp; Littlefield
1370	1	Human Kinetics Publishers
1371	1	A &amp; C Black Publishers Ltd
1372	1	Rodale Press
1373	1	Putnam Publishing Group,U.S.
1374	1	Michael Wiese Productions
1375	1	Continuum International Publishing Group Ltd.
1376	1	Jessica Kingsley Publishers
1377	1	Lippincott Williams and Wilkins
1378	1	Lippincott Williams and Wilkins
1379	1	Elsevier Health Sciences
1380	1	Random House USA Inc
1381	1	Carlsen Verlag GmbH
1382	1	Viz Media
1383	1	Little, Brown &amp; Company
1384	1	Child Management Inc
1385	1	Child Management Inc
1386	1	Prentice Hall (a Pearson Education company)
1387	1	Guilford Publications
1388	1	Random House USA Inc
1389	1	Roaring Brook Press
1390	1	Ten Speed Press
1391	1	Ten Speed Press
1392	1	Pubone.Info
1393	1	Scholastic US
1394	1	Random House USA Inc
1395	1	Penguin Books Ltd
1396	1	Benediction Classics
1397	1	Penguin Books Ltd
1398	1	Random House USA Inc
1399	1	Wordsworth Editions Ltd
1400	1	Modern Library
1401	1	Oxford University Press
1402	1	Harvard University Press
1403	1	Kessinger Publishing Co
1404	1	Oxford University Press
1405	1	Penguin Books Ltd
1406	1	Ebury Press
1407	1	Amber-Allen Publishing,U.S.
1408	1	Harmony
1409	1	Random House USA Inc
1410	1	Hay House Inc
1411	1	Canongate Books Ltd
1412	1	Kevin Neeland
1413	1	A &amp; C Black Publishers Ltd
1414	1	La Theatre Works
1415	1	McGraw-Hill Companies
1416	1	McGraw-Hill Companies
1417	1	Vintage Books USA
1418	1	Farrar Straus Giroux
1419	1	Bolinda Publishing
1420	1	Brilliance Corporation
1421	1	Listening Library
1422	1	Stanford University Press
1423	1	Findhorn Press Ltd.
1424	1	Simon &amp; Schuster Ltd
1425	1	WW Norton &amp; Co
1426	1	Telos Publishing Ltd
1427	1	Aurum Press Ltd
1428	1	Fair Winds Press
1429	1	David &amp; Charles
1430	1	Quirk Books
1431	1	Search Press Ltd
1432	1	St. Martin&#039;s Griffin
1433	1	Stone Bridge Press
1434	1	Penguin Books
1435	1	Penguin Books Australia
1436	1	The University Press Group Ltd
1437	1	John Wiley and Sons Ltd
1438	1	Murdoch Books
1439	1	Lonely Planet Publications Ltd
1440	1	Lonely Planet Publications Ltd
1441	1	Lonely Planet Publications Ltd
1442	1	Lonely Planet Publications Ltd
1443	1	Lonely Planet Publications Ltd
1444	1	HarperCollins Publishers
1445	1	The Perseus Books Group
1446	1	Xlibris Corporation
1447	1	Thorndike Press
1448	1	Green Books
1449	1	CCV
1450	1	Vertigo
1451	1	Tuttle Publishing
1452	1	Penguin Books Ltd
1453	1	Ulysses Press
1454	1	Simon &amp; Schuster
1455	1	F&amp;W Publications Inc
1456	1	AMMO Books LLC
1457	1	Health Communications
1458	1	The Perseus Books Group
1459	1	North Atlantic Books,U.S.
1460	1	International Society of Neuro-Semantics
1461	1	Chartwell Books
1462	1	Editorial Benei Noaj
1463	1	Random House (Digital)
1464	1	David &amp; Charles
1465	1	Baker Publishing Group
1466	1	SCM Press
1467	1	Blackstone Audiobooks
1468	1	HighBridge Audio
1469	1	Oxford University Press
1470	1	HarperCollins Publishers
1471	1	Prentice Hall (a Pearson Education company)
1472	1	Hyperion Books
1473	1	HarperCollins Publishers Inc
1474	1	Icon Books Ltd
1475	1	Ulysses Press
1476	1	North-South Books (Nord-Sud Verlag AG)
1477	1	HarperCollins Publishers Inc
1478	1	Beach Lane Books
1479	1	Little Hare
1480	1	Usborne Publishing Ltd
1481	1	Houghton Mifflin Harcourt (HMH)
1482	1	Summersdale Publishers
1483	1	Quercus Publishing Plc
1484	1	Quercus Publishing Plc
1485	1	Quercus Publishing Plc
1486	1	Orion Publishing Co
1487	1	Berrett-Koehler
1488	1	Saint Martin&#039;s Press Inc.
1489	1	Harvard Business School Publishing
1490	1	Inner Traditions Bear and Company
1491	1	New Harbinger Publications,U.S.
1492	1	Lippincott Williams and Wilkins
1493	1	A &amp; C Black Publishers Ltd
1494	1	AVA Publishing SA
1495	1	AVA Publishing SA
1496	1	A &amp; C Black Publishers Ltd
1497	1	The Perseus Books Group
1498	1	New World Library
1499	1	Penguin Putnam Inc
1500	1	Penguin Putnam Inc
1501	1	HarperCollins Publishers Inc
1502	1	Zebra
1503	1	Zebra
1504	1	Zebra Books
1505	1	Penguin Putnam Inc
1506	1	Taylor &amp; Francis Ltd
1507	1	ABC-CLIO
1508	0	<NULL>
1509	1	AuthorHouse
1510	1	MacMillan Audio
1511	1	Hachette Filipacchi Media
1512	1	Hachette Filipacchi Media
1513	1	Abrams
1514	1	Ryland, Peters &amp; Small Ltd
1515	1	Random House Publishing Group
1516	1	Penguin Putnam Inc
1517	1	Hodder &amp; Stoughton General Division
1518	1	Cornerstone
1519	1	Cornerstone
1520	1	Simon &amp; Schuster Audio
1521	1	Pocket Books
1522	1	Cornerstone
1523	1	Bloomsbury Publishing PLC
1524	1	HarperCollins Publishers
1525	1	F&amp;W Publications Inc
1526	1	BBC Children&#039;s Books
1527	1	Marvel Comics
1528	1	Titan Books Ltd
1529	1	Titan Books Ltd
1530	1	Indiana University Press
1531	1	Rizzoli International Publications
1532	1	Historic Houses Trust of New South Wales
1533	1	Aperture
1534	1	Vertigo
1535	1	Pear Press
1536	1	Hawthorn Press Ltd
1537	1	Hay House Inc
1538	1	Hay House Inc
1539	1	Hay House Inc
1540	1	Inner Traditions Bear and Company
1541	1	Inner Traditions Bear and Company
1542	1	Black Belt Communications
1543	1	Contemporary Books Inc
1544	1	Crystal Clarity,U.S.
1545	1	Wheeler Publishing
1546	1	Penguin Group USA
1547	1	Brilliance Audio
1548	1	Brilliance Corporation
1549	1	Walker &amp; Co
1550	1	MTV Books
1551	1	Little, Brown &amp; Company
1552	1	Speak
1553	1	Wizards of the Coast
1554	1	Wizards of the Coast
1555	1	Wizards of the Coast
1556	1	Mira Books
1557	1	Blackstone Audiobooks
1558	1	Dorling Kindersley Inc
1559	1	Marvel Comics
1560	1	Marvel Comics
1561	1	Workman Publishing
1562	1	Motorbooks International
1563	1	Max Ellery Publications
1564	1	Haynes Publishing
1565	1	McGraw-Hill Education - Europe
1566	1	TheValueGuide
1567	1	HarperCollins Publishers Inc
1568	1	Orion Publishing Co
1569	1	Jove Books
1570	1	Putnam Adult
1571	1	Hqn
1572	1	Brilliance Audio
1573	1	HarperCollins Publishers Inc
1574	1	Indypublish.com
1575	1	Little, Brown Book Group
1576	1	Digireads.com
1577	1	Simon &amp; Schuster
1578	1	Inner Traditions Bear and Company
1579	1	HarperCollins Publishers
1580	1	John Wiley and Sons Ltd
1581	1	Hodder Education
1582	1	Ebury Press
1583	1	Chronicle Books
1584	1	HarperCollins Publishers
1585	1	Transworld Publishers Ltd
1586	1	Penguin Books
1587	1	Oxford University Press
1588	1	Penguin Books Ltd
1589	1	Digireads.com
1590	1	Sterling Juvenile
1591	1	Pearson Education, Oxford
1592	1	Ebookslib
1593	0	<NULL>
1594	1	Canongate Books Ltd
1595	1	Berkley Publishing Group
1596	1	Anchor Books
1597	1	HarperCollins Publishers
1598	1	Random House
1599	1	WW Norton &amp; Co
1600	1	Harper Perennial
1601	1	HarperCollins Publishers Inc
1602	1	Harper Perennial
1603	1	Harper Teen
1604	1	Savas Beatie
1605	1	Canongate Books Ltd
1606	1	Blackstone Audiobooks
1607	1	The University of Chicago Press
1608	1	Pan Macmillan
1609	1	Gildan Media Corporation
1610	1	WW Norton &amp; Co
1611	1	John Wiley and Sons Ltd
1612	1	Pan Macmillan
1613	1	Murdoch Books
1614	1	John Murray General Publishing Division
1615	1	Fair Winds Press
1616	1	John Wiley and Sons Ltd
1617	1	Insomniac Press
1618	1	Seal Press
1619	1	Harvest House Publishers,U.S.
1620	1	HarperCollins Publishers
1621	1	Liguori Publications,U.S.
1622	1	HarperCollins Publishers Inc
1623	1	HarperAudio
1624	1	Dark Horse Comics,U.S.
1625	1	Dark Horse Comics,U.S.
1626	1	Motorbooks International
1627	1	Crown Publishers
1628	1	Orion Publishing Co
1629	1	Taunton Press Inc
1630	1	Taunton Press Inc
1631	1	Brilliance Audio
1632	1	Workman Publishing
1633	1	Simon &amp; Schuster
1634	1	Turtleback Books
1635	1	Beacon Press
1636	1	Cambridge Univ Pr
1637	1	Cambridge University Press
1638	1	Tantor Media, Inc
1639	1	Penguin Putnam Inc
1640	1	Brilliance Corporation
1641	1	Little, Brown Book Group
1642	1	Jove Books
1643	1	Candlewick Press,U.S.
1644	1	Candlewick Press (MA)
1645	1	Waking Lion Press
1646	1	Dover Publications Inc.
1647	1	New Press
1648	1	Continuum International Publishing Group Ltd.
1649	1	Cambridge University Press
1650	1	Harvard University Press
1651	1	Oneworld Publications
1652	1	Penguin Putnam Inc
1653	1	Autonomedia
1654	1	Tor Books
1655	1	Berkley
1656	1	Turtleback Books
1657	1	Pan Macmillan Australia
1658	1	Knopf
1659	1	Penguin Books Ltd
1660	1	Little, Brown &amp; Company
1661	1	Little, Brown &amp; Company
1662	1	Warner Books
1663	1	Little Brown and Company
1664	1	Little, Brown &amp; Company
1665	1	Hachette Book Group USA
1666	1	Cahiers du Cinema
1667	1	Hachette Audio
1668	1	HarperCollins Publishers Inc
1669	1	Hyperion
1670	0	<NULL>
1671	1	Elsevier Science &amp; Technology
1672	1	Transworld Publishers Ltd
1673	1	Delacorte Press
1674	1	Delacorte Press
1675	1	c
1676	1	Jove Books
1677	1	Random House USA Inc
1678	1	Thorndike Press
1679	1	Dell Publishing Company
1680	1	Random House Children&#039;s Books
1681	1	Dell Publishing Company
1682	1	HarperCollins Publishers Inc
1683	1	Penguin Putnam Inc
1684	1	Random House Audio Price-Less
1685	1	Pan Macmillan
1686	1	Random House USA Inc
1687	1	Berkley Publishing Group
1688	1	St. Martin&#039;s Press
1689	1	Random House USA Inc
1690	1	Tantor Media, Inc
1691	1	Berkley Publishing Group
1692	1	Zebra Books
1693	1	SAGE Publications Ltd
1694	1	Minotaur Books
1695	1	CCV
1696	1	Mariner Books
1697	1	Faber and Faber
1698	1	New American Library
1699	1	HarperCollins Publishers Inc
1700	1	Harper Paperbacks
1701	1	The Perseus Books Group
1702	1	John Wiley and Sons Ltd
1703	1	John Wiley and Sons Ltd
1704	1	Gallimard Education
1705	1	Penguin Books Ltd
1706	1	Crown Publishing Group
1707	1	Titan Books Ltd
1708	1	D C Comics (a division of Warner Brothers - A Time Warner Entertainment Co.)
1709	1	Pearson Education, Oxford
1710	1	CCV
1711	1	Naxos AudioBooks
1712	1	Naxos AudioBooks
1713	1	Knopf Publishing Group
1714	1	Vintage Books USA
1715	1	Blackstone Audiobooks
1716	1	Schocken Books
1717	1	Hill &amp; Wang Inc.,U.S.
1718	1	The Perseus Books Group
1719	1	Little, Brown Book Group
1720	1	Ivan R Dee, Inc
1721	1	Blackstone Audiobooks
1722	1	Dell Publishing Company
1723	1	Pearson Education (US)
1724	1	HarperBusiness
1725	1	Bantam Doubleday Dell Publishing Group Inc
1726	1	Recorded Books
1727	1	Dell Publishing Company
1728	1	Random House Publishing Group
1729	1	Penguin Putnam Inc
1730	1	Tor Books
1731	1	Random House Publishing Group
1732	1	Hampton Roads Publishing Co
1733	1	Solaris
1734	1	Pan Macmillan (Digital)
1735	1	Random House USA Inc
1736	1	Pearson Education (US)
1737	1	Elsevier Australia
1738	1	Peachpit Press
1739	1	Pearson Education (US)
1740	0	<NULL>
1741	1	Knopf Publishing Group
1742	1	Blackstone Audiobooks
1743	1	Digireads.com
1744	1	Colombia
1745	1	Harvest House Publishers,U.S.
1746	1	Harvest House Publishers,U.S.
1747	1	Zondervan
1748	1	Zondervan
1749	1	Zondervan
1750	1	Inter-Varsity Press
1751	1	The Perseus Books Group
1752	1	Zondervan
1753	1	Zondervan
1754	1	Ebury Press
1755	1	Digireads.com
1756	1	SAGE Publications Inc
1757	1	John Wiley and Sons Ltd
1758	1	Pearson Education Limited
1759	1	Continuum International Publishing Group Ltd.
1760	1	Dover Publications Inc.
1761	1	Penguin Books
1762	1	Harcourt Children&#039;s Books
1763	1	Tantor Media, Inc
1764	1	HarperCollins Publishers Inc
1765	1	Harvard Business School Publishing
1766	1	Penguin Books Ltd
1767	1	Penguin Books Ltd
1768	1	John Wiley &amp; Sons
1769	1	Philomel Books
1770	1	Philomel Books
1771	1	Playaway
1772	1	Playaway
1773	1	Indypublish.com
1774	1	Nuvision Publications
1775	1	Penguin Books Ltd
1776	1	CCV
1777	1	Houghton Mifflin Harcourt (HMH)
1778	1	Recorded Books
1779	1	Faber and Faber
1780	1	Little, Brown Books for Young Readers
1781	1	Random House USA Inc
1782	1	Penguin Books Ltd
1783	1	Caedmon
1784	1	Pearson Education Limited
1785	1	Gallimard Education
1786	1	Penguin Books Ltd
1787	1	Little, Brown Book Group
1788	1	WW Norton &amp; Co
1789	1	CRW Publishing Limited
1790	1	CRW Publishing Limited
1791	1	Digireads.com
1792	1	Random House (Digital)
1793	1	HarperCollins Publishers
1794	1	Harper
1795	1	Simon &amp; Schuster Ltd
1796	1	Cornerstone
1797	1	McGraw-Hill Medical
1798	1	Elsevier Health Sciences
1799	1	Radcliffe Publishing Ltd
1800	1	Walker Books Ltd
1801	1	Little, Brown &amp; Company
1802	1	HarperCollins
1803	1	University of Minnesota Press
1804	1	Avon Books
1805	1	St. Martin&#039;s Press
1806	1	Harper
1807	1	HarperCollins Publishers
1808	1	Soho Press Inc
1809	1	HarperTorch
1810	1	Random House Children&#039;s Books
1811	1	New Directions Publishing Corporation
1812	1	HarperCollins Publishers Inc
1813	1	City Lights Books
