book	deepdiscount	publication_date
1163	1	08/15/2009
1164	1	10/24/2006
1165	1	02/28/2008
1166	1	06/26/2008
1167	1	09/01/2003
1168	1	12/27/2005
1169	1	03/18/2008
1170	1	03/21/2007
1171	1	02/28/2006
1172	1	08/30/2009
1173	1	01/04/2010
1174	1	09/01/1997
1175	1	01/26/2005
1176	1	08/01/2000
1177	1	10/29/2006
1178	1	09/02/2008
1179	1	08/01/2007
1180	1	02/01/1999
1181	1	09/04/2004
1182	1	12/01/2005
1183	1	05/01/1996
1184	1	09/01/2004
1185	1	04/30/2006
1186	1	08/01/2003
1187	1	10/01/2002
1188	1	12/15/2009
1189	1	09/01/2008
1190	1	04/01/2004
1191	1	11/25/2008
1192	1	04/01/2004
1193	1	01/01/2010
1194	1	04/01/2007
1195	1	03/30/2009
1196	1	07/21/1995
1197	1	02/03/2009
1198	1	01/01/2010
1199	1	08/01/2009
1200	1	08/27/2007
1201	1	10/01/2002
1202	1	02/01/2002
1203	1	12/10/2009
1204	1	09/01/1999
1205	1	07/01/2007
1206	1	11/01/1998
1207	1	06/01/2001
1208	1	09/05/2006
1209	1	10/01/2003
1210	1	01/01/2008
1211	1	04/05/2006
1212	1	05/01/2003
1213	1	04/07/2009
1214	1	10/01/2008
1215	1	05/01/2010
1216	1	12/29/2009
1217	1	04/01/2002
1218	1	08/01/2006
1219	1	09/26/2006
1220	1	08/01/2002
1221	1	11/10/2005
1222	1	04/01/2004
1223	1	02/05/2007
1224	1	07/01/2009
1225	1	01/01/2001
1226	1	03/03/2009
1227	1	04/01/1988
1228	1	05/25/2010
1229	1	09/08/2009
1230	1	05/01/2001
1231	1	11/01/2007
1232	1	10/26/2009
1233	1	09/01/2005
1234	1	10/13/2009
1235	1	08/17/2009
1236	1	09/03/2008
1237	1	10/28/2009
1238	1	10/28/2008
1239	1	01/01/2010
1240	1	09/01/2002
1241	1	10/27/2009
1242	1	08/01/1994
1243	1	07/01/2001
1244	1	06/25/2008
1245	1	04/25/2006
1246	1	12/01/1994
1247	1	03/03/2006
1248	1	08/01/2005
1249	1	04/23/2005
1250	1	04/01/2008
1251	1	07/20/2010
1252	1	09/01/2010
1253	1	05/08/2007
1254	1	09/01/2010
1255	1	10/14/2008
1256	1	10/31/2004
1257	1	05/15/2007
1258	1	04/13/2010
1259	1	06/30/2005
1260	1	09/01/2003
1261	1	02/09/2009
1262	1	09/01/2005
1263	1	02/28/2008
1264	1	10/31/2007
1265	1	05/25/2009
1266	1	06/01/2002
1267	1	12/31/1986
1268	1	05/22/2007
1269	1	03/01/2010
1270	1	07/10/2007
1271	1	10/01/2007
1272	1	08/25/2009
1273	1	07/01/2003
1274	1	07/31/2007
1275	1	06/01/2008
1276	1	08/31/2008
1277	1	08/01/2000
1278	1	03/03/2009
1279	1	07/01/2009
1280	1	04/20/2003
1281	1	11/12/2008
1282	1	10/15/2007
1283	1	03/03/2010
1284	1	03/01/2002
1285	1	09/01/1991
1286	1	08/01/2006
1287	1	06/09/2009
1288	1	11/15/2007
1289	1	03/30/2006
1290	1	12/26/2007
1291	1	06/13/2000
1292	1	03/01/2002
1293	1	07/01/1987
1294	1	11/01/2007
1295	1	03/29/2010
1296	1	05/01/2008
1297	1	01/01/2003
1298	1	12/01/1981
1299	1	05/21/1999
1300	1	04/10/2007
1301	1	09/24/2009
1302	1	12/01/2008
1303	1	10/01/1997
1304	1	04/01/1977
1305	1	02/28/2010
1306	1	03/30/2010
1307	1	12/01/2007
1308	1	03/01/2008
1309	1	02/22/2006
1310	1	11/10/2007
1311	1	11/16/2009
1312	1	05/12/2004
1313	1	01/30/2007
1314	1	04/06/2010
1315	1	08/05/2008
1316	1	06/29/2010
1317	1	06/28/2006
1318	1	03/01/1987
1319	1	06/01/2004
1320	1	03/01/2007
1321	1	12/28/2006
1322	1	05/26/2007
1323	1	06/15/2009
1324	1	07/15/2006
1325	1	10/04/2007
1326	1	09/01/2005
1327	1	12/01/2000
1328	1	01/01/2003
1329	1	10/28/2009
1330	1	04/04/2008
1331	1	12/23/2009
1332	1	10/28/2006
1333	1	08/16/2007
1334	1	03/01/2003
1335	1	04/01/2010
1336	1	06/30/2007
1337	1	11/01/2001
1338	1	01/03/2006
1339	1	02/28/2006
1340	1	01/01/2009
1341	1	06/01/1989
1342	1	02/01/2001
1343	1	01/01/1995
1344	1	04/01/2008
1345	1	09/01/2007
1346	1	02/01/2004
1347	1	03/28/2009
1348	1	01/01/2009
1349	1	10/14/2003
1350	1	12/01/2009
1351	1	04/01/2000
1352	1	07/28/2009
1353	1	10/30/2007
1354	1	05/01/1994
1355	1	01/01/2004
1356	1	03/05/2010
1357	1	12/30/2004
1358	1	09/04/2007
1359	1	09/30/2009
1360	1	02/01/2007
1361	1	09/01/2006
1362	1	01/09/2007
1363	1	07/01/2007
1364	1	09/01/2010
1365	1	04/01/2008
1366	1	02/02/2009
1367	1	10/01/2001
1368	1	08/01/1997
1369	1	04/01/2007
1370	1	04/01/2008
1371	1	01/30/2010
1372	1	07/01/2007
1373	1	12/18/2006
1374	1	08/23/2006
1375	1	07/27/2010
1376	1	05/11/2010
1377	1	04/15/2009
1378	1	11/30/2005
1379	1	08/15/2009
1380	1	12/01/1991
1381	1	10/06/2009
1382	1	11/10/2004
1383	1	12/01/2003
1384	1	04/17/2007
1385	1	07/04/2002
1386	1	06/10/2008
1387	1	09/01/2008
1388	1	07/11/2009
1389	1	03/01/1999
1390	1	07/30/2004
1391	1	11/30/2006
1392	1	03/01/2006
1393	1	06/01/2009
1394	1	01/09/2009
1395	1	01/08/2008
1396	1	03/01/2000
1397	1	10/01/2006
1398	1	09/01/2008
1399	1	01/01/1999
1400	1	04/27/2009
1401	1	10/28/2005
1402	1	04/01/2005
1403	1	09/01/2003
1404	1	10/01/2006
1405	1	03/01/2009
1406	1	10/01/1991
1407	1	03/03/2009
1408	1	04/30/2003
1409	1	02/14/2006
1410	1	06/29/2009
1411	1	10/21/2009
1412	1	02/01/2001
1413	1	07/01/2003
1414	1	09/16/2006
1415	1	08/14/2007
1416	1	12/26/2007
1417	1	06/01/2005
1418	1	06/15/2009
1419	1	11/01/2003
1420	1	07/01/2007
1421	1	10/01/2005
1422	1	05/02/2005
1423	1	05/20/2005
1424	1	09/15/2008
1425	1	09/01/2002
1426	1	04/01/2010
1427	1	04/15/2010
1428	1	07/15/2009
1429	1	03/20/2010
1430	1	10/31/2008
1431	1	01/01/2001
1432	1	10/01/2007
1433	1	11/24/2009
1434	1	02/28/2006
1435	1	04/30/2007
1436	1	02/01/2006
1437	1	11/30/2008
1438	1	06/16/2007
1439	1	02/01/2009
1440	1	02/01/2003
1441	1	07/01/2003
1442	1	11/01/2003
1443	1	04/27/2010
1444	1	02/01/2010
1445	1	03/30/2007
1446	1	05/06/2008
1447	1	09/14/2007
1448	1	04/30/2005
1449	1	03/01/2009
1450	1	07/10/2010
1451	1	02/01/2001
1452	1	05/01/2003
1453	1	09/29/2009
1454	1	08/04/2009
1455	1	02/16/2006
1456	1	12/01/2009
1457	1	09/01/2007
1458	1	10/30/2008
1459	1	04/30/2007
1460	1	06/24/2009
1461	1	11/01/2005
1462	1	02/08/2010
1463	1	09/01/2008
1464	1	07/28/2004
1465	1	03/01/1999
1466	1	03/01/2007
1467	1	09/08/2009
1468	1	08/01/2008
1469	1	03/24/2006
1470	1	06/01/1989
1471	1	10/06/1997
1472	1	09/15/2009
1473	1	05/29/2006
1474	1	04/15/2004
1475	1	03/19/2009
1476	1	01/13/2009
1477	1	05/26/2009
1478	1	12/22/2009
1479	1	09/18/1996
1480	1	05/01/2008
1481	1	06/11/2008
1482	1	09/16/2008
1483	1	07/01/2008
1484	1	02/01/1997
1485	1	09/01/2009
1486	1	01/14/2009
1487	1	03/01/2005
1488	1	09/30/2008
1489	1	03/31/2008
1490	1	09/01/1997
1491	1	09/28/2006
1492	1	04/21/2005
1493	1	01/01/2010
1494	1	02/01/2003
1495	1	01/28/2009
1496	1	06/01/2002
1497	1	08/01/2003
1498	1	06/24/2008
1499	1	06/22/2009
1500	1	05/01/1972
1501	1	05/01/1990
1502	1	03/01/2007
1503	1	05/30/2010
1504	1	01/14/2010
1505	1	12/01/2008
1506	1	02/01/2006
1507	1	05/01/2006
1508	1	03/15/2009
1509	1	04/01/1995
1510	1	12/01/2009
1511	1	08/01/1992
1512	1	06/21/2007
1513	1	05/01/2007
1514	1	07/01/2003
1515	1	01/31/2009
1516	1	04/01/2000
1517	1	05/19/2009
1518	1	09/01/2007
1519	1	08/15/2009
1520	1	11/28/2008
1521	1	08/01/1999
1522	1	11/15/2006
1523	1	05/01/2001
1524	1	11/01/2009
1525	1	06/02/2009
1526	1	04/01/1995
1527	1	05/01/1998
1528	1	10/01/1999
1529	1	10/30/2008
1530	1	05/07/2007
1531	1	08/21/2006
1532	1	02/01/2004
1533	1	06/08/2010
1534	1	12/01/2009
1535	1	12/15/2005
1536	1	05/30/2005
1537	1	10/31/2005
1538	1	12/23/2007
1539	1	01/01/2002
1540	1	06/30/2009
1541	1	12/18/2006
1542	1	06/15/2009
1543	1	03/01/2009
1544	1	04/30/2009
1545	1	05/14/2007
1546	1	05/09/2009
1547	1	09/01/1992
1548	1	04/25/2006
1549	1	10/31/2008
1550	1	09/01/1996
1551	1	04/28/2008
1552	1	06/01/1981
1553	1	10/01/2001
1554	1	08/28/2007
1555	1	08/01/2009
1556	1	04/01/2010
1557	1	08/30/2004
1558	1	06/01/2000
1559	1	05/01/2010
1560	1	06/30/2007
1561	1	01/01/2003
1562	1	09/01/2009
1563	1	02/01/2010
1564	1	05/01/2008
1565	1	03/24/2009
1566	1	10/07/2005
1567	1	06/01/2003
1568	1	02/28/2010
1569	1	01/15/2009
1570	1	05/01/2004
1571	1	08/01/2007
1572	1	09/01/1993
1573	1	10/31/2009
1574	1	08/01/2009
1575	1	11/01/2007
1576	1	09/15/2009
1577	1	06/16/2008
1578	1	06/01/2002
1579	1	04/01/2007
1580	1	10/03/2005
1581	1	08/04/2005
1582	1	11/01/1998
1583	1	08/01/2005
1584	1	06/01/2008
1585	1	10/31/2009
1586	1	08/16/2007
1587	1	05/28/2009
1588	1	03/01/2004
1589	1	05/08/2006
1590	1	11/06/2007
1591	1	07/07/2009
1592	1	06/30/2010
1593	1	02/01/2008
1594	1	06/06/2008
1595	1	12/21/2006
1596	1	02/23/2010
1597	1	02/03/2009
1598	1	11/01/2003
1599	1	02/01/2007
1600	1	07/01/2008
1601	1	01/01/2010
1602	1	11/03/2008
1603	1	05/01/2001
1604	1	05/12/1982
1605	1	09/01/2009
1606	1	06/01/1995
1607	1	11/03/2006
1608	1	03/15/2010
1609	1	03/06/2007
1610	1	05/01/2008
1611	1	09/01/2003
1612	1	02/25/2010
1613	1	03/22/2007
1614	1	02/01/2002
1615	1	10/15/2007
1616	1	09/01/2008
1617	1	04/30/2006
1618	1	09/01/2004
1619	1	02/01/2003
1620	1	12/30/2004
1621	1	06/01/1998
1622	1	11/01/1992
1623	1	01/28/2009
1624	1	01/26/2005
1625	1	05/08/2007
1626	1	08/02/2010
1627	1	11/11/2004
1628	1	01/08/2008
1629	1	06/05/2006
1630	1	11/01/2007
1631	1	03/01/2010
1632	1	11/01/2008
1633	1	01/01/1996
1634	1	07/01/1974
1635	1	03/03/2009
1636	1	10/26/2004
1637	1	09/30/2008
1638	1	07/01/2005
1639	1	10/10/2005
1640	1	01/30/2010
1641	1	11/01/1995
1642	1	10/01/2009
1643	1	10/31/2007
1644	1	10/01/2001
1645	1	04/01/2003
1646	1	07/01/1990
1647	1	11/16/2009
1648	1	12/30/2004
1649	1	08/01/2003
1650	1	06/01/2008
1651	1	08/01/2009
1652	1	10/15/2006
1653	1	10/31/2006
1654	1	01/01/2002
1655	1	03/29/2006
1656	1	10/01/1988
1657	1	03/01/2001
1658	1	09/01/2003
1659	1	08/30/2006
1660	1	06/30/2010
1661	1	06/30/2006
1662	1	01/13/2010
1663	1	12/01/1977
1664	1	10/01/2004
1665	1	11/08/2005
1666	1	06/01/2000
1667	1	08/23/2006
1668	1	04/01/2008
1669	1	02/02/2010
1670	1	06/01/1968
1671	1	10/01/2002
1672	1	01/01/2010
1673	1	05/02/2003
1674	1	02/28/2007
1675	1	02/05/2009
1676	1	03/01/2003
1677	1	02/01/2010
1678	1	12/26/2007
1679	1	03/27/2006
1680	1	12/01/2001
1681	1	10/29/2009
1682	1	03/26/2010
1683	1	08/14/2006
1684	1	03/01/1976
1685	1	10/21/2003
1686	1	01/01/2010
1687	1	11/01/2002
1688	1	04/01/2003
1689	1	04/30/2009
1690	1	06/01/2000
1691	1	12/21/2009
1692	1	02/14/2001
1693	1	07/01/2009
1694	1	10/01/1999
1695	1	09/12/2005
1696	1	10/01/2002
1697	1	05/13/2003
1698	1	10/01/1998
1699	1	08/01/2005
1700	1	10/15/2008
1701	1	04/01/2002
1702	1	09/01/2007
1703	1	05/13/2008
1704	1	08/01/1993
1705	1	02/28/2010
1706	1	10/01/2003
1707	1	06/15/2009
1708	1	04/15/2010
1709	1	08/01/1996
1710	1	11/30/2004
1711	1	08/01/2004
1712	1	06/01/2001
1713	1	11/29/2007
1714	1	09/03/2009
1715	1	06/01/2007
1716	1	09/01/2009
1717	1	10/01/2000
1718	1	05/06/2008
1719	1	02/28/1988
1720	1	12/31/2004
1721	1	10/15/2009
1722	1	01/27/2007
1723	1	02/26/2008
1724	1	12/21/2009
1725	1	10/13/2005
1726	1	12/01/2009
1727	1	02/12/2008
1728	1	06/01/2002
1729	1	04/03/2007
1730	1	04/01/2009
1731	1	09/26/1997
1732	1	09/01/2009
1733	1	08/16/2006
1734	1	10/28/2008
1735	1	01/01/2005
1736	1	02/01/2009
1737	1	04/20/2007
1738	1	09/04/2007
1739	1	05/30/2007
1740	1	12/09/2009
1741	1	03/09/2010
1742	1	11/03/2009
1743	1	12/02/2008
1744	1	02/28/2006
1745	1	07/01/2003
1746	1	05/01/1998
1747	1	02/19/2009
1748	1	12/30/2006
1749	1	02/19/2007
1750	1	01/13/2009
1751	1	07/27/2007
1752	1	07/30/2006
1753	1	07/24/2009
1754	1	03/29/2006
1755	1	03/16/2010
1756	1	09/01/2002
1757	1	10/15/2008
1758	1	08/18/2006
1759	1	11/19/2003
1760	1	05/09/2006
1761	1	12/01/2000
1762	1	12/01/1997
1763	1	04/01/2008
1764	1	08/03/2007
1765	1	03/01/2003
1766	1	03/04/2010
1767	1	04/18/2009
1768	1	04/01/2005
1769	1	09/23/2008
1770	1	06/15/2010
1771	1	01/27/2009
1772	1	09/01/2005
1773	1	03/16/2010
1774	1	08/15/2009
1775	1	07/01/2004
1776	1	03/16/2010
1777	1	10/01/2008
1778	1	02/16/2009
1779	1	01/01/2002
1780	1	07/01/2002
1781	1	04/30/2010
1782	1	08/30/2005
1783	1	01/01/2010
1784	1	09/15/2002
1785	1	06/24/2009
1786	1	03/29/2005
1787	1	05/23/2007
1788	1	01/14/2008
1789	1	11/30/2008
1790	1	11/29/2005
1791	1	09/01/1999
1792	1	07/01/2008
1793	1	09/01/2008
1794	1	06/01/2009
1795	1	01/01/2001
1796	1	12/29/2008
1797	1	11/01/1989
1798	1	05/25/2010
1799	1	11/01/2005
1800	1	02/01/2005
1801	1	05/26/2005
1802	1	12/01/1997
1803	1	08/15/2006
1804	1	03/04/2008
1805	1	10/01/1999
1806	1	09/01/2007
1807	1	10/01/1990
1808	1	12/30/2005
1809	1	11/06/2008
1810	1	04/01/2009
1811	1	06/30/2009
1812	1	08/25/2009
1813	1	10/23/2007
1814	1	08/18/2009
1815	1	12/01/2003
1816	1	12/01/1999
1817	1	12/09/2008
1818	1	11/15/2009
1819	1	01/31/2007
1820	1	06/01/1984
1821	1	11/01/1995
1822	1	01/01/2009
1823	1	11/01/1994
1824	1	09/01/1989
1825	1	07/01/2007
1826	1	06/01/1998
1827	1	03/31/2010
1828	1	04/27/2009
1829	1	02/01/1998
1830	1	12/30/2008
1831	1	03/01/2006
1832	1	09/30/2004
1833	1	06/01/2009
1834	1	11/01/1997
1835	1	11/30/2005
1836	1	09/01/1997
1837	1	07/01/2010
1838	1	10/29/2007
1839	1	06/01/2003
1840	1	02/01/2003
1841	1	03/01/2004
1842	1	07/18/2008
1843	1	08/01/2009
1844	1	09/05/2004
1845	1	03/15/2010
1846	1	04/01/2008
1847	1	04/01/1984
1848	1	11/01/2001
1849	1	11/30/2004
1850	1	05/11/2005
1851	1	09/01/1999
1852	1	11/01/2004
1853	1	02/09/2008
1854	1	06/01/1972
1855	1	04/30/2010
1856	1	12/01/2009
1857	1	09/01/2009
1858	1	06/19/2000
1859	1	12/01/1999
1860	1	03/30/2010
1861	1	10/31/2006
1862	1	10/01/1999
1863	1	08/15/2008
1864	1	07/24/2009
1865	1	09/01/2008
1866	1	12/01/2009
1867	1	09/28/2007
1868	1	02/28/2009
1869	1	05/01/1998
1870	1	10/04/2007
1871	1	08/30/2005
1872	1	05/21/1999
1873	1	06/01/2008
1874	1	09/01/2009
1875	1	10/23/2006
1876	1	09/28/2007
1877	1	12/01/2006
1878	1	09/30/2009
1879	1	12/28/2006
1880	1	10/01/2008
1881	1	01/02/2008
1882	1	06/15/2009
1883	1	10/01/1999
1884	1	08/28/2007
1885	1	06/16/2009
1886	1	07/01/2008
1887	1	04/15/2009
1888	1	05/16/2006
1889	1	08/01/2007
1890	1	04/15/2010
1891	1	04/01/1987
1892	1	11/04/2008
1893	1	08/01/2008
1894	1	03/13/2007
1895	1	01/30/2007
1896	1	04/04/2009
1897	1	03/01/2005
1898	1	11/27/2007
1899	1	04/14/2009
1900	1	12/04/2007
1901	1	11/16/2009
1902	1	07/04/2006
1903	1	06/15/2004
1904	1	12/01/2003
1905	1	01/01/2010
1906	1	12/30/2005
1907	1	04/27/2000
1908	1	02/24/2009
1909	1	03/01/2006
1910	1	09/16/2002
1911	1	08/30/2005
1912	1	11/01/2009
1913	1	06/01/2002
1914	1	10/01/2000
1915	1	09/01/1999
1916	1	11/13/2007
1917	1	03/01/2004
1918	1	02/28/2006
1919	1	07/31/2009
1920	1	11/01/1999
1921	1	11/01/2005
1922	1	03/02/2010
1923	1	11/01/2002
1924	1	12/03/2008
1925	1	05/01/2009
1926	1	08/21/2007
1927	1	07/30/2006
1928	1	02/01/2008
1929	1	12/24/2008
1930	1	08/01/2008
1931	1	08/01/1994
1932	1	03/23/2010
1933	1	03/03/2009
1934	1	11/01/2007
1935	1	07/01/1996
1936	1	02/01/1999
1937	1	08/01/2000
1938	1	09/01/2005
1939	1	06/01/1996
1940	1	01/01/2004
1941	1	11/28/2008
1942	1	08/30/2005
1943	1	04/19/2009
1944	1	04/01/2003
1945	1	04/28/1997
1946	1	05/31/2007
1947	1	10/23/2007
1948	1	04/01/2001
1949	1	07/01/2006
1950	1	01/01/2010
1951	1	09/01/2007
1952	1	05/01/2003
1953	1	03/01/2001
1954	1	10/15/2009
1955	1	05/21/2009
1956	1	10/01/2003
1957	1	02/17/2009
1958	1	05/16/2008
1959	1	05/01/2009
1960	1	06/01/2009
1961	1	09/19/1983
1962	1	05/01/2009
1963	1	07/01/2008
1964	1	04/30/2010
1965	1	07/10/2008
1966	1	02/01/2000
1967	1	02/28/2005
1968	1	01/15/2008
1969	1	10/24/1988
1970	1	07/30/2007
1971	1	03/30/2008
1972	1	05/01/1997
1973	1	06/01/1992
1974	1	04/15/2006
1975	1	11/01/2008
1976	1	08/30/2004
1977	1	02/03/2009
1978	1	04/28/2009
1979	1	05/06/2008
1980	1	03/16/2010
1981	1	05/28/2010
1982	1	06/20/2001
1983	1	01/01/2007
1984	1	10/01/2006
1985	1	04/25/2006
1986	1	03/31/2009
1987	1	12/01/1999
1988	1	09/20/2009
1989	1	08/01/2000
1990	1	05/24/2005
1991	1	09/01/2005
1992	1	10/01/2009
1993	1	08/11/2008
1994	1	03/30/2008
1995	1	03/01/2009
1996	1	02/13/2007
1997	1	11/15/2005
1998	1	04/01/1999
1999	1	01/01/1992
