book	amazon	publication_date
0535	1	Hachette Audio (June 2010)
0536	1	Louisiana State University Press (August 1, 2007)
0537	1	Revell; Original edition (January 1, 2010)
0538	1	AMACOM (April 7, 2010)
0539	1	AMACOM (April 7, 2010)
0540	1	Simon & Schuster Audio; Unabridged edition (March 15, 2010)
0541	1	Intervisual Books Inc (June 12, 2008)
0542	1	Simon & Schuster (May 24, 2005)
0543	1	Signet Classics (December 1, 1998)
0544	1	Harlequin (July 1, 2008)
0545	1	Harlequin (February 1, 2010)
0546	1	Harlequin (October 1, 2006)
0547	1	TalentSmart; Har/Dol En edition (June 16, 2009)
0548	1	Bethany House (October 1, 2009)
0549	1	Zondervan (April 16, 2004)
0550	1	Hachette Audio (May 2010)
0551	1	Grand Central Publishing; 1 edition (May 4, 2010)
0552	1	Plume; 1st Edition/1st Printing edition (January 1, 2000)
0553	1	St. Martin's Griffin (March 15, 1993)
0554	1	Butterworth-Heinemann; 2 edition (August 7, 2001)
0555	1	Kimani (September 1, 2006)
0556	1	Kimani (May 1, 2008)
0557	1	Viking Adult; First Edition edition (February 16, 2006)
0558	1	Springboard Press (January 3, 2007)
0559	1	Simon & Schuster Children's Publishing (June 2, 2009)
0560	1	Barron's Educational Series; 5th edition (May 1, 2003)
0561	1	Scholastic Paperbacks (August 1, 2004)
0562	1	Graphia; 1 edition (May 1, 2008)
0563	1	Silhouette (September 1, 2009)
0564	1	Silhouette; Special edition (July 1, 2008)
0565	1	Vision; Reprint edition (December 1, 2009)
0566	1	Thorndike Press; Large Print edition (May 5, 2010)
0567	1	Brilliance Audio on CD; Abridged edition (April 27, 2010)
0568	1	bnpublishing.net (June 2, 2005)
0569	1	Acorn Publishing; 3 Sub edition (June 1, 1996)
0570	1	Harlequin (September 1, 2007)
0571	1	Harlequin (June 1, 2009)
0572	1	Harlequin (June 1, 2006)
0573	1	Random House (June 2010)
0574	1	Mira; Original edition (June 29, 2010)
0575	1	Avon (May 1, 1994)
0576	1	St. Martin's Paperbacks (September 30, 2008)
0577	1	St. Martin's Paperbacks (June 29, 2010)
0578	1	Listening Library (Audio); Unabridged edition (May 13, 2008)
0579	1	Kaplan Publishing; First Edition / First Printing edition (March 3, 2009)
0580	1	Andrews McMeel Publishing; Original edition (April 1, 2008)
0581	1	Penguin (Non-Classics) (January 31, 2006)
0582	1	Brilliance Audio (June 2010)
0583	1	Riverhead (May 29, 2003)
0584	1	Vintage; Later Printing edition (November 26, 1996)
0585	1	Stenhouse Publishers (January 1, 2005)
0586	1	Heinemann (October 6, 2005)
0587	1	Bookclub-In-A-Box; 2nd 2007 edition (September 1, 2006)
0588	1	Berkley Trade (August 1, 2006)
0589	1	Brilliance Audio on MP3-CD; MP3 Una edition (October 25, 2005)
0590	1	Crown; 1 edition edition (February 2, 2010)
0591	1	Berkley Hardcover; 1 edition (February 2, 2010)
0592	1	Blackstone Audiobooks (June 2010)
0593	1	Avon; Reprint edition (October 27, 2009)
0594	1	William Morrow; 1 edition (April 8, 2008)
0595	1	Running Press Kids (August 24, 2001)
0596	1	Derrydale Books (March 4, 2003)
0597	1	Shambhala (February 16, 1999)
0598	1	Radio Yesteryear Audio (August 1988)
0599	1	HarperCollins; 1st edition (October 23, 2001)
0600	1	Hyperion (July 11, 2006)
0601	1	McGraw-Hill Humanities/Social Sciences/Languages; 1 edition (January 1, 1993)
0602	1	Hill and Wang; 1st edition (September 19, 2006)
0603	1	Bookclub-in-a-Box; 2nd edition (May 15, 2005)
0604	1	Oxford University Press, USA (December 7, 2006)
0605	1	Touchstone; 1 edition (September 1, 1995)
0606	1	Echo Library (December 1, 2005)
0607	1	Oxford University Press, USA (August 17, 2000)
0608	1	Jove (February 26, 2008)
0609	1	Signet; First Thus edition (January 1, 2000)
0610	1	Signet; First Thus edition (March 2, 2004)
0611	1	Avon; later printing edition (May 1, 1998)
0612	1	Jove (June 30, 2000)
0613	1	Jove (March 25, 2003)
0614	1	Dell (April 26, 2005)
0615	1	Prentice Hall; 9 edition (January 23, 2009)
0616	1	CreateSpace (November 25, 2009)
0617	1	Adamant Media Corporation; First Edition. 1 in num ber line edition (August 7, 2000)
0618	1	Dover Publications; Unabridged edition (February 5, 2001)
0619	1	Wiley-Blackwell (January 15, 1991)
0620	1	Tantor Media; Unabridged,MP3 - Unabridged CD edition (November 18, 2008)
0621	1	Modern Library (November 28, 1995)
0622	1	Revell (September 1, 2008)
0623	1	Turtleback (September 3, 2008)
0624	0	<NULL>
0625	1	Ace Books; later printing edition (March 26, 2002)
0626	1	Ace; First Thus edition (May 3, 2005)
0627	1	Ace Books (May 1, 2001)
0628	1	Signet; Reprint edition (February 23, 2010)
0629	1	McSweeney's; First Edition, First Printing edition (July 15, 2009)
0630	1	Hyperion Audio; Unabridged edition (April 10, 2008)
0631	1	Hyperion; 1 edition (June 1, 2010)
0632	1	Grove Press; 1st Grove Press Paperback edition (June 13, 1996)
0633	1	Random House Books for Young Readers; 1ST edition (May 18, 1993)
0634	1	G. Schirmer, Inc. (November 1, 1986)
0635	1	Cult Movies Press; 1 edition (June 2003)
0636	1	Puffin (November 1, 1994)
0637	1	CreateSpace (March 8, 2010)
0638	1	Gallery (July 6, 2010)
0639	1	Gallery; Reprint edition (February 24, 2009)
0640	1	Hyperion; 1 edition (February 2, 2010)
0641	1	Total Career Resources; 3 edition (November 1, 2008)
0642	1	Portfolio Hardcover (January 26, 2010)
0643	1	Random House; 1 edition (January 2, 2007)
0644	1	Basic Books (December 1, 2006)
0645	1	Simon & Schuster Audio; Unabridged edition (December 1, 1999)
0646	1	Vermilion; 1ST edition (May 19, 2006)
0647	1	Pocket (March 3, 1979)
0648	1	Fantagraphics Books (June 1991)
0649	1	Dalkey Archive Press; later printing edition (October 1, 1996)
0650	1	The David Allen Company; 2nd edition (2002)
0651	1	McGraw-Hill; 1 edition (March 5, 2002)
0652	1	Dial Press Trade Paperback; 11 edition (March 26, 2002)
0653	1	Nan A. Talese; Reprint edition (August 11, 2009)
0654	1	Henry Holt and Co.; 1 edition (June 29, 2010)
0655	1	Zondervan (October 1, 1999)
0656	1	Zondervan; First Paperback Edition edition (April 1, 2002)
0657	1	Zondervan (May 1, 2003)
0658	1	Zondervan (June 3, 1996)
0659	1	Zondervan (June 1, 1996)
0660	1	Gale Cengage (July 18, 2008)
0661	1	Penguin (Non-Classics); CENTENNIAL EDITION edition (February 5, 2002)
0662	1	Duke University Press (1993)
0663	1	New American Library; Signet Mass Market Edition, 41st Printin edition (January 1, 1961)
0664	1	CSA WORD; Abridged edition edition (August 10, 2009)
0665	1	Research & Education Association (June 12, 1995)
0666	1	Harper Perennial (May 5, 2009)
0667	1	Twelve; 1 edition (June 2, 2010)
0668	1	Hyperion Book CH; First Ediition/First Printing edition (December 29, 2009)
0669	1	Vintage; 1st edition (August 12, 1984)
0670	1	Oxford University Press (October 1981)
0671	1	Avery Trade; 1 edition (January 31, 2008)
0672	1	Delacorte Press; First Edition edition (January 19, 2010)
0673	1	Mariner Books; First American Edition edition (May 3, 2004)
0674	1	Hachette Audio; Abridged edition (May 11, 2010)
0675	1	Hachette Audio (May 2010)
0676	1	Candlewick (February 12, 2008)
0677	1	HarperCollins; Facsimile edition (October 27, 2009)
0678	1	Egmont Books Ltd (January 1, 2002)
0679	1	Atria; 1ST edition (April 7, 2009)
0680	1	New Press; First Edition. 1 in number line edition (April 1, 2009)
0681	1	Charis Books (April 2002)
0682	1	Wordsworth Editions Ltd (January 1, 1998)
0683	1	Bantam (April 25, 2006)
0684	1	Greenwood Press (January 30, 1996)
0685	1	Random House Audio; Unabridged edition (August 21, 2007)
0686	1	Villard; 1 edition (January 13, 1996)
0687	1	Dover Publications (May 20, 1993)
0688	1	Forever; 1 edition (May 1, 2010)
0689	1	Zebra; Original edition (May 1, 2009)
0690	1	Stenhouse Publishers (January 1, 2007)
0691	1	Back Bay Books (January 30, 1976)
0692	1	Pearson ESL (February 15, 2000)
0693	1	Modern Library; New Ed edition (January 1, 2006)
0694	1	Princeton University Press (February 1, 1985)
0695	1	IndyPublish (August 12, 2008)
0696	1	Puddin'head Press; 1 edition (November 30, 2005)
0697	1	Simon & Schuster; 1st Touchstone Ed edition (November 5, 1996)
0698	1	Simon & Schuster; 2nd ptg edition (November 1, 2003)
0699	1	Liturgical Press (November 1997)
0700	1	Open University Press (January 1997)
0701	1	Simon & Schuster Audio; Abridged edition (January 1, 2000)
0702	1	Butterworth-Heinemann; Revised edition (March 5, 1996)
0703	1	Atria (October 31, 2006)
0704	1	Three Rivers Press (October 25, 2005)
0705	1	Pfeiffer; Bklt edition (January 16, 2007)
0706	1	Creative Paperbacks Inc (October 1982)
0707	1	Chamberlain Bros. (July 27, 2004)
0708	1	Jossey-Bass; 1 edition (April 11, 2002)
0709	1	Velociteach; 4th Revised edition edition (April 1, 2009)
0710	1	Dial; Adopted edition (October 15, 2009)
0711	1	WallBuilder Press; 1st edition (November 8, 2004)
0712	1	Hay House; 1 edition (October 15, 2008)
0713	1	Harper Paperbacks (June 3, 2008)
0714	1	IndyPublish (September 16, 2004)
0715	1	Penguin Classics (April 29, 2003)
0716	1	Kaplan Publishing; 7 edition (August 5, 2008)
0717	1	Barron's Educational Series; 18.0 edition (August 1, 2009)
0718	1	Grand Central Publishing; Mti edition (December 1, 2009)
0719	1	Grand Central Publishing; 1 Mti Rep edition (March 1, 2010)
0720	1	Cosimo Classics (April 15, 2005)
0721	1	Blackmask.com (April 30, 2006)
0722	1	Cambridge University Press; 1 edition (July 30, 1976)
0723	1	Harvard University Press (April 30, 2004)
0724	1	Wiley (September 22, 2009)
0725	1	Listening Library (Audio); Unabridged edition (May 26, 2009)
0726	1	Random House Large Print; Lrg edition (June 23, 2009)
0727	1	Knopf (January 20, 2009)
0728	1	McGraw-Hill; 1 edition (June 15, 2005)
0729	1	The MIT Press (June 30, 2009)
0730	1	Chelsea Green Publishing (April 1, 2010)
0731	1	Teachers College Press (January 15, 2010)
0732	1	Dell (January 25, 2011)
0733	1	Brilliance Audio on MP3-CD; MP3 Una edition (June 22, 2010)
0734	1	Harper (September 27, 2005)
0735	1	Delacorte Press; 1 edition (June 22, 2010)
0736	1	HarperAudio; Unabridged edition (February 19, 2008)
0737	1	HarperCollins Publishers (June 2001)
0738	1	Avery Trade; 1st Edition: 1 3 5 7 9 10 8 6 4 2 edition (March 24, 2003)
0739	1	Perigee Trade (June 7, 2005)
0740	1	Henry Holt & Co; 1st edition (February 1996)
0741	1	Pocket (August 1, 1998)
0742	1	Solution Tree (May 1, 2009)
0743	1	Little, Brown and Company; First Edition edition (June 9, 2010)
0744	1	Greenleaf Book Group Press; 1 edition (May 1, 2007)
0745	1	Outskirts Press (January 13, 2009)
0746	1	McGraw-Hill; 1 edition (April 23, 2007)
0747	1	St. Martin's Griffin; 1 edition (November 17, 2009)
0748	1	Hyperion Book CH; 1 edition (June 29, 2010)
0749	1	Delacorte Books for Young Readers (September 28, 2010)
0750	1	Grand Central Publishing; First Thus edition (November 1, 2003)
0751	1	Grand Central Publishing; First Printing edition (October 1, 2006)
0752	1	Farrar Straus Giroux; 1st edition (December 5, 1987)
0753	1	Grand Central Publishing; First Thus edition (June 1, 1994)
0754	1	Viking Adult (June 15, 2010)
0755	1	Kensington; Reprint edition (July 1, 2009)
0756	1	Time Warner Books (June 2000)
0757	1	Business Plus (March 26, 2008)
0758	1	Thomas Nelson; Rev Upd edition (October 6, 1997)
0759	1	Warner Business Books (October 2001)
0760	1	Harper; 1 edition (May 18, 2010)
0761	1	Bantam; First Edition edition (January 30, 2001)
0762	1	Anchor; Mti edition (November 24, 2009)
0763	1	Vintage; First Edition edition (October 9, 2007)
0764	1	Scribner (November 6, 2007)
0765	1	Penguin (Non-Classics) (May 27, 2008)
0766	1	William Morrow; 1ST edition (August 8, 2006)
0767	1	William Morrow; First Edition edition (April 15, 2003)
0768	1	Knopf; 1st, 13th printing edition (September 26, 2006)
0769	1	Princeton Review (August 4, 2009)
0770	1	Polity; 1 edition (December 15, 2006)
0771	1	An American Chemical Society Publication; 1 edition (March 11, 2004)
0772	1	Basic Books (July 2003)
0773	1	Wiley-Blackwell (December 7, 2004)
0774	1	Hoover Institution Press (October 27, 2006)
0775	1	Basic Books (February 19, 2001)
0776	1	Knopf; First American Edition edition (September 22, 2009)
0777	1	Perigee Trade; 3 edition (March 7, 2006)
0778	1	Grand Central Publishing; First edition (June 2004)
0779	1	Business Plus; 1st edition (May 1, 2002)
0780	1	Three Rivers Press; First Paperback Edition edition (September 25, 2007)
0781	1	Counterpoint (August 30, 2004)
0782	1	New American Library (April 10, 2000)
0783	1	National Geographic Children's Books (October 1, 2002)
0784	1	Anchor; Reprint edition (March 9, 2010)
0785	1	Simon & Schuster Audio; Unabridged edition (January 1, 1987)
0786	1	Bantam; Revised edition (January 1, 1993)
0787	1	Penguin (Non-Classics); 2 edition (May 2, 2006)
0788	1	Random House Business Books; Export ed edition (September 12, 1991)
0789	1	University Press of Kansas (November 1993)
0790	1	McGraw-Hill; 1 edition (June 20, 2002)
0791	1	Gale Cengage; 2 edition (March 2005)
0792	1	Basic Books (March 1, 1989)
0793	1	Listening Library (Audio); Unabridged edition (April 24, 2007)
0794	1	Disney-Hyperion; First Edition edition (May 1, 2007)
0795	1	Atria (August 3, 2010)
0796	1	ParentMagic; 2 edition (January 1998)
0797	1	Vintage (April 10, 2007)
0798	1	Vintage (April 12, 2005)
0799	1	Regnery Publishing, Inc. (September 25, 2006)
0800	1	Random House Trade Paperbacks (May 8, 2007)
0801	1	Signet; later printing edition (July 9, 1990)
0802	1	Vintage (November 30, 2001)
0803	1	Fawcett; Other Printing edition (June 30, 1996)
0804	1	Signet (October 6, 1987)
0805	1	Signet; 1st edition (October 31, 2001)
0806	1	Signet (October 1, 1980)
0807	1	Tor Books; 1st edition (September 17, 2001)
0808	1	NAL Trade (December 7, 2004)
0809	1	BiblioBazaar (November 14, 2006)
0810	1	Grand Central Publishing (May 23, 2007)
0811	1	Crown (November 9, 2010)
0812	1	Pocket Books Nonfiction (June 1982)
0813	1	Hazelden Publishing & Educational Services; 1 edition (July 1996)
0814	1	Hyperion; 1 edition (June 1, 2010)
0815	1	BookSurge Publishing (February 23, 2009)
0816	1	Encounter Books; 1 edition (April 14, 2008)
0817	1	Encounter Books (December 1, 2009)
0818	1	Outskirts Press (November 28, 2006)
0819	1	Modern Library; Modern Library Edition edition (June 29, 1993)
0820	1	DK ADULT (April 16, 2007)
0821	1	Celestial Arts; 1 edition (August 25, 2009)
0822	1	Reward - Penguin Books (June 5, 2001)
0823	1	Da Capo Press (April 12, 2004)
0824	1	Signet (December 5, 2006)
0825	1	Ballantine Books; Ballentine ed edition (February 29, 2000)
0826	1	Bantam; First Thus edition (April 30, 2002)
0827	1	AmazonEncore (June 1, 2010)
0828	1	Macmillan Audio; Abridged edition (April 28, 2009)
0829	1	Quirk Books (August 15, 2006)
0830	1	Harper; 1 edition (March 23, 2010)
0831	1	Dover Publications; Unabridged edition (October 13, 1993)
0832	1	Beacon Press (July 15, 2004)
0833	1	Modern Library; 2000 Modern Library Pbk. Ed edition (September 12, 2000)
0834	1	Orbis Books (September 1, 2004)
0835	1	Thomas Nelson; Abridged edition (October 30, 2007)
0836	1	Thomas Nelson (April 11, 2006)
0837	1	IVP Books (April 2000)
0838	1	Zondervan; 1 Original edition (November 1, 2009)
0839	1	Zondervan; Value ed edition (May 1, 2008)
0840	1	Dial Press Trade Paperback; Later Printing edition (August 30, 2005)
0841	1	Harper & Row; 4th edition (January 22, 1986)
0842	1	Wiley; 1 edition (March 29, 2004)
0843	1	Wiley-Blackwell (December 27, 2004)
0844	1	Plume; 3 Revised edition (December 29, 2009)
0845	1	Signet Classics; Revised & updated edition (July 1, 1997)
0846	1	Routledge (March 7, 2003)
0847	1	Routledge; 1 edition (June 28, 1999)
0848	1	Signet Classics (March 2, 2004)
0849	1	Scholastic Paperbacks; Regular Print/Single Titl edition (March 1, 2003)
0850	1	HarperCollins (April 11, 1997)
0851	1	Barron's Educational Series; 2 edition (August 1, 2008)
0852	1	Polity; 1 edition (December 15, 2006)
0853	1	Broadway; 1 edition (October 16, 2001)
0854	1	Writers Digest Books; 5 edition (October 6, 2004)
0855	1	Hyperion (April 1, 2007)
0856	1	Signet; 1 edition (July 30, 2002)
0857	1	David C. Cook; DVD edition (July 1, 2010)
0858	1	David C. Cook; New edition (September 1, 2009)
0859	1	Scholastic Paperbacks (September 1, 2004)
0860	1	McFarland & Company (May 1998)
0861	1	Vintage; 2 edition (March 14, 1995)
0862	1	Aerie (September 15, 1992)
0863	1	Cliffs Notes (December 21, 2000)
0864	1	Barron's Educational Series; 1 edition (April 1, 1999)
0865	1	Penguin (Non-Classics) (February 1, 1993)
0866	1	Penguin Classics (April 1, 1996)
0867	1	Viking Adult; First Edition edition (January 31, 2002)
0868	1	Bloomsbury USA (May 1, 2007)
0869	1	Harper Perennial (November 5, 2002)
0870	1	Bloomsbury USA (September 16, 2000)
0871	1	Bloomsbury USA; 1 edition (May 22, 2000)
0872	1	Putnam Adult; Fourth Edition edition (October 9, 2003)
0873	1	Butterworth-Heinemann (March 17, 2006)
0874	1	Routledge (June 28, 2004)
0875	1	Bloomsbury USA; 1st edition (December 7, 2001)
0876	1	Wiley; 1 edition (May 1, 2006)
0877	1	Three Rivers Press (March 22, 2005)
0878	1	Harper; 1 edition (June 15, 2010)
0879	1	G.P. Putnam's Sons; First Edition edition (March 10, 1969)
0880	1	Rodale Books (May 11, 2010)
0881	1	Rodale Books (May 15, 2007)
0882	1	Riverhead (May 22, 2007)
0883	1	Ace Books; later printing edition (March 26, 2002)
0884	1	Caedmon; Unabridged edition (November 4, 2003)
0885	1	Simon & Schuster (February 15, 1990)
0886	1	Da Capo Press (October 25, 2005)
0887	1	University of Oklahoma Press (October 2003)
0888	1	Dial Press Trade Paperback; First Thus edition (September 8, 1998)
0889	1	Franklin Watts; Library Binding edition (April 1987)
0890	1	National Center for Constitutional Studies (December 1, 1991)
0891	1	Three Rivers Press; Reprint edition (September 23, 2008)
0892	1	Chelsea Green Publishing (September 1, 2003)
0893	1	Berkley Trade (April 5, 2005)
0894	1	Diet Heart Pub (April 2002)
0895	1	Revell (July 1, 2005)
0896	1	Brilliance Audio (June 2010)
0897	1	HarperLuxe; Lrg edition (April 20, 2010)
0898	1	Harper (January 25, 2011)
0899	1	Viking Adult; First Edition edition (April 6, 2010)
0900	1	Harper Paperbacks; First Edition edition (June 28, 2005)
0901	1	Harper; Reprint edition (April 28, 2009)
0902	1	Regnery Publishing, Inc.; 1 edition (September 25, 2006)
0903	1	HarperStudio (September 8, 2009)
0904	1	Penguin (Non-Classics) (May 30, 2006)
0905	1	Ams Pr Inc (June 1939)
0906	1	Sage Publications Ltd; 1 edition (November 13, 2000)
0907	1	Penguin (Non-Classics) (September 5, 2000)
0908	1	Berkley (January 8, 2002)
0909	1	Berkley (December 31, 2001)
0910	1	St. Martin's Griffin; Revised edition (December 15, 1994)
0911	1	C.V. Mosby; 4th edition (January 15, 1998)
0912	1	Riverhead Books; 1 edition (January 8, 2002)
0913	1	Plume; Rev Sub edition (May 1, 1999)
0914	1	Foundation for Inner Peace; 2nd edition (1992)
0915	1	Corwin Press (August 18, 2006)
0916	1	North Atlantic Books (July 27, 2006)
0917	1	AuthorHouse (October 10, 2006)
0918	1	Ballantine Books (July 27, 2010)
0919	1	Vintage (July 8, 2003)
0920	1	Vintage; Trade Paper Edition, 11th printing edition (April 12, 2002)
0921	1	Peter Smith Pub Inc (August 1988)
0922	1	Routledge; 1 edition (April 27, 2001)
0923	1	Vintage (October 12, 1986)
0924	1	Signet Classics; Revised & Updated edition (May 2, 2006)
0925	1	Oxford University Press, USA; annotated edition edition (March 15, 2009)
0926	1	Oxford University Press, USA (October 22, 1998)
0927	1	Blackie Schools; Abridged edition (October 27, 2004)
0928	1	Oxford University Press, USA (November 28, 2002)
0929	1	Kessinger Publishing, LLC (June 17, 2004)
0930	1	Oxford University Press, USA (January 28, 1999)
0931	1	Signet (March 1, 1998)
0932	1	Scribner; 1 edition (January 9, 2006)
0933	1	Cornell University Library (July 24, 2009)
0934	1	Dell; X edition (June 2, 1992)
0935	1	Penguin Classics (December 1, 1994)
0936	1	Tor Books; 1st edition (December 9, 2001)
0937	1	Tor Science Fiction (November 4, 2008)
0938	1	Tor Books; First Thus edition (July 1999)
0939	1	Starscape (April 15, 2002)
0940	1	Tor Fantasy; 1st edition (January 15, 2000)
0941	1	McGraw-Hill Humanities/Social Sciences/Languages; 5 edition (July 29, 2003)
0942	1	McGraw-Hill; 1 edition (August 7, 2003)
0943	1	Pine Forge Press; Revised edition (January 21, 2004)
0944	1	Bantam; 15th edition (August 1, 1982)
0945	1	University Of Iowa Press; REV edition (September 1, 1996)
0946	1	Mariner Books; Third Edition edition (July 24, 2003)
0947	1	Pocket Star (April 27, 2004)
0948	1	Atria; 1St Edition edition (May 1, 2000)
0949	1	Prentice Hall; 4 edition (November 2, 2008)
0950	1	Jove (September 27, 2005)
0951	1	Harper (September 25, 2007)
0952	1	HarperAudio; Unabridged edition (April 15, 2003)
0953	1	Avon (June 29, 2004)
0954	1	HarperTorch (July 1, 1997)
0955	1	Cliffs Notes (December 27, 2000)
0956	1	Hyperion; 1 edition (September 23, 2003)
0957	1	Doubleday; 1st edition (August 18, 1997)
0958	1	Harper Paperbacks (May 4, 1990)
0959	1	Anchor (January 18, 1989)
0960	1	Hachette Audio; Unabridged edition (July 1, 2008)
0961	0	<NULL>
0962	1	Grand Central Publishing; Reprint edition (August 1, 2004)
0963	1	Trafford Publishing (July 6, 2006)
0964	1	Atlantic Monthly Press; Stated First edition (October 10, 2006)
0965	1	Random House Audio; Unabridged edition (May 26, 2009)
0966	1	ISIS Audio Books (September 1, 2009)
0967	1	Random House Trade Paperbacks (February 19, 2008)
0968	1	Random House Trade Paperbacks (December 31, 2007)
0969	1	Thorndike Press; Lrg edition (April 28, 2009)
0970	1	Brilliance Audio on MP3-CD; MP3 Abr edition (April 28, 2009)
0971	1	St. Martin's Griffin; 1 edition (May 25, 2010)
0972	1	HarperCollins; 1 edition (November 30, 2005)
0973	1	J. Ross Publishing (April 2003)
0974	1	Harper Paperbacks; 3 edition (August 20, 2002)
0975	1	Portfolio Hardcover (October 20, 2005)
0976	0	<NULL>
0977	1	Dover Publications (December 18, 2000)
0978	1	Modern Library (May 14, 2002)
0979	1	Thomas Nelson (May 31, 2003)
0980	1	Thomas Nelson (April 10, 2003)
0981	1	Penguin (Non-Classics) (January 8, 2001)
0982	1	Dodo Press (March 28, 2006)
0983	1	Harper Paperbacks (May 27, 2003)
0984	1	Business Plus (February 1, 2002)
0985	1	Upper Access, Inc. (August 1, 1995)
0986	1	Beacon Press (September 5, 2002)
0987	1	W. W. Norton and Company, Inc. (March 17, 1973)
0988	1	Penguin Audio; Unabridged edition (January 22, 2009)
0989	1	Grand Central Publishing (November 1, 2000)
0990	1	Warner Books; 1ST edition (January 1, 2000)
0991	1	Grand Central Publishing; First Edition edition (January 6, 2000)
0992	1	Warner Books; 1 edition (November 22, 2004)
0993	1	Integrity Publishers; Unabridged edition (January 1, 2007)
0994	1	Multnomah Books (August 7, 2006)
0995	1	Multnomah Books (April 3, 2006)
0996	1	Bantam; First Thus edition (August 4, 1997)
0997	1	Bantam; First Thus edition (April 29, 2003)
0998	1	Eos; 1 edition (July 6, 2004)
0999	1	Playaway (January 2010)
1000	1	ESPN; First Edition edition (October 27, 2009)
1001	1	Holt Paperbacks; 1 Reprint edition (February 2, 2010)
1002	1	St. Martin's Press (September 29, 2009)
1003	1	St. Martin's Press (September 29, 2009)
1004	1	Random House Audio; Abridged edition (May 5, 2009)
1005	1	Harper Perennial (March 20, 2001)
1006	1	Spiegel & Grau (December 1, 2009)
1007	1	Orbis Books (September 30, 2005)
1008	1	McGraw-Hill Companies (September 26, 2001)
1009	1	Scribner; 1st Scribner trade pbk. ed. edition (December 9, 1996)
1010	1	Vox Pop (June 10, 2005)
1011	1	McGraw-Hill; 1 edition (April 25, 2005)
1012	1	Pocket (June 1, 1996)
1013	1	Harvard Business Press; 1 edition (April 2004)
1014	1	Prentice Hall; 2 edition (September 30, 2006)
1015	1	Riverhead Trade (May 6, 2008)
1016	1	Continuum International Publishing Group (September 2001)
1017	1	HarperCollins; 1st edition (February 2, 1999)
1018	1	Riverhead Hardcover (March 24, 2005)
1019	1	Phoenix (an Imprint of The Orion Publishing Group Ltd ) (June 3, 2004)
1020	1	Princeton University Press; 2nd edition (March 1, 1972)
1021	1	New Harbinger Publications; 1 edition (May 3, 2006)
1022	1	The Book Factory (November 19, 2009)
1023	1	Ace Hardcover; 1 edition (May 6, 2008)
1024	1	Berkley (February 3, 2004)
1025	1	Ace Trade; 1st THUS edition (March 6, 2007)
1026	1	Eos (September 1, 1999)
1027	1	Little, Brown Books for Young Readers (February 1, 2008)
1028	1	Knopf; 1st edition (October 17, 2000)
1029	1	University Press of Kansas (December 2003)
1030	1	Thomas Nelson (May 23, 2006)
1031	1	McGraw-Hill; 1 edition (December 15, 2003)
1032	1	Simon & Schuster (January 29, 2008)
1033	1	Oxford University Press, USA; 1st edition (August 26, 1993)
1034	1	Houghton Mifflin; 1 edition (November 2002)
1035	1	Random House Audio; Abridged edition (October 26, 2010)
1036	1	Delacorte Press; 1st edition (May 19, 2009)
1037	1	Lulu.com (September 12, 2007)
1038	1	FQ Classics (May 25, 2007)
1039	0	<NULL>
1040	1	Harper Perennial (March 1, 1996)
1041	1	Broadway; 1 edition (May 6, 2003)
1042	1	Prometheus Books (August 5, 2005)
1043	1	Solida Inc; Pap/MP3 edition (March 2005)
1044	1	Harper Perennial (May 1, 1997)
1045	1	Threshold Editions (May 12, 2009)
1046	1	Cliffs Notes (June 26, 2000)
1047	1	Ese California (January 1981)
1048	1	Windsor Peak Press; 3rd ed. edition (March 1, 1999)
1049	1	GradeSaver, LLC (December 31, 2008)
1050	1	Harper Perennial Modern Classics; Reprint edition (May 19, 2009)
1051	1	Dutton Juvenile; rep. edition (September 24, 2001)
1052	1	Writers Digest Books (April 25, 2006)
1053	1	Chalice Press (March 30, 2005)
1054	1	Viking Adult; 1ST edition (January 24, 2002)
1055	1	Riverhead Hardcover; Book Club (BCE/BOMC) edition (April 29, 2010)
1056	1	Penguin Classics (October 7, 1986)
1057	1	San Val (January 1997)
1058	1	Modern Pub; N/A edition (July 30, 2004)
1059	1	Yale University Press; 1St Edition edition (May 10, 2005)
1060	1	Polity (June 17, 2002)
1061	1	Aegypan (June 1, 2008)
1062	1	Christianaudio Seed; Unabridged edition (June 5, 2009)
1063	1	Thomas Nelson (March 2, 2010)
1064	1	Thomas Nelson (October 12, 2010)
1065	1	Thomas Nelson (October 12, 2004)
1066	1	Bantam; 2 Reprint edition (December 28, 2004)
1067	1	Bantam; 3 Rev Upd edition (May 25, 2010)
1068	1	Crown Business (July 21, 2009)
1069	1	Wiley (May 4, 2009)
1070	1	Wiley; 2 edition (January 12, 2010)
1071	1	Sybex (June 13, 2006)
1072	1	Hyperion (August 24, 2010)
1073	1	Playaway (March 2010)
1074	1	Eos; 1 edition (January 26, 2010)
1075	1	M. Evans and Company, Inc.; 3 Sub edition (September 25, 2002)
1076	1	Thomas Dunne Books; 1St Edition edition (January 30, 2010)
1077	1	Rowman & Littlefield Publishers, Inc. (April 16, 2009)
1078	1	Harper; 1st edition (January 11, 2010)
1079	1	Bethany House; 1 edition (July 1, 2009)
1080	1	Dell; First edition (November 20, 2007)
1081	1	Doubleday; 1ST edition (January 27, 2009)
1082	1	Penguin Audio; Abridged edition (February 14, 2008)
1083	1	Tutis Digital Publishing Pvt. Ltd. (May 15, 2009)
1084	1	Oxford University Press, USA (December 15, 2008)
