book	waterstones	publisher
0885	1	Hamlyn
0886	1	Ebury Press
0887	1	BBC Books
0888	1	Hamlyn
0889	1	Collins
0890	1	Da Capo Press Inc
0891	1	Kyle Cathie
0892	1	Ebury Press
0893	1	Simon & Schuster Ltd
0894	1	BBC Books
0895	1	BBC Books
0896	1	Dorling Kindersley Publishers Ltd
0897	1	BBC Books
0898	1	Right Way
0899	1	Fourth Estate Ltd
0900	1	Grub Street
0901	1	Apple Press
0902	1	Hodder & Stoughton Ltd
0903	1	Duncan Baird Publishers
0904	1	Hamlyn
0905	1	Chatto & Windus
0906	1	Boxtree Ltd
0907	1	Waverley Books Ltd
0908	1	BBC Books
0909	1	Infinite Ideas Limited
0910	1	Mitchell Beazley
0911	1	Bloomsbury Publishing PLC
0912	1	Murdoch Books
0913	1	Bookworm of Retford
0914	1	Dorling Kindersley Publishers Ltd
0915	1	Penguin Books Ltd
0916	1	Pavilion Books
0917	1	Hamlyn
0918	1	CAMRA Books
0919	1	Pavilion Books
0920	1	Murdoch Books
0921	1	Conran Octopus Ltd
0922	1	Kyle Cathie
0923	1	BBC Books
0924	1	Absolute Press
0925	1	Chronicle Books
0926	1	Murdoch Books
0927	1	Kyle Cathie
0928	1	Continuum Publishing Corporation
0929	1	Grub Street
0930	1	Apple Press
0931	1	Bloomsbury Publishing PLC
0932	1	HarperCollins Publishers Ltd
0933	1	Bloomsbury Publishing PLC
0934	1	Simon & Schuster Ltd
0935	1	Hodder Paperback
0936	1	Prentice Hall Life
0937	1	Mainstream Publishing
0938	1	Hodder & Stoughton Ltd
0939	1	Prentice Hall Life
0940	1	HarperCollins
0941	1	Litton Publishing
0942	1	Prentice-Hall
0943	1	Osprey Publishing
0944	1	W Foulsham & Co Ltd
0945	1	White Ladder Press Ltd
0946	1	Penguin Books Ltd
0947	1	Weidenfeld & Nicolson
0948	1	Quadrille Publishing Ltd
0949	1	Hodder Mobius
0950	1	Vermilion
0951	1	Vermilion
0952	1	Fourth Estate Ltd
0953	1	Hay House UK Ltd
0954	1	Cider Mills Press
0955	1	Fourth Estate Ltd
0956	1	Adams Media Corporation
0957	1	Prentice Hall Life
0958	1	Fourth Estate Ltd
0959	1	Crown House Publishing
0960	1	Findhorn Press Ltd.
0961	1	Hodder Mobius
0962	1	Running Press Miniature Editions
0963	1	Dorling Kindersley Publishers Ltd
0964	1	Penguin Books Ltd
0965	1	Harper Thorsons
0966	1	John Wiley & Sons Ltd
0967	1	Harper Element
0968	1	Ryland, Peters & Small Ltd
0969	1	Quadrille Publishing Ltd
0970	1	Vermilion
0971	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0972	1	W Foulsham & Co Ltd
0973	1	Prentice Hall Life
0974	1	Hay House UK Ltd
0975	1	Prentice-Hall
0976	1	Piatkus Books
0977	1	Parragon Book Service Ltd
0978	1	Bloomsbury Publishing PLC
0979	1	Dorling Kindersley Publishers Ltd
0980	1	Sidgwick & Jackson Ltd
0981	1	Penguin Books Ltd
0982	1	HarperCollins Publishers
0983	1	Piatkus Books
0984	1	Vermilion
0985	1	Hamlyn
0986	1	Vermilion
0987	1	Collins
0988	1	Weidenfeld & Nicolson
0989	1	Dorling Kindersley Publishers Ltd
0990	1	Harper Element
0991	1	Orion (an Imprint of The Orion Publishing Group Ltd )
0992	1	Dorling Kindersley Publishers Ltd
0993	1	HarperPress
0994	1	New Harbinger Publications,U.S.
0995	1	William Heinemann Ltd
0996	1	Simon & Schuster Ltd
0997	1	Atlantic Books
0998	1	Abacus
0999	1	Penguin Books Ltd
1000	1	Atlantic Books
1001	1	Piatkus Books
1002	1	Robinson Publishing
1003	1	Hamlyn
1004	1	Frederick Warne Publishers Ltd
1005	1	Dorling Kindersley Publishers Ltd
1006	1	Quadrille Publishing Ltd
1007	1	Michael Joseph Ltd
1008	1	Jacqui Small LLP
1009	1	Vermilion
1010	1	Collins
1011	1	Arcturus Publishing Ltd
1012	1	Ebury Press
1013	1	Piatkus Books
1014	1	Prentice-Hall
1015	1	Carroll & Brown Publishers Limited
1016	1	Dorling Kindersley Publishers Ltd
1017	1	Guardian Books
1018	1	Harper Thorsons
1019	1	Robinson Publishing
1020	1	Pan Books
1021	1	Atlantic Books
1022	1	White Ladder Press Ltd
1023	1	Simon & Schuster Ltd
1024	1	Heinemann
1025	1	Running Press,U.S.
1026	1	Piatkus Books
1027	1	Souvenir Press Ltd
1028	1	Hay House UK Ltd
1029	1	Profile Books Ltd
1030	1	BBC Books
1031	1	Bantam Press
1032	1	Penguin Books Ltd
1033	1	Faber and Faber
1034	1	The History Press Ltd
1035	1	Penguin Books Ltd
1036	1	Vintage
1037	1	Vintage
1038	1	Collins
1039	1	HarperCollins Publishers Ltd
1040	1	Bantam Press
1041	1	Bloomsbury Publishing PLC
1042	1	HarperPress
1043	1	Abacus
1044	1	Penguin Books Ltd
1045	1	Mainstream Publishing
1046	1	Bloomsbury Publishing PLC
1047	1	Penguin Books Ltd
1048	1	Hodder Gibson
1049	1	Profile Books Ltd
1050	1	Atlantic Books
1051	1	Penguin Books Ltd
1052	1	Faber and Faber
1053	1	Dorling Kindersley Publishers Ltd
1054	1	Pan Books
1055	1	Robinson Publishing
1056	1	Biteback
1057	1	BBC Books
1058	1	Elliott & Thompson Limited
1059	1	Virago Press Ltd
1060	1	Vintage
1061	1	Pan Books
1062	1	Ebury Press
1063	1	Hodder & Stoughton Ltd
1064	1	Faber and Faber
1065	1	The History Press Ltd
1066	1	The Mercier Press Ltd
1067	1	Royal Commission on the Ancient & Historical Monuments of Scotland
1068	1	HarperCollins Publishers Ltd
1069	1	Atlantic Books
1070	1	Southwater
1071	1	Corgi Books
1072	1	ACM Retro
1073	1	Penguin Classics
1074	1	J H Haynes & Co Ltd
1075	1	O&#39;Brien Press Ltd
1076	1	Penguin Books Ltd
1077	1	Penguin Books Ltd
1078	1	HarperPerennial
1079	1	Vintage
1080	1	Pan Books
1081	1	Penguin Books Ltd
1082	1	John Murray Publishers Ltd
1083	1	Channel 4 Books, a division of Transworld Publishers
1084	1	HarperPerennial
1085	1	Thames & Hudson Ltd
1086	1	Robinson Publishing
1087	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1088	1	Penguin Books Ltd
1089	1	Pimlico
1090	1	Faber and Faber
1091	1	Pocket Books
1092	1	Automobile Association
1093	1	Allen Lane
1094	1	Penguin Books Ltd
1095	1	Fourth Estate Ltd
1096	1	Vintage
1097	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1098	1	Abacus
1099	1	Fourth Estate Ltd
1100	1	HarperPress
1101	1	Windmill Books
1102	1	HarperPress
1103	1	Birlinn Ltd
1104	1	Penguin Books Ltd
1105	1	The History Press Ltd
1106	1	Michael O&#39;Mara Books Ltd
1107	1	BBC Books
1108	1	Faber and Faber
1109	1	Faber and Faber
1110	1	Faber and Faber
1111	1	Hamlyn
1112	1	Running Press,U.S.
1113	1	Times Books
1114	1	Times Books
1115	1	Carlton Books Ltd
1116	1	Times Books
1117	1	Chambers
1118	1	Bloomsbury Publishing PLC
1119	1	Collins
1120	1	Carlton Books Ltd
1121	1	Viking
1122	1	Times Books
1123	1	David & Charles
1124	1	Times Books
1125	1	Hamlyn
1126	1	Times Books
1127	1	Hamlyn
1128	1	Random House Books
1129	1	Times Books
1130	1	Hamlyn
1131	1	Search Press Ltd
1132	1	Times Books
1133	1	Times Books
1134	1	Perigee Books,U.S.
1135	1	Times Books
1136	1	Times Books
1137	1	Hamlyn
1138	1	Times Books
1139	1	Collins
1140	1	Pan Books
1141	1	The Ivy Press
1142	1	David & Charles
1143	1	The Ivy Press
1144	1	Carlton Books Ltd
1145	1	Times Books
1146	1	Stewart, Tabori & Chang Inc
1147	1	W Foulsham & Co Ltd
1148	1	Pan Books
1149	1	Andrews McMeel
1150	1	Pan Books
1151	1	Murdoch Books
1152	1	Splendid Books Limited
1153	1	Quadrille Publishing Ltd
1154	1	David & Charles
1155	1	Collins
1156	1	Pan Books
1157	1	Hamlyn
1158	1	Ebury Press
1159	1	Cassell Reference
1160	1	Search Press Ltd
1161	1	Hamlyn
1162	1	Master Point Press
1163	1	Right Way
1164	1	Collins & Brown
1165	1	Hamlyn
1166	1	Ebury Press
1167	1	Collins
1168	1	Carlton Books Ltd
1169	1	CICO Books
1170	1	John Wiley & Sons Ltd
1171	1	Search Press Ltd
1172	1	Hamlyn
1173	1	A & C Black Publishers Ltd
1174	1	David & Charles
1175	1	CICO Books
1176	1	Hodder & Stoughton Ltd
1177	1	Cassell Reference
1178	1	Right Way
1179	1	Sphere
1180	1	Virgin Books
1181	1	Running Press Miniature Editions
1182	1	Collins
1183	1	Expert
1184	1	Running Press Miniature Editions
1185	1	Bloomsbury Publishing PLC
1186	1	Mitchell Beazley
1187	1	Dorling Kindersley Publishers Ltd
1188	1	Dorling Kindersley Publishers Ltd
1189	1	Dorling Kindersley Publishers Ltd
1190	1	Virago Press Ltd
1191	1	Dorling Kindersley Publishers Ltd
1192	1	Expert
1193	1	Expert
1194	1	The Crowood Press Ltd
1195	1	Dorling Kindersley Publishers Ltd
1196	1	Bloomsbury Publishing PLC
1197	1	BBC Books
1198	1	Hodder Paperback
1199	1	Thames & Hudson Ltd
1200	1	Pimlico
1201	1	Constable
1202	1	Kyle Cathie
1203	1	Penguin Books Ltd
1204	1	Spring Hill
1205	1	Ebury Press
1206	1	Thames & Hudson Ltd
1207	1	Guild of Master Craftsman Publications Ltd
1208	1	Ovolo Books Limited
1209	1	BBC Books
1210	1	Bloomsbury Publishing PLC
1211	1	Adams Media Corporation
1212	1	Expert
1213	1	Expert
1214	1	Thames & Hudson Ltd
1215	1	Merrell Publishers Ltd
1216	1	Frances Lincoln Publishers Ltd
1217	1	John Wiley & Sons Ltd
1218	1	Laurence King Publishing
1219	1	Frances Lincoln Publishers Ltd
1220	1	Granta Books
1221	1	HarperCollins Publishers Ltd
1222	1	Spring Hill
1223	1	A & C Black Publishers Ltd
1224	1	Thames & Hudson Ltd
1225	1	New Holland Publishers Ltd
1226	1	Green Books
1227	1	J H Haynes & Co Ltd
1228	1	Shire Publications Ltd
1229	1	Collins & Brown
1230	1	Ryland, Peters & Small Ltd
1231	1	CICO Books
1232	1	Frances Lincoln Publishers Ltd
1233	1	Kyle Cathie
1234	1	Lorenz Books
1235	1	Aurum Press Ltd
1236	1	Osprey Publishing
1237	1	CICO Books
1238	1	Fiell Publishing Limited
1239	1	Windmill Books
1240	1	Thames & Hudson Ltd
1241	1	Collins
1242	1	Mitchell Beazley
1243	1	Which? Books
1244	1	Bloomsbury Publishing PLC
1245	1	Pocket Bibles
1246	1	CICO Books
1247	1	Dorling Kindersley Publishers Ltd
1248	1	Frances Lincoln Publishers Ltd
1249	1	Survival Books
1250	1	Bonnier Books Ltd
1251	1	BBC Books
1252	1	J H Haynes & Co Ltd
1253	1	Ryland, Peters & Small Ltd
1254	1	Collins & Brown
1255	1	Panache Partners
1256	1	Shire Publications Ltd
1257	1	New Holland Publishers Ltd
1258	1	BBC Books
1259	1	New Holland Publishers Ltd
1260	1	Collins
1261	1	Ryland, Peters & Small Ltd
1262	1	Kyle Cathie
1263	1	New Holland Publishers Ltd
1264	1	Robert Hale Ltd
1265	1	Frances Lincoln Publishers Ltd
1266	1	Lund Humphries Publishers Ltd
1267	1	Faber and Faber
1268	1	Summersdale Publishers
1269	1	Ebury Press
1270	1	Running Press,U.S.
1271	1	Perseus Books
1272	1	Hodder & Stoughton Ltd
1273	1	The Friday Project Limited
1274	1	Michael O&#39;Mara Books Ltd
1275	1	Abson Books London
1276	1	Preface Publishing
1277	1	Virgin Books
1278	1	Chronicle Books
1279	1	Michael O&#39;Mara Books Ltd
1280	1	Faber and Faber
1281	1	Picador
1282	1	Canongate Books Ltd
1283	1	Summersdale Publishers
1284	1	Running Press Miniature Editions
1285	1	Headline Book Publishing
1286	1	Perseus Books
1287	1	Summersdale Publishers
1288	1	Short Books Ltd
1289	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1290	1	Michael O&#39;Mara Books Ltd
1291	1	Prion Books Ltd
1292	1	Running Press,U.S.
1293	1	Michael O&#39;Mara Books Ltd
1294	1	Pocket Books
1295	1	Harper
1296	1	Faber and Faber
1297	1	Summersdale Publishers
1298	1	Bloomsbury Publishing PLC
1299	1	Birlinn Ltd
1300	1	Black Swan
1301	1	Bloomsbury Publishing PLC
1302	1	Bantam Press
1303	1	Birlinn Ltd
1304	1	Headline Book Publishing
1305	1	Penguin Books Ltd
1306	1	Robinson Publishing
1307	1	Running Press,U.S.
1308	1	Penguin Books Ltd
1309	1	Fourth Estate Ltd
1310	1	Abson Books London
1311	1	Penguin Books Ltd
1312	1	Abson Books London
1313	1	Dorling Kindersley Publishers Ltd
1314	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1315	1	Hodder & Stoughton Ltd
1316	1	Little, Brown
1317	1	HarperCollins Publishers Ltd
1318	1	Abson Books London
1319	1	Dalesman Publishing Co Ltd
1320	1	Lee Gone Publications
1321	1	Hodder & Stoughton Ltd
1322	1	Little, Brown Book Group
1323	1	Harper
1324	1	Oneworld Publications
1325	1	Hodder & Stoughton Ltd
1326	1	Summersdale Publishers
1327	1	Penguin Books Ltd
1328	1	Sphere
1329	1	Summersdale Publishers
1330	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1331	1	Bloomsbury Publishing PLC
1332	1	Pan Books
1333	1	Dalesman Publishing Co Ltd
1334	1	Gill & Macmillan Ltd
1335	1	Summersdale Publishers
1336	1	Orbit
1337	1	Butler Publishing
1338	1	Penguin Books Ltd
1339	1	Waverley Books Ltd
1340	1	Penguin Books Ltd
1341	1	Faber and Faber
1342	1	Simon & Schuster Ltd
1343	1	Hay House UK Ltd
1344	1	Dover Publications Inc.
1345	1	Hay House UK Ltd
1346	1	Collins
1347	1	Hodder Mobius
1348	1	Harper Element
1349	1	Hay House Inc
1350	1	Rider & Co
1351	1	Hodder Paperback
1352	1	Rider & Co
1353	1	CICO Books
1354	1	Harper
1355	1	Godsfield Press Ltd
1356	1	John Murray Publishers Ltd
1357	1	Hay House Inc
1358	1	HarperOne
1359	1	The History Press Ltd
1360	1	The History Press Ltd
1361	1	Sphere
1362	1	Hay House Inc
1363	1	Godsfield Press Ltd
1364	1	David & Charles
1365	1	Hay House Inc
1366	1	Simon & Schuster Ltd
1367	1	Parragon Book Service Ltd
1368	1	Rider & Co
1369	1	Hay House Inc
1370	1	H J Kramer
1371	1	Rough Guides Ltd
1372	1	Watkins Publishing
1373	1	Welbeck Press
1374	1	Rider & Co
1375	1	Element Books
1376	1	Atlantic Books
1377	1	Michael O&#39;Mara Books Ltd
1378	1	Llewellyn Publications,U.S.
1379	1	Hay House UK Ltd
1380	1	Hay House Inc
1381	1	Hay House Inc
1382	1	North Atlantic Books,U.S.
1383	1	Kube Publishing Ltd
1384	1	Lotus Press
1385	1	Trine Day
1386	1	Century
1387	1	W Foulsham & Co Ltd
1388	1	Quantum
1389	1	Hay House Inc
1390	1	Dorling Kindersley Publishers Ltd
1391	1	Souvenir Press Ltd
1392	1	Hay House UK Ltd
1393	1	Pennant Books Ltd
1394	1	Hay House Inc
1395	1	Rider & Co
1396	1	Hay House UK Ltd
1397	1	New World Library
1398	1	Piatkus Books
1399	1	Duncan Baird Publishers
1400	1	Harper Element
1401	1	Penguin Books Ltd
1402	1	W Foulsham & Co Ltd
1403	1	Macmillan
1404	1	Virago Press Ltd
1405	1	Thorsons
1406	1	Rider & Co
1407	1	Healing Arts Press
1408	1	Souvenir Press Ltd
1409	1	Hay House Inc
1410	1	Bantam Books (Transworld Publishers a division of the Random House Group)
1411	1	Llewellyn Publications,U.S.
1412	1	Hay House Inc
1413	1	Hay House UK Ltd
1414	1	Disinformation Company
1415	1	Adams Media Corporation
1416	1	Birlinn Ltd
1417	1	Hay House Inc
1418	1	Arrow Books Ltd
1419	1	Bantam Books (Transworld Publishers a division of the Random House Group)
1420	1	Hay House UK Ltd
1421	1	Vermilion
1422	1	Amberley Publishing
1423	1	Godsfield Press Ltd
1424	1	Piatkus Books
1425	1	Cassell Illustrated
1426	1	BBC Books
1427	1	Boxtree Ltd
1428	1	Elliott & Thompson Limited
1429	1	Weidenfeld & Nicolson
1430	1	BBC Books
1431	1	Weidenfeld & Nicolson
1432	1	Headline Review
1433	1	Sphere
1434	1	Evans Mitchell Books
1435	1	Apple Press
1436	1	Amber Books
1437	1	Luath Press Ltd
1438	1	Rizzoli International Publications
1439	1	Goodman Books
1440	1	Fourth Estate Ltd
1441	1	Bloomsbury Publishing PLC
1442	1	HarperCollins Publishers Ltd
1443	1	John Wiley & Sons Ltd
1444	1	HarperPerennial
1445	1	Michael Joseph Ltd
1446	1	HarperCollins Publishers Ltd
1447	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1448	1	Omnibus Press
1449	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1450	1	Jawbone
1451	1	Carlton Books Ltd
1452	1	Headline Book Publishing
1453	1	Mainstream Publishing
1454	1	Aurum Press Ltd
1455	1	Pan Books
1456	1	Omnibus Press
1457	1	Pocket Books
1458	1	Trinity Mirror Sport Media
1459	1	Omnibus Press
1460	1	Bloomsbury Publishing PLC
1461	1	Polygon An Imprint of Birlinn Limited
1462	1	Penguin Books Ltd
1463	1	Dorling Kindersley Publishers Ltd
1464	1	Headline Book Publishing
1465	1	Harry N. Abrams, Inc.
1466	1	Aurum Press Ltd
1467	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1468	1	Orion mass market paperback
1469	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1470	1	Plume
1471	1	Music Mentor Books
1472	1	Music Mentor Books
1473	1	Dorling Kindersley Publishers Ltd
1474	1	Granta Books
1475	1	Methuen Drama
1476	1	Bloomsbury Publishing PLC
1477	1	Blackstaff Press Ltd
1478	1	Ebury Press
1479	1	Cassell Illustrated
1480	1	John Wiley & Sons Ltd
1481	1	Wise Publications
1482	1	Collins Design
1483	1	Bloomsbury Publishing PLC
1484	1	Taschen GmbH
1485	1	Jawbone
1486	1	Ebury Press
1487	1	Bantam Press
1488	1	Carlton Books Ltd
1489	1	Canongate Books Ltd
1490	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1491	1	Guardian Books
1492	1	Methuen Drama
1493	1	Granta Books
1494	1	Hodder Paperback
1495	1	Ebury Press
1496	1	Old Pond Publishing Ltd
1497	1	Formula One Books
1498	1	HarperTrue
1499	1	Hamlyn
1500	1	Colin Baxter Photography Ltd
1501	1	Hamlyn
1502	1	Collins
1503	1	Collins
1504	1	Christopher Helm Publishers Ltd
1505	1	Penguin Books Ltd
1506	1	Dorling Kindersley Publishers Ltd
1507	1	Dorling Kindersley Publishers Ltd
1508	1	BBC Books
1509	1	Robin Glover and Caroline Spencer
1510	1	Parragon Book Service Ltd
1511	1	Hamlyn
1512	1	Hodder & Stoughton Ltd
1513	1	Dorling Kindersley Publishers Ltd
1514	1	Lorenz Books
1515	1	Parragon Book Service Ltd
1516	1	Teach Yourself Books
1517	1	Collins
1518	1	Hodder & Stoughton Ltd
1519	1	HarperCollins Publishers Ltd
1520	1	Ebury Press
1521	1	Interpet Publishing
1522	1	Carroll & Brown Publishers Limited
1523	1	BBC Books
1524	1	Parragon Book Service Ltd
1525	1	David & Charles
1526	1	Boxtree Ltd
1527	1	The Natural History Museum
1528	1	Ebury Press
1529	1	Time Out Group Ltd
1530	1	Dorling Kindersley Publishers Ltd
1531	1	New Holland Publishers Ltd
1532	1	Frances Lincoln Publishers Ltd
1533	1	Studio Cactus Ltd
1534	1	J H Haynes & Co Ltd
1535	1	Bantam Press
1536	1	WILDGuides
1537	1	Gill & Macmillan Ltd
1538	1	Frances Lincoln Publishers Ltd
1539	1	Bantam Books (Transworld Publishers a division of the Random House Group)
1540	1	David & Charles
1541	1	Hodder & Stoughton Ltd
1542	1	New Holland Publishers Ltd
1543	1	Hodder & Stoughton Ltd
1544	1	Icon Books Ltd
1545	1	White Ladder Press Ltd
1546	1	Oxford University Press
1547	1	Parragon Book Service Ltd
1548	1	Collins
1549	1	Bloomsbury Publishing PLC
1550	1	Birlinn Ltd
1551	1	White Star
1552	1	Fourth Estate Ltd
1553	1	Collins
1554	1	Unity Print and Publishing Ltd
1555	1	Christopher Helm Publishers Ltd
1556	1	A & C Black Publishers Ltd
1557	1	Dorling Kindersley Publishers Ltd
1558	1	New Holland Publishers Ltd
1559	1	Pocket Bibles
1560	1	David & Charles
1561	1	Conway Maritime Press Ltd
1562	1	Square Peg
1563	1	J H Haynes & Co Ltd
1564	1	Mitchell Beazley
1565	1	Interpet Publishing
1566	1	HarperCollins Publishers Ltd
1567	1	Harper
1568	1	Abacus
1569	1	Faber and Faber
1570	1	Gill & Macmillan Ltd
1571	1	Picador
1572	1	Faber and Faber
1573	1	Faber and Faber
1574	1	Sinclair-Stevenson Ltd
1575	1	Picador
1576	1	Quercus Publishing Plc
1577	1	Faber and Faber
1578	1	Faber and Faber
1579	1	The Black Library
1580	1	Faber and Faber
1581	1	Jonathan Cape Ltd
1582	1	Headline Book Publishing
1583	1	British Museum Press
1584	1	Faber and Faber
1585	1	Samuel French Ltd
1586	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1587	1	Penguin Books Ltd
1588	1	Oxford University Press
1589	1	Penguin Classics
1590	1	Collins
1591	1	Faber and Faber
1592	1	John Murray Publishers Ltd
1593	1	Methuen Drama
1594	1	Penguin Classics
1595	1	Penguin Classics
1596	1	Faber and Faber
1597	1	Oxford University Press
1598	1	Dover Publications Inc.
1599	1	Picador
1600	1	Bloodaxe Books Ltd
1601	1	Atlantic Books
1602	1	Orion (an Imprint of The Orion Publishing Group Ltd )
1603	1	Oxford University Press
1604	1	Faber and Faber
1605	1	Faber and Faber
1606	1	Faber and Faber
1607	1	JR Books Ltd
1608	1	Penguin Classics
1609	1	Penguin Classics
1610	1	Penguin Classics
1611	1	Arden Shakespeare
1612	1	Faber and Faber
1613	1	Arden Shakespeare
1614	1	Methuen Drama
1615	1	Faber and Faber
1616	1	Faber and Faber
1617	1	John Murray Publishers Ltd
1618	1	Verso Books
1619	1	Avalanche Books
1620	1	Picador
1621	1	Penguin Classics
1622	1	Faber and Faber
1623	1	Oxford University Press
1624	1	Picador
1625	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1626	1	Wordsworth Editions Ltd
1627	1	Penguin Classics
1628	1	Carcanet Press Ltd
1629	1	Quercus Publishing Plc
1630	1	Oxford University Press
1631	1	Bene Factum Publishing Ltd
1632	1	Collins
1633	1	Penguin Classics
1634	1	Arden Shakespeare
1635	1	Oxford University Press
1636	1	Penguin Books Ltd
1637	1	O&#39;Brien Press Ltd
1638	1	Faber and Faber
1639	1	Faber and Faber
1640	1	Oxford University Press
1641	1	Penguin Classics
1642	1	Anvil Press Poetry
1643	1	Association for Scottish Literary Studies
1644	1	Dedalus Press
1645	1	John Murray Publishers Ltd
1646	1	Penguin Classics
1647	1	Summersdale Publishers
1648	1	Black Sparrow Press,U.S.
1649	1	Modern Library Inc
1650	1	Faber and Faber
1651	1	Blackstaff Press Ltd
1652	1	Vintage
1653	1	Faber and Faber
1654	1	Faber and Faber
1655	1	Atlantic Books
1656	1	Black Swan
1657	1	Penguin Books Ltd
1658	1	Fons Vitae,US
1659	1	Vintage
1660	1	Collins
1661	1	Random House Books
1662	1	Oxford Paperbacks
1663	1	Penguin Books Ltd
1664	1	Filiquarian Publishing
1665	1	Penguin Books Ltd
1666	1	Weidenfeld & Nicolson
1667	1	Methuen young books
1668	1	Allen Lane
1669	1	Bloomsbury Publishing PLC
1670	1	Simon & Schuster Ltd
1671	1	Oxford University Press Inc
1672	1	Profile Books Ltd
1673	1	Liberties Press
1674	1	WW Norton & Co
1675	1	Oxford University Press
1676	1	Tharpa Publications
1677	1	JR Books Ltd
1678	1	Penguin Books Ltd
1679	1	HarperPress
1680	1	Zaytuna Institute
1681	1	Oxford University Press Inc
1682	1	Vintage Classics
1683	1	Penguin Books Ltd
1684	1	British Museum Press
1685	1	HarperCollinsWillow
1686	1	Rider & Co
1687	1	Virgin Books
1688	1	Free Press
1689	1	Hutchinson
1690	1	Weidenfeld & Nicolson
1691	1	Catholic Truth Society
1692	1	HarperPerennial
1693	1	Viking
1694	1	Kodansha International Ltd
1695	1	Dorling Kindersley Publishers Ltd
1696	1	Penguin Books Ltd
1697	1	Hodder & Stoughton Ltd
1698	1	Vintage
1699	1	Penguin Classics
1700	1	Chambers
1701	1	Wordsworth Editions Ltd
1702	1	Allen Lane
1703	1	O&#39;Brien Press Ltd
1704	1	Quercus Publishing Plc
1705	1	Abacus
1706	1	Mainstream Publishing
1707	1	Dorling Kindersley Publishers Ltd
1708	1	Preface Publishing
1709	1	The Bodley Head Ltd
1710	1	Gill & Macmillan Ltd
1711	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1712	1	Simon & Schuster Ltd
1713	1	Corgi Books
1714	1	Oxford University Press
1715	1	SPCK Publishing
1716	1	Oxford University Press
1717	1	Teach Yourself Books
1718	1	Atlantic Books
1719	1	Arrow Books Ltd
1720	1	Bantam Books (Transworld Publishers a division of the Random House Group)
1721	1	Biteback
1722	1	Routledge
1723	1	Collins
1724	1	Allen Lane
1725	1	Andre Deutsch Ltd
1726	1	Corgi Books
1727	1	Weidenfeld & Nicolson
1728	1	Faber and Faber
1729	1	Penguin Books Ltd
1730	1	Princeton University Press
1731	1	Yale University Press
1732	1	Palgrave Macmillan
1733	1	Phoenix (an Imprint of The Orion Publishing Group Ltd )
1734	1	Routledge
1735	1	Prentice-Hall
1736	1	Bantam Press
1737	1	Egmont Books Ltd
1738	1	Quadrille Publishing Ltd
1739	1	Orion Children&#39;s Books (an Imprint of The Orion Publishing Group Ltd )
1740	1	Allen Lane
1741	1	Penguin Books Ltd
1742	1	Profile Books Ltd
1743	1	Allen Lane
1744	1	Viking
1745	1	Running Press,U.S.
1746	1	Automobile Association
1747	1	Puffin Books
1748	1	Capstone Publishing Ltd
1749	1	Ebury Press
1750	1	Green Profile
1751	1	Dorling Kindersley Publishers Ltd
1752	1	Prentice Hall Life
1753	1	Profile Books Ltd
1754	1	Stationery Office Books
1755	1	Headline Book Publishing
1756	1	HarperCollins Entertainment
1757	1	Financial Times Prentice Hall
1758	1	Automobile Association
1759	1	Ladybird Books Ltd
1760	1	Stationery Office Books
1761	1	John Wiley & Sons Ltd
1762	1	Teach Yourself Books
1763	1	Virgin Books
1764	1	Kogan Page Ltd
1765	1	BSM
1766	1	Prentice-Hall
1767	1	Trotman & Co Ltd
1768	1	Vermilion
1769	1	Penguin Books Ltd
1770	1	Red Squirrel Publishing
1771	1	McGraw-Hill Professional
1772	1	Book House
1773	1	Kogan Page Ltd
1774	1	Ravette Publishing Ltd
1775	1	Kogan Page Ltd
1776	1	monstermedia
1777	1	How To Books Ltd
1778	1	Prentice-Hall
1779	1	Simon & Schuster Ltd
1780	1	Prentice Hall Business
1781	1	Focus Multimedia Ltd
1782	1	Stationery Office Books
1783	1	Business Plus
1784	1	Sterling
1785	1	McGraw-Hill Professional
1786	1	Oxford University Press
1787	1	Trotman Education
1788	1	Which? Books
1789	1	Collins
1790	1	Vermilion
1791	1	Simon & Schuster Children&#39;s
1792	1	Which? Books
1793	1	Piatkus Books
1794	1	Abacus
1795	1	Arrow Books Ltd
1796	1	Cassell Illustrated
1797	1	Arrow Books Ltd
1798	1	Michael O&#39;Mara Books Ltd
1799	1	William Heinemann Ltd
1800	1	Penguin Books Ltd
1801	1	BBC Books
1802	1	National Geographic Society
1803	1	Rider & Co
1804	1	Michael O&#39;Mara Books Ltd
1805	1	John Blake Publishing Ltd
1806	1	Collins
1807	1	University of Rochester Press
1808	1	Faber and Faber
1809	1	Heinemann
1810	1	Collins
