book	christianbook	publication_date
1745	1	2008
1746	1	2002
1747	1	2002
1748	1	2008
1749	1	2004
1750	1	2008
1751	1	2008
1752	1	2009
1753	1	2010
1754	1	2007
1755	1	2007
1756	1	2008
1757	1	2001
1758	1	2008
1759	1	1996
1760	1	1996
1761	1	2009
1762	1	2007
1763	1	2001
1764	1	1977
1765	1	2010
1766	1	2000
1767	1	1998
1768	1	2005
1769	1	2003
1770	1	1989
1771	1	2009
1772	1	2009
1773	1	2003
1774	1	1993
1775	1	1999
1776	1	2010
1777	1	2008
1778	1	2006
1779	1	2000
1780	1	2009
1781	1	2008
1782	1	2006
1783	1	2007
1784	1	2010
1785	1	2009
1786	1	2008
1787	1	2008
1788	1	2008
1789	1	2008
1790	1	2008
1791	1	1989
1792	1	1998
1793	1	2004
1794	1	2009
1795	1	2002
1796	1	1993
1797	1	1993
1798	1	2000
1799	1	2003
1800	1	2011
1801	1	2008
1802	1	2008
1803	1	1993
1804	1	2006
1805	1	2010
1806	1	2011
1807	1	2007
1808	1	1997
1809	1	2011
1810	1	2009
1811	1	2007
1812	1	2006
1813	1	2009
1814	1	1989
1815	1	2008
1816	1	1998
1817	1	1984
1818	1	2005
1819	1	2011
1820	1	2003
1821	1	2010
1822	1	2003
1823	1	2006
1824	1	1990
1825	1	2010
1826	1	1997
1827	1	1995
1828	1	2006
1829	1	2007
1830	1	1988
1831	1	2005
1832	1	2008
1833	1	2009
1834	1	2000
1835	1	1997
1836	1	2007
1837	1	2011
1838	1	2007
1839	1	2008
1840	1	2008
1841	1	1996
1842	1	2010
1843	1	2002
1844	1	2000
1845	1	2002
1846	1	2010
1847	1	2008
1848	1	1982
1849	1	2005
1850	1	1994
1851	1	1984
1852	1	2008
1853	1	2006
1854	1	2009
1855	1	2010
1856	1	2006
1857	1	2001
1858	1	2010
1859	1	1999
1860	1	2007
1861	1	2004
1862	1	2010
1863	1	2009
1864	1	2002
1865	1	1985
1866	1	1987
1867	1	2010
1868	1	2007
1869	1	2008
1870	1	1998
1871	1	1996
1872	1	2008
1873	1	2011
1874	1	2007
1875	1	2007
1876	1	2002
1877	1	1997
1878	1	2009
1879	1	2005
1880	1	2009
1881	1	2009
1882	1	2008
1883	1	2006
1884	1	2008
1885	1	2004
1886	1	2008
1887	1	2005
1888	1	2009
1889	1	1986
1890	1	1997
1891	1	2007
1892	1	1998
1893	1	2009
1894	1	2008
1895	1	2009
1896	1	2009
1897	1	2008
1898	1	2005
1899	1	1995
1900	1	2001
1901	1	2009
1902	1	2007
1903	1	2009
1904	1	2007
1905	1	2007
1906	1	2009
1907	1	2007
1908	1	1993
1909	1	2007
1910	1	1993
1911	1	2006
1912	1	2008
1913	1	2003
1914	1	1997
1915	1	2004
1916	1	2009
1917	1	1958
1918	1	2004
1919	1	1990
1920	1	1997
1921	1	2010
1922	1	2008
1923	1	2010
1924	1	2008
1925	1	1995
1926	1	2006
1927	1	2006
1928	1	2004
1929	1	2007
1930	1	1977
1931	1	1998
1932	1	1994
1933	1	2006
1934	1	1991
1935	1	2010
1936	1	2007
1937	1	2007
1938	1	2009
1939	1	2008
1940	1	2007
1941	1	2011
1942	1	2005
1943	1	2007
1944	1	1998
1945	1	2000
1946	1	2008
1947	1	2007
1948	1	1983
1949	1	1997
1950	1	2006
1951	1	2008
1952	1	2007
1953	1	2002
1954	1	2008
1955	1	2008
1956	1	2001
1957	1	2010
1958	1	1993
1959	1	2005
1960	1	1996
1961	1	2009
1962	1	2007
1963	1	2004
1964	1	2002
1965	1	1998
1966	1	2008
1967	1	1991
1968	1	1999
1969	1	2008
1970	1	2008
1971	1	1992
1972	1	2008
1973	1	2004
1974	1	2010
1975	1	2000
1976	1	2008
1977	1	2010
1978	1	2010
1979	1	2010
1980	1	2009
1981	1	2006
1982	1	2010
1983	1	2006
1984	1	2010
1985	1	2000
1986	1	2008
1987	1	2000
1988	1	2006
1989	1	2007
1990	1	2002
1991	1	2007
1992	1	2005
1993	1	2003
1994	1	2010
1995	1	2008
1996	1	2005
1997	1	2008
1998	1	1955
1999	1	2009
