book	bookdepository	publication_date
1167	1	01 May 2004
1168	1	04 July 2008
1169	1	30 August 2005
1170	1	01 April 2009
1171	1	06 April 2009
1172	1	25 August 2000
1173	1	14 September 2008
1174	1	28 September 2009
1175	1	04 June 2009
1176	1	01 May 2010
1177	1	01 December 2010
1178	1	12 June 2010
1179	1	13 April 2010
1180	1	01 February 1998
1181	1	15 June 2007
1182	0	<NULL>
1183	1	28 May 2010
1184	1	09 September 2008
1185	1	01 October 2003
1186	1	02 March 2010
1187	1	22 December 2009
1188	1	19 January 2010
1189	1	07 April 2009
1190	1	01 August 2005
1191	1	01 April 2009
1192	1	01 September 2004
1193	1	06 July 2004
1194	1	30 May 2007
1195	1	01 January 2008
1196	1	10 June 2005
1197	1	06 November 2008
1198	1	05 December 2003
1199	1	16 October 2008
1200	1	04 November 2010
1201	1	29 October 2010
1202	1	07 June 2007
1203	1	26 October 2010
1204	1	01 May 2009
1205	0	<NULL>
1206	1	31 October 2006
1207	1	08 May 2006
1208	1	01 April 2009
1209	1	21 February 2011
1210	1	10 July 2009
1211	1	12 October 2009
1212	1	16 June 2009
1213	1	19 May 2009
1214	1	23 July 2007
1215	1	17 February 2009
1216	1	01 September 2009
1217	1	30 September 2009
1218	1	28 September 2006
1219	1	30 June 2000
1220	1	08 June 2006
1221	1	01 August 1997
1222	1	04 January 2011
1223	1	04 January 2011
1224	1	02 August 2007
1225	1	03 February 2011
1226	1	04 March 2004
1227	1	11 June 2009
1228	1	02 February 2009
1229	1	14 May 2010
1230	1	23 April 2004
1231	1	01 October 1977
1232	1	01 November 1998
1233	1	01 September 1999
1234	1	18 January 2006
1235	1	01 August 2008
1236	1	30 June 2010
1237	1	20 June 2007
1238	1	01 September 2009
1239	0	<NULL>
1240	0	<NULL>
1241	1	05 November 2009
1242	1	27 March 2011
1243	1	01 May 2008
1244	1	01 June 1995
1245	1	23 September 2010
1246	1	14 January 1998
1247	1	29 December 2009
1248	1	06 February 2004
1249	1	25 August 2006
1250	1	11 August 2009
1251	1	01 December 2010
1252	1	01 June 2010
1253	1	15 March 2010
1254	1	04 September 2009
1255	1	04 June 2009
1256	1	31 July 2007
1257	0	<NULL>
1258	0	<NULL>
1259	1	07 February 2006
1260	1	06 March 2007
1261	1	08 March 2010
1262	1	01 September 2010
1263	1	29 July 2009
1264	1	30 July 1992
1265	1	25 March 2010
1266	1	26 November 2009
1267	1	04 March 2010
1268	1	27 October 2009
1269	1	01 May 2004
1270	1	01 January 2004
1271	1	15 January 1999
1272	1	01 May 2008
1273	1	01 October 2007
1274	1	01 July 2007
1275	1	01 May 2007
1276	0	<NULL>
1277	1	30 November 1998
1278	1	03 August 1999
1279	1	06 December 2002
1280	1	01 October 2009
1281	1	01 February 2010
1282	1	25 January 2005
1283	1	01 April 1999
1284	1	24 February 2009
1285	1	01 August 2009
1286	1	01 November 2007
1287	1	06 May 2004
1288	1	01 April 2007
1289	1	01 September 2003
1290	1	27 September 2007
1291	1	01 August 2004
1292	1	15 July 2003
1293	1	13 May 2010
1294	1	27 February 2003
1295	1	27 March 2003
1296	1	21 May 2004
1297	1	14 April 1994
1298	1	28 October 1998
1299	1	01 November 2005
1300	1	14 April 2009
1301	1	28 December 2008
1302	1	01 May 2008
1303	1	25 June 2010
1304	1	20 April 2010
1305	1	01 September 2002
1306	1	03 September 2007
1307	1	02 August 2010
1308	1	15 September 2009
1309	1	06 October 2009
1310	0	<NULL>
1311	1	24 December 2009
1312	1	01 February 2011
1313	1	01 July 2009
1314	1	01 May 2006
1315	1	01 May 2004
1316	1	01 May 2008
1317	1	01 January 1997
1318	1	01 March 2009
1319	1	25 October 1999
1320	1	01 October 1998
1321	1	31 December 1994
1322	1	17 October 1991
1323	1	18 November 2009
1324	1	08 December 2006
1325	1	06 September 2007
1326	1	01 July 2010
1327	1	11 January 1994
1328	1	01 November 2007
1329	1	01 April 2010
1330	1	01 March 1989
1331	1	18 January 2001
1332	1	25 August 2000
1333	1	01 July 2010
1334	1	01 October 2008
1335	1	02 July 2007
1336	1	01 April 2005
1337	1	01 September 2000
1338	1	01 November 2010
1339	1	07 October 1999
1340	1	03 August 2010
1341	1	31 January 2006
1342	1	11 October 2005
1343	1	14 October 2003
1344	1	01 September 2003
1345	1	05 June 2009
1346	1	03 March 2005
1347	1	14 March 2006
1348	1	01 February 2010
1349	1	06 November 2008
1350	1	08 January 2009
1351	1	11 December 2008
1352	1	01 April 2008
1353	1	01 February 2008
1354	1	01 January 2011
1355	1	01 November 2010
1356	1	14 September 2009
1357	1	01 December 2008
1358	1	01 June 2010
1359	1	25 July 2006
1360	1	01 October 2006
1361	1	28 July 2009
1362	1	01 September 2004
1363	1	01 May 2000
1364	1	15 October 2009
1365	1	01 April 2008
1366	1	08 November 2007
1367	1	28 November 2008
1368	1	09 September 2008
1369	1	01 July 2002
1370	1	01 July 2009
1371	1	01 November 2009
1372	1	25 August 2000
1373	0	<NULL>
1374	1	31 March 2009
1375	1	10 November 2005
1376	1	30 June 2005
1377	1	01 August 2007
1378	1	01 October 2006
1379	1	01 October 2001
1380	1	28 August 2007
1381	0	<NULL>
1382	1	06 October 2009
1383	1	13 October 2009
1384	1	01 October 2001
1385	1	08 September 2004
1386	1	24 August 1998
1387	1	21 March 2002
1388	1	01 January 2004
1389	1	11 May 2010
1390	1	18 September 2001
1391	1	31 October 2006
1392	1	15 September 2010
1393	1	31 May 2007
1394	0	<NULL>
1395	1	26 October 2000
1396	1	08 February 2010
1397	1	01 October 2009
1398	0	<NULL>
1399	1	06 September 1995
1400	1	01 November 2000
1401	1	14 August 2008
1402	1	20 February 1995
1403	1	25 July 2007
1404	1	24 May 2007
1405	1	29 January 2004
1406	1	06 January 2000
1407	1	22 May 2008
1408	1	13 October 2009
1409	1	01 January 2003
1410	1	24 September 2006
1411	1	01 March 2006
1412	0	<NULL>
1413	1	20 October 2004
1414	1	01 May 2010
1415	1	01 March 2002
1416	1	01 November 2001
1417	1	08 July 2008
1418	1	27 May 2008
1419	1	01 March 2009
1420	1	27 July 2010
1421	1	28 September 2010
1422	1	24 December 2010
1423	1	06 October 2008
1424	1	04 August 1997
1425	1	30 March 2004
1426	1	30 September 2010
1427	1	25 September 2009
1428	0	<NULL>
1429	1	26 March 2010
1430	1	17 April 2008
1431	1	31 January 2010
1432	1	17 March 2009
1433	1	30 November 2007
1434	1	30 December 2008
1435	1	31 May 2002
1436	1	14 January 2008
1437	1	27 April 2009
1438	1	01 March 2008
1439	1	01 January 2010
1440	1	01 September 2008
1441	1	01 March 2010
1442	1	01 March 2006
1443	1	01 April 2007
1444	1	01 March 2004
1445	1	20 March 2007
1446	0	<NULL>
1447	1	01 July 2009
1448	1	17 March 2008
1449	1	22 May 2003
1450	1	06 February 2008
1451	1	03 October 2008
1452	1	27 October 1994
1453	1	23 September 2010
1454	1	02 March 2009
1455	1	18 December 2009
1456	1	08 October 2009
1457	1	18 August 2009
1458	1	02 December 2008
1459	1	01 January 2009
1460	1	01 June 1997
1461	1	01 May 2010
1462	1	01 August 2005
1463	1	30 September 2010
1464	1	27 November 2009
1465	1	01 October 2010
1466	1	01 November 2001
1467	1	01 August 2010
1468	1	01 November 2006
1469	1	12 June 2008
1470	1	01 June 2006
1471	1	23 September 1996
1472	1	01 January 2005
1473	1	07 April 2008
1474	1	05 August 2010
1475	1	28 October 2007
1476	1	03 January 1998
1477	1	22 September 2000
1478	1	05 May 2009
1479	1	01 May 2009
1480	1	26 November 1999
1481	1	23 August 2010
1482	1	07 September 2009
1483	1	03 April 2008
1484	1	03 September 2009
1485	1	03 April 2008
1486	1	04 July 2002
1487	1	01 November 2005
1488	1	01 September 2006
1489	1	01 October 2005
1490	1	01 December 2005
1491	1	24 December 2010
1492	1	01 August 2003
1493	1	14 December 2007
1494	1	01 November 2005
1495	1	25 May 2009
1496	1	15 October 2010
1497	1	06 March 2008
1498	1	28 February 2007
1499	1	27 January 2011
1500	1	16 December 2010
1501	1	10 August 2000
1502	1	01 September 2010
1503	1	01 September 2010
1504	1	07 September 2009
1505	1	28 February 2010
1506	1	30 September 2002
1507	1	30 October 2006
1508	0	<NULL>
1509	1	01 December 2008
1510	1	11 October 2010
1511	1	06 November 2007
1512	1	14 December 2009
1513	1	10 August 2009
1514	1	11 March 2010
1515	0	<NULL>
1516	0	<NULL>
1517	1	01 August 2005
1518	1	28 August 2008
1519	1	28 August 2008
1520	1	28 August 2007
1521	1	21 August 2007
1522	1	14 June 2004
1523	1	31 May 2010
1524	1	08 May 2001
1525	1	29 August 2008
1526	1	06 August 2009
1527	1	11 August 2010
1528	1	19 December 2008
1529	1	27 March 2009
1530	1	01 January 2002
1531	1	20 April 2009
1532	1	01 April 2005
1533	1	01 April 1996
1534	1	08 September 2009
1535	1	19 October 2010
1536	1	24 January 1998
1537	1	30 October 2008
1538	1	24 September 2004
1539	1	29 July 2004
1540	1	15 November 1994
1541	1	15 November 1995
1542	1	01 May 1977
1543	1	01 December 1999
1544	1	12 October 2006
1545	1	01 September 2010
1546	1	01 September 1993
1547	1	18 July 2006
1548	1	05 December 2010
1549	1	13 April 2010
1550	1	03 April 2007
1551	1	03 June 2010
1552	1	01 May 2008
1553	1	01 September 2005
1554	1	06 October 2009
1555	1	06 October 2009
1556	1	01 April 2010
1557	1	01 May 2010
1558	1	07 September 2010
1559	1	10 March 2010
1560	1	17 June 2009
1561	1	24 April 1998
1562	1	01 April 2005
1563	1	01 December 2003
1564	1	24 April 1998
1565	1	01 November 1989
1566	1	23 May 2007
1567	1	18 January 2011
1568	1	01 March 2011
1569	1	04 January 2011
1570	1	28 December 2010
1571	1	01 February 2007
1572	1	18 November 2004
1573	1	01 December 2010
1574	1	15 January 2003
1575	1	23 January 1986
1576	1	01 January 2004
1577	1	01 February 1993
1578	1	01 May 1999
1579	1	21 October 2002
1580	1	09 April 2009
1581	1	25 May 2007
1582	1	05 September 2005
1583	1	20 August 2009
1584	1	30 April 2009
1585	1	08 October 2009
1586	1	01 September 2006
1587	1	20 March 2008
1588	1	25 January 1973
1589	1	01 January 2004
1590	1	04 November 2004
1591	1	15 January 1993
1592	1	21 April 2010
1593	0	<NULL>
1594	1	10 March 2005
1595	1	03 March 2009
1596	1	31 August 2010
1597	1	01 October 2008
1598	1	01 November 2002
1599	1	14 May 2010
1600	1	26 January 1994
1601	1	31 October 1989
1602	1	26 January 1994
1603	1	01 November 2010
1604	1	15 September 2008
1605	1	21 August 2008
1606	1	01 April 2009
1607	1	05 December 1996
1608	1	10 October 1997
1609	1	01 June 2009
1610	1	13 July 2004
1611	1	21 October 2009
1612	1	04 July 2003
1613	1	01 August 2010
1614	1	24 April 2006
1615	1	01 July 2009
1616	1	15 February 2008
1617	1	19 November 2007
1618	1	31 March 2009
1619	1	01 April 2009
1620	1	27 November 1995
1621	1	01 May 2001
1622	1	11 September 1995
1623	1	01 September 2009
1624	1	29 October 2008
1625	1	28 May 2008
1626	1	16 December 2009
1627	1	12 September 2006
1628	1	24 June 2010
1629	1	20 May 1999
1630	1	25 April 2002
1631	1	01 September 2006
1632	1	01 September 2009
1633	1	03 April 2006
1634	1	01 October 2009
1635	1	01 March 1992
1636	1	30 June 2005
1637	1	30 November 2000
1638	1	29 June 2010
1639	1	25 June 2009
1640	1	28 August 2010
1641	1	07 December 2006
1642	1	01 February 2010
1643	0	<NULL>
1644	1	01 May 2000
1645	1	30 July 2008
1646	1	01 November 1989
1647	1	09 May 2007
1648	1	07 February 2008
1649	1	19 February 2007
1650	1	26 May 2006
1651	1	27 July 2000
1652	0	<NULL>
1653	1	07 July 2009
1654	1	06 March 2007
1655	1	02 January 2007
1656	1	24 January 2006
1657	1	01 May 2007
1658	0	<NULL>
1659	1	06 July 2006
1660	1	26 May 1998
1661	0	<NULL>
1662	1	01 October 2001
1663	1	13 November 2007
1664	1	31 December 1998
1665	1	01 November 2001
1666	1	30 September 2010
1667	1	01 October 2001
1668	1	15 September 2009
1669	1	09 September 2010
1670	1	15 September 2009
1671	1	11 February 2008
1672	1	02 April 2001
1673	1	11 May 2004
1674	1	19 May 2009
1675	0	<NULL>
1676	1	29 May 2007
1677	1	30 January 2008
1678	1	06 January 2010
1679	1	01 August 2005
1680	1	02 January 2006
1681	1	01 February 2008
1682	1	01 February 2003
1683	1	22 October 2009
1684	1	04 May 2004
1685	1	12 April 2002
1686	1	15 June 2010
1687	1	01 December 2006
1688	1	23 June 2009
1689	0	<NULL>
1690	1	10 May 2010
1691	1	05 September 2006
1692	1	04 December 2009
1693	1	27 September 1995
1694	1	30 September 2008
1695	1	01 July 2010
1696	1	16 December 2002
1697	1	07 April 2005
1698	1	03 November 2009
1699	1	01 September 2009
1700	1	01 December 2009
1701	1	03 April 2008
1702	1	21 December 2007
1703	1	20 January 2004
1704	1	01 February 2008
1705	1	27 September 1990
1706	1	01 October 2006
1707	1	29 November 2002
1708	1	01 November 2003
1709	1	09 April 1996
1710	1	06 March 2003
1711	1	01 April 2010
1712	1	01 September 2006
1713	0	<NULL>
1714	1	01 September 2007
1715	1	01 March 2005
1716	1	31 July 1995
1717	1	01 April 2008
1718	1	21 July 2000
1719	1	01 February 1989
1720	1	24 August 1999
1721	1	01 July 2007
1722	1	25 January 2011
1723	1	08 December 1998
1724	1	01 September 2008
1725	1	01 December 1993
1726	1	01 August 2007
1727	1	28 October 2008
1728	1	01 March 2007
1729	0	<NULL>
1730	1	31 March 2009
1731	0	<NULL>
1732	1	01 September 2000
1733	1	05 August 2010
1734	1	05 February 2010
1735	1	01 October 1997
1736	1	10 January 2008
1737	1	01 June 2011
1738	1	21 April 2009
1739	1	06 July 2010
1740	0	<NULL>
1741	1	05 January 2010
1742	1	01 March 2008
1743	1	01 January 2004
1744	1	01 May 2005
1745	0	<NULL>
1746	0	<NULL>
1747	1	25 January 2002
1748	1	20 February 1998
1749	1	01 February 1997
1750	1	18 July 2008
1751	1	18 August 2004
1752	1	18 December 2007
1753	1	17 September 2006
1754	1	04 October 2007
1755	1	01 January 2005
1756	1	26 February 2008
1757	1	20 February 2001
1758	1	10 April 2008
1759	1	05 June 2003
1760	1	01 January 2004
1761	1	30 October 2007
1762	1	01 May 2006
1763	1	08 January 2009
1764	1	01 January 1996
1765	1	01 March 2007
1766	1	30 September 1999
1767	1	04 April 2002
1768	1	05 December 2006
1769	1	01 July 2005
1770	1	19 April 2011
1771	1	01 February 2009
1772	1	01 March 2009
1773	1	24 October 2002
1774	1	01 June 2004
1775	1	29 March 2007
1776	1	04 March 1999
1777	1	28 October 2002
1778	1	25 April 2003
1779	1	05 January 2006
1780	1	01 December 2009
1781	1	31 December 1997
1782	1	30 October 2003
1783	1	01 March 2006
1784	1	01 September 2000
1785	1	01 November 1991
1786	1	12 May 2010
1787	1	01 May 2001
1788	1	09 November 2004
1789	1	01 September 2003
1790	1	01 September 2003
1791	1	01 January 2004
1792	1	05 May 2010
1793	1	03 March 2011
1794	1	01 January 2009
1795	1	29 September 1997
1796	1	14 June 1999
1797	0	<NULL>
1798	1	17 May 2007
1799	1	01 September 2004
1800	1	02 June 2008
1801	1	24 June 1993
1802	1	02 February 2010
1803	1	23 March 2005
1804	1	01 October 2006
1805	1	22 September 2009
1806	1	13 May 2008
1807	1	05 March 2009
1808	1	01 May 2005
1809	1	01 October 1996
1810	1	02 August 2005
1811	1	20 May 2003
1812	1	01 January 2001
1813	1	01 October 1986
1814	1	01 April 2009
1815	1	01 May 2010
1816	1	01 April 2007
1817	1	27 October 2008
1818	1	29 December 2005
1819	1	25 January 2007
1820	1	28 April 2005
1821	1	05 June 2007
1822	1	05 June 2007
1823	1	29 April 2010
1824	1	20 October 2005
1825	1	23 April 1998
1826	1	08 November 2007
1827	1	15 May 2009
1828	1	01 September 2009
1829	1	01 August 2006
1830	1	01 June 2007
1831	1	01 October 2002
1832	1	03 October 2005
1833	1	06 January 2011
1834	1	13 May 2009
1835	1	25 November 2009
1836	1	03 June 2010
1837	1	01 September 2009
1838	1	03 April 1997
1839	1	03 May 2001
1840	1	01 August 2000
1841	0	<NULL>
1842	1	29 December 2009
1843	1	07 May 2009
1844	1	06 December 2000
1845	1	15 May 2003
1846	1	15 January 2003
1847	1	01 November 1996
1848	1	15 September 2008
1849	1	08 November 2008
1850	1	20 May 2008
1851	1	31 December 1997
1852	1	25 July 1995
1853	1	26 April 2001
1854	1	01 August 1999
1855	1	01 February 2004
1856	1	03 November 2006
1857	1	28 January 2005
1858	1	01 October 2001
1859	1	17 September 2007
1860	1	28 January 2010
1861	1	15 November 2008
1862	1	01 May 1999
1863	1	07 July 2005
1864	1	01 December 2004
1865	1	01 December 2000
1866	1	01 October 1998
1867	1	01 December 1995
1868	1	04 October 2010
1869	1	20 October 2008
1870	1	06 November 2008
1871	1	01 July 2010
1872	1	01 September 1998
1873	1	01 May 2008
1874	1	01 January 2006
1875	1	03 August 2009
1876	1	23 June 2006
1877	1	01 November 2004
1878	1	15 June 2007
1879	1	01 August 2007
1880	1	01 July 2004
1881	1	01 January 2004
1882	1	18 August 2008
1883	1	01 March 2008
1884	0	<NULL>
1885	1	17 April 2008
1886	1	25 November 2010
1887	1	02 August 2007
1888	1	27 November 2008
1889	1	06 October 2003
1890	1	01 February 2007
1891	1	17 September 2010
1892	1	02 August 2001
1893	1	01 August 2006
1894	0	<NULL>
1895	1	03 February 2011
1896	1	01 April 2004
1897	1	01 August 2007
1898	1	31 August 2006
1899	1	08 March 2005
1900	0	<NULL>
1901	1	28 December 2010
1902	1	01 November 2009
1903	1	06 January 2010
1904	1	13 April 2010
1905	0	<NULL>
1906	1	14 August 2000
1907	1	01 April 1976
1908	1	05 January 2010
1909	1	01 November 2007
1910	1	24 November 2009
1911	1	06 January 2009
1912	1	01 April 2000
1913	1	15 February 2007
1914	1	01 August 2006
1915	1	01 March 2004
1916	1	30 December 2000
1917	1	02 September 2010
1918	1	09 October 2007
1919	1	15 September 2006
1920	1	07 March 2000
1921	1	07 August 2008
1922	1	27 January 1983
1923	1	01 November 1994
1924	0	<NULL>
1925	1	27 June 2006
1926	1	28 September 2010
1927	1	07 October 2010
1928	1	10 July 2002
1929	1	28 October 2004
1930	1	13 February 2002
1931	1	11 November 2010
1932	1	11 March 2008
1933	1	03 September 2010
1934	1	01 March 2009
1935	1	08 August 2006
1936	1	01 April 2009
1937	1	01 September 2001
1938	1	01 April 1988
1939	1	01 April 1990
1940	1	02 December 2009
1941	1	01 October 2009
1942	1	27 May 2008
1943	1	01 September 2009
1944	1	01 September 2009
1945	1	17 May 2003
1946	1	25 July 2002
1947	1	23 May 2008
1948	1	27 October 2006
1949	0	<NULL>
1950	1	01 December 1993
1951	1	01 September 1998
1952	1	01 August 1994
1953	1	28 May 2004
1954	1	30 December 2005
1955	1	26 September 1996
1956	1	04 July 1996
1957	1	06 January 2011
1958	1	15 March 2010
1959	1	01 June 1979
1960	1	28 December 2010
1961	1	27 August 1998
1962	1	01 October 1998
1963	1	03 April 2008
1964	1	29 June 2007
1965	1	21 January 1991
1966	1	30 July 2006
1967	1	27 September 2010
1968	1	25 September 2007
1969	1	01 May 1995
1970	1	01 October 2003
1971	1	01 July 2009
1972	1	01 June 2009
1973	1	01 November 2010
1974	1	01 April 2008
1975	1	15 March 2008
1976	1	01 March 2009
1977	1	01 October 2010
1978	1	04 January 2010
1979	1	15 August 2009
1980	1	04 April 2005
1981	1	01 November 2006
1982	1	01 December 2010
1983	1	01 May 2010
1984	1	01 August 2007
1985	0	<NULL>
1986	0	<NULL>
1987	1	28 March 2002
1988	1	01 October 2008
1989	1	01 October 2008
1990	1	20 July 1992
1991	1	02 July 2008
1992	1	13 July 2010
1993	1	08 January 2009
1994	1	22 April 2008
1995	1	22 November 2006
1996	1	01 January 2007
1997	1	01 October 2003
1998	1	28 May 2010
1999	0	<NULL>
