university	matchcollege	type
0689	1	Public, Less-Than 2-Year
0690	1	Public, Less-Than 2-Year
0691	1	Public, Less-Than 2-Year
0692	1	Public, Less-Than 2-Year
0693	1	Public, Less-Than 2-Year
0694	1	Public, Less-Than 2-Year
0695	1	Public, Less-Than 2-Year
0696	1	Public, Less-Than 2-Year
0697	1	Public, Less-Than 2-Year
0698	1	Public, Less-Than 2-Year
0699	1	Public, Less-Than 2-Year
0700	1	Private Not-For-Profit, 4-Year or Above
0701	1	Private Not-For-Profit, 4-Year or Above
0702	1	Private Not-For-Profit, 4-Year or Above
0703	1	Private Not-For-Profit, 4-Year or Above
0704	1	Private Not-For-Profit, 4-Year or Above
0705	1	Private Not-For-Profit, 4-Year or Above
0706	1	Private Not-For-Profit, 4-Year or Above
0707	1	Private Not-For-Profit, 4-Year or Above
0708	1	Private Not-For-Profit, 4-Year or Above
0709	1	Private For-Profit, 4-Year or Above
0710	1	Private For-Profit, 4-Year or Above
0711	1	Private Not-For-Profit, 4-Year or Above
0712	1	Private Not-For-Profit, 4-Year or Above
0713	1	Private Not-For-Profit, 4-Year or Above
0714	1	Private Not-For-Profit, 4-Year or Above
0715	1	Private Not-For-Profit, 4-Year or Above
0716	1	Private Not-For-Profit, 4-Year or Above
0717	1	Private Not-For-Profit, 4-Year or Above
0718	1	Private Not-For-Profit, 4-Year or Above
0719	1	Private Not-For-Profit, 4-Year or Above
0720	1	Private Not-For-Profit, 4-Year or Above
0721	1	Private Not-For-Profit, 4-Year or Above
0722	1	Private Not-For-Profit, 4-Year or Above
0723	1	Private Not-For-Profit, 4-Year or Above
0724	1	Private Not-For-Profit, 4-Year or Above
0725	1	Private Not-For-Profit, 4-Year or Above
0726	1	Private For-Profit, 2-Year
0727	1	Private Not-For-Profit, 2-Year
0728	1	Private For-Profit, 2-Year
0729	1	Private For-Profit, 2-Year
0730	1	Private For-Profit, 2-Year
0731	1	Private Not-For-Profit, 2-Year
0732	1	Private For-Profit, 2-Year
0733	1	Private For-Profit, Less-Than 2-Year
0734	1	Private For-Profit, Less-Than 2-Year
0735	1	Private For-Profit, Less-Than 2-Year
0736	1	Private For-Profit, Less-Than 2-Year
0737	1	Private For-Profit, Less-Than 2-Year
0738	1	Private For-Profit, Less-Than 2-Year
0739	1	Public, 4-Year or Above
0740	1	Public, 4-Year or Above
0741	1	Public, 4-Year or Above
0742	1	Public, 4-Year or Above
0743	1	Public, 4-Year or Above
0744	1	Public, 2-Year
0745	1	Public, 2-Year
0746	1	Public, 2-Year
0747	1	Public, 2-Year
0748	1	Public, 2-Year
0749	1	Private Not-For-Profit, 4-Year or Above
0750	1	Private Not-For-Profit, 4-Year or Above
0751	1	Private For-Profit, 2-Year
0752	1	Private Not-For-Profit, 2-Year
0753	1	Public, 4-Year or Above
0754	1	Public, 4-Year or Above
0755	1	Public, 4-Year or Above
0756	1	Public, 4-Year or Above
0757	1	Public, 2-Year
0758	1	Public, 2-Year
0759	1	Private Not-For-Profit, 4-Year or Above
0760	1	Private Not-For-Profit, 4-Year or Above
0761	1	Private Not-For-Profit, 4-Year or Above
0762	1	Private Not-For-Profit, 4-Year or Above
0763	1	Private Not-For-Profit, 4-Year or Above
0764	1	Private Not-For-Profit, 4-Year or Above
0765	1	Private Not-For-Profit, 4-Year or Above
0766	1	Private Not-For-Profit, 4-Year or Above
0767	1	Private Not-For-Profit, 4-Year or Above
0768	1	Private Not-For-Profit, 4-Year or Above
0769	1	Private Not-For-Profit, 4-Year or Above
0770	1	Private For-Profit, 2-Year
0771	1	Private For-Profit, 2-Year
0772	1	Private For-Profit, 2-Year
0773	1	Private For-Profit, 2-Year
0774	1	Private For-Profit, 2-Year
0775	1	Public, 4-Year or Above
0776	1	Public, 4-Year or Above
0777	1	Public, 4-Year or Above
0778	1	Public, 2-Year
0779	1	Private Not-For-Profit, 4-Year or Above
0780	1	Private Not-For-Profit, 4-Year or Above
0781	1	Private For-Profit, Less-Than 2-Year
0782	1	Private For-Profit, Less-Than 2-Year
0783	1	Public, 4-Year or Above
0784	1	Public, 4-Year or Above
0785	1	Public, 2-Year
0786	1	Public, 2-Year
0787	1	Public, 2-Year
0788	1	Public, 2-Year
0789	1	Private Not-For-Profit, 4-Year or Above
0790	1	Private Not-For-Profit, 4-Year or Above
0791	1	Private Not-For-Profit, 4-Year or Above
0792	1	Private Not-For-Profit, 4-Year or Above
0793	1	Private Not-For-Profit, 4-Year or Above
0794	1	Private For-Profit, 4-Year or Above
0795	1	Private Not-For-Profit, 4-Year or Above
0796	1	Private Not-For-Profit, 4-Year or Above
0797	1	Private For-Profit, Less-Than 2-Year
0798	1	Private For-Profit, Less-Than 2-Year
0799	1	Private For-Profit, Less-Than 2-Year
0800	1	Private For-Profit, Less-Than 2-Year
0801	1	Private For-Profit, Less-Than 2-Year
0802	1	Private For-Profit, Less-Than 2-Year
0803	1	Private Not-For-Profit, Less-Than 2-Year
0804	1	Public, 4-Year or Above
0805	1	Public, 4-Year or Above
0806	1	Public, 2-Year
0807	1	Public, 2-Year
0808	1	Public, 2-Year
0809	1	Public, 2-Year
0810	1	Public, 2-Year
0811	1	Public, 2-Year
0812	1	Public, 2-Year
0813	1	Public, 2-Year
0814	1	Public, 2-Year
0815	1	Public, 2-Year
0816	1	Public, Less-Than 2-Year
0817	1	Private Not-For-Profit, 4-Year or Above
0818	1	Private Not-For-Profit, 4-Year or Above
0819	1	Private Not-For-Profit, 4-Year or Above
0820	1	Private Not-For-Profit, 4-Year or Above
0821	1	Private Not-For-Profit, 2-Year
0822	1	Private Not-For-Profit, 2-Year
0823	1	Private For-Profit, Less-Than 2-Year
0824	1	Private For-Profit, Less-Than 2-Year
0825	1	Private For-Profit, Less-Than 2-Year
0826	1	Private For-Profit, Less-Than 2-Year
0827	1	Public, 4-Year or Above
0828	1	Public, 4-Year or Above
0829	1	Public, 4-Year or Above
0830	1	Public, 4-Year or Above
0831	1	Public, 4-Year or Above
0832	1	Public, 4-Year or Above
0833	1	Public, 4-Year or Above
0834	1	Public, 4-Year or Above
0835	1	Public, 2-Year
0836	1	Public, 2-Year
0837	1	Public, 2-Year
0838	1	Public, 2-Year
0839	1	Public, 2-Year
0840	1	Public, 2-Year
0841	1	Public, 2-Year
0842	1	Public, 2-Year
0843	1	Public, 2-Year
0844	1	Public, 2-Year
0845	1	Private Not-For-Profit, 4-Year or Above
0846	1	Private Not-For-Profit, 4-Year or Above
0847	1	Private Not-For-Profit, 4-Year or Above
0848	1	Private Not-For-Profit, 4-Year or Above
0849	1	Private Not-For-Profit, 4-Year or Above
0850	1	Private Not-For-Profit, 2-Year
0851	1	Private Not-For-Profit, 2-Year
0852	1	Private Not-For-Profit, 2-Year
0853	1	Private For-Profit, 2-Year
0854	1	Private For-Profit, 2-Year
0855	1	Private Not-For-Profit, 2-Year
0856	1	Private For-Profit, 2-Year
0857	1	Private For-Profit, 2-Year
0858	1	Private For-Profit, Less-Than 2-Year
0859	1	Private For-Profit, Less-Than 2-Year
0860	1	Private For-Profit, Less-Than 2-Year
0861	1	Private For-Profit, Less-Than 2-Year
0862	1	Private For-Profit, Less-Than 2-Year
0863	1	Private For-Profit, Less-Than 2-Year
0864	1	Private For-Profit, Less-Than 2-Year
0865	1	Public, 4-Year or Above
0866	1	Public, 4-Year or Above
0867	1	Public, 4-Year or Above
0868	1	Public, 2-Year
0869	1	Public, 2-Year
0870	1	Public, 2-Year
0871	1	Public, 2-Year
0872	1	Public, 2-Year
0873	1	Public, 2-Year
0874	1	Public, 2-Year
0875	1	Public, 2-Year
0876	1	Private Not-For-Profit, 4-Year or Above
0877	1	Private For-Profit, Less-Than 2-Year
0878	1	Public, 4-Year or Above
0879	1	Public, 4-Year or Above
0880	1	Public, 4-Year or Above
0881	1	Public, 4-Year or Above
0882	1	Public, 4-Year or Above
0883	1	Public, 4-Year or Above
0884	1	Public, 4-Year or Above
0885	1	Public, 4-Year or Above
0886	1	Public, 4-Year or Above
0887	1	Public, 4-Year or Above
0888	1	Public, 4-Year or Above
0889	1	Public, 4-Year or Above
0890	1	Public, 4-Year or Above
0891	1	Public, 4-Year or Above
0892	1	Public, 4-Year or Above
0893	1	Public, 4-Year or Above
0894	1	Public, 4-Year or Above
0895	1	Public, 4-Year or Above
0896	1	Public, 4-Year or Above
0897	1	Public, 2-Year
0898	1	Public, 2-Year
0899	1	Public, 2-Year
0900	1	Public, 2-Year
0901	1	Public, 2-Year
0902	1	Public, 2-Year
0903	1	Public, 2-Year
0904	1	Public, 2-Year
0905	1	Public, 2-Year
0906	1	Public, 2-Year
0907	1	Public, 2-Year
0908	1	Public, 2-Year
0909	1	Public, 2-Year
0910	1	Public, 2-Year
0911	1	Public, 2-Year
0912	1	Public, 2-Year
0913	1	Public, 2-Year
0914	1	Public, Less-Than 2-Year
0915	1	Public, Less-Than 2-Year
0916	1	Public, Less-Than 2-Year
0917	1	Public, Less-Than 2-Year
0918	1	Public, Less-Than 2-Year
0919	1	Public, Less-Than 2-Year
0920	1	Public, Less-Than 2-Year
0921	1	Private Not-For-Profit, 4-Year or Above
0922	1	Private For-Profit, 4-Year or Above
0923	1	Private Not-For-Profit, 4-Year or Above
0924	1	Private Not-For-Profit, 4-Year or Above
0925	1	Private Not-For-Profit, 4-Year or Above
0926	1	Private Not-For-Profit, 4-Year or Above
0927	1	Private Not-For-Profit, 4-Year or Above
0928	1	Private Not-For-Profit, 4-Year or Above
0929	1	Private Not-For-Profit, 4-Year or Above
0930	1	Private Not-For-Profit, 4-Year or Above
0931	1	Private Not-For-Profit, 4-Year or Above
0932	1	Private Not-For-Profit, 4-Year or Above
0933	1	Private For-Profit, 4-Year or Above
0934	1	Private Not-For-Profit, 4-Year or Above
0935	1	Private Not-For-Profit, 4-Year or Above
0936	1	Private Not-For-Profit, 4-Year or Above
0937	1	Private Not-For-Profit, 4-Year or Above
0938	1	Private Not-For-Profit, 4-Year or Above
0939	1	Private Not-For-Profit, 4-Year or Above
0940	1	Private Not-For-Profit, 4-Year or Above
0941	1	Private Not-For-Profit, 4-Year or Above
0942	1	Private For-Profit, 4-Year or Above
0943	1	Private Not-For-Profit, 4-Year or Above
0944	1	Private Not-For-Profit, 4-Year or Above
0945	1	Private Not-For-Profit, 4-Year or Above
0946	1	Private Not-For-Profit, 4-Year or Above
0947	1	Private Not-For-Profit, 4-Year or Above
0948	1	Private Not-For-Profit, 4-Year or Above
0949	1	Private Not-For-Profit, 4-Year or Above
0950	1	Private Not-For-Profit, 4-Year or Above
0951	1	Private Not-For-Profit, 4-Year or Above
0952	1	Private Not-For-Profit, 4-Year or Above
0953	1	Private Not-For-Profit, 4-Year or Above
0954	1	Private Not-For-Profit, 4-Year or Above
0955	1	Private Not-For-Profit, 4-Year or Above
0956	1	Private Not-For-Profit, 4-Year or Above
0957	1	Private For-Profit, 4-Year or Above
0958	1	Private Not-For-Profit, 4-Year or Above
0959	1	Private Not-For-Profit, 4-Year or Above
0960	1	Private Not-For-Profit, 4-Year or Above
0961	1	Private Not-For-Profit, 4-Year or Above
0962	1	Private Not-For-Profit, 2-Year
0963	1	Private Not-For-Profit, 2-Year
0964	1	Private For-Profit, 2-Year
0965	1	Private Not-For-Profit, 2-Year
0966	1	Private Not-For-Profit, 2-Year
0967	1	Private Not-For-Profit, 2-Year
0968	1	Private For-Profit, 2-Year
0969	1	Private For-Profit, 2-Year
0970	1	Private For-Profit, 2-Year
0971	1	Private For-Profit, 2-Year
0972	1	Private Not-For-Profit, 2-Year
0973	1	Private Not-For-Profit, 2-Year
0974	1	Private Not-For-Profit, 2-Year
0975	1	Private For-Profit, 2-Year
0976	1	Private Not-For-Profit, 2-Year
0977	1	Private For-Profit, 2-Year
0978	1	Private Not-For-Profit, 2-Year
0979	1	Private Not-For-Profit, 2-Year
0980	1	Private For-Profit, 2-Year
0981	1	Private Not-For-Profit, 2-Year
0982	1	Private For-Profit, Less-Than 2-Year
0983	1	Private For-Profit, Less-Than 2-Year
0984	1	Private For-Profit, Less-Than 2-Year
0985	1	Private For-Profit, Less-Than 2-Year
0986	1	Private For-Profit, Less-Than 2-Year
0987	1	Private For-Profit, Less-Than 2-Year
0988	1	Private For-Profit, Less-Than 2-Year
0989	1	Private For-Profit, Less-Than 2-Year
0990	1	Private For-Profit, Less-Than 2-Year
0991	1	Private For-Profit, Less-Than 2-Year
0992	1	Public, 4-Year or Above
0993	1	Public, 4-Year or Above
0994	1	Public, 4-Year or Above
0995	1	Public, 4-Year or Above
0996	1	Public, 4-Year or Above
0997	1	Public, 4-Year or Above
0998	1	Public, 4-Year or Above
0999	1	Public, 4-Year or Above
1000	1	Public, 4-Year or Above
1001	1	Public, 2-Year
1002	1	Public, 2-Year
1003	1	Public, 2-Year
1004	1	Public, 2-Year
1005	1	Public, 2-Year
1006	1	Public, 2-Year
1007	1	Public, 2-Year
1008	1	Public, 2-Year
1009	1	Public, 2-Year
1010	1	Public, 2-Year
1011	1	Public, 2-Year
1012	1	Public, 2-Year
1013	1	Public, 2-Year
1014	1	Public, 2-Year
1015	1	Public, 2-Year
1016	1	Public, 2-Year
1017	1	Public, 2-Year
1018	1	Public, 2-Year
1019	1	Public, 2-Year
1020	1	Public, 2-Year
1021	1	Public, 2-Year
1022	1	Public, 2-Year
1023	1	Public, 2-Year
1024	1	Public, 2-Year
1025	1	Public, 2-Year
1026	1	Public, 2-Year
1027	1	Public, 2-Year
1028	1	Private Not-For-Profit, 4-Year or Above
1029	1	Private Not-For-Profit, 4-Year or Above
1030	1	Private Not-For-Profit, 4-Year or Above
1031	1	Private Not-For-Profit, 4-Year or Above
1032	1	Private Not-For-Profit, 4-Year or Above
1033	1	Private Not-For-Profit, 4-Year or Above
1034	1	Private Not-For-Profit, 4-Year or Above
1035	1	Private Not-For-Profit, 4-Year or Above
1036	1	Private Not-For-Profit, 4-Year or Above
1037	1	Private Not-For-Profit, 4-Year or Above
1038	1	Private Not-For-Profit, 4-Year or Above
1039	1	Private Not-For-Profit, 4-Year or Above
1040	1	Private Not-For-Profit, 4-Year or Above
1041	1	Private Not-For-Profit, 4-Year or Above
1042	1	Private For-Profit, 4-Year or Above
1043	1	Private Not-For-Profit, 4-Year or Above
1044	1	Private Not-For-Profit, 4-Year or Above
1045	1	Private Not-For-Profit, 2-Year
1046	1	Private For-Profit, 2-Year
1047	1	Private Not-For-Profit, 2-Year
1048	1	Private For-Profit, Less-Than 2-Year
1049	1	Private For-Profit, Less-Than 2-Year
1050	1	Private For-Profit, Less-Than 2-Year
1051	1	Private For-Profit, Less-Than 2-Year
1052	1	Private For-Profit, Less-Than 2-Year
1053	1	Private For-Profit, Less-Than 2-Year
1054	1	Private For-Profit, Less-Than 2-Year
1055	1	Private For-Profit, Less-Than 2-Year
1056	1	Public, 4-Year or Above
1057	1	Public, 4-Year or Above
1058	1	Public, 4-Year or Above
1059	1	Public, 2-Year
1060	1	Public, 2-Year
1061	1	Public, 2-Year
1062	1	Private For-Profit, 4-Year or Above
1063	1	Private Not-For-Profit, 4-Year or Above
1064	1	Private For-Profit, 2-Year
1065	1	Private For-Profit, 2-Year
1066	1	Private For-Profit, 2-Year
1067	1	Public, 4-Year or Above
1068	1	Public, 4-Year or Above
1069	1	Public, 4-Year or Above
1070	1	Public, 4-Year or Above
1071	1	Public, 4-Year or Above
1072	1	Public, 4-Year or Above
1073	1	Public, 2-Year
1074	1	Public, 2-Year
1075	1	Public, 2-Year
1076	1	Public, 2-Year
1077	1	Public, 2-Year
1078	1	Public, 2-Year
1079	1	Public, 2-Year
1080	1	Public, 2-Year
1081	1	Public, 2-Year
1082	1	Public, Less-Than 2-Year
1083	1	Public, Less-Than 2-Year
1084	1	Public, Less-Than 2-Year
1085	1	Public, Less-Than 2-Year
1086	1	Public, Less-Than 2-Year
1087	1	Public, Less-Than 2-Year
1088	1	Public, Less-Than 2-Year
1089	1	Public, Less-Than 2-Year
1090	1	Public, Less-Than 2-Year
1091	1	Public, Less-Than 2-Year
1092	1	Public, Less-Than 2-Year
1093	1	Private Not-For-Profit, 4-Year or Above
1094	1	Private Not-For-Profit, 4-Year or Above
1095	1	Private Not-For-Profit, 4-Year or Above
1096	1	Private Not-For-Profit, 4-Year or Above
1097	1	Private Not-For-Profit, 4-Year or Above
1098	1	Private Not-For-Profit, 4-Year or Above
1099	1	Private Not-For-Profit, 4-Year or Above
1100	1	Private For-Profit, 4-Year or Above
1101	1	Private Not-For-Profit, 4-Year or Above
1102	1	Private Not-For-Profit, 4-Year or Above
1103	1	Private Not-For-Profit, 4-Year or Above
1104	1	Private Not-For-Profit, 4-Year or Above
1105	1	Private Not-For-Profit, 4-Year or Above
1106	1	Private Not-For-Profit, 4-Year or Above
1107	1	Private Not-For-Profit, 4-Year or Above
1108	1	Private Not-For-Profit, 4-Year or Above
1109	1	Private Not-For-Profit, 4-Year or Above
1110	1	Private Not-For-Profit, 4-Year or Above
1111	1	Private Not-For-Profit, 4-Year or Above
1112	1	Private Not-For-Profit, 4-Year or Above
1113	1	Private Not-For-Profit, 4-Year or Above
1114	1	Private Not-For-Profit, 4-Year or Above
1115	1	Private Not-For-Profit, 4-Year or Above
1116	1	Private Not-For-Profit, 4-Year or Above
1117	1	Private Not-For-Profit, 4-Year or Above
1118	1	Private Not-For-Profit, 4-Year or Above
1119	1	Private Not-For-Profit, 4-Year or Above
1120	1	Private Not-For-Profit, 4-Year or Above
1121	1	Private Not-For-Profit, 4-Year or Above
1122	1	Private Not-For-Profit, 4-Year or Above
1123	1	Private Not-For-Profit, 4-Year or Above
1124	1	Private Not-For-Profit, 4-Year or Above
1125	1	Private For-Profit, 2-Year
1126	1	Private For-Profit, 2-Year
1127	1	Private For-Profit, 2-Year
1128	1	Private For-Profit, 2-Year
1129	1	Private For-Profit, 2-Year
1130	1	Private For-Profit, 2-Year
1131	1	Private For-Profit, 2-Year
1132	1	Private For-Profit, 2-Year
1133	1	Private For-Profit, 2-Year
1134	1	Private For-Profit, 2-Year
1135	1	Private For-Profit, 2-Year
1136	1	Private For-Profit, 2-Year
1137	1	Private Not-For-Profit, Less-Than 2-Year
1138	1	Private For-Profit, Less-Than 2-Year
1139	1	Private Not-For-Profit, Less-Than 2-Year
1140	1	Private For-Profit, Less-Than 2-Year
1141	1	Public, 4-Year or Above
1142	1	Public, 4-Year or Above
1143	1	Public, 4-Year or Above
1144	1	Public, 4-Year or Above
1145	1	Public, 4-Year or Above
1146	1	Public, 4-Year or Above
1147	1	Public, 4-Year or Above
1148	1	Public, 4-Year or Above
1149	1	Public, 4-Year or Above
1150	1	Public, 2-Year
1151	1	Public, 2-Year
1152	1	Public, 2-Year
1153	1	Public, 2-Year
1154	1	Public, Less-Than 2-Year
1155	1	Public, Less-Than 2-Year
1156	1	Public, Less-Than 2-Year
1157	1	Public, Less-Than 2-Year
1158	1	Private Not-For-Profit, 4-Year or Above
1159	1	Private Not-For-Profit, 4-Year or Above
1160	1	Private Not-For-Profit, 4-Year or Above
1161	1	Private Not-For-Profit, 4-Year or Above
1162	1	Private Not-For-Profit, 4-Year or Above
1163	1	Private Not-For-Profit, 4-Year or Above
1164	1	Private Not-For-Profit, 4-Year or Above
1165	1	Private Not-For-Profit, 4-Year or Above
1166	1	Private For-Profit, 2-Year
1167	1	Private For-Profit, 2-Year
1168	1	Private For-Profit, 2-Year
1169	1	Private For-Profit, 2-Year
1170	1	Private For-Profit, Less-Than 2-Year
1171	1	Private For-Profit, Less-Than 2-Year
1172	1	Private For-Profit, Less-Than 2-Year
1173	1	Private For-Profit, Less-Than 2-Year
1174	1	Private For-Profit, Less-Than 2-Year
1175	1	Public, 4-Year or Above
1176	1	Public, 4-Year or Above
1177	1	Public, 2-Year
1178	1	Public, 2-Year
1179	1	Public, 2-Year
1180	1	Public, 2-Year
1181	1	Public, 2-Year
1182	1	Public, 2-Year
1183	1	Private Not-For-Profit, 4-Year or Above
1184	1	Private For-Profit, 4-Year or Above
1185	1	Private Not-For-Profit, 4-Year or Above
1186	1	Private Not-For-Profit, 4-Year or Above
1187	1	Private Not-For-Profit, 4-Year or Above
1188	1	Private Not-For-Profit, 4-Year or Above
1189	1	Private Not-For-Profit, 4-Year or Above
1190	1	Private Not-For-Profit, 4-Year or Above
1191	1	Private Not-For-Profit, 4-Year or Above
1192	1	Private For-Profit, 4-Year or Above
1193	1	Private For-Profit, 4-Year or Above
1194	1	Private For-Profit, 2-Year
1195	1	Private For-Profit, 2-Year
1196	1	Private For-Profit, 2-Year
1197	1	Private For-Profit, 2-Year
1198	1	Private For-Profit, 2-Year
1199	1	Private For-Profit, 2-Year
1200	1	Private For-Profit, 2-Year
1201	1	Private For-Profit, 2-Year
1202	1	Private For-Profit, 2-Year
1203	1	Private For-Profit, Less-Than 2-Year
1204	1	Private For-Profit, Less-Than 2-Year
1205	1	Public, 4-Year or Above
1206	1	Public, 4-Year or Above
1207	1	Public, 4-Year or Above
1208	1	Public, 4-Year or Above
1209	1	Public, 4-Year or Above
1210	1	Public, 4-Year or Above
1211	1	Public, 2-Year
1212	1	Public, 2-Year
1213	1	Public, 2-Year
1214	1	Public, 2-Year
1215	1	Public, 2-Year
1216	1	Public, 2-Year
1217	1	Public, Less-Than 2-Year
1218	1	Public, Less-Than 2-Year
1219	1	Public, Less-Than 2-Year
1220	1	Public, Less-Than 2-Year
1221	1	Public, Less-Than 2-Year
1222	1	Public, Less-Than 2-Year
1223	1	Public, Less-Than 2-Year
1224	1	Public, Less-Than 2-Year
1225	1	Public, Less-Than 2-Year
1226	1	Public, Less-Than 2-Year
1227	1	Public, Less-Than 2-Year
1228	1	Private Not-For-Profit, 4-Year or Above
1229	1	Private Not-For-Profit, 4-Year or Above
1230	1	Private Not-For-Profit, 4-Year or Above
1231	1	Private Not-For-Profit, 4-Year or Above
1232	1	Private Not-For-Profit, 4-Year or Above
1233	1	Private Not-For-Profit, 4-Year or Above
1234	1	Private Not-For-Profit, 4-Year or Above
1235	1	Private Not-For-Profit, 4-Year or Above
1236	1	Private Not-For-Profit, 4-Year or Above
1237	1	Private Not-For-Profit, 4-Year or Above
1238	1	Private Not-For-Profit, 4-Year or Above
1239	1	Private For-Profit, 4-Year or Above
1240	1	Private Not-For-Profit, 4-Year or Above
1241	1	Private Not-For-Profit, 4-Year or Above
1242	1	Private Not-For-Profit, 4-Year or Above
1243	1	Private Not-For-Profit, 4-Year or Above
1244	1	Private Not-For-Profit, 4-Year or Above
1245	1	Private Not-For-Profit, 4-Year or Above
1246	1	Private Not-For-Profit, 4-Year or Above
1247	1	Private Not-For-Profit, 4-Year or Above
1248	1	Private Not-For-Profit, 4-Year or Above
1249	1	Private Not-For-Profit, 4-Year or Above
1250	1	Private Not-For-Profit, 4-Year or Above
1251	1	Private Not-For-Profit, 4-Year or Above
1252	1	Private Not-For-Profit, 4-Year or Above
1253	1	Private Not-For-Profit, 4-Year or Above
1254	1	Private Not-For-Profit, 4-Year or Above
1255	1	Private Not-For-Profit, 4-Year or Above
1256	1	Private Not-For-Profit, 4-Year or Above
1257	1	Private Not-For-Profit, 4-Year or Above
1258	1	Private Not-For-Profit, 4-Year or Above
1259	1	Private Not-For-Profit, 4-Year or Above
1260	1	Private Not-For-Profit, 4-Year or Above
1261	1	Private Not-For-Profit, 4-Year or Above
1262	1	Private Not-For-Profit, 4-Year or Above
1263	1	Private For-Profit, 4-Year or Above
1264	1	Private For-Profit, 4-Year or Above
1265	1	Private Not-For-Profit, 4-Year or Above
1266	1	Private Not-For-Profit, 4-Year or Above
1267	1	Private Not-For-Profit, 4-Year or Above
1268	1	Private Not-For-Profit, 4-Year or Above
1269	1	Private Not-For-Profit, 4-Year or Above
1270	1	Private Not-For-Profit, 4-Year or Above
1271	1	Private Not-For-Profit, 4-Year or Above
1272	1	Private Not-For-Profit, 4-Year or Above
1273	1	Private For-Profit, 2-Year
1274	1	Private For-Profit, 2-Year
1275	1	Private For-Profit, 2-Year
1276	1	Private For-Profit, 2-Year
1277	1	Private For-Profit, 2-Year
1278	1	Private For-Profit, 2-Year
1279	1	Private For-Profit, 2-Year
1280	1	Private For-Profit, 2-Year
1281	1	Private For-Profit, 2-Year
1282	1	Private For-Profit, 2-Year
1283	1	Private Not-For-Profit, 2-Year
1284	1	Private For-Profit, 2-Year
1285	1	Private For-Profit, 2-Year
1286	1	Private Not-For-Profit, 2-Year
1287	1	Private Not-For-Profit, 2-Year
1288	1	Private For-Profit, 2-Year
1289	1	Private For-Profit, 2-Year
1290	1	Private For-Profit, 2-Year
1291	1	Private For-Profit, 2-Year
1292	1	Private For-Profit, 2-Year
1293	1	Private For-Profit, Less-Than 2-Year
1294	1	Private For-Profit, Less-Than 2-Year
1295	1	Private For-Profit, Less-Than 2-Year
1296	1	Private For-Profit, Less-Than 2-Year
1297	1	Private For-Profit, Less-Than 2-Year
1298	1	Private For-Profit, Less-Than 2-Year
1299	1	Private For-Profit, Less-Than 2-Year
1300	1	Private For-Profit, Less-Than 2-Year
1301	1	Private For-Profit, Less-Than 2-Year
1302	1	Private For-Profit, Less-Than 2-Year
1303	1	Private For-Profit, Less-Than 2-Year
1304	1	Public, 4-Year or Above
1305	1	Private Not-For-Profit, 4-Year or Above
1306	1	Private Not-For-Profit, 4-Year or Above
1307	1	Private Not-For-Profit, 4-Year or Above
1308	1	Private Not-For-Profit, 4-Year or Above
1309	1	Private Not-For-Profit, 4-Year or Above
1310	1	Private Not-For-Profit, 4-Year or Above
1311	1	Private Not-For-Profit, 2-Year
1312	1	Private Not-For-Profit, 2-Year
1313	1	Private For-Profit, Less-Than 2-Year
1314	1	Private For-Profit, Less-Than 2-Year
1315	1	Private For-Profit, Less-Than 2-Year
1316	1	Public, 4-Year or Above
1317	1	Public, 4-Year or Above
1318	1	Public, 4-Year or Above
1319	1	Public, 4-Year or Above
1320	1	Public, 4-Year or Above
1321	1	Public, 4-Year or Above
1322	1	Public, 4-Year or Above
1323	1	Public, 4-Year or Above
1324	1	Public, 4-Year or Above
1325	1	Public, 4-Year or Above
1326	1	Public, 4-Year or Above
1327	1	Public, 4-Year or Above
1328	1	Public, 4-Year or Above
1329	1	Public, 4-Year or Above
1330	1	Public, 4-Year or Above
1331	1	Public, 4-Year or Above
1332	1	Public, 4-Year or Above
1333	1	Public, 4-Year or Above
1334	1	Public, 4-Year or Above
1335	1	Public, 4-Year or Above
1336	1	Public, 2-Year
1337	1	Public, 2-Year
1338	1	Public, 2-Year
1339	1	Public, 2-Year
1340	1	Public, 2-Year
1341	1	Public, 2-Year
1342	1	Public, 2-Year
1343	1	Public, 2-Year
1344	1	Public, 2-Year
1345	1	Public, 2-Year
1346	1	Public, 2-Year
1347	1	Public, 2-Year
1348	1	Public, 2-Year
1349	1	Public, 2-Year
1350	1	Public, 2-Year
1351	1	Public, 2-Year
1352	1	Public, 2-Year
1353	1	Public, 2-Year
1354	1	Public, 2-Year
1355	1	Public, 2-Year
1356	1	Public, 2-Year
1357	1	Public, 2-Year
1358	1	Public, 2-Year
1359	1	Public, 2-Year
1360	1	Public, 2-Year
1361	1	Public, 2-Year
1362	1	Public, 2-Year
1363	1	Public, 2-Year
1364	1	Public, 2-Year
1365	1	Public, Less-Than 2-Year
1366	1	Public, Less-Than 2-Year
1367	1	Public, Less-Than 2-Year
1368	1	Private Not-For-Profit, 4-Year or Above
1369	1	Private For-Profit, 4-Year or Above
1370	1	Private Not-For-Profit, 4-Year or Above
1371	1	Private Not-For-Profit, 4-Year or Above
1372	1	Private Not-For-Profit, 4-Year or Above
1373	1	Private Not-For-Profit, 4-Year or Above
1374	1	Private Not-For-Profit, 4-Year or Above
1375	1	Private Not-For-Profit, 4-Year or Above
1376	1	Private Not-For-Profit, 4-Year or Above
1377	1	Private For-Profit, 4-Year or Above
1378	1	Private Not-For-Profit, 4-Year or Above
