university	collegeboard	type
1616	1	Private
1617	1	Private
1618	1	Public
1619	1	Public
1620	1	Public
1621	1	Public
1622	1	Proprietary
1623	1	Proprietary
1624	1	Proprietary
1625	1	Proprietary
1626	1	Proprietary
1627	1	Private
1628	1	Private
1629	1	Private
1630	1	Proprietary
1631	1	Private
1632	1	Public
1633	1	Public
1634	1	Public
1635	1	Proprietary
1636	1	Proprietary
1637	1	Proprietary
1638	1	Proprietary
1639	1	Proprietary
1640	1	Public
1641	1	Private
1642	1	Private
1643	1	Private
1644	1	Public
1645	1	Private
1646	1	Proprietary
1647	1	Proprietary
1648	1	Proprietary
1649	1	Public
1650	1	Private
1651	1	Proprietary
1652	1	Proprietary
1653	1	Proprietary
1654	1	Public
1655	1	Private
1656	1	Private
1657	1	Private
1658	1	Public
1659	1	Public
1660	1	Public
1661	1	Private
1662	1	Proprietary
1663	1	Proprietary
1664	1	Proprietary
1665	1	Proprietary
1666	1	Proprietary
1667	1	Proprietary
1668	1	Private
1669	1	Public
1670	1	Proprietary
1671	1	Proprietary
1672	1	Proprietary
1673	1	Private
1674	1	Proprietary
1675	1	Proprietary
1676	1	Proprietary
1677	1	Proprietary
1678	1	Proprietary
1679	1	Proprietary
1680	1	Proprietary
1681	1	Proprietary
1682	1	Proprietary
1683	1	Private
1684	1	Proprietary
1685	1	Private
1686	1	Private
1687	1	Public
1688	1	Private
1689	1	Public
1690	1	Private
1691	1	Proprietary
1692	1	Public
1693	1	Private
1694	1	Private
1695	1	Public
1696	1	Private
1697	1	Public
1698	1	Private
1699	1	Proprietary
1700	1	Private
1701	1	Private
1702	1	Proprietary
1703	1	Public
1704	1	Public
1705	1	Public
1706	1	Public
1707	1	Public
1708	1	Public
1709	1	Public
1710	1	Private
1711	1	Proprietary
1712	1	Private
1713	1	Public
1714	1	Public
1715	1	Private
1716	1	Private
1717	1	Private
1718	1	Proprietary
1719	1	Public
1720	1	Private
1721	1	Proprietary
1722	1	Proprietary
1723	1	Proprietary
1724	1	Private
1725	1	Private
1726	1	Proprietary
1727	1	Proprietary
1728	1	Proprietary
1729	1	Proprietary
1730	1	Proprietary
1731	1	Private
1732	1	Public
1733	1	Public
1734	1	Public
1735	1	Private
1736	1	Private
1737	1	Public
1738	1	Private
1739	1	Private
1740	1	Public
1741	1	Private
1742	1	Private
1743	1	Public
1744	1	Private
1745	1	Private
1746	1	Public
1747	1	Private
1748	1	Private
1749	1	Public
1750	1	Public
1751	1	Public
1752	1	Public
1753	1	Private
1754	1	Public
1755	1	Public
1756	1	Public
1757	1	Public
1758	1	Public
1759	1	Public
1760	1	Public
1761	1	Public
1762	1	Public
1763	1	Public
1764	1	Public
1765	1	Private
1766	1	Proprietary
1767	1	Public
1768	1	Public
1769	1	Public
1770	1	Public
1771	1	Public
1772	1	Public
1773	1	Proprietary
1774	1	Public
1775	1	Proprietary
1776	1	Private
1777	1	Private
1778	1	Public
1779	1	Private
1780	1	Private
1781	1	Private
1782	1	Public
1783	1	Public
1784	1	Public
1785	1	Public
1786	1	Private
1787	1	Private
1788	1	Public
1789	1	Proprietary
1790	1	Proprietary
1791	1	Public
1792	1	Public
1793	1	Public
1794	1	Public
1795	1	Private
1796	1	Private
1797	1	Private
1798	1	Private
1799	1	Public
1800	1	Public
1801	1	Proprietary
1802	1	Public
1803	1	Public
1804	1	Public
1805	1	Public
1806	1	Public
1807	1	Public
1808	1	Public
1809	1	Public
1810	1	Public
1811	1	Public
1812	1	Public
1813	1	Public
1814	1	Public
1815	1	Private
1816	1	Private
1817	1	Private
1818	1	Public
1819	1	Public
1820	1	Private
1821	1	Private
1822	1	Public
1823	1	Public
1824	1	Private
1825	1	Public
1826	1	Proprietary
1827	1	Private
1828	1	Public
1829	1	Public
1830	1	Public
1831	1	Public
1832	1	Public
1833	1	Private
1834	1	Private
1835	1	Private
1836	1	Private
1837	1	Proprietary
1838	1	Public
1839	1	Public
1840	1	Public
1841	1	Public
1842	1	Private
1843	1	Public
1844	1	Private
1845	1	Private
1846	1	Private
1847	1	Private
1848	1	Proprietary
1849	1	Public
1850	1	Public
1851	1	Proprietary
1852	1	Public
1853	1	Private
1854	1	Public
1855	1	Private
1856	1	Private
1857	1	Proprietary
1858	1	Private
1859	1	Private
1860	1	Private
1861	1	Private
1862	1	Private
1863	1	Proprietary
1864	1	Private
1865	1	Private
1866	1	Proprietary
1867	1	Public
1868	1	Proprietary
1869	1	Proprietary
1870	1	Proprietary
1871	1	Public
1872	1	Private
1873	1	Private
1874	1	Public
1875	1	Proprietary
1876	1	Proprietary
1877	1	Proprietary
1878	1	Proprietary
1879	1	Private
1880	1	Public
1881	1	Private
1882	1	Private
1883	1	Private
1884	1	Proprietary
1885	1	Private
1886	1	Public
1887	1	Private
1888	1	Public
1889	1	Public
1890	1	Public
1891	1	Public
1892	1	Private
1893	1	Public
1894	1	Public
1895	1	Public
1896	1	Public
1897	1	Private
1898	1	Public
1899	1	Proprietary
1900	1	Proprietary
1901	1	Proprietary
1902	1	Private
1903	1	Private
1904	1	Private
1905	1	Private
1906	1	Public
1907	1	Proprietary
1908	1	Public
1909	1	Private
1910	1	Public
1911	1	Public
1912	1	Private
1913	1	Private
1914	1	Public
1915	1	Private
1916	1	Public
1917	1	Private
1918	1	Public
1919	1	Proprietary
1920	1	Private
1921	1	Public
1922	1	Private
1923	1	Private
1924	1	Private
1925	1	Proprietary
1926	1	Private
1927	1	Public
1928	1	Public
1929	1	Public
1930	1	Public
1931	1	Public
1932	1	Public
1933	1	Private
1934	1	Public
1935	1	Private
1936	1	Public
1937	1	Public
1938	1	Public
1939	1	Public
1940	1	Private
1941	1	Proprietary
1942	1	Proprietary
1943	1	Private
1944	1	Private
1945	1	Private
1946	1	Private
1947	1	Public
1948	1	Proprietary
1949	1	Public
1950	1	Proprietary
1951	1	Proprietary
1952	1	Proprietary
1953	1	Public
1954	1	Public
1955	1	Private
1956	1	Public
1957	1	Public
1958	1	Public
1959	1	Private
1960	1	Public
1961	1	Public
1962	1	Private
1963	1	Proprietary
1964	1	Private
1965	1	Proprietary
1966	1	Proprietary
1967	1	Proprietary
1968	1	Proprietary
1969	1	Proprietary
1970	1	Proprietary
1971	1	Proprietary
1972	1	Proprietary
1973	1	Public
1974	1	Public
1975	1	Public
1976	1	Private
1977	1	Private
1978	1	Private
1979	1	Public
1980	1	Private
1981	1	Private
1982	1	Proprietary
1983	1	Private
1984	1	Private
1985	1	Proprietary
1986	1	Proprietary
1987	1	Proprietary
1988	1	Proprietary
1989	1	Private
1990	1	Public
1991	1	Private
1992	1	Public
1993	1	Public
1994	1	Public
1995	1	Public
1996	1	Public
1997	1	Public
1998	1	Private
1999	1	Public
