university	collegenavigator	type
0819	1	4-year, Public
0820	1	4-year, Public
0821	1	4-year, Public
0822	1	4-year, Private not-for-profit
0823	1	2-year, Private for-profit
0824	1	4-year, Public
0825	1	2-year, Private for-profit
0826	1	2-year, Private for-profit
0827	1	2-year, Public
0828	1	2-year, Private for-profit
0829	1	4-year, Public
0830	1	4-year, Public
0831	1	2-year, Public
0832	1	2-year, Public
0833	1	4-year, Private not-for-profit
0834	1	&lt; 2-year, Private for-profit
0835	1	2-year, Public
0836	1	4-year, Private not-for-profit
0837	1	4-year, Public
0838	1	4-year, Private not-for-profit
0839	1	4-year, primarily associate's, Private not-for-profit
0840	1	4-year, Public
0841	1	2-year, Public
0842	1	2-year, Public
0843	1	&lt; 2-year, Private for-profit
0844	1	4-year, Private not-for-profit
0845	1	4-year, Public
0846	1	4-year, Public
0847	1	4-year, Public
0848	1	2-year, Private for-profit
0849	1	2-year, Private for-profit
0850	1	4-year, Public
0851	1	2-year, Private for-profit
0852	1	4-year, Private for-profit
0853	1	4-year, Public
0854	1	4-year, Private for-profit
0855	1	4-year, Private not-for-profit
0856	1	4-year, primarily associate's, Public
0857	1	&lt; 2-year, Private for-profit
0858	1	&lt; 2-year, Private for-profit
0859	1	&lt; 2-year, Private for-profit
0860	1	4-year, Private not-for-profit
0861	1	&lt; 2-year, Private for-profit
0862	1	4-year, Private not-for-profit
0863	1	4-year, Private not-for-profit
0864	1	&lt; 2-year, Private for-profit
0865	1	&lt; 2-year, Private for-profit
0866	1	4-year, Private for-profit
0867	1	4-year, Private for-profit
0868	1	2-year, Private not-for-profit
0869	1	2-year, Public
0870	1	2-year, Private for-profit
0871	1	2-year, Private for-profit
0872	1	4-year, Private not-for-profit
0873	1	&lt; 2-year, Private for-profit
0874	1	&lt; 2-year, Private for-profit
0875	1	&lt; 2-year, Private for-profit
0876	1	&lt; 2-year, Public
0877	1	&lt; 2-year, Public
0878	1	4-year, Private not-for-profit
0879	1	&lt; 2-year, Private for-profit
0880	1	4-year, Private not-for-profit
0881	1	2-year, Private not-for-profit
0882	1	2-year, Public
0883	1	&lt; 2-year, Public
0884	1	4-year, Private not-for-profit
0885	1	4-year, Private not-for-profit
0886	1	4-year, Private not-for-profit
0887	1	&lt; 2-year, Private for-profit
0888	1	4-year, Private not-for-profit
0889	1	4-year, primarily associate's, Private not-for-profit
0890	1	2-year, Public
0891	1	2-year, Public
0892	1	4-year, Public
0893	1	4-year, Public
0894	1	4-year, Public
0895	1	4-year, Public
0896	1	4-year, Public
0897	1	4-year, Public
0898	1	2-year, Private for-profit
0899	1	2-year, Public
0900	1	4-year, primarily associate's, Public
0901	1	4-year, Private not-for-profit
0902	1	2-year, Private not-for-profit
0903	1	2-year, Private not-for-profit
0904	1	2-year, Private for-profit
0905	1	4-year, Private not-for-profit
0906	1	&lt; 2-year, Private for-profit
0907	1	4-year, primarily associate's, Private not-for-profit
0908	1	&lt; 2-year, Private for-profit
0909	1	&lt; 2-year, Private not-for-profit
0910	1	4-year, Private not-for-profit
0911	1	&lt; 2-year, Private for-profit
0912	1	4-year, Private not-for-profit
0913	1	4-year, Private not-for-profit
0914	1	2-year, Public
0915	1	&lt; 2-year, Private for-profit
0916	1	4-year, Private not-for-profit
0917	1	4-year, Private for-profit
0918	1	2-year, Private for-profit
0919	1	2-year, Private not-for-profit
0920	1	2-year, Private for-profit
0921	1	4-year, Private not-for-profit
0922	1	4-year, Private not-for-profit
0923	1	4-year, primarily associate's, Private not-for-profit
0924	1	2-year, Private not-for-profit
0925	1	2-year, Private not-for-profit
0926	1	2-year, Private not-for-profit
0927	1	&lt; 2-year, Private for-profit
0928	1	2-year, Public
0929	1	4-year, Private not-for-profit
0930	1	4-year, Private for-profit
0931	1	&lt; 2-year, Private for-profit
0932	1	&lt; 2-year, Private for-profit
0933	1	4-year, Private not-for-profit
0934	1	&lt; 2-year, Private for-profit
0935	1	&lt; 2-year, Private for-profit
0936	1	2-year, Private for-profit
0937	1	2-year, Private for-profit
0938	1	2-year, Private for-profit
0939	1	2-year, Private for-profit
0940	1	2-year, Private for-profit
0941	1	&lt; 2-year, Private for-profit
0942	1	4-year, Private not-for-profit
0943	1	2-year, Private not-for-profit
0944	1	&lt; 2-year, Private for-profit
0945	1	4-year, Private not-for-profit
0946	1	4-year, Private not-for-profit
0947	1	4-year, Private not-for-profit
0948	1	2-year, Public
0949	1	&lt; 2-year, Public
0950	1	4-year, Private not-for-profit
0951	1	4-year, primarily associate's, Private not-for-profit
0952	1	4-year, Private not-for-profit
0953	1	2-year, Private not-for-profit
0954	1	&lt; 2-year, Private for-profit
0955	1	&lt; 2-year, Private not-for-profit
0956	1	4-year, Private not-for-profit
0957	1	4-year, Private not-for-profit
0958	1	4-year, Private not-for-profit
0959	1	4-year, Private not-for-profit
0960	1	4-year, Private not-for-profit
0961	1	2-year, Private for-profit
0962	1	2-year, Private not-for-profit
0963	1	4-year, Private not-for-profit
0964	1	2-year, Private for-profit
0965	1	&lt; 2-year, Private not-for-profit
0966	1	4-year, Private not-for-profit
0967	1	2-year, Private not-for-profit
0968	1	4-year, Private not-for-profit
0969	1	4-year, Private not-for-profit
0970	1	&lt; 2-year, Private for-profit
0971	1	&lt; 2-year, Private for-profit
0972	1	4-year, Public
0973	1	&lt; 2-year, Public
0974	1	4-year, Public
0975	1	4-year, Public
0976	1	4-year, Public
0977	1	4-year, Public
0978	1	4-year, Public
0979	1	2-year, Private not-for-profit
0980	1	2-year, Private not-for-profit
0981	1	2-year, Private for-profit
0982	1	&lt; 2-year, Private for-profit
0983	1	4-year, Private not-for-profit
0984	1	&lt; 2-year, Public
0985	1	4-year, Private not-for-profit
0986	1	4-year, Private not-for-profit
0987	1	4-year, Private not-for-profit
0988	1	&lt; 2-year, Private for-profit
0989	1	4-year, primarily associate's, Private for-profit
0990	1	4-year, Private not-for-profit
0991	1	4-year, Private not-for-profit
0992	1	4-year, Private not-for-profit
0993	1	2-year, Public
0994	1	4-year, Private not-for-profit
0995	1	2-year, Public
0996	1	4-year, Public
0997	1	2-year, Private for-profit
0998	1	2-year, Private for-profit
0999	1	2-year, Private for-profit
1000	1	4-year, primarily associate's, Private for-profit
1001	1	&lt; 2-year, Public
1002	1	2-year, Private not-for-profit
1003	1	&lt; 2-year, Private not-for-profit
1004	1	4-year, Public
1005	1	2-year, Private not-for-profit
1006	1	&lt; 2-year, Public
1007	1	4-year, Private not-for-profit
1008	1	2-year, Public
1009	1	4-year, Private not-for-profit
1010	1	&lt; 2-year, Private for-profit
1011	1	&lt; 2-year, Private for-profit
1012	1	4-year, primarily associate's, Private not-for-profit
1013	1	4-year, Private not-for-profit
1014	1	2-year, Public
1015	1	2-year, Private for-profit
1016	1	2-year, Private for-profit
1017	1	&lt; 2-year, Private for-profit
1018	1	&lt; 2-year, Public
1019	1	&lt; 2-year, Private for-profit
1020	1	4-year, Private for-profit
1021	1	4-year, Private not-for-profit
1022	1	4-year, Private not-for-profit
1023	1	2-year, Private for-profit
1024	1	&lt; 2-year, Private for-profit
1025	1	&lt; 2-year, Private for-profit
1026	1	4-year, Private not-for-profit
1027	1	4-year, Private not-for-profit
1028	1	2-year, Private for-profit
1029	1	4-year, Private not-for-profit
1030	1	2-year, Private for-profit
1031	1	4-year, primarily associate's, Public
1032	1	2-year, Public
1033	1	2-year, Public
1034	1	2-year, Public
1035	1	&lt; 2-year, Public
1036	1	4-year, Public
1037	1	2-year, Private for-profit
1038	1	4-year, Private not-for-profit
1039	1	4-year, Private not-for-profit
1040	1	&lt; 2-year, Private for-profit
1041	1	2-year, Private for-profit
1042	1	2-year, Private for-profit
1043	1	2-year, Private for-profit
1044	1	&lt; 2-year, Private not-for-profit
1045	1	2-year, Public
1046	1	2-year, Private for-profit
1047	1	4-year, Private not-for-profit
1048	1	4-year, Private not-for-profit
1049	1	2-year, Public
1050	1	&lt; 2-year, Private for-profit
1051	1	4-year, Private not-for-profit
1052	1	&lt; 2-year, Private for-profit
1053	1	4-year, Private not-for-profit
1054	1	&lt; 2-year, Public
1055	1	4-year, Private not-for-profit
1056	1	2-year, Public
1057	1	4-year, Public
1058	1	4-year, Public
1059	1	4-year, primarily associate's, Public
1060	1	4-year, primarily associate's, Public
1061	1	4-year, primarily associate's, Public
1062	1	4-year, Public
1063	1	4-year, Private not-for-profit
1064	1	2-year, Public
1065	1	&lt; 2-year, Public
1066	1	&lt; 2-year, Public
1067	1	&lt; 2-year, Private for-profit
1068	1	2-year, Private for-profit
1069	1	2-year, Public
1070	1	2-year, Private for-profit
1071	1	2-year, Private for-profit
1072	1	2-year, Private for-profit
1073	1	2-year, Private not-for-profit
1074	1	4-year, Private for-profit
1075	1	4-year, Private for-profit
1076	1	&lt; 2-year, Private for-profit
1077	1	4-year, Private not-for-profit
1078	1	2-year, Private for-profit
1079	1	2-year, Private not-for-profit
1080	1	2-year, Private for-profit
1081	1	2-year, Private for-profit
1082	1	2-year, Private for-profit
1083	1	4-year, primarily associate's, Private not-for-profit
1084	1	2-year, Private for-profit
1085	1	4-year, Private not-for-profit
1086	1	2-year, Public
1087	1	4-year, Public
1088	1	4-year, Private not-for-profit
1089	1	4-year, primarily associate's, Private not-for-profit
1090	1	4-year, Private for-profit
1091	1	4-year, Private not-for-profit
1092	1	2-year, Public
1093	1	4-year, primarily associate's, Public
1094	1	2-year, Public
1095	1	2-year, Public
1096	1	2-year, Public
1097	1	4-year, Private not-for-profit
1098	1	2-year, Private not-for-profit
1099	1	2-year, Private for-profit
1100	1	&lt; 2-year, Private for-profit
1101	1	4-year, primarily associate's, Private not-for-profit
1102	1	&lt; 2-year, Private for-profit
1103	1	4-year, primarily associate's, Private for-profit
1104	1	&lt; 2-year, Public
1105	1	&lt; 2-year, Private for-profit
1106	1	&lt; 2-year, Private for-profit
1107	1	&lt; 2-year, Private for-profit
1108	1	&lt; 2-year, Private for-profit
1109	1	&lt; 2-year, Private for-profit
1110	1	2-year, Public
1111	1	4-year, Private for-profit
1112	1	&lt; 2-year, Private for-profit
1113	1	4-year, Private not-for-profit
1114	1	2-year, Public
1115	1	&lt; 2-year, Public
1116	1	&lt; 2-year, Public
1117	1	2-year, Public
1118	1	2-year, Public
1119	1	2-year, Public
1120	1	&lt; 2-year, Public
1121	1	&lt; 2-year, Public
1122	1	&lt; 2-year, Private for-profit
1123	1	4-year, Public
1124	1	4-year, primarily associate's, Public
1125	1	4-year, Public
1126	1	4-year, primarily associate's, Public
1127	1	2-year, Public
1128	1	4-year, Private not-for-profit
1129	1	4-year, Public
1130	1	4-year, Private not-for-profit
1131	1	&lt; 2-year, Private for-profit
1132	1	&lt; 2-year, Public
1133	1	4-year, Public
1134	1	4-year, Private for-profit
1135	1	2-year, Public
1136	1	2-year, Public
1137	1	2-year, Public
1138	1	2-year, Public
1139	1	&lt; 2-year, Private for-profit
1140	1	2-year, Private for-profit
1141	1	2-year, Public
1142	1	2-year, Private for-profit
1143	1	4-year, primarily associate's, Private for-profit
1144	1	2-year, Public
1145	1	2-year, Public
1146	1	4-year, Private not-for-profit
1147	1	4-year, Private not-for-profit
1148	1	4-year, Private not-for-profit
1149	1	2-year, Private for-profit
1150	1	&lt; 2-year, Private for-profit
1151	1	4-year, Private not-for-profit
1152	1	4-year, Private not-for-profit
1153	1	2-year, Private for-profit
1154	1	2-year, Private for-profit
1155	1	2-year, Private for-profit
1156	1	2-year, Private for-profit
1157	1	2-year, Private for-profit
1158	1	2-year, Private for-profit
1159	1	2-year, Private not-for-profit
1160	1	2-year, Public
1161	1	4-year, Private not-for-profit
1162	1	2-year, Public
1163	1	2-year, Public
1164	1	2-year, Public
1165	1	2-year, Public
1166	1	2-year, Public
1167	1	&lt; 2-year, Private for-profit
1168	1	4-year, Public
1169	1	4-year, Private not-for-profit
1170	1	2-year, Private for-profit
1171	1	4-year, Private not-for-profit
1172	1	4-year, Private not-for-profit
1173	1	&lt; 2-year, Private for-profit
1174	1	4-year, Private not-for-profit
1175	1	4-year, Private not-for-profit
1176	1	&lt; 2-year, Private for-profit
1177	1	4-year, Private not-for-profit
1178	1	2-year, Private for-profit
1179	1	2-year, Private not-for-profit
1180	1	2-year, Private for-profit
1181	1	4-year, Private not-for-profit
1182	1	2-year, Public
1183	1	2-year, Private for-profit
1184	1	&lt; 2-year, Public
1185	1	2-year, Private for-profit
1186	1	4-year, Private not-for-profit
1187	1	4-year, Private not-for-profit
1188	1	&lt; 2-year, Public
1189	1	4-year, Private not-for-profit
1190	1	4-year, Private not-for-profit
1191	1	2-year, Public
1192	1	4-year, Private not-for-profit
1193	1	2-year, Public
1194	1	2-year, Public
1195	1	2-year, Public
1196	1	2-year, Private not-for-profit
1197	1	2-year, Public
1198	1	2-year, Public
1199	1	&lt; 2-year, Private for-profit
1200	1	&lt; 2-year, Public
1201	1	4-year, Private not-for-profit
1202	1	4-year, Private not-for-profit
1203	1	2-year, Private for-profit
1204	1	2-year, Private for-profit
1205	1	4-year, Public
1206	1	&lt; 2-year, Public
1207	1	&lt; 2-year, Private for-profit
1208	1	&lt; 2-year, Private for-profit
1209	1	&lt; 2-year, Private for-profit
1210	1	&lt; 2-year, Private for-profit
1211	1	&lt; 2-year, Private for-profit
1212	1	2-year, Private for-profit
1213	1	2-year, Private for-profit
1214	1	2-year, Private for-profit
1215	1	4-year, Private not-for-profit
1216	1	4-year, Private not-for-profit
1217	1	2-year, Private for-profit
1218	1	4-year, Private not-for-profit
1219	1	4-year, Private not-for-profit
1220	1	2-year, Private not-for-profit
1221	1	2-year, Public
1222	1	2-year, Private not-for-profit
1223	1	&lt; 2-year, Public
1224	1	&lt; 2-year, Private for-profit
1225	1	4-year, Private not-for-profit
1226	1	2-year, Private for-profit
1227	1	2-year, Private for-profit
1228	1	2-year, Private not-for-profit
1229	1	4-year, Private not-for-profit
1230	1	4-year, Private not-for-profit
1231	1	4-year, primarily associate's, Private not-for-profit
1232	1	&lt; 2-year, Private for-profit
1233	1	2-year, Private for-profit
1234	1	2-year, Private for-profit
1235	1	4-year, Public
1236	1	4-year, Public
1237	1	2-year, Private for-profit
1238	1	4-year, primarily associate's, Private not-for-profit
1239	1	&lt; 2-year, Private for-profit
1240	1	&lt; 2-year, Private for-profit
1241	1	4-year, primarily associate's, Private for-profit
1242	1	2-year, Private for-profit
1243	1	4-year, Private not-for-profit
1244	1	2-year, Private for-profit
1245	1	2-year, Private for-profit
1246	1	2-year, Private for-profit
1247	1	&lt; 2-year, Public
1248	1	4-year, Public
1249	1	4-year, Private not-for-profit
1250	1	4-year, Private not-for-profit
1251	1	&lt; 2-year, Private for-profit
1252	1	2-year, Public
1253	1	&lt; 2-year, Public
1254	1	2-year, Private for-profit
1255	1	&lt; 2-year, Private not-for-profit
1256	1	4-year, Public
1257	1	4-year, Public
1258	1	4-year, Public
1259	1	4-year, Public
1260	1	4-year, Private not-for-profit
1261	1	4-year, Private not-for-profit
1262	1	4-year, Private not-for-profit
1263	1	2-year, Private not-for-profit
1264	1	2-year, Private for-profit
1265	1	4-year, Private not-for-profit
1266	1	4-year, Private not-for-profit
1267	1	4-year, Private not-for-profit
1268	1	2-year, Private for-profit
1269	1	4-year, Private not-for-profit
1270	1	4-year, Private not-for-profit
1271	1	4-year, Private not-for-profit
1272	1	4-year, Private not-for-profit
1273	1	2-year, Private for-profit
1274	1	2-year, Private not-for-profit
1275	1	4-year, Private for-profit
1276	1	4-year, Private not-for-profit
1277	1	4-year, Private not-for-profit
1278	1	&lt; 2-year, Private for-profit
1279	1	2-year, Public
1280	1	4-year, Private not-for-profit
1281	1	4-year, Private not-for-profit
1282	1	&lt; 2-year, Private for-profit
1283	1	2-year, Public
1284	1	2-year, Private for-profit
1285	1	2-year, Public
1286	1	2-year, Private for-profit
1287	1	&lt; 2-year, Private for-profit
1288	1	&lt; 2-year, Private for-profit
1289	1	2-year, Private for-profit
1290	1	2-year, Public
1291	1	4-year, Private for-profit
1292	1	2-year, Public
1293	1	4-year, Private not-for-profit
1294	1	4-year, Private not-for-profit
1295	1	2-year, Private for-profit
1296	1	4-year, Private not-for-profit
1297	1	4-year, Private for-profit
1298	1	2-year, Private not-for-profit
1299	1	4-year, Public
1300	1	4-year, Private not-for-profit
1301	1	4-year, Private not-for-profit
1302	1	4-year, Private not-for-profit
1303	1	4-year, Private not-for-profit
1304	1	2-year, Private not-for-profit
1305	1	4-year, Public
1306	1	2-year, Private not-for-profit
1307	1	4-year, Private not-for-profit
1308	1	4-year, Private not-for-profit
1309	1	4-year, Private not-for-profit
1310	1	4-year, Private not-for-profit
1311	1	2-year, Private for-profit
1312	1	4-year, Private not-for-profit
1313	1	&lt; 2-year, Public
1314	1	2-year, Private for-profit
1315	1	2-year, Private for-profit
1316	1	4-year, Private not-for-profit
1317	1	&lt; 2-year, Private for-profit
1318	1	&lt; 2-year, Private for-profit
1319	1	4-year, Private not-for-profit
1320	1	&lt; 2-year, Private for-profit
1321	1	2-year, Private for-profit
1322	1	2-year, Private for-profit
1323	1	4-year, primarily associate's, Public
1324	1	4-year, primarily associate's, Private for-profit
1325	1	2-year, Private for-profit
1326	1	4-year, Private not-for-profit
1327	1	&lt; 2-year, Private for-profit
1328	1	2-year, Private for-profit
1329	1	2-year, Private for-profit
1330	1	2-year, Private for-profit
1331	1	2-year, Private for-profit
1332	1	4-year, Private not-for-profit
1333	1	4-year, Private not-for-profit
1334	1	&lt; 2-year, Private for-profit
1335	1	4-year, Private not-for-profit
1336	1	2-year, Public
1337	1	&lt; 2-year, Private for-profit
1338	1	&lt; 2-year, Private for-profit
1339	1	4-year, Private not-for-profit
1340	1	&lt; 2-year, Private not-for-profit
1341	1	2-year, Private for-profit
1342	1	&lt; 2-year, Private for-profit
1343	1	4-year, primarily associate's, Private for-profit
1344	1	4-year, Private not-for-profit
1345	1	&lt; 2-year, Private for-profit
1346	1	&lt; 2-year, Private for-profit
1347	1	4-year, Private not-for-profit
1348	1	4-year, Private not-for-profit
1349	1	4-year, Private for-profit
1350	1	4-year, Public
1351	1	4-year, Public
1352	1	4-year, Private not-for-profit
1353	1	4-year, Private not-for-profit
1354	1	&lt; 2-year, Private for-profit
1355	1	4-year, Private not-for-profit
1356	1	4-year, Private not-for-profit
1357	1	2-year, Private not-for-profit
1358	1	4-year, Public
1359	1	4-year, Private not-for-profit
1360	1	4-year, Private not-for-profit
1361	1	2-year, Public
1362	1	2-year, Private for-profit
1363	1	&lt; 2-year, Private for-profit
1364	1	4-year, Private for-profit
1365	1	4-year, Private not-for-profit
1366	1	4-year, Private not-for-profit
1367	1	4-year, Private not-for-profit
1368	1	&lt; 2-year, Private for-profit
1369	1	2-year, Public
1370	1	2-year, Private for-profit
1371	1	4-year, Private not-for-profit
1372	1	&lt; 2-year, Public
1373	1	2-year, Public
1374	1	2-year, Private for-profit
1375	1	2-year, Public
1376	1	&lt; 2-year, Private for-profit
1377	1	&lt; 2-year, Private for-profit
1378	1	&lt; 2-year, Private for-profit
1379	1	4-year, Private not-for-profit
1380	1	&lt; 2-year, Public
1381	1	4-year, Public
1382	1	2-year, Public
1383	1	4-year, Private not-for-profit
1384	1	2-year, Public
1385	1	&lt; 2-year, Private for-profit
1386	1	4-year, Private for-profit
1387	1	4-year, Private not-for-profit
1388	1	4-year, Private for-profit
1389	1	4-year, Private for-profit
1390	1	&lt; 2-year, Private for-profit
1391	1	4-year, Public
1392	1	2-year, Public
1393	1	2-year, Public
1394	1	4-year, primarily associate's, Private for-profit
1395	1	2-year, Private not-for-profit
1396	1	2-year, Private for-profit
1397	1	2-year, Public
1398	1	4-year, Private for-profit
1399	1	4-year, primarily associate's, Public
1400	1	4-year, Public
1401	1	2-year, Private for-profit
1402	1	4-year, Private not-for-profit
1403	1	&lt; 2-year, Private for-profit
1404	1	4-year, Private not-for-profit
1405	1	2-year, Public
1406	1	4-year, Private not-for-profit
1407	1	2-year, Private for-profit
1408	1	2-year, Private for-profit
1409	1	2-year, Private for-profit
1410	1	2-year, Private for-profit
1411	1	2-year, Private for-profit
1412	1	4-year, Private not-for-profit
1413	1	4-year, primarily associate's, Private for-profit
1414	1	4-year, primarily associate's, Private for-profit
1415	1	&lt; 2-year, Private for-profit
1416	1	&lt; 2-year, Private not-for-profit
1417	1	4-year, Private not-for-profit
1418	1	4-year, primarily associate's, Private not-for-profit
1419	1	&lt; 2-year, Private for-profit
1420	1	4-year, primarily associate's, Private for-profit
1421	1	4-year, primarily associate's, Private for-profit
1422	1	4-year, Private not-for-profit
1423	1	4-year, Private not-for-profit
1424	1	4-year, Private not-for-profit
1425	1	4-year, Private not-for-profit
1426	1	4-year, Private not-for-profit
1427	1	4-year, Private not-for-profit
1428	1	4-year, Public
1429	1	2-year, Private for-profit
1430	1	2-year, Public
1431	1	&lt; 2-year, Private for-profit
1432	1	2-year, Private for-profit
1433	1	&lt; 2-year, Private for-profit
1434	1	4-year, primarily associate's, Private for-profit
1435	1	4-year, Private not-for-profit
1436	1	2-year, Public
1437	1	4-year, Private for-profit
1438	1	4-year, Private for-profit
1439	1	4-year, Private for-profit
1440	1	&lt; 2-year, Private for-profit
1441	1	&lt; 2-year, Private for-profit
1442	1	&lt; 2-year, Private for-profit
1443	1	2-year, Public
1444	1	2-year, Public
1445	1	2-year, Public
1446	1	2-year, Public
1447	1	2-year, Public
1448	1	2-year, Public
1449	1	2-year, Public
1450	1	2-year, Public
1451	1	2-year, Public
1452	1	2-year, Public
1453	1	2-year, Public
1454	1	4-year, Private not-for-profit
1455	1	&lt; 2-year, Private for-profit
1456	1	4-year, Public
1457	1	4-year, Private not-for-profit
1458	1	4-year, Private not-for-profit
1459	1	4-year, Private not-for-profit
1460	1	4-year, Private not-for-profit
1461	1	4-year, Private not-for-profit
1462	1	2-year, Private for-profit
1463	1	2-year, Public
1464	1	&lt; 2-year, Private for-profit
1465	1	4-year, Private not-for-profit
1466	1	2-year, Private for-profit
1467	1	4-year, Private not-for-profit
1468	1	2-year, Public
1469	1	4-year, Private not-for-profit
1470	1	2-year, Private not-for-profit
1471	1	4-year, Private not-for-profit
1472	1	&lt; 2-year, Private for-profit
1473	1	&lt; 2-year, Private for-profit
1474	1	&lt; 2-year, Private for-profit
1475	1	&lt; 2-year, Private for-profit
1476	1	4-year, Private for-profit
1477	1	&lt; 2-year, Private for-profit
1478	1	4-year, Private not-for-profit
1479	1	2-year, Public
1480	1	2-year, Public
1481	1	&lt; 2-year, Private for-profit
1482	1	2-year, Public
1483	1	2-year, Public
1484	1	2-year, Public
1485	1	2-year, Public
1486	1	2-year, Private for-profit
1487	1	4-year, Private not-for-profit
1488	1	&lt; 2-year, Private for-profit
1489	1	&lt; 2-year, Private for-profit
1490	1	2-year, Private for-profit
1491	1	&lt; 2-year, Private not-for-profit
1492	1	4-year, Private not-for-profit
1493	1	4-year, Private not-for-profit
1494	1	4-year, Private not-for-profit
1495	1	2-year, Private for-profit
1496	1	&lt; 2-year, Private for-profit
1497	1	&lt; 2-year, Private for-profit
1498	1	&lt; 2-year, Private for-profit
1499	1	2-year, Private for-profit
1500	1	&lt; 2-year, Private for-profit
1501	1	&lt; 2-year, Private for-profit
1502	1	4-year, primarily associate's, Private for-profit
1503	1	2-year, Private for-profit
1504	1	4-year, Private not-for-profit
1505	1	&lt; 2-year, Private for-profit
1506	1	&lt; 2-year, Private for-profit
1507	1	4-year, Private not-for-profit
1508	1	&lt; 2-year, Private not-for-profit
1509	1	4-year, primarily associate's, Private for-profit
1510	1	2-year, Private for-profit
1511	1	4-year, primarily associate's, Private for-profit
1512	1	2-year, Private for-profit
1513	1	2-year, Private for-profit
1514	1	2-year, Private for-profit
1515	1	2-year, Private for-profit
1516	1	2-year, Private for-profit
1517	1	2-year, Private for-profit
1518	1	2-year, Public
1519	1	4-year, Private not-for-profit
1520	1	2-year, Private for-profit
1521	1	4-year, Private not-for-profit
1522	1	&lt; 2-year, Private for-profit
1523	1	&lt; 2-year, Private for-profit
1524	1	&lt; 2-year, Private for-profit
1525	1	&lt; 2-year, Private for-profit
1526	1	4-year, Private for-profit
1527	1	2-year, Public
1528	1	4-year, Private not-for-profit
1529	1	&lt; 2-year, Private for-profit
1530	1	&lt; 2-year, Private for-profit
1531	1	2-year, Public
1532	1	4-year, Private not-for-profit
1533	1	4-year, Private not-for-profit
1534	1	&lt; 2-year, Private for-profit
1535	1	&lt; 2-year, Private for-profit
1536	1	&lt; 2-year, Private for-profit
1537	1	&lt; 2-year, Private for-profit
1538	1	&lt; 2-year, Private for-profit
1539	1	2-year, Private for-profit
1540	1	4-year, Private not-for-profit
1541	1	4-year, Private not-for-profit
1542	1	2-year, Public
1543	1	2-year, Public
1544	1	&lt; 2-year, Private for-profit
1545	1	4-year, primarily associate's, Private for-profit
1546	1	4-year, primarily associate's, Private for-profit
1547	1	4-year, primarily associate's, Private for-profit
1548	1	&lt; 2-year, Private for-profit
1549	1	4-year, Private not-for-profit
1550	1	&lt; 2-year, Private for-profit
1551	1	&lt; 2-year, Private for-profit
1552	1	&lt; 2-year, Private for-profit
1553	1	&lt; 2-year, Private for-profit
1554	1	2-year, Public
1555	1	4-year, primarily associate's, Private not-for-profit
1556	1	4-year, Private not-for-profit
1557	1	4-year, Private not-for-profit
1558	1	2-year, Public
1559	1	4-year, Public
1560	1	4-year, Public
1561	1	4-year, Public
1562	1	&lt; 2-year, Private for-profit
1563	1	&lt; 2-year, Private for-profit
1564	1	&lt; 2-year, Private for-profit
1565	1	&lt; 2-year, Private for-profit
1566	1	4-year, Private not-for-profit
1567	1	4-year, Private not-for-profit
1568	1	4-year, Private for-profit
1569	1	&lt; 2-year, Private for-profit
1570	1	2-year, Public
1571	1	4-year, Public
1572	1	4-year, Private not-for-profit
1573	1	2-year, Private for-profit
1574	1	&lt; 2-year, Private for-profit
1575	1	4-year, Private not-for-profit
1576	1	4-year, Public
1577	1	4-year, Public
1578	1	4-year, Public
1579	1	4-year, Public
1580	1	4-year, Public
1581	1	&lt; 2-year, Private for-profit
1582	1	&lt; 2-year, Private for-profit
1583	1	4-year, Private not-for-profit
1584	1	&lt; 2-year, Private for-profit
1585	1	2-year, Private for-profit
1586	1	4-year, Public
1587	1	4-year, Public
1588	1	4-year, Public
1589	1	4-year, Private for-profit
1590	1	4-year, Private not-for-profit
1591	1	2-year, Private for-profit
1592	1	&lt; 2-year, Private for-profit
1593	1	4-year, Private not-for-profit
1594	1	2-year, Private for-profit
1595	1	2-year, Private for-profit
1596	1	2-year, Public
1597	1	4-year, primarily associate's, Private for-profit
1598	1	4-year, Private not-for-profit
1599	1	2-year, Private for-profit
1600	1	2-year, Private for-profit
1601	1	&lt; 2-year, Private for-profit
1602	1	2-year, Private for-profit
1603	1	2-year, Public
1604	1	4-year, primarily associate's, Private for-profit
1605	1	4-year, Private for-profit
1606	1	4-year, Private for-profit
1607	1	2-year, Public
1608	1	4-year, Private for-profit
1609	1	4-year, primarily associate's, Private for-profit
1610	1	2-year, Private for-profit
1611	1	2-year, Private for-profit
1612	1	2-year, Private not-for-profit
1613	1	2-year, Private for-profit
1614	1	&lt; 2-year, Private for-profit
1615	1	4-year, Private for-profit
1616	1	&lt; 2-year, Private for-profit
1617	1	2-year, Public
1618	1	2-year, Private for-profit
1619	1	2-year, Private for-profit
1620	1	2-year, Private for-profit
1621	1	&lt; 2-year, Private for-profit
1622	1	2-year, Public
1623	1	2-year, Public
1624	1	4-year, Public
1625	1	4-year, Private for-profit
1626	1	2-year, Public
1627	1	&lt; 2-year, Private for-profit
1628	1	4-year, primarily associate's, Public
1629	1	4-year, Public
1630	1	4-year, Private not-for-profit
1631	1	4-year, Private not-for-profit
1632	1	4-year, Private not-for-profit
1633	1	4-year, Private not-for-profit
1634	1	2-year, Private for-profit
1635	1	&lt; 2-year, Private for-profit
1636	1	2-year, Private for-profit
