university	ecampustours	name
1046	1	Lynn University
1047	1	New College of Florida
1048	1	Nova Southeastern University
1049	1	Ringling College of Art and Design
1050	1	Rollins College
1051	1	Saint Leo University
1052	1	Saint Thomas University
1053	1	Southeastern University
1054	1	St Petersburg College
1055	1	Stetson University
1056	1	Trinity Baptist College
1057	1	University of Central Florida
1058	1	University of Florida
1059	1	University of Miami
1060	1	University of North Florida
1061	1	The University of Tampa
1062	1	Webber International University
