university	ecampustours	type
0739	1	Private not-for-profit- 4-year or above
0740	1	Public- 2-year
0741	1	Private not-for-profit- 4-year or above
0742	1	Private for-profit- 4-year or above
0743	1	Private not-for-profit- 4-year or above
0744	1	Private not-for-profit- 4-year or above
0745	1	Private not-for-profit- 4-year or above
0746	1	Private not-for-profit- 4-year or above
0747	1	Private not-for-profit- 4-year or above
0748	1	Public- 2-year
0749	1	Public- 2-year
0750	1	Public- 2-year
0751	1	Private not-for-profit- 4-year or above
0752	1	Private not-for-profit- 4-year or above
0753	1	Private not-for-profit- 4-year or above
0754	1	Private not-for-profit- 4-year or above
0755	1	Public- 4-year or above
0756	1	Public- 4-year or above
0757	1	Private not-for-profit- 4-year or above
0758	1	Private not-for-profit- 4-year or above
0759	1	Private not-for-profit- 4-year or above
0760	1	Private not-for-profit- 4-year or above
0761	1	Private not-for-profit- 4-year or above
0762	1	Private not-for-profit- 4-year or above
0763	1	Private not-for-profit- 4-year or above
0764	1	Public- 4-year or above
0765	1	Public- 4-year or above
0766	1	Private not-for-profit- 4-year or above
0767	1	Private not-for-profit- 4-year or above
0768	1	Private not-for-profit- 4-year or above
0769	1	Private not-for-profit- 4-year or above
0770	1	Private not-for-profit- 4-year or above
0771	1	Private not-for-profit- 2-year
0772	1	Public- 4-year or above
0773	1	Public- 4-year or above
0774	1	Private not-for-profit- 4-year or above
0775	1	Public- 4-year or above
0776	1	Private not-for-profit- 4-year or above
0777	1	Public- 4-year or above
0778	1	Public- 4-year or above
0779	1	Public- 4-year or above
0780	1	Private not-for-profit- 4-year or above
0781	1	Private not-for-profit- 4-year or above
0782	1	Private not-for-profit- 4-year or above
0783	1	Private not-for-profit- 4-year or above
0784	1	Private not-for-profit- 4-year or above
0785	1	Public- 2-year
0786	1	Private not-for-profit- 4-year or above
0787	1	Public- 2-year
0788	1	Public- 2-year
0789	1	Private not-for-profit- 4-year or above
0790	1	Public- 2-year
0791	1	Public- 4-year or above
0792	1	Private not-for-profit- 4-year or above
0793	1	Private not-for-profit- 4-year or above
0794	1	Private not-for-profit- 4-year or above
0795	1	Public- 2-year
0796	1	Private not-for-profit- 4-year or above
0797	1	Private not-for-profit- 4-year or above
0798	1	Private not-for-profit- 4-year or above
0799	1	Private not-for-profit- 4-year or above
0800	1	Private not-for-profit- 4-year or above
0801	1	Private not-for-profit- 4-year or above
0802	1	Private not-for-profit- 4-year or above
0803	1	Private not-for-profit- 4-year or above
0804	1	Private not-for-profit- 4-year or above
0805	1	Private not-for-profit- 4-year or above
0806	1	Public- 4-year or above
0807	1	Private not-for-profit- 4-year or above
0808	1	Public- 2-year
0809	1	Public- 2-year
0810	1	Private not-for-profit- 4-year or above
0811	1	Public- 2-year
0812	1	Private not-for-profit- 4-year or above
0813	1	Public- 4-year or above
0814	1	Public- 4-year or above
0815	1	Private not-for-profit- 4-year or above
0816	1	Private not-for-profit- 4-year or above
0817	1	Private not-for-profit- 4-year or above
0818	1	Private not-for-profit- 4-year or above
0819	1	Private not-for-profit- 4-year or above
0820	1	Public- 4-year or above
0821	1	Public- 4-year or above
0822	1	Public- 4-year or above
0823	1	Private not-for-profit- 4-year or above
0824	1	Private not-for-profit- 4-year or above
0825	1	Private not-for-profit- 4-year or above
0826	1	Public- 2-year
0827	1	Public- 2-year
0828	1	Private not-for-profit- 4-year or above
0829	1	Private not-for-profit- 4-year or above
0830	1	Private not-for-profit- 4-year or above
0831	1	Public- 2-year
0832	1	Private not-for-profit- 4-year or above
0833	1	Private not-for-profit- 4-year or above
0834	1	Private not-for-profit- 4-year or above
0835	1	Private for-profit- 4-year or above
0836	1	Private not-for-profit- 4-year or above
0837	1	Private not-for-profit- 4-year or above
0838	1	Private not-for-profit- 4-year or above
0839	1	Private not-for-profit- 4-year or above
0840	1	Private not-for-profit- 4-year or above
0841	1	Public- 2-year
0842	1	Public- 4-year or above
0843	1	Private not-for-profit- 4-year or above
0844	1	Private not-for-profit- 4-year or above
0845	1	Private not-for-profit- 4-year or above
0846	1	Private not-for-profit- 4-year or above
0847	1	Private not-for-profit- 4-year or above
0848	1	Public- 4-year or above
0849	1	Public- 4-year or above
0850	1	Public- 4-year or above
0851	1	Public- 4-year or above
0852	1	Public- 4-year or above
0853	1	Public- 4-year or above
0854	1	Private not-for-profit- 4-year or above
0855	1	Private not-for-profit- 4-year or above
0856	1	Public- 4-year or above
0857	1	Public- 4-year or above
0858	1	Private not-for-profit- 4-year or above
0859	1	Public- 4-year or above
0860	1	Private not-for-profit- 4-year or above
0861	1	Private not-for-profit- 4-year or above
0862	1	Public- 4-year or above
0863	1	Private not-for-profit- 4-year or above
0864	1	Public- 4-year or above
0865	1	Public- 4-year or above
0866	1	Public- 4-year or above
0867	1	Public- 4-year or above
0868	1	Private not-for-profit- 4-year or above
0869	1	Private not-for-profit- 4-year or above
0870	1	Public- 4-year or above
0871	1	Private not-for-profit- 4-year or above
0872	1	Private not-for-profit- 4-year or above
0873	1	Private not-for-profit- 2-year
0874	1	Public- 4-year or above
0875	1	Public- 4-year or above
0876	1	Public- 4-year or above
0877	1	Public- 4-year or above
0878	1	Private not-for-profit- 4-year or above
0879	1	Private not-for-profit- 4-year or above
0880	1	Private not-for-profit- 4-year or above
0881	1	Private not-for-profit- 4-year or above
0882	1	Private not-for-profit- 4-year or above
0883	1	Private not-for-profit- 4-year or above
0884	1	Public- 4-year or above
0885	1	Public- 4-year or above
0886	1	Private not-for-profit- 4-year or above
0887	1	Private not-for-profit- 4-year or above
0888	1	Private not-for-profit- 4-year or above
0889	1	Private not-for-profit- 4-year or above
0890	1	Public- 4-year or above
0891	1	Public- 4-year or above
0892	1	Private for-profit- 2-year
0893	1	Private not-for-profit- 4-year or above
0894	1	Private not-for-profit- 4-year or above
0895	1	Private not-for-profit- 4-year or above
0896	1	Public- 4-year or above
0897	1	Private not-for-profit- 4-year or above
0898	1	Private for-profit- 4-year or above
0899	1	Private not-for-profit- 4-year or above
0900	1	Private not-for-profit- 4-year or above
0901	1	Public- 4-year or above
0902	1	Public- 4-year or above
0903	1	Private not-for-profit- 4-year or above
0904	1	Private not-for-profit- 4-year or above
0905	1	Private not-for-profit- 4-year or above
0906	1	Public- 4-year or above
0907	1	Public- 2-year
0908	1	Private not-for-profit- 4-year or above
0909	1	Public- 4-year or above
0910	1	Private not-for-profit- 4-year or above
0911	1	Private not-for-profit- 4-year or above
0912	1	Private not-for-profit- 4-year or above
0913	1	Public- 2-year
0914	1	Public- 2-year
0915	1	Public- 4-year or above
0916	1	Private not-for-profit- 4-year or above
0917	1	Private not-for-profit- 4-year or above
0918	1	Private not-for-profit- 4-year or above
0919	1	Private not-for-profit- 4-year or above
0920	1	Private not-for-profit- 4-year or above
0921	1	Private not-for-profit- 4-year or above
0922	1	Public- 4-year or above
0923	1	Public- 2-year
0924	1	Public- 2-year
0925	1	Public- 4-year or above
0926	1	Private not-for-profit- 4-year or above
0927	1	Public- 4-year or above
0928	1	Public- 4-year or above
0929	1	Private not-for-profit- 4-year or above
0930	1	Public- 4-year or above
0931	1	Public- 4-year or above
0932	1	Private not-for-profit- 4-year or above
0933	1	Private not-for-profit- 4-year or above
0934	1	Public- 4-year or above
0935	1	Public- 2-year
0936	1	Private for-profit- 4-year or above
0937	1	Public- 4-year or above
0938	1	Private not-for-profit- 4-year or above
0939	1	Public- 2-year
0940	1	Public- 2-year
0941	1	Public- 4-year or above
0942	1	Private not-for-profit- 4-year or above
0943	1	Private not-for-profit- 4-year or above
0944	1	Private not-for-profit- 4-year or above
0945	1	Private not-for-profit- 4-year or above
0946	1	Public- 4-year or above
0947	1	Private not-for-profit- 4-year or above
0948	1	Private not-for-profit- 4-year or above
0949	1	Public- 4-year or above
0950	1	Public- 4-year or above
0951	1	Private not-for-profit- 4-year or above
0952	1	Private not-for-profit- 4-year or above
0953	1	Private not-for-profit- 4-year or above
0954	1	Private not-for-profit- 4-year or above
0955	1	Private not-for-profit- 4-year or above
0956	1	Public- 4-year or above
0957	1	Public- 4-year or above
0958	1	Public- 4-year or above
0959	1	Private not-for-profit- 4-year or above
0960	1	Private not-for-profit- 4-year or above
0961	1	Private for-profit- 4-year or above
0962	1	Private not-for-profit- 4-year or above
0963	1	Public- 4-year or above
0964	1	Private not-for-profit- 4-year or above
0965	1	Private not-for-profit- 4-year or above
0966	1	Private not-for-profit- 4-year or above
0967	1	Private not-for-profit- 4-year or above
0968	1	Private not-for-profit- 4-year or above
0969	1	Private not-for-profit- 4-year or above
0970	1	Private not-for-profit- 4-year or above
0971	1	Private not-for-profit- 4-year or above
0972	1	Private not-for-profit- 4-year or above
0973	1	Private not-for-profit- 4-year or above
0974	1	Private not-for-profit- 4-year or above
0975	1	Private not-for-profit- 4-year or above
0976	1	Private not-for-profit- 4-year or above
0977	1	Private not-for-profit- 4-year or above
0978	1	Private not-for-profit- 4-year or above
0979	1	Private not-for-profit- 4-year or above
0980	1	Private not-for-profit- 4-year or above
0981	1	Private not-for-profit- 4-year or above
0982	1	Private not-for-profit- 4-year or above
0983	1	Private not-for-profit- 4-year or above
0984	1	Public- 4-year or above
0985	1	Public- 4-year or above
0986	1	Public- 4-year or above
0987	1	Public- 4-year or above
0988	1	Public- 4-year or above
0989	1	Public- 4-year or above
0990	1	Public- 4-year or above
0991	1	Private not-for-profit- 4-year or above
0992	1	Public- 4-year or above
0993	1	Public- 2-year
0994	1	Private not-for-profit- 4-year or above
0995	1	Public- 2-year
0996	1	Public- 4-year or above
0997	1	Public- 4-year or above
0998	1	Public- 4-year or above
0999	1	Public- 4-year or above
1000	1	Private not-for-profit- 4-year or above
1001	1	Public- 4-year or above
1002	1	Private not-for-profit- 4-year or above
1003	1	Public- 2-year
1004	1	Public- 4-year or above
1005	1	Private not-for-profit- 4-year or above
1006	1	Public- 4-year or above
1007	1	Public- 4-year or above
1008	1	Public- 2-year
1009	1	Public- 4-year or above
1010	1	Private for-profit- 4-year or above
1011	1	Private not-for-profit- 4-year or above
1012	1	Private not-for-profit- 4-year or above
1013	1	Private not-for-profit- 4-year or above
1014	1	Private not-for-profit- 4-year or above
1015	1	Private not-for-profit- 4-year or above
1016	1	Private not-for-profit- 4-year or above
1017	1	Public- 4-year or above
1018	1	Private not-for-profit- 4-year or above
1019	1	Private not-for-profit- 4-year or above
1020	1	Private not-for-profit- 4-year or above
1021	1	Private not-for-profit- 4-year or above
1022	1	Private not-for-profit- 4-year or above
1023	1	Public- 4-year or above
1024	1	Private not-for-profit- 4-year or above
1025	1	Private not-for-profit- 4-year or above
1026	1	Public- 4-year or above
1027	1	Private not-for-profit- 4-year or above
1028	1	Private for-profit- 4-year or above
1029	1	Private for-profit- 4-year or above
1030	1	Private not-for-profit- 4-year or above
1031	1	Private not-for-profit- 4-year or above
1032	1	Private not-for-profit- 4-year or above
1033	1	Public- 2-year
1034	1	Private not-for-profit- 4-year or above
1035	1	Private not-for-profit- 4-year or above
1036	1	Public- 4-year or above
1037	1	Private not-for-profit- 4-year or above
1038	1	Public- 4-year or above
1039	1	Private not-for-profit- 4-year or above
1040	1	Public- 4-year or above
1041	1	Private not-for-profit- 4-year or above
1042	1	Public- 4-year or above
1043	1	Public- 4-year or above
1044	1	Private for-profit- 4-year or above
1045	1	Private not-for-profit- 4-year or above
1046	1	Private not-for-profit- 4-year or above
1047	1	Public- 4-year or above
1048	1	Private not-for-profit- 4-year or above
1049	1	Private not-for-profit- 4-year or above
1050	1	Private not-for-profit- 4-year or above
1051	1	Private not-for-profit- 4-year or above
1052	1	Private not-for-profit- 4-year or above
1053	1	Private not-for-profit- 4-year or above
1054	1	Public- 4-year or above
1055	1	Private not-for-profit- 4-year or above
1056	1	Private not-for-profit- 4-year or above
1057	1	Public- 4-year or above
1058	1	Public- 4-year or above
1059	1	Private not-for-profit- 4-year or above
1060	1	Public- 4-year or above
1061	1	Private not-for-profit- 4-year or above
1062	1	Private not-for-profit- 4-year or above
