university	usnews	phone
0997	1	(304) 637-1230
0998	1	(800) 520-4632
0999	1	(215) 489-2211
1000	1	(662) 846-4018
1001	1	(740) 587-6276
1002	1	(312) 362-8300
1003	1	(765) 658-4006
1004	1	(610) 282-4443
1005	1	(800) 644-1773
1006	1	(701) 483-2175
1007	1	(402) 826-8222
1008	1	(708) 524-6800
1009	1	(415) 485-3204
1010	1	(800) 343-6738
1011	1	(515) 271-3181
1012	1	(973) 408-3739
1013	1	(800) 237-3935
1014	1	(417) 873-7205
1015	1	(919) 684-3214
1016	1	(412) 396-6222
1017	1	(716) 829-7600
1018	1	(765) 983-1600
1019	1	(860) 465-5286
1020	1	(877) 581-2348
1021	1	(800) 465-9191
1022	1	(800) 368-2665
1023	1	(734) 487-3060
1024	1	(617) 745-3711
1025	1	(610) 341-5967
1026	1	(509) 359-2397
