auto	msn	price
0550	2	$56,400	$41,600&nbsp;- $56,400
0551	2	$41,600	$41,600&nbsp;- $56,400
0552	1	$47,250
0553	2	$73,345	$59,645&nbsp;- $73,345
0554	2	$14,180	$14,180&nbsp;- $15,635
0555	2	$15,635	$14,180&nbsp;- $15,635
0556	2	$16,705	$15,800&nbsp;- $23,010
0557	2	$19,545	$15,800&nbsp;- $23,010
0558	2	$22,510	$15,800&nbsp;- $23,010
0559	2	$22,635	$19,990&nbsp;- $29,320
0560	2	$29,320	$19,990&nbsp;- $29,320
0561	2	$27,150	$23,110&nbsp;- $28,550
0562	2	$32,260	$26,795&nbsp;- $32,290
0563	2	$32,290	$26,795&nbsp;- $32,290
0564	2	$24,350	$20,555&nbsp;- $29,065
0565	2	$27,455	$20,555&nbsp;- $29,065
0566	2	$20,555	$20,555&nbsp;- $29,065
0567	2	$25,700	$20,555&nbsp;- $29,065
0568	2	$27,315	$20,555&nbsp;- $29,065
0569	2	$21,990	$21,990&nbsp;- $33,340
0570	2	$22,795	$21,990&nbsp;- $33,340
0571	2	$26,255	$21,990&nbsp;- $33,340
0572	2	$27,955	$21,990&nbsp;- $33,340
0573	2	$31,640	$21,990&nbsp;- $33,340
0574	2	$33,340	$21,990&nbsp;- $33,340
0575	2	$29,135	$29,135&nbsp;- $34,535
0576	2	$30,525	$29,135&nbsp;- $34,535
0577	2	$31,055	$29,135&nbsp;- $34,535
0578	2	$32,445	$29,135&nbsp;- $34,535
0579	2	$34,535	$29,135&nbsp;- $34,535
0580	2	$16,060	$16,060&nbsp;- $22,150
0581	2	$22,150	$16,060&nbsp;- $22,150
0582	2	$16,980	$16,980&nbsp;- $20,280
0583	2	$20,280	$16,980&nbsp;- $20,280
0584	2	$31,870	$19,275&nbsp;- $32,300
0585	2	$32,300	$19,275&nbsp;- $32,300
0586	2	$22,220	$19,275&nbsp;- $32,300
0587	2	$28,960	$19,275&nbsp;- $32,300
0588	2	$19,275	$19,275&nbsp;- $32,300
0589	2	$29,060	$19,275&nbsp;- $32,300
0590	2	$24,275	$24,275&nbsp;- $30,375
0591	2	$29,485	$24,275&nbsp;- $30,375
0592	2	$30,375	$24,275&nbsp;- $30,375
0593	2	$31,555	$28,190&nbsp;- $37,610
0594	2	$37,610	$28,190&nbsp;- $37,610
0595	2	$24,820	$24,820&nbsp;- $31,415
0596	2	$29,420	$24,820&nbsp;- $31,415
0597	2	$16,990	$11,990&nbsp;- $20,990
0598	2	$20,990	$11,990&nbsp;- $20,990
0599	2	$24,600	$24,600&nbsp;- $26,950
0600	2	$26,950	$24,600&nbsp;- $26,950
0601	2	$27,750	$27,750&nbsp;- $31,150
0602	2	$32,000	$32,000&nbsp;- $38,000
0603	2	$38,000	$32,000&nbsp;- $38,000
0604	2	$33,550	$33,550&nbsp;- $38,000
0605	1	$37,700
0606	2	$36,950	$36,950&nbsp;- $40,700
0607	1	$39,950
0608	2	$32,400	$32,400&nbsp;- $41,550
0609	2	$38,050	$32,400&nbsp;- $41,550
0610	2	$38,400	$32,400&nbsp;- $41,550
0611	2	$34,300	$34,300&nbsp;- $36,220
0612	2	$36,220	$34,300&nbsp;- $36,220
0613	2	$41,270	$41,270&nbsp;- $48,160
0614	2	$39,145	$39,145&nbsp;- $40,995
0615	2	$40,995	$39,145&nbsp;- $40,995
0616	2	$44,200	$44,200&nbsp;- $49,200
0617	2	$49,200	$44,200&nbsp;- $49,200
0618	2	$59,320	$57,155&nbsp;- $62,220
0619	2	$60,055	$57,155&nbsp;- $62,220
0620	2	$62,220	$57,155&nbsp;- $62,220
0621	2	$26,245	$26,245&nbsp;- $28,745
0622	2	$29,730	$29,730&nbsp;- $44,460
0623	2	$33,130	$29,730&nbsp;- $44,460
0624	2	$44,460	$29,730&nbsp;- $44,460
0625	2	$35,615	$35,615&nbsp;- $44,095
0626	2	$37,615	$35,615&nbsp;- $44,095
0627	2	$13,320	$13,320&nbsp;- $17,120
0628	2	$16,320	$13,320&nbsp;- $17,120
0629	2	$16,640	$16,640&nbsp;- $19,670
0630	2	$19,720	$19,720&nbsp;- $28,645
0631	2	$21,515	$19,720&nbsp;- $28,645
0632	2	$24,945	$19,720&nbsp;- $28,645
0633	2	$26,795	$19,720&nbsp;- $28,645
0634	2	$28,405	$19,720&nbsp;- $28,645
0635	2	$22,145	$22,145&nbsp;- $37,845
0636	2	$25,845	$22,145&nbsp;- $37,845
0637	2	$27,370	$25,170&nbsp;- $37,770
0638	2	$29,220	$25,170&nbsp;- $37,770
0639	2	$48,645	$48,645&nbsp;- $53,645
0640	2	$53,645	$48,645&nbsp;- $53,645
0641	2	$22,965	$21,215&nbsp;- $27,565
0642	2	$27,565	$21,215&nbsp;- $27,565
0643	2	$24,215	$21,215&nbsp;- $27,565
0644	2	$25,815	$21,215&nbsp;- $27,565
0645	2	$30,220	$27,220&nbsp;- $38,070
0646	2	$34,220	$27,220&nbsp;- $38,070
0647	2	$36,070	$27,220&nbsp;- $38,070
0648	2	$30,190	$28,190&nbsp;- $39,190
0649	2	$33,190	$28,190&nbsp;- $39,190
0650	2	$28,190	$28,190&nbsp;- $39,190
0651	2	$31,190	$28,190&nbsp;- $39,190
0652	2	$37,190	$28,190&nbsp;- $39,190
0653	2	$35,590	$28,210&nbsp;- $35,590
0654	2	$30,735	$28,210&nbsp;- $35,590
0655	2	$35,590	$28,210&nbsp;- $35,590
0656	2	$28,210	$28,210&nbsp;- $35,590
0657	2	$33,065	$28,210&nbsp;- $35,590
0658	2	$29,075	$29,075&nbsp;- $42,190
0659	2	$42,190	$29,075&nbsp;- $42,190
0660	2	$35,830	$35,830&nbsp;- $51,930
0661	2	$38,440	$35,830&nbsp;- $51,930
0662	2	$38,730	$35,830&nbsp;- $51,930
0663	2	$39,355	$35,830&nbsp;- $51,930
0664	2	$41,150	$35,830&nbsp;- $51,930
0665	2	$42,255	$35,830&nbsp;- $51,930
0666	2	$44,050	$35,830&nbsp;- $51,930
0667	2	$45,110	$35,830&nbsp;- $51,930
0668	2	$49,030	$35,830&nbsp;- $51,930
0669	2	$50,660	$35,830&nbsp;- $51,930
0670	2	$51,930	$35,830&nbsp;- $51,930
0671	2	$21,385	$21,200&nbsp;- $23,200
0672	2	$21,455	$21,200&nbsp;- $23,200
0673	2	$22,600	$21,200&nbsp;- $23,200
0674	2	$22,670	$21,200&nbsp;- $23,200
0675	2	$23,050	$21,200&nbsp;- $23,200
0676	2	$23,200	$21,200&nbsp;- $23,200
0677	2	$26,055	$26,055&nbsp;- $30,885
0678	2	$27,055	$26,055&nbsp;- $30,885
0679	2	$27,265	$26,055&nbsp;- $30,885
0680	2	$28,410	$26,055&nbsp;- $30,885
0681	2	$29,985	$26,055&nbsp;- $30,885
0682	2	$28,185	$28,185&nbsp;- $35,060
0683	2	$30,640	$28,185&nbsp;- $35,060
0684	2	$17,935	$17,935&nbsp;- $26,025
0685	2	$19,630	$17,935&nbsp;- $26,025
0686	2	$20,695	$17,935&nbsp;- $26,025
0687	2	$22,380	$17,935&nbsp;- $26,025
0688	2	$26,785	$22,415&nbsp;- $51,140
0689	2	$27,085	$22,415&nbsp;- $51,140
0690	2	$29,390	$22,415&nbsp;- $51,140
0691	2	$29,685	$22,415&nbsp;- $51,140
0692	2	$30,310	$22,415&nbsp;- $51,140
0693	2	$33,535	$22,415&nbsp;- $51,140
0694	2	$33,835	$22,415&nbsp;- $51,140
0695	2	$35,895	$22,415&nbsp;- $51,140
0696	2	$36,195	$22,415&nbsp;- $51,140
0697	2	$37,255	$22,415&nbsp;- $51,140
0698	2	$39,285	$22,415&nbsp;- $51,140
0699	2	$39,915	$22,415&nbsp;- $51,140
0700	2	$41,550	$22,415&nbsp;- $51,140
0701	2	$44,315	$22,415&nbsp;- $51,140
0702	2	$44,935	$22,415&nbsp;- $51,140
0703	2	$45,235	$22,415&nbsp;- $51,140
0704	2	$47,045	$22,415&nbsp;- $51,140
0705	2	$50,340	$22,415&nbsp;- $51,140
0706	2	$51,140	$22,415&nbsp;- $51,140
0707	2	$22,415	$22,415&nbsp;- $51,140
0708	2	$22,715	$22,415&nbsp;- $51,140
0709	2	$26,540	$22,415&nbsp;- $51,140
0710	2	$26,865	$22,415&nbsp;- $51,140
0711	2	$27,170	$22,415&nbsp;- $51,140
0712	2	$29,030	$22,415&nbsp;- $51,140
0713	2	$29,755	$22,415&nbsp;- $51,140
0714	2	$33,050	$22,415&nbsp;- $51,140
0715	2	$34,110	$22,415&nbsp;- $51,140
0716	2	$35,435	$22,415&nbsp;- $51,140
0717	2	$35,735	$22,415&nbsp;- $51,140
0718	2	$36,470	$22,415&nbsp;- $51,140
0719	2	$41,790	$22,415&nbsp;- $51,140
0720	2	$43,600	$22,415&nbsp;- $51,140
0721	2	$43,900	$22,415&nbsp;- $51,140
0722	2	$47,195	$22,415&nbsp;- $51,140
0723	2	$33,440	$28,335&nbsp;- $49,370
0724	2	$33,630	$28,335&nbsp;- $49,370
0725	2	$34,645	$28,335&nbsp;- $49,370
0726	2	$34,990	$28,335&nbsp;- $49,370
0727	2	$37,480	$28,335&nbsp;- $49,370
0728	2	$39,735	$28,335&nbsp;- $49,370
0729	2	$41,860	$28,335&nbsp;- $49,370
0730	2	$42,050	$28,335&nbsp;- $49,370
0731	2	$44,605	$28,335&nbsp;- $49,370
0732	2	$49,175	$28,335&nbsp;- $49,370
0733	2	$49,370	$28,335&nbsp;- $49,370
0734	2	$30,460	$28,335&nbsp;- $49,370
0735	2	$30,655	$28,335&nbsp;- $49,370
0736	2	$31,615	$28,335&nbsp;- $49,370
0737	2	$31,820	$28,335&nbsp;- $49,370
0738	2	$32,015	$28,335&nbsp;- $49,370
0739	2	$34,225	$28,335&nbsp;- $49,370
0740	2	$34,410	$28,335&nbsp;- $49,370
0741	2	$36,475	$28,335&nbsp;- $49,370
0742	2	$38,720	$28,335&nbsp;- $49,370
0743	2	$38,920	$28,335&nbsp;- $49,370
0744	2	$41,265	$28,335&nbsp;- $49,370
0745	2	$41,455	$28,335&nbsp;- $49,370
0746	2	$46,030	$28,335&nbsp;- $49,370
0747	2	$32,025	$29,055&nbsp;- $50,755
0748	2	$33,065	$29,055&nbsp;- $50,755
0749	2	$35,715	$29,055&nbsp;- $50,755
0750	2	$37,185	$29,055&nbsp;- $50,755
0751	2	$37,310	$29,055&nbsp;- $50,755
0752	2	$40,665	$29,055&nbsp;- $50,755
0753	2	$40,955	$29,055&nbsp;- $50,755
0754	2	$42,795	$29,055&nbsp;- $50,755
0755	2	$42,885	$29,055&nbsp;- $50,755
0756	2	$43,885	$29,055&nbsp;- $50,755
0757	2	$45,060	$29,055&nbsp;- $50,755
0758	2	$49,920	$29,055&nbsp;- $50,755
0759	2	$29,055	$29,055&nbsp;- $50,755
0760	2	$31,510	$29,055&nbsp;- $50,755
0761	2	$31,700	$29,055&nbsp;- $50,755
0762	2	$32,670	$29,055&nbsp;- $50,755
0763	2	$32,740	$29,055&nbsp;- $50,755
0764	2	$32,940	$29,055&nbsp;- $50,755
0765	2	$35,840	$29,055&nbsp;- $50,755
0766	2	$36,035	$29,055&nbsp;- $50,755
0767	2	$39,740	$29,055&nbsp;- $50,755
0768	2	$39,940	$29,055&nbsp;- $50,755
0769	2	$40,045	$29,055&nbsp;- $50,755
0770	2	$42,155	$29,055&nbsp;- $50,755
0771	2	$42,345	$29,055&nbsp;- $50,755
0772	2	$43,455	$29,055&nbsp;- $50,755
0773	2	$62,690	$48,665&nbsp;- $62,690
0774	2	$33,315	$32,145&nbsp;- $41,030
0775	2	$35,775	$32,145&nbsp;- $41,030
0776	2	$38,570	$32,145&nbsp;- $41,030
0777	2	$34,650	$34,650&nbsp;- $37,420
0778	2	$37,420	$34,650&nbsp;- $37,420
0779	1	$35,525
0780	2	$39,890	$39,890&nbsp;- $45,340
0781	2	$41,060	$39,890&nbsp;- $45,340
0782	2	$47,950	$46,000&nbsp;- $54,470
0783	1	$57,950
0784	1	$59,010
0785	2	$65,380	$65,380&nbsp;- $73,230
0786	2	$67,685	$65,380&nbsp;- $73,230
0787	2	$37,975	$37,975&nbsp;- $39,375
0788	2	$44,825	$43,235&nbsp;- $44,825
0789	2	$52,345	$52,345&nbsp;- $57,140
0790	2	$57,140	$52,345&nbsp;- $57,140
0791	2	$50,240	$50,240&nbsp;- $51,740
0792	2	$51,740	$50,240&nbsp;- $51,740
0793	2	$74,000	$74,000&nbsp;- $99,050
0794	2	$99,050	$74,000&nbsp;- $99,050
0795	2	$91,600	$91,600&nbsp;- $149,700
0796	2	$49,400	$48,850&nbsp;- $87,600
0797	2	$56,850	$48,850&nbsp;- $87,600
0798	2	$57,100	$48,850&nbsp;- $87,600
0799	2	$64,800	$48,850&nbsp;- $87,600
0800	2	$87,600	$48,850&nbsp;- $87,600
0801	2	$139,050	$102,600&nbsp;- $198,750
0802	2	$145,200	$110,400&nbsp;- $154,400
0803	2	$47,650	$47,650&nbsp;- $53,300
0804	2	$53,300	$47,650&nbsp;- $53,300
0805	1	$507,500
0806	1	$35,500
0807	2	$57,590	$46,490&nbsp;- $92,590
0808	1	$55,000
0809	2	$60,950	$60,950&nbsp;- $84,450
0810	2	$84,450	$60,950&nbsp;- $84,450
0811	2	$104,000	$104,000&nbsp;- $122,700
0812	2	$122,700	$104,000&nbsp;- $122,700
0813	2	$35,995	$35,995&nbsp;- $44,550
0814	2	$40,990	$35,995&nbsp;- $44,550
0815	2	$41,830	$35,995&nbsp;- $44,550
0816	2	$42,155	$35,995&nbsp;- $44,550
0817	2	$42,940	$35,995&nbsp;- $44,550
0818	2	$44,550	$35,995&nbsp;- $44,550
0819	2	$58,000	$47,600&nbsp;- $58,000
0820	2	$51,400	$51,400&nbsp;- $61,500
0821	2	$95,100	$77,800&nbsp;- $143,800
0822	2	$99,800	$77,800&nbsp;- $143,800
0823	2	$106,100	$77,800&nbsp;- $143,800
0824	2	$84,100	$77,800&nbsp;- $143,800
0825	2	$88,800	$77,800&nbsp;- $143,800
0826	2	$92,100	$77,800&nbsp;- $143,800
0827	2	$95,100	$77,800&nbsp;- $143,800
0828	2	$132,800	$77,800&nbsp;- $143,800
0829	2	$45,500	$45,500&nbsp;- $126,300
0830	2	$60,700	$45,500&nbsp;- $126,300
0831	2	$72,400	$45,500&nbsp;- $126,300
0832	2	$99,900	$45,500&nbsp;- $126,300
0833	2	$25,000	$21,860&nbsp;- $28,480
0834	2	$28,480	$21,860&nbsp;- $28,480
0835	2	$25,120	$25,120&nbsp;- $31,230
0836	1	$29,270
0837	2	$27,380	$23,560&nbsp;- $27,380
0838	2	$29,480	$29,480&nbsp;- $37,180
0839	2	$30,105	$30,105&nbsp;- $31,855
0840	2	$31,855	$30,105&nbsp;- $31,855
0841	2	$380,000	$380,000&nbsp;- $450,000
0842	2	$408,000	$380,000&nbsp;- $450,000
0843	2	$450,000	$380,000&nbsp;- $450,000
0844	2	$18,495	$17,495&nbsp;- $19,995
0845	2	$18,995	$17,495&nbsp;- $19,995
0846	2	$19,995	$17,495&nbsp;- $19,995
0847	2	$20,995	$19,995&nbsp;- $31,395
0848	2	$24,995	$19,995&nbsp;- $31,395
0849	2	$31,395	$19,995&nbsp;- $31,395
0850	2	$23,195	$23,195&nbsp;- $31,495
0851	2	$28,495	$23,195&nbsp;- $31,495
0852	2	$31,495	$23,195&nbsp;- $31,495
0853	2	$25,495	$25,495&nbsp;- $37,345
0854	2	$25,495	$25,495&nbsp;- $37,345
0855	2	$27,995	$25,495&nbsp;- $37,345
0856	2	$27,995	$25,495&nbsp;- $37,345
0857	2	$28,995	$25,495&nbsp;- $37,345
0858	2	$28,995	$25,495&nbsp;- $37,345
0859	2	$33,995	$25,495&nbsp;- $37,345
0860	2	$35,995	$25,495&nbsp;- $37,345
0861	2	$37,345	$25,495&nbsp;- $37,345
0862	2	$20,495	$20,495&nbsp;- $29,995
0863	2	$23,195	$20,495&nbsp;- $29,995
0864	2	$26,995	$20,495&nbsp;- $29,995
0865	2	$29,995	$20,495&nbsp;- $29,995
0866	2	$30,495	$30,495&nbsp;- $35,795
0867	2	$32,495	$30,495&nbsp;- $35,795
0868	2	$35,795	$30,495&nbsp;- $35,795
0869	2	$180,070	$180,070&nbsp;- $193,570
0870	2	$193,570	$180,070&nbsp;- $193,570
0871	1	$197,850
0872	2	$266,000	$266,000&nbsp;- $279,500
0873	2	$279,500	$266,000&nbsp;- $279,500
0874	2	$131,650	$118,650&nbsp;- $131,650
0875	2	$11,965	$11,965&nbsp;- $15,365
0876	2	$14,100	$11,965&nbsp;- $15,365
0877	2	$15,365	$11,965&nbsp;- $15,365
0878	2	$12,115	$12,115&nbsp;- $15,365
0879	2	$15,365	$12,115&nbsp;- $15,365
0880	2	$14,990	$14,990&nbsp;- $24,535
0881	2	$15,670	$14,990&nbsp;- $24,535
0882	2	$16,470	$14,990&nbsp;- $24,535
0883	2	$17,840	$14,990&nbsp;- $24,535
0884	2	$24,535	$14,990&nbsp;- $24,535
0885	2	$18,175	$16,275&nbsp;- $21,975
0886	2	$18,175	$16,275&nbsp;- $21,975
0887	2	$20,675	$16,275&nbsp;- $21,975
0888	2	$18,720	$18,720&nbsp;- $21,420
0889	2	$19,030	$18,720&nbsp;- $21,420
0890	2	$19,720	$18,720&nbsp;- $21,420
0891	2	$21,975	$21,975&nbsp;- $27,015
0892	2	$22,825	$21,975&nbsp;- $27,015
0893	2	$25,235	$21,975&nbsp;- $27,015
0894	2	$27,015	$21,975&nbsp;- $27,015
0895	2	$22,680	$22,680&nbsp;- $34,295
0896	2	$23,880	$22,680&nbsp;- $34,295
0897	2	$27,225	$22,680&nbsp;- $34,295
0898	2	$30,945	$22,680&nbsp;- $34,295
0899	2	$24,390	$24,390&nbsp;- $29,930
0900	2	$25,605	$24,390&nbsp;- $29,930
0901	2	$63,300	$48,950&nbsp;- $119,800
0902	2	$64,800	$48,950&nbsp;- $119,800
0903	2	$54,790	$48,950&nbsp;- $119,800
0904	2	$55,985	$48,950&nbsp;- $119,800
0905	2	$58,995	$48,950&nbsp;- $119,800
0906	2	$62,495	$48,950&nbsp;- $119,800
0907	2	$74,305	$48,950&nbsp;- $119,800
0908	2	$76,970	$48,950&nbsp;- $119,800
0909	2	$81,475	$48,950&nbsp;- $119,800
0910	2	$109,800	$48,950&nbsp;- $119,800
0911	2	$119,800	$48,950&nbsp;- $119,800
0912	2	$25,660	$22,745&nbsp;- $30,070
0913	2	$27,720	$22,745&nbsp;- $30,070
0914	2	$23,910	$22,745&nbsp;- $30,070
0915	2	$39,330	$29,155&nbsp;- $39,330
0916	2	$33,445	$29,155&nbsp;- $39,330
0917	2	$35,770	$29,155&nbsp;- $39,330
0918	2	$29,155	$29,155&nbsp;- $39,330
0919	2	$33,595	$29,155&nbsp;- $39,330
0920	2	$37,195	$29,155&nbsp;- $39,330
0921	2	$29,224	$29,224&nbsp;- $39,975
0922	2	$31,224	$29,224&nbsp;- $39,975
0923	2	$36,445	$29,224&nbsp;- $39,975
0924	2	$37,975	$29,224&nbsp;- $39,975
0925	2	$39,975	$29,224&nbsp;- $39,975
0926	2	$42,420	$37,570&nbsp;- $54,160
0927	2	$45,270	$37,570&nbsp;- $54,160
0928	2	$51,055	$37,570&nbsp;- $54,160
0929	2	$42,535	$40,925&nbsp;- $56,170
0930	2	$44,435	$40,925&nbsp;- $56,170
0931	2	$45,375	$40,925&nbsp;- $56,170
0932	2	$46,025	$40,925&nbsp;- $56,170
0933	2	$48,870	$40,925&nbsp;- $56,170
0934	2	$56,170	$40,925&nbsp;- $56,170
0935	2	$50,735	$50,735&nbsp;- $53,540
0936	2	$24,860	$24,860&nbsp;- $42,180
0937	2	$25,980	$24,860&nbsp;- $42,180
0938	2	$29,910	$24,860&nbsp;- $42,180
0939	2	$37,975	$24,860&nbsp;- $42,180
0940	2	$41,295	$24,860&nbsp;- $42,180
0941	2	$29,220	$28,710&nbsp;- $46,745
0942	2	$30,560	$28,710&nbsp;- $46,745
0943	2	$31,070	$28,710&nbsp;- $46,745
0944	2	$32,265	$28,710&nbsp;- $46,745
0945	2	$32,510	$28,710&nbsp;- $46,745
0946	2	$33,965	$28,710&nbsp;- $46,745
0947	2	$34,115	$28,710&nbsp;- $46,745
0948	2	$34,380	$28,710&nbsp;- $46,745
0949	2	$46,375	$28,710&nbsp;- $46,745
0950	2	$46,745	$28,710&nbsp;- $46,745
0951	2	$20,550	$17,045&nbsp;- $28,975
0952	2	$22,590	$17,045&nbsp;- $28,975
0953	2	$23,845	$17,045&nbsp;- $28,975
0954	2	$27,455	$17,045&nbsp;- $28,975
0955	2	$28,135	$17,045&nbsp;- $28,975
0956	2	$17,045	$17,045&nbsp;- $28,975
0957	2	$18,170	$17,045&nbsp;- $28,975
0958	2	$19,290	$17,045&nbsp;- $28,975
0959	2	$20,745	$17,045&nbsp;- $28,975
0960	2	$23,845	$17,045&nbsp;- $28,975
0961	2	$26,275	$17,045&nbsp;- $28,975
0962	2	$26,415	$17,045&nbsp;- $28,975
0963	2	$27,605	$17,045&nbsp;- $28,975
0964	2	$24,090	$20,850&nbsp;- $41,775
0965	2	$30,085	$20,850&nbsp;- $41,775
0966	2	$30,585	$20,850&nbsp;- $41,775
0967	2	$31,290	$20,850&nbsp;- $41,775
0968	2	$33,380	$20,850&nbsp;- $41,775
0969	2	$33,510	$20,850&nbsp;- $41,775
0970	2	$34,615	$20,850&nbsp;- $41,775
0971	2	$38,430	$20,850&nbsp;- $41,775
0972	2	$38,730	$20,850&nbsp;- $41,775
0973	2	$21,240	$20,850&nbsp;- $41,775
0974	2	$25,395	$20,850&nbsp;- $41,775
0975	2	$26,935	$20,850&nbsp;- $41,775
0976	2	$27,435	$20,850&nbsp;- $41,775
0977	2	$30,235	$20,850&nbsp;- $41,775
0978	2	$35,280	$20,850&nbsp;- $41,775
0979	2	$38,625	$20,850&nbsp;- $41,775
0980	2	$33,295	$27,965&nbsp;- $44,255
0981	2	$34,310	$27,965&nbsp;- $44,255
0982	2	$35,195	$27,965&nbsp;- $44,255
0983	2	$36,605	$27,965&nbsp;- $44,255
0984	2	$36,800	$27,965&nbsp;- $44,255
0985	2	$38,860	$27,965&nbsp;- $44,255
0986	2	$39,055	$27,965&nbsp;- $44,255
0987	2	$41,535	$27,965&nbsp;- $44,255
0988	2	$30,145	$27,965&nbsp;- $44,255
0989	2	$32,045	$27,965&nbsp;- $44,255
0990	2	$32,240	$27,965&nbsp;- $44,255
0991	2	$40,910	$27,965&nbsp;- $44,255
0992	2	$41,105	$27,965&nbsp;- $44,255
0993	2	$31,760	$31,760&nbsp;- $44,950
0994	2	$32,215	$31,760&nbsp;- $44,950
0995	2	$34,955	$31,760&nbsp;- $44,950
0996	2	$34,985	$31,760&nbsp;- $44,950
0997	2	$36,520	$31,760&nbsp;- $44,950
0998	2	$36,920	$31,760&nbsp;- $44,950
0999	2	$38,380	$31,760&nbsp;- $44,950
1000	2	$39,360	$31,760&nbsp;- $44,950
1001	2	$40,070	$31,760&nbsp;- $44,950
1002	2	$42,510	$31,760&nbsp;- $44,950
1003	2	$44,755	$31,760&nbsp;- $44,950
1004	2	$32,000	$31,760&nbsp;- $44,950
1005	2	$33,565	$31,760&nbsp;- $44,950
1006	2	$33,965	$31,760&nbsp;- $44,950
1007	2	$39,360	$31,760&nbsp;- $44,950
1008	2	$41,795	$31,760&nbsp;- $44,950
1009	2	$46,005	$36,110&nbsp;- $49,310
1010	2	$49,310	$36,110&nbsp;- $49,310
1011	2	$38,340	$38,340&nbsp;- $47,820
1012	2	$44,670	$38,340&nbsp;- $47,820
1013	2	$35,105	$35,105&nbsp;- $43,385
1014	2	$38,655	$35,105&nbsp;- $43,385
1015	2	$38,835	$35,105&nbsp;- $43,385
1016	2	$39,835	$35,105&nbsp;- $43,385
1017	2	$42,385	$35,105&nbsp;- $43,385
1018	2	$42,385	$35,105&nbsp;- $43,385
1019	2	$43,385	$35,105&nbsp;- $43,385
1020	2	$43,385	$35,105&nbsp;- $43,385
1021	2	$34,520	$32,520&nbsp;- $37,620
1022	2	$35,620	$32,520&nbsp;- $37,620
1023	2	$47,805	$42,230&nbsp;- $53,755
1024	2	$53,755	$42,230&nbsp;- $53,755
1025	2	N/A	$35,165&nbsp;- $60,720
1026	2	$35,165	$35,165&nbsp;- $60,720
1027	2	$37,865	$35,165&nbsp;- $60,720
1028	2	$38,365	$35,165&nbsp;- $60,720
1029	2	$39,765	$35,165&nbsp;- $60,720
1030	2	$41,065	$35,165&nbsp;- $60,720
1031	2	$41,565	$35,165&nbsp;- $60,720
1032	2	$41,665	$35,165&nbsp;- $60,720
1033	2	$43,465	$35,165&nbsp;- $60,720
1034	2	$46,865	$35,165&nbsp;- $60,720
1035	2	$60,720	$35,165&nbsp;- $60,720
1036	2	$38,265	$38,265&nbsp;- $50,565
1037	2	$40,965	$38,265&nbsp;- $50,565
1038	2	$41,565	$38,265&nbsp;- $50,565
1039	2	$43,365	$38,265&nbsp;- $50,565
1040	2	$43,465	$38,265&nbsp;- $50,565
1041	2	$48,665	$38,265&nbsp;- $50,565
1042	2	$50,565	$38,265&nbsp;- $50,565
1043	2	$51,525	$46,280&nbsp;- $59,475
1044	2	$46,845	$46,845&nbsp;- $70,335
1045	2	$50,385	$46,845&nbsp;- $70,335
1046	2	$55,945	$46,845&nbsp;- $70,335
1047	2	$56,345	$46,845&nbsp;- $70,335
1048	2	$70,335	$46,845&nbsp;- $70,335
1049	2	$33,830	$33,830&nbsp;- $51,860
1050	2	$39,905	$33,830&nbsp;- $51,860
1051	2	$41,850	$33,830&nbsp;- $51,860
1052	2	$44,395	$33,830&nbsp;- $51,860
1053	2	$48,040	$33,830&nbsp;- $51,860
1054	2	$51,860	$33,830&nbsp;- $51,860
1055	2	$65,045	$62,495&nbsp;- $86,680
1056	2	$73,550	$62,495&nbsp;- $86,680
1057	2	$73,715	$62,495&nbsp;- $86,680
1058	2	$84,125	$62,495&nbsp;- $86,680
1059	2	$62,495	$62,495&nbsp;- $86,680
1060	2	$71,000	$62,495&nbsp;- $86,680
1061	2	$71,215	$62,495&nbsp;- $86,680
1062	2	$81,625	$62,495&nbsp;- $86,680
1063	2	$73,425	$73,425&nbsp;- $87,725
1064	2	$75,975	$73,425&nbsp;- $87,725
1065	2	$85,225	$73,425&nbsp;- $87,725
1066	2	$61,420	$61,420&nbsp;- $69,000
1067	2	$69,000	$61,420&nbsp;- $69,000
1068	2	$29,670	$29,670&nbsp;- $36,220
1069	2	$32,570	$29,670&nbsp;- $36,220
1070	2	$34,020	$29,670&nbsp;- $36,220
1071	2	$34,770	$29,670&nbsp;- $36,220
1072	2	$36,220	$29,670&nbsp;- $36,220
1073	2	$15,455	$15,455&nbsp;- $25,340
1074	2	$15,655	$15,455&nbsp;- $25,340
1075	2	$16,255	$15,455&nbsp;- $25,340
1076	2	$16,405	$15,455&nbsp;- $25,340
1077	2	$17,405	$15,455&nbsp;- $25,340
1078	2	$17,605	$15,455&nbsp;- $25,340
1079	2	$18,405	$15,455&nbsp;- $25,340
1080	2	$19,005	$15,455&nbsp;- $25,340
1081	2	$19,455	$15,455&nbsp;- $25,340
1082	2	$19,455	$15,455&nbsp;- $25,340
1083	2	$20,255	$15,455&nbsp;- $25,340
1084	2	$21,805	$15,455&nbsp;- $25,340
1085	2	$22,255	$15,455&nbsp;- $25,340
1086	2	$22,255	$15,455&nbsp;- $25,340
1087	2	$23,005	$15,455&nbsp;- $25,340
1088	2	$23,005	$15,455&nbsp;- $25,340
1089	2	$23,805	$15,455&nbsp;- $25,340
1090	2	$24,055	$15,455&nbsp;- $25,340
1091	2	$24,255	$15,455&nbsp;- $25,340
1092	2	$25,340	$15,455&nbsp;- $25,340
1093	2	$21,055	$21,055&nbsp;- $31,305
