nbaplayer	espn	name
0340	1	Rashard Lewis&nbsp;&nbsp;#9&nbsp;&nbsp;PF
0341	1	Jameer Nelson&nbsp;&nbsp;#14&nbsp;&nbsp;PG
0342	1	Daniel Orton&nbsp;&nbsp;#21&nbsp;&nbsp;PF
0343	1	Mickael Pietrus&nbsp;&nbsp;#20&nbsp;&nbsp;SF
0344	1	J.J. Redick&nbsp;&nbsp;#7&nbsp;&nbsp;SG
0345	1	Quentin Richardson&nbsp;&nbsp;#5&nbsp;&nbsp;SG
0346	1	Jason Williams&nbsp;&nbsp;#44&nbsp;&nbsp;PG
0347	1	Gilbert Arenas&nbsp;&nbsp;#9&nbsp;&nbsp;PG
0348	1	Hilton Armstrong&nbsp;&nbsp;#24&nbsp;&nbsp;C
0349	1	Andray Blatche&nbsp;&nbsp;#7&nbsp;&nbsp;PF
0350	1	Trevor Booker&nbsp;&nbsp;#35&nbsp;&nbsp;C
0351	1	Alonzo Gee&nbsp;&nbsp;#15&nbsp;&nbsp;SG
0352	1	Kirk Hinrich&nbsp;&nbsp;#12&nbsp;&nbsp;G
0353	1	Josh Howard&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0354	1	Yi Jianlian&nbsp;&nbsp;#31&nbsp;&nbsp;PF
0355	1	Cartier Martin&nbsp;&nbsp;#20&nbsp;&nbsp;GF
0356	1	JaVale McGee&nbsp;&nbsp;#34&nbsp;&nbsp;C
0357	1	Hamady Ndiaye&nbsp;&nbsp;#55&nbsp;&nbsp;C
0358	1	Kevin Seraphin&nbsp;&nbsp;#13&nbsp;&nbsp;F
0359	1	Al Thornton&nbsp;&nbsp;#14&nbsp;&nbsp;SF
0360	1	John Wall&nbsp;&nbsp;#2&nbsp;&nbsp;PG
0361	1	Nick Young&nbsp;&nbsp;#1&nbsp;&nbsp;SG
0362	1	Arron Afflalo&nbsp;&nbsp;#6&nbsp;&nbsp;SG
0363	1	Chris Andersen&nbsp;&nbsp;#11&nbsp;&nbsp;C
0364	1	Carmelo Anthony&nbsp;&nbsp;#15&nbsp;&nbsp;SF
0365	1	Renaldo Balkman&nbsp;&nbsp;#32&nbsp;&nbsp;PF
0366	1	Chauncey Billups&nbsp;&nbsp;#1&nbsp;&nbsp;PG
0367	1	Anthony Carter&nbsp;&nbsp;#25&nbsp;&nbsp;PG
0368	1	Melvin Ely&nbsp;&nbsp;#34&nbsp;&nbsp;C
0369	1	Gary Forbes&nbsp;&nbsp;#0&nbsp;&nbsp;F
0370	1	Al Harrington&nbsp;&nbsp;#7&nbsp;&nbsp;PF
0371	1	Nene Hilario&nbsp;&nbsp;#31&nbsp;&nbsp;C
0372	1	Ty Lawson&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0373	1	Kenyon Martin&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0374	1	J.R. Smith&nbsp;&nbsp;#5&nbsp;&nbsp;SG
0375	1	Shelden Williams&nbsp;&nbsp;#23&nbsp;&nbsp;PF
0376	1	Michael Beasley&nbsp;&nbsp;#8&nbsp;&nbsp;PF
0377	1	Corey Brewer&nbsp;&nbsp;#22&nbsp;&nbsp;SG
0378	1	Wayne Ellington&nbsp;&nbsp;#19&nbsp;&nbsp;G
0379	1	Jonny Flynn&nbsp;&nbsp;#10&nbsp;&nbsp;PG
0380	1	Sundiata Gaines&nbsp;&nbsp;#1&nbsp;&nbsp;G
0381	1	Lazar Hayward&nbsp;&nbsp;#32&nbsp;&nbsp;F
0382	1	Wesley Johnson&nbsp;&nbsp;#4&nbsp;&nbsp;SF
0383	1	Kosta Koufos&nbsp;&nbsp;#41&nbsp;&nbsp;C
0384	1	Kevin Love&nbsp;&nbsp;#42&nbsp;&nbsp;PF
0385	1	Darko Milicic&nbsp;&nbsp;#31&nbsp;&nbsp;C
0386	1	Nikola Pekovic&nbsp;&nbsp;#14&nbsp;&nbsp;C
0387	1	Luke Ridnour&nbsp;&nbsp;#13&nbsp;&nbsp;PG
0388	1	Sebastian Telfair&nbsp;&nbsp;#3&nbsp;&nbsp;PG
0389	1	Anthony Tolliver&nbsp;&nbsp;#44&nbsp;&nbsp;C
0390	1	Martell Webster&nbsp;&nbsp;#5&nbsp;&nbsp;SF
0391	1	Cole Aldrich&nbsp;&nbsp;#45&nbsp;&nbsp;C
0392	1	Nick Collison&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0393	1	Daequan Cook&nbsp;&nbsp;#14&nbsp;&nbsp;SG
0394	1	Kevin Durant&nbsp;&nbsp;#35&nbsp;&nbsp;SF
0395	1	Jeff Green&nbsp;&nbsp;#22&nbsp;&nbsp;F
0396	1	James Harden&nbsp;&nbsp;#13&nbsp;&nbsp;G
0397	1	Serge Ibaka&nbsp;&nbsp;#9&nbsp;&nbsp;PF
0398	1	Royal Ivey&nbsp;&nbsp;#7&nbsp;&nbsp;PG
0399	1	Nenad Krstic&nbsp;&nbsp;#12&nbsp;&nbsp;C
0400	1	Eric Maynor&nbsp;&nbsp;#6&nbsp;&nbsp;PG
0401	1	Byron Mullens&nbsp;&nbsp;#23&nbsp;&nbsp;C
0402	1	Morris Peterson&nbsp;&nbsp;#42&nbsp;&nbsp;SG
0403	1	Thabo Sefolosha&nbsp;&nbsp;#2&nbsp;&nbsp;SG
0404	1	Russell Westbrook&nbsp;&nbsp;#0&nbsp;&nbsp;PG
0405	1	D.J. White&nbsp;&nbsp;#3&nbsp;&nbsp;PF
0406	1	LaMarcus Aldridge&nbsp;&nbsp;#12&nbsp;&nbsp;PF
0407	1	Luke Babbitt&nbsp;&nbsp;#11&nbsp;&nbsp;SF
0408	1	Nicolas Batum&nbsp;&nbsp;#88&nbsp;&nbsp;SF
0409	1	Marcus Camby&nbsp;&nbsp;#23&nbsp;&nbsp;PF
0410	1	Dante Cunningham&nbsp;&nbsp;#33&nbsp;&nbsp;F
0411	1	Rudy Fernandez&nbsp;&nbsp;#5&nbsp;&nbsp;SG
0412	1	Armon Johnson&nbsp;&nbsp;#1&nbsp;&nbsp;G
0413	1	Sean Marks&nbsp;&nbsp;#4&nbsp;&nbsp;PF
0414	1	Wesley Matthews&nbsp;&nbsp;#2&nbsp;&nbsp;G
0415	1	Andre Miller&nbsp;&nbsp;#24&nbsp;&nbsp;PG
0416	1	Patrick Mills&nbsp;&nbsp;#8&nbsp;&nbsp;PG
0417	1	Greg Oden&nbsp;&nbsp;#52&nbsp;&nbsp;C
0418	1	Joel Przybilla&nbsp;&nbsp;#10&nbsp;&nbsp;C
0419	1	Brandon Roy&nbsp;&nbsp;#7&nbsp;&nbsp;SG
0420	1	Elliot Williams&nbsp;&nbsp;#9&nbsp;&nbsp;G
0421	1	Raja Bell&nbsp;&nbsp;#19&nbsp;&nbsp;SG
0422	1	Francisco Elson&nbsp;&nbsp;#16&nbsp;&nbsp;C
0423	1	Jeremy Evans&nbsp;&nbsp;#40&nbsp;&nbsp;SF
0424	1	Kyrylo Fesenko&nbsp;&nbsp;#44&nbsp;&nbsp;C
0425	1	Gordon Hayward&nbsp;&nbsp;#20&nbsp;&nbsp;SF
0426	1	Al Jefferson&nbsp;&nbsp;#25&nbsp;&nbsp;C
0427	1	Andrei Kirilenko&nbsp;&nbsp;#47&nbsp;&nbsp;SF
0428	1	C.J. Miles&nbsp;&nbsp;#34&nbsp;&nbsp;SF
0429	1	Paul Millsap&nbsp;&nbsp;#24&nbsp;&nbsp;PF
0430	1	Mehmet Okur&nbsp;&nbsp;#13&nbsp;&nbsp;C
0431	1	Ronnie Price&nbsp;&nbsp;#17&nbsp;&nbsp;PG
0432	1	Earl Watson&nbsp;&nbsp;#11&nbsp;&nbsp;PG
0433	1	Deron Williams&nbsp;&nbsp;#8&nbsp;&nbsp;PG
